"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",0.168765,38.816886,NA,"PRESENT"
"gbif2",-8.792222,40.492778,NA,"PRESENT"
"gbif3",-9.442207,38.731025,NA,"PRESENT"
"gbif4",0.168765,38.816886,NA,"PRESENT"
"gbif5",0.168765,38.816886,NA,"PRESENT"
"gbif6",19.430308,41.320317,NA,"PRESENT"
"gbif7",-8.355083,43.344987,NA,"PRESENT"
"gbif8",9.429232,41.153818,NA,"PRESENT"
"gbif9",-8.791696,40.494251,NA,"PRESENT"
"gbif10",-7.438098,37.175879,NA,"PRESENT"
"gbif11",19.492385,41.316203,NA,"PRESENT"
"gbif12",-1.343932,45.920082,NA,"PRESENT"
"gbif13",3.700385,43.424129,NA,"PRESENT"
"gbif14",-13.809074,28.867181,NA,"PRESENT"
"gbif15",3.700428,43.424109,NA,"PRESENT"
"gbif16",-1.326961,46.008158,NA,"PRESENT"
"gbif17",-8.852937,42.48502,NA,"PRESENT"
"gbif18",6.568452,37.002335,NA,"PRESENT"
"gbif19",-4.360508,36.71824,NA,"PRESENT"
"gbif20",-1.326961,46.008172,NA,"PRESENT"
"gbif21",-4.360805,36.717948,NA,"PRESENT"
"gbif22",3.22423,42.050199,NA,"PRESENT"
"gbif23",19.462694,41.311821,NA,"PRESENT"
"gbif24",9.039023,41.468571,NA,"PRESENT"
"gbif25",-8.982468,38.473878,NA,"PRESENT"
"gbif26",-16.535397,28.042389,NA,"PRESENT"
"gbif27",-16.535423,28.042447,NA,"PRESENT"
"gbif28",-16.535571,28.042337,NA,"PRESENT"
"gbif29",-13.58998,28.94815,NA,"PRESENT"
"gbif30",13.832501,44.849821,NA,"PRESENT"
"gbif31",-8.873573,41.784753,NA,"PRESENT"
"gbif32",-8.903539,40.177513,NA,"PRESENT"
"gbif33",-8.921792,37.02109,NA,"PRESENT"
"gbif34",-8.686061,41.1597,NA,"PRESENT"
"gbif35",-8.825918,41.642586,NA,"PRESENT"
"gbif36",-8.66897,37.091115,NA,"PRESENT"
"gbif37",-8.729113,41.264639,NA,"PRESENT"
"gbif38",-8.729989,37.084187,NA,"PRESENT"
"gbif39",-9.45061,38.865024,NA,"PRESENT"
"gbif40",-9.215187,38.423685,NA,"PRESENT"
"gbif41",-8.802884,37.912645,NA,"PRESENT"
"gbif42",-8.681465,37.08385,NA,"PRESENT"
"gbif43",-8.652202,41.043782,NA,"PRESENT"
"gbif44",-9.347106,39.309556,NA,"PRESENT"
"gbif45",-8.716956,41.223489,NA,"PRESENT"
"gbif46",-8.864691,37.289191,NA,"PRESENT"
"gbif47",-9.486673,38.709571,NA,"PRESENT"
"gbif48",-9.423544,39.014081,NA,"PRESENT"
"gbif49",-8.658663,41.088863,NA,"PRESENT"
"gbif50",-8.877728,37.045155,NA,"PRESENT"
