"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-75.094739,38.333521,"","PRESENT"
"gbif2",-70.593896,42.64047,"","PRESENT"
"gbif3",-75.166037,38.210478,"","PRESENT"
"gbif4",-75.114386,38.358958,"","PRESENT"
"gbif5",-75.096916,38.796848,"","PRESENT"
"gbif6",-75.094734,38.333518,"","PRESENT"
"gbif7",-70.095844,41.281882,"","PRESENT"
"gbif8",-77.785744,34.225014,"","PRESENT"
"gbif9",-76.359941,38.967686,"","PRESENT"
"gbif10",-74.108712,39.763022,"","PRESENT"
"gbif11",-74.878272,38.95813,"","PRESENT"
"gbif12",-74.108728,39.7627,"","PRESENT"
"gbif13",-75.089149,38.338444,"","PRESENT"
"gbif14",-74.104526,39.764674,"","PRESENT"
"gbif15",-77.648716,34.349922,"","PRESENT"
"gbif16",-74.20453,40.438214,"","PRESENT"
"gbif17",-70.206737,41.5625,"","PRESENT"
"gbif18",-76.502176,38.868778,"","PRESENT"
"gbif19",-75.11978,38.30093,"","PRESENT"
"gbif20",-74.093192,40.441463,"","PRESENT"
"gbif21",-75.062354,38.432207,"","PRESENT"
"gbif22",-76.253624,37.887723,"","PRESENT"
"gbif23",-77.511398,34.44396,"","PRESENT"
"gbif24",-75.136495,38.542628,"","PRESENT"
"gbif25",-74.202075,40.439508,"","PRESENT"
"gbif26",-76.25968,36.961715,"","PRESENT"
"gbif27",-76.302244,37.004123,"","PRESENT"
"gbif28",-64.261667,46.236111,"","PRESENT"
"gbif29",-73.694172,39.74896,"","PRESENT"
"gbif30",-73.090624,40.985358,"","PRESENT"
"gbif31",-73.37905,40.841106,"","PRESENT"
"gbif32",-74.607803,39.310745,"","PRESENT"
"gbif33",-64.287425,45.137107,"","PRESENT"
"gbif34",-70.195233,41.642078,"","PRESENT"
"gbif35",-75.094615,38.333486,"","PRESENT"
"gbif36",-75.922203,36.694217,"","PRESENT"
"gbif37",-75.71034,36.101601,"","PRESENT"
"gbif38",-70.655651,42.596666,"","PRESENT"
"gbif39",-75.367691,37.921909,"","PRESENT"
"gbif40",-76.56157,37.077686,"","PRESENT"
"gbif41",-71.377258,41.477978,"","PRESENT"
"gbif42",-76.510574,37.239821,"","PRESENT"
"gbif43",-76.513911,38.868327,"","PRESENT"
"gbif44",-76.092842,36.90715,"","PRESENT"
"gbif45",-75.141883,38.396213,"","PRESENT"
"gbif46",-60.921,44.860333,"","PRESENT"
"gbif47",-59.083833,45.100667,"","PRESENT"
"gbif48",-59.083833,45.100667,"","PRESENT"
"gbif49",-60.921,44.860333,"","PRESENT"
"gbif50",-60.921,44.860333,"","PRESENT"
"gbif51",-60.921,44.860333,"","PRESENT"
"gbif52",-60.921,44.860333,"","PRESENT"
"gbif53",-60.921,44.860333,"","PRESENT"
"gbif54",-60.921,44.860333,"","PRESENT"
"gbif55",-60.921,44.860333,"","PRESENT"
"gbif56",-60.921,44.860333,"","PRESENT"
"gbif57",-60.921,44.860333,"","PRESENT"
"gbif58",-60.921,44.860333,"","PRESENT"
"gbif59",-60.921,44.860333,"","PRESENT"
"gbif60",-60.921,44.860333,"","PRESENT"
"gbif61",-60.921,44.860333,"","PRESENT"
"gbif62",-60.921,44.860333,"","PRESENT"
"gbif63",-67.915167,40.443167,"","PRESENT"
"gbif64",-67.915167,40.443167,"","PRESENT"
"gbif65",-67.915167,40.443167,"","PRESENT"
"gbif66",-67.915167,40.443167,"","PRESENT"
"gbif67",-67.915167,40.443167,"","PRESENT"
"gbif68",-67.915167,40.443167,"","PRESENT"
"gbif69",-68.076,40.4945,"","PRESENT"
"gbif70",-69.207167,40.244333,"","PRESENT"
"gbif71",-69.207167,40.244333,"","PRESENT"
"gbif72",-69.207167,40.244333,"","PRESENT"
"gbif73",-69.207167,40.244333,"","PRESENT"
"gbif74",-69.366667,40.233333,"","PRESENT"
"gbif75",-69.662333,40.06,"","PRESENT"
"gbif76",-69.207167,40.244333,"","PRESENT"
"gbif77",-69.366667,40.233333,"","PRESENT"
"gbif78",-69.207167,40.244333,"","PRESENT"
"gbif79",-69.366667,40.233333,"","PRESENT"
"gbif80",-69.414167,40.147667,"","PRESENT"
"gbif81",-67.915167,40.443167,"","PRESENT"
"gbif82",-67.915167,40.443167,"","PRESENT"
"gbif83",-69.447667,40.299,"","PRESENT"
"gbif84",-67.915167,40.443167,"","PRESENT"
"gbif85",-69.366667,40.233333,"","PRESENT"
"gbif86",-67.915167,40.443167,"","PRESENT"
"gbif87",-67.915167,40.443167,"","PRESENT"
"gbif88",-67.915167,40.443167,"","PRESENT"
"gbif89",-67.915167,40.443167,"","PRESENT"
"gbif90",-68.025167,40.3675,"","PRESENT"
