"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",11.6867,57.6674999991481,NA,"PRESENT"
"gbif2",11.1033,58.8682999991658,NA,"PRESENT"
"gbif3",11.1033,58.8682999991658,NA,"PRESENT"
"gbif4",11.1033,58.8682999991658,NA,"PRESENT"
"gbif5",11.1033,58.8682999991658,NA,"PRESENT"
"gbif6",11.6867,57.6674999991481,NA,"PRESENT"
"gbif7",11.6867,57.6674999991481,NA,"PRESENT"
"gbif8",11.76833,57.6788299991483,NA,"PRESENT"
"gbif9",12.72,56.5649999991332,NA,"PRESENT"
"gbif10",11.4033,58.3432999991579,NA,"PRESENT"
"gbif11",11.4033,58.3432999991579,NA,"PRESENT"
"gbif12",11.66667,57.9011699991514,NA,"PRESENT"
"gbif13",11.9883,57.303299999143,NA,"PRESENT"
"gbif14",11.1033,58.8682999991658,NA,"PRESENT"
"gbif15",11.4033,58.3432999991579,NA,"PRESENT"
"gbif16",11.7733,58.3124999991574,NA,"PRESENT"
"gbif17",11.1033,58.8682999991658,NA,"PRESENT"
"gbif18",12.72,56.5649999991332,NA,"PRESENT"
"gbif19",11.9883,57.303299999143,NA,"PRESENT"
"gbif20",11.4033,58.3432999991579,NA,"PRESENT"
"gbif21",11.6867,57.6674999991481,NA,"PRESENT"
"gbif22",11.1033,58.8682999991658,NA,"PRESENT"
"gbif23",11.4033,58.3432999991579,NA,"PRESENT"
"gbif24",11.6867,57.6674999991481,NA,"PRESENT"
"gbif25",11.7733,58.3124999991574,NA,"PRESENT"
"gbif26",11.6867,57.6674999991481,NA,"PRESENT"
"gbif27",11.7733,58.3124999991574,NA,"PRESENT"
"gbif28",11.5933,57.9196999991517,NA,"PRESENT"
"gbif29",11.76833,57.6788299991483,NA,"PRESENT"
"gbif30",11.5933,57.9196999991517,NA,"PRESENT"
"gbif31",11.1033,58.8682999991658,NA,"PRESENT"
"gbif32",11.6867,57.6674999991481,NA,"PRESENT"
"gbif33",11.66667,57.9011699991514,NA,"PRESENT"
"gbif34",11.9883,57.303299999143,NA,"PRESENT"
"gbif35",11.5933,57.9196999991517,NA,"PRESENT"
"gbif36",11.4033,58.3432999991579,NA,"PRESENT"
"gbif37",11.7733,58.3124999991574,NA,"PRESENT"
"gbif38",11.5933,57.9196999991517,NA,"PRESENT"
"gbif39",12.72,56.5649999991332,NA,"PRESENT"
"gbif40",11.9883,57.303299999143,NA,"PRESENT"
"gbif41",11.66667,57.9011699991514,NA,"PRESENT"
"gbif42",11.4033,58.3432999991579,NA,"PRESENT"
"gbif43",11.6867,57.6674999991481,NA,"PRESENT"
"gbif44",11.6867,57.6674999991481,NA,"PRESENT"
"gbif45",11.9883,57.303299999143,NA,"PRESENT"
"gbif46",11.9883,57.303299999143,NA,"PRESENT"
"gbif47",11.9883,57.303299999143,NA,"PRESENT"
"gbif48",11.6867,57.6674999991481,NA,"PRESENT"
"gbif49",11.6867,57.6674999991481,NA,"PRESENT"
"gbif50",11.81,58.1091699991544,NA,"PRESENT"
"gbif51",12.72,56.5649999991332,NA,"PRESENT"
"gbif52",11.9883,57.303299999143,NA,"PRESENT"
"gbif53",11.76833,57.6788299991483,NA,"PRESENT"
"gbif54",11.4033,58.3432999991579,NA,"PRESENT"
"gbif55",11.6867,57.6674999991481,NA,"PRESENT"
"gbif56",12.72,56.5649999991332,NA,"PRESENT"
"gbif57",11.9883,57.303299999143,NA,"PRESENT"
"gbif58",11.5933,57.9196999991517,NA,"PRESENT"
"gbif59",11.9883,57.303299999143,NA,"PRESENT"
"gbif60",12.51667,56.2183299991287,NA,"PRESENT"
"gbif61",11.9883,57.303299999143,NA,"PRESENT"
"gbif62",12.79608,55.8689999991244,NA,"PRESENT"
"gbif63",12.90667,55.7849999991234,NA,"PRESENT"
"gbif64",12.65217,56.31549999913,NA,"PRESENT"
"gbif65",12.51667,56.2166699991287,NA,"PRESENT"
"gbif66",12.51667,56.2166699991287,NA,"PRESENT"
"gbif67",11.98833,57.303329999143,NA,"PRESENT"
"gbif68",11.98833,57.303329999143,NA,"PRESENT"
"gbif69",13.03667,55.6866699991222,NA,"PRESENT"
"gbif70",11.98833,57.303329999143,NA,"PRESENT"
"gbif71",11.98833,57.303329999143,NA,"PRESENT"
"gbif72",12.72,56.5649999991332,NA,"PRESENT"
"gbif73",12.72,56.5649999991332,NA,"PRESENT"
"gbif74",11.98833,57.303329999143,NA,"PRESENT"
"gbif75",11.77333,58.3124999991574,NA,"PRESENT"
"gbif76",11.59333,57.9196699991517,NA,"PRESENT"
"gbif77",11.58,58.2299999991562,NA,"PRESENT"
"gbif78",11.68667,57.6674999991481,NA,"PRESENT"
"gbif79",11.10333,58.8683299991658,NA,"PRESENT"
"gbif80",11.59333,57.9196699991517,NA,"PRESENT"
"gbif81",11.59333,57.9196699991517,NA,"PRESENT"
"gbif82",11.10333,58.8683299991658,NA,"PRESENT"
"gbif83",11.68667,57.6674999991481,NA,"PRESENT"
"gbif84",11.77333,58.3124999991574,NA,"PRESENT"
"gbif85",11.10333,58.8683299991658,NA,"PRESENT"
"gbif86",11.68667,57.6674999991481,NA,"PRESENT"
"gbif87",11.68667,57.6674999991481,NA,"PRESENT"
"gbif88",11.40333,58.3433299991579,NA,"PRESENT"
"gbif89",12.88083,55.5133299991201,NA,"PRESENT"
"gbif90",11.40333,58.3433299991579,NA,"PRESENT"
"gbif91",11.10333,58.8683299991658,NA,"PRESENT"
"gbif92",11.40333,58.3433299991579,NA,"PRESENT"
"gbif93",11.58,58.2299999991562,NA,"PRESENT"
"gbif94",11.59333,57.9196699991517,NA,"PRESENT"
"gbif95",11.68667,57.6674999991481,NA,"PRESENT"
"gbif96",11.40333,58.3433299991579,NA,"PRESENT"
"gbif97",12.51667,56.2166699991287,NA,"PRESENT"
"gbif98",12.51667,56.2166699991287,NA,"PRESENT"
"gbif99",11.98833,57.303329999143,NA,"PRESENT"
"gbif100",11.98833,57.303329999143,NA,"PRESENT"
"gbif101",12.72,56.5649999991332,NA,"PRESENT"
"gbif102",12.51667,56.2166699991287,NA,"PRESENT"
"gbif103",12.51667,56.2166699991287,NA,"PRESENT"
"gbif104",12.72,56.5649999991332,NA,"PRESENT"
"gbif105",11.98833,57.303329999143,NA,"PRESENT"
"gbif106",12.51667,56.2166699991287,NA,"PRESENT"
"gbif107",12.72,56.5649999991332,NA,"PRESENT"
"gbif108",12.72,56.5649999991332,NA,"PRESENT"
"gbif109",12.88083,55.5133299991201,NA,"PRESENT"
"gbif110",11.98833,57.303329999143,NA,"PRESENT"
"gbif111",12.72,56.5649999991332,NA,"PRESENT"
"gbif112",11.98833,57.303329999143,NA,"PRESENT"
"gbif113",12.72,56.5649999991332,NA,"PRESENT"
"gbif114",12.88083,55.5133299991201,NA,"PRESENT"
"gbif115",12.72,56.5649999991332,NA,"PRESENT"
"gbif116",12.72,56.5649999991332,NA,"PRESENT"
"gbif117",11.98833,57.303329999143,NA,"PRESENT"
"gbif118",11.98833,57.303329999143,NA,"PRESENT"
"gbif119",12.72,56.5649999991332,NA,"PRESENT"
"gbif120",13.03667,55.6866699991222,NA,"PRESENT"
"gbif121",11.59333,57.9196699991517,NA,"PRESENT"
"gbif122",11.59333,57.9196699991517,NA,"PRESENT"
"gbif123",11.98833,57.303329999143,NA,"PRESENT"
"gbif124",12.72,56.5649999991332,NA,"PRESENT"
"gbif125",12.72,56.5649999991332,NA,"PRESENT"
"gbif126",12.72,56.5649999991332,NA,"PRESENT"
"gbif127",11.59333,57.9196699991517,NA,"PRESENT"
"gbif128",12.72,56.5649999991332,NA,"PRESENT"
"gbif129",11.59333,57.9196699991517,NA,"PRESENT"
"gbif130",11.692,57.6781699991482,NA,"PRESENT"
"gbif131",11.692,57.6781699991482,NA,"PRESENT"
"gbif132",12.2117,56.9399999991381,NA,"PRESENT"
"gbif133",12.2117,56.9399999991381,NA,"PRESENT"
"gbif134",11.1033,58.8682999991658,NA,"PRESENT"
"gbif135",11.6867,57.6674999991481,NA,"PRESENT"
"gbif136",11.1033,58.8682999991658,NA,"PRESENT"
"gbif137",11.6867,57.6674999991481,NA,"PRESENT"
"gbif138",11.6867,57.6674999991481,NA,"PRESENT"
"gbif139",11.6867,57.6674999991481,NA,"PRESENT"
"gbif140",11.1033,58.8682999991658,NA,"PRESENT"
"gbif141",11.4033,58.3432999991579,NA,"PRESENT"
"gbif142",11.6867,57.6674999991481,NA,"PRESENT"
"gbif143",11.1033,58.8682999991658,NA,"PRESENT"
"gbif144",11.24,58.353329999158,NA,"PRESENT"
"gbif145",12.72,56.5649999991332,NA,"PRESENT"
"gbif146",11.9883,57.303299999143,NA,"PRESENT"
"gbif147",11.6867,57.6674999991481,NA,"PRESENT"
"gbif148",12.72,56.5649999991332,NA,"PRESENT"
"gbif149",11.5933,57.9196999991517,NA,"PRESENT"
"gbif150",11.6867,57.6674999991481,NA,"PRESENT"
"gbif151",11.6867,57.6674999991481,NA,"PRESENT"
"gbif152",11.7733,58.3124999991574,NA,"PRESENT"
"gbif153",11.6867,57.6674999991481,NA,"PRESENT"
"gbif154",11.6867,57.6674999991481,NA,"PRESENT"
"gbif155",11.24,58.353329999158,NA,"PRESENT"
"gbif156",12.72,56.5649999991332,NA,"PRESENT"
"gbif157",11.76833,57.6788299991483,NA,"PRESENT"
"gbif158",11.81,58.1091699991544,NA,"PRESENT"
"gbif159",11.9883,57.303299999143,NA,"PRESENT"
"gbif160",11.4033,58.3432999991579,NA,"PRESENT"
"gbif161",11.5933,57.9196999991517,NA,"PRESENT"
"gbif162",11.7733,58.3124999991574,NA,"PRESENT"
"gbif163",11.1033,58.8682999991658,NA,"PRESENT"
"gbif164",11.7733,58.3124999991574,NA,"PRESENT"
"gbif165",11.4033,58.3432999991579,NA,"PRESENT"
"gbif166",11.1033,58.8682999991658,NA,"PRESENT"
"gbif167",11.6867,57.6674999991481,NA,"PRESENT"
"gbif168",11.58,58.2299999991562,NA,"PRESENT"
"gbif169",11.66667,57.9011699991514,NA,"PRESENT"
"gbif170",11.9883,57.303299999143,NA,"PRESENT"
"gbif171",12.72,56.5649999991332,NA,"PRESENT"
"gbif172",12.72,56.5649999991332,NA,"PRESENT"
"gbif173",11.9883,57.303299999143,NA,"PRESENT"
"gbif174",11.58,58.2299999991562,NA,"PRESENT"
"gbif175",11.6867,57.6674999991481,NA,"PRESENT"
"gbif176",11.24,58.353329999158,NA,"PRESENT"
"gbif177",11.6867,57.6674999991481,NA,"PRESENT"
"gbif178",11.24,58.353329999158,NA,"PRESENT"
"gbif179",11.24,58.353329999158,NA,"PRESENT"
"gbif180",11.9883,57.303299999143,NA,"PRESENT"
"gbif181",11.5933,57.9196999991517,NA,"PRESENT"
"gbif182",11.9883,57.303299999143,NA,"PRESENT"
"gbif183",11.7733,58.3124999991574,NA,"PRESENT"
"gbif184",11.1033,58.8682999991658,NA,"PRESENT"
"gbif185",11.1033,58.8682999991658,NA,"PRESENT"
"gbif186",11.5933,57.9196999991517,NA,"PRESENT"
"gbif187",11.1033,58.8682999991658,NA,"PRESENT"
