"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-114.5125,31.332333,"","PRESENT"
"gbif2",-114.5215,31.297167,"","PRESENT"
"gbif3",-114.533833,31.188333,"","PRESENT"
"gbif4",-114.532667,31.212833,"","PRESENT"
"gbif5",-114.5385,31.1535,"","PRESENT"
"gbif6",-113.500167,31.014,"","PRESENT"
"gbif7",-114.534667,31.178667,"","PRESENT"
"gbif8",-114.5085,31.384333,"","PRESENT"
"gbif9",-114.540833,31.066167,"","PRESENT"
"gbif10",-114.524167,30.867833,"","PRESENT"
"gbif11",-114.5115,30.813333,"","PRESENT"
"gbif12",-114.630833,31.229667,"","PRESENT"
"gbif13",-114.629333,31.244167,"","PRESENT"
"gbif14",-114.629833,31.2395,"","PRESENT"
"gbif15",-114.628833,31.251,"","PRESENT"
"gbif16",-114.6345,31.190333,"","PRESENT"
"gbif17",-114.631167,31.2275,"","PRESENT"
"gbif18",-114.642167,31.120667,"","PRESENT"
"gbif19",-114.642833,31.113667,"","PRESENT"
"gbif20",-114.643167,31.086167,"","PRESENT"
"gbif21",-114.5295,30.855,"","PRESENT"
"gbif22",-114.397667,31.3345,"","PRESENT"
"gbif23",-114.64,31.021833,"","PRESENT"
"gbif24",-114.399333,31.311667,"","PRESENT"
"gbif25",-114.402833,31.274333,"","PRESENT"
"gbif26",-114.638333,30.9785,"","PRESENT"
"gbif27",-114.43,31.28,"","PRESENT"
"gbif28",-114.45,30.91,"","PRESENT"
"gbif29",-114.43,31.29,"","PRESENT"
"gbif30",-114.45,30.91,"","PRESENT"
"gbif31",-114.45,30.93,"","PRESENT"
"gbif32",-114.43,31.29,"","PRESENT"
"gbif33",-114.43,31.28,"","PRESENT"
"gbif34",-114.45,30.94,"","PRESENT"
"gbif35",-114.62,31.1,"","PRESENT"
"gbif36",-114.62,31.05,"","PRESENT"
"gbif37",-114.62,31.08,"","PRESENT"
"gbif38",-114.58,31.18,"","PRESENT"
