"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-123.68933,39.021888,"","PRESENT"
"gbif2",-124.309203,49.757036,"","PRESENT"
"gbif3",-122.928333,49.312778,"","PRESENT"
"gbif4",-121.144367,35.608472,"","PRESENT"
"gbif5",-128.184643,50.524626,"","PRESENT"
"gbif6",-125.914515,49.1431,"","PRESENT"
"gbif7",-122.493378,48.652753,"","PRESENT"
"gbif8",-124.391157,47.652477,"","PRESENT"
"gbif9",-125.175207,49.938305,"","PRESENT"
"gbif10",-122.93348,49.292513,"","PRESENT"
"gbif11",-125.164575,48.818942,"","PRESENT"
"gbif12",-124.309756,49.756853,"","PRESENT"
"gbif13",-124.651328,47.941738,"","PRESENT"
"gbif14",-124.151413,41.141014,"","PRESENT"
"gbif15",-123.754906,49.0438,"","PRESENT"
"gbif16",-124.112188,44.280223,"","PRESENT"
"gbif17",-123.813758,48.996803,"","PRESENT"
"gbif18",-125.9157,49.14538,"","PRESENT"
"gbif19",-123.014747,38.304171,"","PRESENT"
"gbif20",-122.646988,47.898288,"","PRESENT"
"gbif21",-125.915717,49.145378,"","PRESENT"
"gbif22",-123.202969,49.488878,"","PRESENT"
"gbif23",-123.014753,38.304183,"","PRESENT"
"gbif24",-123.014742,38.304145,"","PRESENT"
"gbif25",-123.01478,38.304167,"","PRESENT"
"gbif26",-123.01479,38.304167,"","PRESENT"
"gbif27",-124.651328,47.941738,"","PRESENT"
"gbif28",-124.22757,40.76102,"","PRESENT"
"gbif29",-123.014758,38.304145,"","PRESENT"
"gbif30",-123.014758,38.304167,"","PRESENT"
"gbif31",-123.014764,38.304175,"","PRESENT"
"gbif32",-123.014769,38.304141,"","PRESENT"
"gbif33",-122.386803,47.81105,"","PRESENT"
"gbif34",-123.014758,38.304133,"","PRESENT"
"gbif35",-124.309203,49.757036,"","PRESENT"
"gbif36",-135.313239,57.034042,"","PRESENT"
"gbif37",-123.107268,38.417455,"","PRESENT"
"gbif38",-123.125936,38.440481,"","PRESENT"
"gbif39",-124.05351,44.839393,"","PRESENT"
"gbif40",-124.387505,47.651472,"","PRESENT"
"gbif41",-151.337607,60.056644,"","PRESENT"
"gbif42",-125.897206,49.110179,"","PRESENT"
"gbif43",-123.107268,38.417455,"","PRESENT"
"gbif44",-123.014769,38.304103,"","PRESENT"
"gbif45",-123.01479,38.30412,"","PRESENT"
"gbif46",-123.01478,38.304137,"","PRESENT"
"gbif47",-123.107265,38.417449,"","PRESENT"
"gbif48",-129.183522,53.043213,"","PRESENT"
"gbif49",-123.01478,38.304141,"","PRESENT"
"gbif50",-123.014785,38.304141,"","PRESENT"
"gbif51",-123.013004,38.302971,"","PRESENT"
"gbif52",-123.014796,38.304103,"","PRESENT"
"gbif53",-123.014774,38.304099,"","PRESENT"
"gbif54",-125.165847,50.03955,"","PRESENT"
"gbif55",-123.013058,38.30303,"","PRESENT"
"gbif56",-123.155553,49.308833,"","PRESENT"
"gbif57",-123.014796,38.304129,"","PRESENT"
"gbif58",-123.014801,38.304099,"","PRESENT"
"gbif59",-123.012993,38.302954,"","PRESENT"
"gbif60",-122.001531,36.963589,"","PRESENT"
"gbif61",-123.106293,38.417388,"","PRESENT"
