"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",166.434046,-22.311797,"","PRESENT"
"gbif2",99.312101,6.488113,"","PRESENT"
"gbif3",99.311928,6.485701,"","PRESENT"
"gbif4",99.311928,6.485701,"","PRESENT"
"gbif5",151.9148,-23.442298,"","PRESENT"
"gbif6",99.312263,6.485348,"","PRESENT"
"gbif7",151.9148,-23.442298,"","PRESENT"
"gbif8",101.44717,12.524884,"","PRESENT"
"gbif9",101.44407,12.521873,"","PRESENT"
"gbif10",72.888406,3.053153,"","PRESENT"
"gbif11",32.6854,-27.5224,"","PRESENT"
"gbif12",32.688,-27.5299,"","PRESENT"
"gbif13",32.724158,-27.418588,"","PRESENT"
"gbif14",55.8079,-21.25379,"","PRESENT"
"gbif15",55.22368,-21.07384,"","PRESENT"
"gbif16",55.82176,-21.1469,"","PRESENT"
"gbif17",55.46472,-21.34908,"","PRESENT"
"gbif18",55.80783,-21.24677,"","PRESENT"
"gbif19",55.45633,-21.34481,"","PRESENT"
"gbif20",123.268211,9.073407,"","PRESENT"
"gbif21",-157.80989,21.255194,"","PRESENT"
"gbif22",-157.807182,21.441319,"","PRESENT"
"gbif23",-157.807182,21.441319,"","PRESENT"
"gbif24",115.756441,-32.096916,"","PRESENT"
"gbif25",-157.66452,21.316633,"","PRESENT"
"gbif26",-157.807011,21.441149,"","PRESENT"
"gbif27",-157.80715,21.441019,"","PRESENT"
"gbif28",167.960229,-29.060634,"","PRESENT"
"gbif29",-157.80715,21.441019,"","PRESENT"
"gbif30",-156.403909,20.912923,"","PRESENT"
"gbif31",103.768611,1.212222,"","PRESENT"
"gbif32",55.82298,-21.2066,"","PRESENT"
"gbif33",55.83124,-21.18976,"","PRESENT"
"gbif34",55.28503,-21.1654,"","PRESENT"
"gbif35",55.28577,-21.17362,"","PRESENT"
"gbif36",55.82689,-21.18698,"","PRESENT"
"gbif37",55.83662,-21.16069,"","PRESENT"
"gbif38",55.23527,-21.10488,"","PRESENT"
"gbif39",55.54547,-21.372,"","PRESENT"
"gbif40",55.45952,-21.34176,"","PRESENT"
"gbif41",55.23315,-21.09523,"","PRESENT"
"gbif42",55.83186,-21.19079,"","PRESENT"
"gbif43",55.53089,-21.36329,"","PRESENT"
"gbif44",55.82128,-21.20692,"","PRESENT"
