"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-86.713526,21.202954,"","PRESENT"
"gbif2",-68.316422,12.206566,"","PRESENT"
"gbif3",-75.906115,23.625369,"","PRESENT"
"gbif4",-80.091994,26.116564,"","PRESENT"
"gbif5",-80.091994,26.116564,"","PRESENT"
"gbif6",-81.405914,24.548481,"","PRESENT"
"gbif7",-82.872965,24.62627,"","PRESENT"
"gbif8",-80.29737,25.123418,"","PRESENT"
"gbif9",-80.29737,25.123418,"","PRESENT"
"gbif10",-86.601432,16.273186,"","PRESENT"
"gbif11",-80.29737,25.123418,"","PRESENT"
"gbif12",-80.29737,25.123418,"","PRESENT"
"gbif13",-82.872965,24.62627,"","PRESENT"
"gbif14",-82.872965,24.62627,"","PRESENT"
"gbif15",-82.872965,24.62627,"","PRESENT"
"gbif16",-80.043878,26.772063,"","PRESENT"
"gbif17",-80.043878,26.772063,"","PRESENT"
"gbif18",-81.279698,24.656602,"","PRESENT"
"gbif19",-64.728095,18.336811,"","PRESENT"
"gbif20",-81.109147,24.626344,"","PRESENT"
"gbif21",-77.893095,24.882432,"","PRESENT"
"gbif22",-82.879849,24.657209,"","PRESENT"
"gbif23",-64.848569,32.249439,"","PRESENT"
"gbif24",-82.954737,24.607264,"","PRESENT"
"gbif25",-82.846043,24.707785,"","PRESENT"
"gbif26",-61.11948,16.17312,"","PRESENT"
"gbif27",-80.0928,26.189093,"","PRESENT"
"gbif28",-82.687548,9.644871,"","PRESENT"
"gbif29",-95.945261,19.097722,"","PRESENT"
"gbif30",-91.97775,20.211556,"","PRESENT"
"gbif31",-90.142917,21.343,"","PRESENT"
"gbif32",-89.670333,22.367639,"","PRESENT"
"gbif33",-90.142917,21.343,"","PRESENT"
"gbif34",-91.959389,20.204806,"","PRESENT"
"gbif35",-90.142917,21.343,"","PRESENT"
"gbif36",-90.142917,21.343,"","PRESENT"
"gbif37",-90.142917,21.343,"","PRESENT"
"gbif38",-90.139722,21.346139,"","PRESENT"
"gbif39",-90.142917,21.343,"","PRESENT"
"gbif40",-91.959389,20.204806,"","PRESENT"
"gbif41",-95.945199,19.097418,"","PRESENT"
"gbif42",-95.945181,19.097242,"","PRESENT"
"gbif43",-88.568889,15.932222,"","PRESENT"
"gbif44",-77.532846,24.973311,"","PRESENT"
"gbif45",-76.842426,24.76167,"","PRESENT"
"gbif46",-76.216352,24.67638,"","PRESENT"
"gbif47",-76.831214,24.706728,"","PRESENT"
"gbif48",-76.29762,24.756764,"","PRESENT"
"gbif49",-68.28316,12.082956,"","PRESENT"
"gbif50",-96.094254,19.175406,"","PRESENT"
"gbif51",-64.896335,18.335765,"","PRESENT"
"gbif53",-68.321408,12.210154,"","PRESENT"
"gbif54",-80.677131,24.876888,"","PRESENT"
"gbif55",-81.106967,19.35675,"","PRESENT"
"gbif56",-81.106967,19.35675,"","PRESENT"
"gbif57",-65.634653,18.375713,"","PRESENT"
"gbif58",-64.852918,18.31801,"","PRESENT"
"gbif59",-61.54798,16.15616,"","PRESENT"
"gbif60",-81.1108,24.627818,"","PRESENT"
"gbif61",-88.080407,16.80164,"","PRESENT"
"gbif62",-76.775282,25.560364,"","PRESENT"
"gbif63",-75.747148,23.515361,"","PRESENT"
"gbif64",-74.561102,23.956185,"","PRESENT"
"gbif65",-76.775282,25.560364,"","PRESENT"
"gbif66",-81.385683,19.4023,"","PRESENT"
"gbif67",-81.391793,19.287003,"","PRESENT"
"gbif68",-81.391793,19.287003,"","PRESENT"
"gbif69",-74.529805,24.013566,"","PRESENT"
"gbif70",-64.756189,18.354949,"","PRESENT"
"gbif71",-81.384906,19.396674,"","PRESENT"
"gbif72",-81.385005,19.396843,"","PRESENT"
"gbif73",-61.087633,14.532117,"","PRESENT"
"gbif76",-64.629412,18.331846,"","PRESENT"
"gbif77",-61.087212,14.527666,"","PRESENT"
"gbif78",-64.722805,18.366591,"","PRESENT"
"gbif79",-75.785389,9.777417,"","PRESENT"
"gbif80",-75.770639,10.174861,"","PRESENT"
"gbif81",-74.128361,11.325611,"","PRESENT"
"gbif82",-76.202278,9.371444,"","PRESENT"
"gbif83",-76.202278,9.371444,"","PRESENT"
"gbif84",-76.202278,9.371444,"","PRESENT"
"gbif85",-77.33625,8.642056,"","PRESENT"
"gbif86",-77.33625,8.642056,"","PRESENT"
"gbif87",-81.733333,12.500417,"","PRESENT"
"gbif88",-75.770639,10.174861,"","PRESENT"
"gbif89",-75.785389,9.777417,"","PRESENT"
"gbif90",-75.770639,10.174861,"","PRESENT"
"gbif91",-75.785389,9.777417,"","PRESENT"
"gbif92",-76.202278,9.371444,"","PRESENT"
"gbif93",-76.202278,9.371444,"","PRESENT"
"gbif94",-76.202278,9.371444,"","PRESENT"
"gbif95",-75.785389,9.777417,"","PRESENT"
"gbif96",-75.785389,9.777417,"","PRESENT"
"gbif97",-75.785389,9.777417,"","PRESENT"
"gbif98",-76.202278,9.371444,"","PRESENT"
"gbif99",-76.202278,9.371444,"","PRESENT"
"gbif100",-76.202278,9.371444,"","PRESENT"
"gbif101",-75.785389,9.777417,"","PRESENT"
"gbif102",-75.785389,9.777417,"","PRESENT"
"gbif103",-76.202278,9.371444,"","PRESENT"
"gbif104",-75.770639,10.174861,"","PRESENT"
"gbif105",-81.733333,12.500417,"","PRESENT"
"gbif106",-75.785389,9.777417,"","PRESENT"
"gbif107",-74.128361,11.325611,"","PRESENT"
"gbif108",-75.770639,10.174861,"","PRESENT"
"gbif109",-75.746444,10.234194,"","PRESENT"
"gbif110",-74.231861,11.249028,"","PRESENT"
"gbif111",-75.746444,10.234194,"","PRESENT"
"gbif112",-76.202278,9.371444,"","PRESENT"
"gbif113",-76.202278,9.371444,"","PRESENT"
"gbif114",-76.202278,9.371444,"","PRESENT"
"gbif115",-76.202278,9.371444,"","PRESENT"
"gbif116",-75.770639,10.174861,"","PRESENT"
"gbif117",-75.788861,10.170889,"","PRESENT"
"gbif118",-81.733333,12.500417,"","PRESENT"
"gbif119",-75.788861,10.170889,"","PRESENT"
"gbif120",-74.128361,11.325611,"","PRESENT"
"gbif121",-75.770639,10.174861,"","PRESENT"
"gbif122",-75.788861,10.170889,"","PRESENT"
"gbif123",-74.128361,11.325611,"","PRESENT"
"gbif124",-75.788861,10.170889,"","PRESENT"
"gbif125",-74.231861,11.249028,"","PRESENT"
"gbif126",-74.128611,11.329861,"","PRESENT"
"gbif127",-74.128611,11.329861,"","PRESENT"
"gbif128",-74.128611,11.329861,"","PRESENT"
"gbif129",-76.202278,9.371444,"","PRESENT"
"gbif130",-75.785556,9.779444,"","PRESENT"
"gbif131",-75.785556,9.779444,"","PRESENT"
"gbif132",-81.731233,12.513133,"","PRESENT"
"gbif133",-75.923389,9.790583,"","PRESENT"
"gbif134",-75.923389,9.790583,"","PRESENT"
"gbif135",-75.890833,9.821944,"","PRESENT"
"gbif136",-75.788861,10.170889,"","PRESENT"
"gbif137",-75.785389,9.777417,"","PRESENT"
"gbif138",-75.788861,10.170889,"","PRESENT"
"gbif139",-75.788861,10.170889,"","PRESENT"
"gbif140",-81.733333,12.500417,"","PRESENT"
"gbif141",-81.733333,12.500417,"","PRESENT"
"gbif142",-75.788861,10.170889,"","PRESENT"
"gbif143",-75.788861,10.170889,"","PRESENT"
"gbif144",-77.358667,8.670417,"","PRESENT"
"gbif145",-74.192778,11.295889,"","PRESENT"
"gbif146",-76.202278,9.371444,"","PRESENT"
"gbif147",-76.202278,9.371444,"","PRESENT"
"gbif148",-76.202278,9.371444,"","PRESENT"
"gbif149",-76.202278,9.371444,"","PRESENT"
"gbif150",-75.788861,10.170889,"","PRESENT"
"gbif151",-75.788861,10.170889,"","PRESENT"
"gbif152",-75.785389,9.777417,"","PRESENT"
"gbif153",-81.731233,12.513133,"","PRESENT"
"gbif154",-81.731233,12.513133,"","PRESENT"
"gbif155",-75.785389,9.777417,"","PRESENT"
"gbif156",-74.128611,11.329861,"","PRESENT"
"gbif157",-75.923389,9.790583,"","PRESENT"
"gbif158",-74.128611,11.329861,"","PRESENT"
"gbif159",-75.923389,9.790583,"","PRESENT"
"gbif160",-75.923389,9.790583,"","PRESENT"
"gbif161",-75.788861,10.170889,"","PRESENT"
"gbif162",-75.746444,10.234194,"","PRESENT"
"gbif163",-75.788861,10.170889,"","PRESENT"
"gbif164",-75.788861,10.170889,"","PRESENT"
"gbif165",-74.231861,11.249028,"","PRESENT"
"gbif166",-74.231861,11.249028,"","PRESENT"
"gbif167",-74.128611,11.329861,"","PRESENT"
"gbif168",-74.128611,11.329861,"","PRESENT"
"gbif169",-77.358722,8.662139,"","PRESENT"
"gbif170",-75.785389,9.777417,"","PRESENT"
"gbif171",-75.785389,9.777417,"","PRESENT"
"gbif172",-75.770639,10.174861,"","PRESENT"
"gbif173",-75.770639,10.174861,"","PRESENT"
"gbif174",-75.785389,9.777417,"","PRESENT"
"gbif175",-75.785389,9.777417,"","PRESENT"
"gbif176",-75.788861,10.170889,"","PRESENT"
"gbif177",-81.7258,12.5687,"","PRESENT"
"gbif178",-75.785556,9.779444,"","PRESENT"
"gbif179",-75.785556,9.779444,"","PRESENT"
"gbif180",-77.358667,8.670417,"","PRESENT"
