"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-157.807011,21.441149,"","PRESENT"
"gbif2",-157.80715,21.441019,"","PRESENT"
"gbif3",-157.807182,21.441319,"","PRESENT"
"gbif11",-178.309998,28.379999,"","PRESENT"
"gbif12",-166.300003,23.860001,"","PRESENT"
"gbif13",-174,26.030001,"","PRESENT"
"gbif14",-166.100006,23.639999,"","PRESENT"
"gbif15",-157.800003,21.43,"","PRESENT"
"gbif16",-166.300003,23.870001,"","PRESENT"
"gbif17",-166.169998,23.75,"","PRESENT"
"gbif18",-166.259995,23.77,"","PRESENT"
"gbif19",-166.25,23.66,"","PRESENT"
"gbif20",-156.800003,21.07,"","PRESENT"
"gbif21",-166.330002,23.860001,"","PRESENT"
"gbif22",-166.199997,23.709999,"","PRESENT"
"gbif23",-159.050003,21.57,"","PRESENT"
"gbif24",-166.220001,23.65,"","PRESENT"
"gbif25",-159.050003,21.57,"","PRESENT"
"gbif26",-166.110001,23.83,"","PRESENT"
"gbif27",-166.259995,23.77,"","PRESENT"
"gbif28",-177.363007,28.214001,"","PRESENT"
"gbif29",-170.582993,25.417,"","PRESENT"
"gbif30",-164.699997,23.57,"","PRESENT"
"gbif31",-157.880005,21.559999,"","PRESENT"
"gbif32",-166.259995,23.77,"","PRESENT"
"gbif33",-171.729996,25.77,"","PRESENT"
"gbif34",-166.210007,23.66,"","PRESENT"
"gbif35",-175.860001,27.790001,"","PRESENT"
"gbif36",-166.169998,23.75,"","PRESENT"
"gbif37",-166.289993,23.879999,"","PRESENT"
"gbif38",-166.179993,23.639999,"","PRESENT"
"gbif39",-166.199997,23.77,"","PRESENT"
"gbif40",-166.169998,23.65,"","PRESENT"
"gbif41",-161.970001,23.1,"","PRESENT"
"gbif44",-166.179993,23.65,"","PRESENT"
"gbif45",-157.809998,21.459999,"","PRESENT"
"gbif46",-177.363007,28.214001,"","PRESENT"
"gbif47",-166.259995,23.879999,"","PRESENT"
"gbif48",-166.179993,23.790001,"","PRESENT"
"gbif49",-167.919998,25,"","PRESENT"
"gbif50",-166.210007,23.780001,"","PRESENT"
"gbif51",-166.270004,23.84,"","PRESENT"
"gbif52",-166.160004,23.690001,"","PRESENT"
"gbif53",-166.289993,23.85,"","PRESENT"
"gbif54",-157.979996,21.370001,"","PRESENT"
"gbif55",-166.25,23.879999,"","PRESENT"
"gbif57",-159.050003,21.57,"","PRESENT"
"gbif58",-157.830002,21.27,"","PRESENT"
"gbif59",-157.800003,21.43,"","PRESENT"
"gbif60",-157.029999,21.08,"","PRESENT"
"gbif61",-166.169998,23.76,"","PRESENT"
"gbif62",-166.169998,23.73,"","PRESENT"
"gbif63",-166.309998,23.870001,"","PRESENT"
"gbif64",-166.169998,23.67,"","PRESENT"
"gbif65",-166.220001,23.790001,"","PRESENT"
"gbif66",-156.800003,21.07,"","PRESENT"
"gbif67",-157.880005,21.559999,"","PRESENT"
"gbif68",-156.800003,21.07,"","PRESENT"
"gbif69",-157.800003,21.43,"","PRESENT"
"gbif70",-162,23.1,"","PRESENT"
"gbif71",-157.880005,21.559999,"","PRESENT"
"gbif72",-156.800003,21.07,"","PRESENT"
"gbif73",-162,23.1,"","PRESENT"
"gbif74",-157.880005,21.559999,"","PRESENT"
"gbif75",-156.800003,21.07,"","PRESENT"
"gbif76",-157.800003,21.43,"","PRESENT"
"gbif77",-166.350006,23.76,"","PRESENT"
"gbif78",-157.800003,21.43,"","PRESENT"
"gbif79",-156.800003,21.07,"","PRESENT"
"gbif80",-156.800003,21.07,"","PRESENT"
"gbif81",-156.800003,21.07,"","PRESENT"
"gbif82",-157.029999,21.08,"","PRESENT"
"gbif83",-157.880005,21.559999,"","PRESENT"
"gbif84",-157.880005,21.559999,"","PRESENT"
"gbif85",-159.050003,21.57,"","PRESENT"
"gbif86",-155.913061,19.422927,"","PRESENT"
"gbif87",-178.33333,28.41667,"NATIVE","PRESENT"
"gbif88",-178.33333,28.41667,"NATIVE","PRESENT"
"gbif89",-156.693791,20.935855,"","PRESENT"
"gbif90",-154.818023,19.488891,"","PRESENT"
"gbif98",-158.113333,21.594445,"","PRESENT"
"gbif111",-158.113412,21.594455,"","PRESENT"
"gbif112",-156.667984,21.000608,"","PRESENT"
"gbif113",-166.347,23.7639,"","PRESENT"
"gbif114",-157.017,20.9972,"","PRESENT"
"gbif115",-157.017,20.9972,"","PRESENT"
"gbif116",-166.347,23.7639,"","PRESENT"
