"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-62.858039,-64.823937,"","PRESENT"
"gbif2",-62.529712,-64.843726,"","PRESENT"
"gbif3",-62.858126,-64.823626,"","PRESENT"
"gbif4",-59.912011,-62.588854,"","PRESENT"
"gbif5",-62.871583,-64.897475,"","PRESENT"
"gbif6",-64.258147,-65.245688,"","PRESENT"
"gbif7",-60.593827,-62.959041,"","PRESENT"
"gbif8",-60.607509,-62.649853,"","PRESENT"
"gbif9",-62.626468,-64.683336,"","PRESENT"
"gbif10",-62.85759,-64.82318,"","PRESENT"
"gbif11",-59.0647,-52.426932,"","PRESENT"
"gbif12",-67.374189,-54.904521,"","PRESENT"
"gbif13",-37.280928,-54.146289,"","PRESENT"
"gbif14",-55.491015,-61.479176,"","PRESENT"
"gbif15",-57.442377,-63.964297,"","PRESENT"
"gbif16",-63.494537,-64.824997,"","PRESENT"
"gbif17",-62.528428,-64.843658,"","PRESENT"
"gbif18",-64.037567,-65.067139,"","PRESENT"
"gbif19",-64.032875,-65.065658,"","PRESENT"
"gbif20",-58.941464,-62.209902,"","PRESENT"
"gbif21",-62.52889,-64.84055,"","PRESENT"
"gbif22",-62.866665,-64.88333,"","PRESENT"
"gbif23",-59.092155,-52.429127,"","PRESENT"
"gbif24",-59.092155,-52.429127,"","PRESENT"
"gbif25",-59.57756,-62.54323,"","PRESENT"
"gbif26",-37.25777,-54.028294,"","PRESENT"
"gbif27",-60.19203,-51.32735,"","PRESENT"
"gbif28",-36.80024,-54.13416,"","PRESENT"
"gbif29",-59.562115,-62.055588,"","PRESENT"
"gbif30",-57.723152,-51.682945,"","PRESENT"
"gbif31",-60.61,-62.65403,"","PRESENT"
"gbif32",-64.257774,-65.24556,"","PRESENT"
"gbif33",-58.04911,-51.37854,"","PRESENT"
"gbif34",-59.092155,-52.429127,"","PRESENT"
"gbif35",-35.81189,-54.785988,"","PRESENT"
"gbif36",-62.623055,-64.68389,"","PRESENT"
"gbif37",-36.290997,-54.29812,"","PRESENT"
"gbif38",-57.8084,-51.676403,"","PRESENT"
"gbif39",-57.83379,-51.47983,"","PRESENT"
"gbif40",-59.092155,-52.429127,"","PRESENT"
"gbif41",-54.531727,-63.32682,"","PRESENT"
"gbif42",-56.90547,-63.51858,"","PRESENT"
"gbif43",-57.78571,-51.673195,"","PRESENT"
"gbif44",-59.092155,-52.429127,"","PRESENT"
"gbif45",-35.81189,-54.785988,"","PRESENT"
"gbif46",-62.857224,-64.82389,"","PRESENT"
"gbif47",-61.769962,-48.68518,"","PRESENT"
"gbif48",51.861145,-46.425716,"","PRESENT"
"gbif49",-67.337944,-54.89802,"","PRESENT"
"gbif50",-60.538788,-51.29413,"","PRESENT"
"gbif51",-56.905,-63.52222,"","PRESENT"
"gbif52",-62.870277,-64.89555,"","PRESENT"
"gbif53",-62.870277,-64.89555,"","PRESENT"
"gbif54",-62.83496,-53.003967,"","PRESENT"
"gbif55",158.87329,-54.60389,"","PRESENT"
"gbif56",158.85146,-54.716316,"","PRESENT"
"gbif57",-57.723152,-51.682945,"","PRESENT"
"gbif58",-59.092155,-52.429127,"","PRESENT"
"gbif59",69.94778,-49.45733,"","PRESENT"
"gbif60",-54.798347,-61.043682,"","PRESENT"
"gbif61",-62.52889,-64.84055,"","PRESENT"
"gbif62",-60.95222,-63.85611,"","PRESENT"
"gbif63",-62.669575,-64.669426,"","PRESENT"
"gbif64",-60.538788,-51.29413,"","PRESENT"
"gbif65",-57.83379,-51.47983,"","PRESENT"
"gbif66",-62.870277,-64.89555,"","PRESENT"
"gbif67",-67.95044,-54.871864,"","PRESENT"
"gbif68",-35.94353,-54.623623,"","PRESENT"
"gbif69",-64.13676,-65.17486,"","PRESENT"
"gbif70",-59.064285,-52.410336,"","PRESENT"
"gbif71",-59.092155,-52.429127,"","PRESENT"
"gbif72",-62.878613,-64.854164,"","PRESENT"
"gbif73",-60.08966,-51.312675,"","PRESENT"
"gbif74",-62.878613,-64.854164,"","PRESENT"
"gbif75",-62.857224,-64.82389,"","PRESENT"
"gbif76",-37.41298,-53.991364,"","PRESENT"
"gbif77",-35.94353,-54.623623,"","PRESENT"
"gbif78",-58.93317,-62.21311,"","PRESENT"
"gbif79",-56.905,-63.52222,"","PRESENT"
"gbif80",-64.13676,-65.17486,"","PRESENT"
"gbif81",-57.723152,-51.682945,"","PRESENT"
"gbif82",-58.474304,-62.158768,"","PRESENT"
"gbif83",-36.030945,-54.80156,"","PRESENT"
"gbif84",-57.72131,-51.681988,"","PRESENT"
"gbif85",-36.580555,-54.197224,"","PRESENT"
"gbif86",-63.49389,-64.82528,"","PRESENT"
"gbif87",-67.95044,-54.871864,"","PRESENT"
"gbif88",-64.13676,-65.17486,"","PRESENT"
"gbif89",-62.877613,-64.535614,"","PRESENT"
"gbif90",-58.8667,-51.3333,"","PRESENT"
"gbif91",-37.25777,-54.028294,"","PRESENT"
"gbif92",-59.092155,-52.429127,"","PRESENT"
"gbif93",-62.601017,-64.7299,"","PRESENT"
"gbif94",-62.593838,-64.733955,"","PRESENT"
"gbif95",-60.2333,-51.30774,"","PRESENT"
"gbif96",-57.78571,-51.673195,"","PRESENT"
"gbif97",-37.967506,-54.02068,"","PRESENT"
"gbif98",-57.83379,-51.47983,"","PRESENT"
"gbif99",-68.22106,-54.865734,"","PRESENT"
"gbif100",-35.861614,-54.434303,"","PRESENT"
"gbif101",-54.644722,-63.424442,"","PRESENT"
"gbif102",-58.8667,-51.3333,"","PRESENT"
"gbif103",158.93813,-54.4989,"","PRESENT"
"gbif104",-61.761112,-64.501945,"","PRESENT"
"gbif105",-57.9336,-62.103886,"","PRESENT"
"gbif106",-57.801186,-51.687763,"","PRESENT"
"gbif107",-64.44361,-65.14614,"","PRESENT"
"gbif108",-59.092155,-52.429127,"","PRESENT"
"gbif109",-62.972572,-64.73123,"","PRESENT"
"gbif110",-65.02596,-54.875965,"","PRESENT"
"gbif111",-54.5842,-61.640396,"","PRESENT"
"gbif112",-60.533333,-62.898888,"","PRESENT"
"gbif113",-60.538788,-51.29413,"","PRESENT"
"gbif114",69.98574,-49.404083,"","PRESENT"
"gbif115",-36.75778,-54.155,"","PRESENT"
"gbif116",-63.509724,-64.815834,"","PRESENT"
"gbif117",-62.871002,-64.717026,"","PRESENT"
"gbif118",-57.83379,-51.47983,"","PRESENT"
"gbif119",-59.092155,-52.429127,"","PRESENT"
"gbif120",69.84986,-49.48619,"","PRESENT"
"gbif121",-67.95044,-54.871864,"","PRESENT"
"gbif122",-63.49389,-64.82528,"","PRESENT"
"gbif123",-57.83379,-51.47983,"","PRESENT"
