"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",119.95,-6.666667,"","PRESENT"
"gbif2",119.633333,-7.366667,"","PRESENT"
"gbif3",119.916667,-6.666667,"","PRESENT"
"gbif4",119.583333,-7.383333,"","PRESENT"
"gbif5",150.216667,-7.708333,"","PRESENT"
"gbif6",153.618333,-3.028333,"","PRESENT"
"gbif7",-5.84132,-15.9242,"","PRESENT"
"gbif8",-67.548,39.9783,"","PRESENT"
"gbif9",-67.4673,39.7397,"","PRESENT"
"gbif10",-67.6071,39.922,"","PRESENT"
"gbif11",-67.5528,39.9178,"","PRESENT"
"gbif12",-67.548,39.9783,"","PRESENT"
"gbif13",-67.6071,39.922,"","PRESENT"
"gbif14",-67.4571,40.0601,"","PRESENT"
"gbif15",-67.3492,40.0896,"","PRESENT"
"gbif16",-67.4321,39.785,"","PRESENT"
"gbif17",-67.3492,40.0896,"","PRESENT"
"gbif18",-67.3492,40.0896,"","PRESENT"
"gbif19",-67.4631,39.7854,"","PRESENT"
"gbif20",-67.4964,39.8069,"","PRESENT"
"gbif21",14.333333,-30,"","PRESENT"
"gbif22",18.916778,-35.500194,"","PRESENT"
"gbif23",17.95,-34.567,"","PRESENT"
"gbif24",-66.91733,39.807,"","PRESENT"
"gbif25",-67.41333,39.90367,"","PRESENT"
"gbif26",-66.91783,39.78817,"","PRESENT"
"gbif27",-67.956,40.09633,"","PRESENT"
"gbif28",-67.03617,39.86367,"","PRESENT"
"gbif29",-66.994,39.86817,"","PRESENT"
"gbif30",-67.61733,39.87783,"","PRESENT"
"gbif31",131.0565,-34.62215,"","PRESENT"
"gbif32",-67.407765,39.898525,"","PRESENT"
"gbif33",-67.407765,39.898525,"","PRESENT"
"gbif34",-58.7647,43.7319,"","PRESENT"
"gbif35",-67.407765,39.898525,"","PRESENT"
"gbif36",-67.407765,39.898525,"","PRESENT"
"gbif37",-59,43.3,"","PRESENT"
"gbif38",-58.7647,43.847,"","PRESENT"
"gbif39",178.9945,-35.0068,"","PRESENT"
"gbif40",-40.8161,48.3681,"","PRESENT"
"gbif41",-40.3031,47.4022,"","PRESENT"
"gbif42",-39.8956,46.7378,"","PRESENT"
"gbif43",-40.3031,47.4022,"","PRESENT"
"gbif44",-40.3031,47.4022,"","PRESENT"
"gbif45",-40.3031,47.4022,"","PRESENT"
"gbif46",-39.8994,46.7456,"","PRESENT"
"gbif47",-40.3014,48.7036,"","PRESENT"
"gbif48",-40.9644,46.3761,"","PRESENT"
"gbif49",-40.3014,48.7036,"","PRESENT"
"gbif50",-40.3014,48.7036,"","PRESENT"
"gbif51",-39.8994,46.7456,"","PRESENT"
"gbif52",-39.8994,46.7456,"","PRESENT"
"gbif53",-40.3042,47.3997,"","PRESENT"
"gbif54",-40.9644,46.3761,"","PRESENT"
"gbif55",-37.7064,47.8036,"","PRESENT"
"gbif56",-39.8994,46.7456,"","PRESENT"
"gbif57",-39.8956,46.7378,"","PRESENT"
"gbif58",-41.155,47.7547,"","PRESENT"
"gbif59",-38.3736,48.4339,"","PRESENT"
"gbif60",-39.8956,46.7378,"","PRESENT"
"gbif61",-39.8956,46.7378,"","PRESENT"
