"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-80.112371,26.066675,"","PRESENT"
"gbif2",-82.64335,28.836795,"","PRESENT"
"gbif3",-82.721481,27.628553,"","PRESENT"
"gbif4",-82.541123,27.328873,"","PRESENT"
"gbif5",-81.872855,26.385894,"","PRESENT"
"gbif6",-81.873547,26.385558,"","PRESENT"
"gbif7",-80.720369,28.472382,"","PRESENT"
"gbif8",-80.978805,24.74958,"","PRESENT"
"gbif9",-81.565094,25.979713,"","PRESENT"
"gbif10",-82.64305,28.8366,"","PRESENT"
"gbif11",-80.687659,28.375987,"","PRESENT"
"gbif12",-82.64335,28.836795,"","PRESENT"
"gbif13",-82.603231,27.849369,"","PRESENT"
"gbif15",-82.601237,27.847757,"","PRESENT"
"gbif16",-80.154227,25.702159,"","PRESENT"
"gbif17",-80.978805,24.74958,"","PRESENT"
"gbif18",-80.111488,26.068885,"","PRESENT"
"gbif19",-80.978805,24.74958,"","PRESENT"
"gbif20",9.9068,-0.11845,"","PRESENT"
"gbif21",-112.10479,25.812496,"","PRESENT"
"gbif22",-81.827983,26.281689,"","PRESENT"
"gbif23",-80.814252,24.827355,"","PRESENT"
"gbif24",-81.708869,26.0245,"","PRESENT"
"gbif25",-80.697414,24.882754,"","PRESENT"
"gbif26",-80.898209,25.182557,"","PRESENT"
"gbif27",-80.175969,25.789674,"","PRESENT"
"gbif28",-82.685417,27.990325,"","PRESENT"
"gbif29",-80.261275,25.674944,"","PRESENT"
"gbif30",-80.261275,25.674944,"","PRESENT"
"gbif31",-82.451937,27.074882,"","PRESENT"
"gbif32",-80.133746,25.917327,"","PRESENT"
"gbif33",-88.285249,18.496376,"","PRESENT"
"gbif34",-82.792313,27.794453,"","PRESENT"
"gbif35",-78.400658,26.60536,"","PRESENT"
"gbif36",-80.07033,26.365041,"","PRESENT"
"gbif37",-80.135388,25.925889,"","PRESENT"
"gbif38",-81.8167,26.19116,"","PRESENT"
"gbif39",-80.916007,29.063164,"","PRESENT"
"gbif40",-80.261275,25.674944,"","PRESENT"
"gbif41",-65.62635,18.378062,"","PRESENT"
"gbif42",-82.504843,27.228416,"","PRESENT"
"gbif43",-80.132973,25.917539,"","PRESENT"
"gbif44",-83.325146,8.722763,"","PRESENT"
"gbif45",-75.519844,10.442569,"","PRESENT"
"gbif46",-80.229172,25.734088,"","PRESENT"
"gbif47",-96.126891,19.115877,"","PRESENT"
"gbif48",-82.641395,27.52445,"","PRESENT"
"gbif49",-81.320275,19.286278,"","PRESENT"
"gbif50",-34.881389,-8.054444,"","PRESENT"
"gbif51",-47.8481,-0.7289,"","PRESENT"
"gbif52",-65.619594,18.377647,"","PRESENT"
"gbif53",-80.121353,26.035858,"","PRESENT"
"gbif55",-81.871942,26.392797,"","PRESENT"
"gbif56",-86.899863,20.845597,"","PRESENT"
"gbif57",-82.351293,26.909248,"","PRESENT"
"gbif58",-80.129289,25.775837,"","PRESENT"
"gbif59",-82.469723,27.171077,"","PRESENT"
"gbif60",-82.010856,26.490592,"","PRESENT"
"gbif62",-80.850994,25.213334,"","PRESENT"
"gbif63",-65.569017,18.114192,"","PRESENT"
"gbif64",-80.802971,28.898751,"","PRESENT"
"gbif65",-64.686673,32.370335,"","PRESENT"
"gbif66",-80.873291,25.186972,"","PRESENT"
"gbif67",-110.567003,24.885001,"","PRESENT"
"gbif69",-84.973863,9.938712,"","PRESENT"
"gbif71",-82.541981,27.323694,"","PRESENT"
"gbif72",-48.000747,-25.213663,"","PRESENT"
"gbif73",-82.847437,27.892697,"","PRESENT"
"gbif74",-82.54007,27.328014,"","PRESENT"
"gbif75",-82.292151,27.043874,"","PRESENT"
"gbif76",-80.333472,25.463462,"","PRESENT"
"gbif77",-105.438883,20.872229,"","PRESENT"
"gbif78",-81.827477,26.273489,"","PRESENT"
"gbif79",-82.641591,27.525004,"","PRESENT"
