"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-52.45,6.8,NA,"PRESENT"
"gbif2",-54.216667,7.75,NA,"PRESENT"
"gbif3",-54.05,7.85,NA,"PRESENT"
"gbif4",-54.25,7.733333,NA,"PRESENT"
"gbif5",-58.882222,47.163333,NA,"PRESENT"
"gbif6",-63.030833,42.705833,NA,"PRESENT"
"gbif7",-61.634333,42.943667,NA,"PRESENT"
"gbif8",-57.305,44.996667,NA,"PRESENT"
"gbif9",-61.986667,42.845,NA,"PRESENT"
"gbif10",-62.7815,42.723,NA,"PRESENT"
"gbif11",-63.879167,42.547667,NA,"PRESENT"
"gbif12",-62.0905,42.910667,NA,"PRESENT"
"gbif13",-61.847,42.9915,NA,"PRESENT"
"gbif14",-61.561833,42.8725,NA,"PRESENT"
"gbif15",-63.918667,42.7305,NA,"PRESENT"
"gbif16",-62.11,42.965,NA,"PRESENT"
"gbif17",-9.41667,39.58833,NA,"PRESENT"
"gbif18",-9.25833,41.24833,NA,"PRESENT"
"gbif19",-8.9167,38,NA,"PRESENT"
"gbif20",-8.9167,38,NA,"PRESENT"
"gbif21",-9,38,NA,"PRESENT"
"gbif22",-8.5833,36.77,NA,"PRESENT"
"gbif23",-8.5833,36.92,NA,"PRESENT"
"gbif24",-9,38,NA,"PRESENT"
"gbif25",-8.5833,36.83,NA,"PRESENT"
"gbif26",-9.25,40.08,NA,"PRESENT"
"gbif27",-9,38,NA,"PRESENT"
"gbif28",-8.5833,37,NA,"PRESENT"
"gbif29",-8.5833,36.83,NA,"PRESENT"
"gbif30",-7.9333,36.87,NA,"PRESENT"
"gbif31",-9.25,40.08,NA,"PRESENT"
"gbif32",-9,38,NA,"PRESENT"
"gbif33",-9,41.08,NA,"PRESENT"
"gbif34",-7.6,36.83,NA,"PRESENT"
"gbif35",-8.583,37,NA,"PRESENT"
"gbif36",-9.0833,41.08,NA,"PRESENT"
"gbif37",-9.25,41.08,NA,"PRESENT"
"gbif38",-8.917,38,NA,"PRESENT"
"gbif39",-9.25,41.08,NA,"PRESENT"
"gbif40",-7.9833,36.8,NA,"PRESENT"
"gbif41",-7.8167,36.8,NA,"PRESENT"
"gbif42",-9.25,41.08,NA,"PRESENT"
"gbif43",-7.8167,36.88,NA,"PRESENT"
"gbif44",-8.05,36.53,NA,"PRESENT"
"gbif45",-9,40.08,NA,"PRESENT"
"gbif46",-9,38,NA,"PRESENT"
"gbif47",-9,38,NA,"PRESENT"
"gbif48",-8.5833,37,NA,"PRESENT"
"gbif49",-9.4167,40.08,NA,"PRESENT"
"gbif50",-9.0833,38,NA,"PRESENT"
"gbif51",-9.0833,38,NA,"PRESENT"
"gbif52",-8.5833,36.83,NA,"PRESENT"
"gbif53",-8.2833,36.8,NA,"PRESENT"
"gbif54",-8.9167,38,NA,"PRESENT"
"gbif55",-9.0833,38,NA,"PRESENT"
"gbif56",-8.45,36.77,NA,"PRESENT"
"gbif57",-9.0833,38,NA,"PRESENT"
"gbif58",-9.5833,40.08,NA,"PRESENT"
"gbif59",-9.4167,40.08,NA,"PRESENT"
"gbif60",-7.8167,36.92,NA,"PRESENT"
"gbif61",-9.0833,41.08,NA,"PRESENT"
"gbif62",-7.9,36.67,NA,"PRESENT"
"gbif63",-7.6,36.83,NA,"PRESENT"
"gbif64",-9.25,41.08,NA,"PRESENT"
"gbif65",-8.583,36.83,NA,"PRESENT"
"gbif66",-9,38,NA,"PRESENT"
"gbif67",-8.917,38,NA,"PRESENT"
"gbif68",-9.25,41.08,NA,"PRESENT"
"gbif69",-9.417,40.08,NA,"PRESENT"
"gbif70",-8.583,36.92,NA,"PRESENT"
"gbif71",-8.05,36.7,NA,"PRESENT"
"gbif72",-8.0167,36.67,NA,"PRESENT"
"gbif73",-7.8,36.9,NA,"PRESENT"
"gbif74",-8.05,36.62,NA,"PRESENT"
"gbif75",-9.0833,41.08,NA,"PRESENT"
"gbif76",-9.083,41.08,NA,"PRESENT"
"gbif77",13.11667,-10.75,NA,"PRESENT"
"gbif78",13.11667,-10.75,NA,"PRESENT"
"gbif79",-8.03,36.6,NA,"PRESENT"
