"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif7",126.926722,33.45275,NA,"PRESENT"
"gbif8",126.926722,33.45275,NA,"PRESENT"
"gbif9",127.459556,34.525111,NA,"PRESENT"
"gbif10",127.46525,34.511944,NA,"PRESENT"
"gbif11",126.275944,34.395972,NA,"PRESENT"
"gbif12",126.275944,34.395972,NA,"PRESENT"
"gbif13",126.294769,33.963408,NA,"PRESENT"
"gbif84",128.992222,37.731944,NA,"PRESENT"
"gbif85",128.992222,37.731944,NA,"PRESENT"
"gbif86",128.514806,38.353444,NA,"PRESENT"
"gbif87",129.53605,37.942725,NA,"PRESENT"
"gbif88",128.514806,38.353444,NA,"PRESENT"
"gbif89",128.992222,37.731944,NA,"PRESENT"
"gbif90",128.992222,37.731944,NA,"PRESENT"
"gbif91",128.992222,37.731944,NA,"PRESENT"
"gbif92",128.514806,38.353444,NA,"PRESENT"
"gbif93",126.275483,34.395944,NA,"PRESENT"
"gbif94",126.146,36.804222,NA,"PRESENT"
"gbif95",129.530861,35.856806,NA,"PRESENT"
"gbif96",126.146,36.804222,NA,"PRESENT"
"gbif97",126.275483,34.395944,NA,"PRESENT"
"gbif98",129.530861,35.856806,NA,"PRESENT"
"gbif99",128.422317,34.7644,NA,"PRESENT"
"gbif100",128.152617,34.906867,NA,"PRESENT"
"gbif101",128.152617,34.906867,NA,"PRESENT"
"gbif102",128.152617,34.906867,NA,"PRESENT"
"gbif103",128.422317,34.7644,NA,"PRESENT"
"gbif104",129.360917,35.360528,NA,"PRESENT"
"gbif105",129.53605,37.942725,NA,"PRESENT"
"gbif106",128.422317,34.7644,NA,"PRESENT"
"gbif107",129.360917,35.360528,NA,"PRESENT"
"gbif108",129.53605,37.942725,NA,"PRESENT"
"gbif109",129.360917,35.360528,NA,"PRESENT"
"gbif110",129.360917,35.360528,NA,"PRESENT"
"gbif111",129.53605,37.942725,NA,"PRESENT"
"gbif112",129.53605,37.942725,NA,"PRESENT"
"gbif113",129.454578,35.567256,NA,"PRESENT"
"gbif114",129.525486,35.934211,NA,"PRESENT"
"gbif115",129.525486,35.934211,NA,"PRESENT"
"gbif116",129.454578,35.567256,NA,"PRESENT"
"gbif117",129.454578,35.567256,NA,"PRESENT"
"gbif118",129.525486,35.934211,NA,"PRESENT"
"gbif119",129.397617,36.171658,NA,"PRESENT"
"gbif120",128.991086,37.734278,NA,"PRESENT"
"gbif121",129.397617,36.171658,NA,"PRESENT"
"gbif122",129.237456,35.258497,NA,"PRESENT"
"gbif123",129.397617,36.171658,NA,"PRESENT"
"gbif124",128.991086,37.734278,NA,"PRESENT"
"gbif125",128.991086,37.734278,NA,"PRESENT"
