"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",8.362005,56.961678,"","PRESENT"
"gbif2",-63.773611,46.135278,"","PRESENT"
"gbif3",-63.773889,46.135556,"","PRESENT"
"gbif4",-63.773611,46.135278,"","PRESENT"
"gbif5",8.052337,58.060008,"","PRESENT"
"gbif6",8.026842,58.096364,"","PRESENT"
"gbif7",5.621998,59.424373,"","PRESENT"
"gbif8",9.84947,63.882991,"","PRESENT"
"gbif9",7.489785,57.966359,"","PRESENT"
"gbif10",9.743469,63.646212,"","PRESENT"
"gbif11",7.490871,57.965464,"","PRESENT"
"gbif12",7.490871,57.965464,"","PRESENT"
"gbif13",20.644597,69.515272,"","PRESENT"
"gbif14",5.508469,59.271343,"","PRESENT"
"gbif15",-9.644751,53.800207,"","PRESENT"
"gbif16",-69.095355,44.03807,"","PRESENT"
"gbif17",11.872338,55.982233,"","PRESENT"
"gbif18",-65.764651,47.883935,"","PRESENT"
"gbif19",-63.777538,46.134552,"","PRESENT"
"gbif20",-63.773611,46.135278,"","PRESENT"
"gbif21",-63.777363,46.133293,"","PRESENT"
"gbif22",-9.673813,53.832479,"","PRESENT"
"gbif23",-64.473372,47.859112,"","PRESENT"
"gbif24",-69.868188,41.668762,"","PRESENT"
"gbif25",15.731216,68.089292,"","PRESENT"
"gbif26",10.493149,59.806994,"","PRESENT"
"gbif27",5.810213,62.195355,"","PRESENT"
"gbif28",8.068066,58.183451,"","PRESENT"
"gbif29",9.260193,58.718084,"","PRESENT"
"gbif30",8.109981,58.095367,"","PRESENT"
"gbif31",20.686943,69.511688,"","PRESENT"
"gbif32",-8.783336,42.392464,"","PRESENT"
"gbif33",8.227984,56.784286,"","PRESENT"
"gbif34",11.078041,59.084258,"","PRESENT"
"gbif35",8.344334,58.217619,"","PRESENT"
"gbif36",11.076299,59.085547,"","PRESENT"
"gbif37",9.060165,58.726265,"","PRESENT"
"gbif38",7.983454,58.099588,"","PRESENT"
"gbif39",9.092226,58.69045,"","PRESENT"
"gbif40",6.559283,58.234851,"","PRESENT"
"gbif41",-9.314235,38.681121,"","PRESENT"
"gbif42",11.172939,58.820118,"","PRESENT"
"gbif43",6.766838,62.806579,"","PRESENT"
"gbif44",7.707716,63.065611,"","PRESENT"
"gbif45",10.226861,59.119042,"","PRESENT"
"gbif46",8.18615,62.911458,"","PRESENT"
"gbif47",-64.261389,46.235833,"","PRESENT"
"gbif48",-63.774167,46.135556,"","PRESENT"
"gbif49",18.690862,42.461007,"","PRESENT"
"gbif50",9.208585,58.748097,"","PRESENT"
"gbif51",-68.303027,44.299442,"","PRESENT"
"gbif52",10.619113,56.226423,"","PRESENT"
"gbif53",6.582082,62.498879,"","PRESENT"
"gbif54",12.176197,65.436835,"","PRESENT"
"gbif55",5.31729,59.199905,"","PRESENT"
"gbif56",-70.444891,42.568037,"","PRESENT"
"gbif57",10.712446,59.800316,"","PRESENT"
"gbif58",5.433271,58.871338,"","PRESENT"
"gbif59",5.517461,58.90899,"","PRESENT"
"gbif60",10.536547,59.229565,"","PRESENT"
"gbif61",5.421288,59.625366,"","PRESENT"
"gbif62",12.634607,66.347423,"","PRESENT"
"gbif63",-1.14949,44.67529,"","PRESENT"
"gbif64",-1.63694,48.6612,"","PRESENT"
"gbif65",9.258792,58.712328,"","PRESENT"
"gbif66",10.602734,59.658949,"","PRESENT"
"gbif67",5.714372,59.415548,"","PRESENT"
"gbif68",6.64456,58.270084,"","PRESENT"
"gbif69",10.682999,59.85658,"","PRESENT"
"gbif70",9.238346,58.699552,"","PRESENT"
"gbif71",5.786884,58.506019,"","PRESENT"
"gbif72",-70.541331,43.333543,"","PRESENT"
"gbif73",-61.50652,47.55918,"","PRESENT"
"gbif74",-66.51431,50.23378,"","PRESENT"
"gbif75",-68.279069,48.589744,"","PRESENT"
"gbif76",-68.279069,48.589744,"","PRESENT"
"gbif77",-66.51431,50.23378,"","PRESENT"
"gbif78",-68.666009,48.831782,"","PRESENT"
"gbif79",-68.279069,48.589744,"","PRESENT"
"gbif80",-68.279069,48.589744,"","PRESENT"
"gbif81",-68.279069,48.589744,"","PRESENT"
"gbif82",-68.279069,48.589744,"","PRESENT"
"gbif83",-68.279069,48.589744,"","PRESENT"
"gbif84",-68.279069,48.589744,"","PRESENT"
"gbif85",-64.65,47.716667,"","PRESENT"
"gbif86",-64.001111,47.668056,"","PRESENT"
"gbif87",-64.001111,47.668056,"","PRESENT"
"gbif88",-63.838889,47.833333,"","PRESENT"
"gbif89",-64.1625,47.7475,"","PRESENT"
"gbif90",-64.328333,47.751389,"","PRESENT"
"gbif91",-64.328333,47.751389,"","PRESENT"
"gbif92",-64.168333,47.831111,"","PRESENT"
"gbif93",-63.838889,47.833333,"","PRESENT"
"gbif94",-63.838889,47.833333,"","PRESENT"
"gbif95",-63.49,47.780556,"","PRESENT"
"gbif96",-63.476944,47.7975,"","PRESENT"
"gbif97",-63.476944,47.7975,"","PRESENT"
"gbif98",-63.4975,47.82,"","PRESENT"
"gbif99",-59.505,48.173333,"","PRESENT"
"gbif100",-64.65,47.716667,"","PRESENT"
"gbif101",-68.433333,63.666667,"","PRESENT"
"gbif102",-65.75,48,"","PRESENT"
"gbif103",-64.1625,47.7475,"","PRESENT"
"gbif104",-68.19139,49.09917,"","PRESENT"
"gbif105",-64.72,47.78,"","PRESENT"
"gbif106",-64.72,47.78,"","PRESENT"
"gbif107",-64.72,47.78,"","PRESENT"
"gbif108",-70.783982,42.705097,"","PRESENT"
"gbif109",-66.982903,44.905754,"","PRESENT"
"gbif110",-5.420128,56.482416,"","PRESENT"
"gbif111",-5.773494,53.790603,"","PRESENT"
"gbif112",-5.940093,53.888797,"","PRESENT"
"gbif113",-3.635605,54.061497,"","PRESENT"
"gbif114",-5.936993,53.889996,"","PRESENT"
"gbif115",-4.257206,54.608297,"","PRESENT"
"gbif116",-4.663896,53.7544,"","PRESENT"
"gbif117",-5.763307,53.377498,"","PRESENT"
"gbif118",-5.021699,54.1282,"","PRESENT"
"gbif119",-5.765596,53.384001,"","PRESENT"
"gbif120",-4.154996,54.627499,"","PRESENT"
"gbif121",-4.2435,53.514997,"","PRESENT"
"gbif122",-5.775799,52.595699,"","PRESENT"
"gbif123",-6.066797,53.832,"","PRESENT"
"gbif124",-5.816995,52.718302,"","PRESENT"
"gbif125",-5.683796,54.192097,"","PRESENT"
"gbif126",-4.226295,54.611099,"","PRESENT"
"gbif127",-6.039502,52.559998,"","PRESENT"
"gbif128",-4.988094,53.997299,"","PRESENT"
"gbif129",-4.991502,54.006304,"","PRESENT"
"gbif130",-5.292301,54.361604,"","PRESENT"
"gbif131",-5.043107,54.107403,"","PRESENT"
"gbif132",-3.938795,54.630597,"","PRESENT"
"gbif133",-4.971297,53.851596,"","PRESENT"
"gbif134",-3.838595,53.918803,"","PRESENT"
"gbif135",-5.992799,53.713999,"","PRESENT"
"gbif136",-4.267601,52.307099,"","PRESENT"
"gbif137",-4.704806,53.833098,"","PRESENT"
"gbif138",-5.138003,53.826802,"","PRESENT"
"gbif139",-6.065504,53.839204,"","PRESENT"
"gbif140",-4.127899,53.794703,"","PRESENT"
"gbif141",-5.809802,53.480804,"","PRESENT"
"gbif142",-3.708607,53.779497,"","PRESENT"
"gbif143",-5.418102,53.558797,"","PRESENT"
"gbif144",-5.872997,52.362301,"","PRESENT"
"gbif145",-4.505797,52.717101,"","PRESENT"
"gbif146",-5.754305,53.971799,"","PRESENT"
"gbif147",-5.033396,54.112503,"","PRESENT"
"gbif148",-5.749997,54.020597,"","PRESENT"
"gbif149",-5.065994,54.091599,"","PRESENT"
"gbif150",-5.680302,54.1792,"","PRESENT"
"gbif151",-5.341005,53.762602,"","PRESENT"
"gbif152",-5.989801,53.704601,"","PRESENT"
"gbif153",-6.088293,53.847999,"","PRESENT"
"gbif154",-5.512297,54.1297,"","PRESENT"
"gbif155",-4.503606,52.716599,"","PRESENT"
"gbif156",-5.841905,53.678601,"","PRESENT"
"gbif157",-5.692093,53.982803,"","PRESENT"
"gbif158",-5.020505,54.126297,"","PRESENT"
"gbif159",-4.183401,53.820504,"","PRESENT"
"gbif160",-4.031004,54.094302,"","PRESENT"
"gbif161",-5.407295,53.580302,"","PRESENT"
"gbif162",-5.401493,53.588399,"","PRESENT"
"gbif163",-4.490007,53.989103,"","PRESENT"
"gbif164",-3.9288,54.3341,"","PRESENT"
"gbif165",-6.063599,53.847004,"","PRESENT"
"gbif166",-5.530798,54.116802,"","PRESENT"
"gbif167",-3.841306,53.950296,"","PRESENT"
"gbif168",-5.023294,54.1213,"","PRESENT"
"gbif169",-5.673002,53.500697,"","PRESENT"
"gbif170",-5.524099,54.122997,"","PRESENT"
"gbif171",-3.707307,54.269297,"","PRESENT"
"gbif172",-4.695807,53.837103,"","PRESENT"
"gbif173",-5.552097,53.242598,"","PRESENT"
"gbif174",-5.617002,54.727804,"","PRESENT"
"gbif175",-6.037802,52.564303,"","PRESENT"
"gbif176",-5.297196,54.371199,"","PRESENT"
"gbif177",-5.556297,54.1023,"","PRESENT"
"gbif178",-5.769905,53.827096,"","PRESENT"
"gbif179",-5.229601,53.196403,"","PRESENT"
"gbif180",-5.947307,53.619601,"","PRESENT"
"gbif181",-4.2688,52.3073,"","PRESENT"
"gbif182",-4.658702,53.161899,"","PRESENT"
"gbif183",-5.682797,53.618896,"","PRESENT"
"gbif184",-5.058307,53.702302,"","PRESENT"
"gbif185",-5.102794,53.8723,"","PRESENT"
"gbif186",-5.766405,52.856904,"","PRESENT"
"gbif187",-5.293095,54.357104,"","PRESENT"
"gbif188",-6.004603,53.733204,"","PRESENT"
"gbif189",-5.892496,53.896801,"","PRESENT"
"gbif190",-5.686796,53.997103,"","PRESENT"
"gbif191",-5.635802,53.496799,"","PRESENT"
"gbif192",-3.576198,54.153002,"","PRESENT"
"gbif193",-5.954095,53.885998,"","PRESENT"
"gbif194",-4.987597,53.890601,"","PRESENT"
"gbif195",-5.762603,53.380597,"","PRESENT"
"gbif196",-3.709098,54.275096,"","PRESENT"
"gbif197",-4.984496,53.865898,"","PRESENT"
"gbif198",-6.067597,53.845096,"","PRESENT"
"gbif199",-5.022398,54.127697,"","PRESENT"
"gbif200",-4.684096,53.782099,"","PRESENT"
"gbif201",-5.298805,54.385299,"","PRESENT"
"gbif202",-4.729001,53.815997,"","PRESENT"
"gbif203",-3.722807,54.296302,"","PRESENT"
"gbif204",-5.999107,53.221999,"","PRESENT"
"gbif205",-5.682103,53.985097,"","PRESENT"
"gbif206",-3.749306,54.392798,"","PRESENT"
"gbif207",-3.759799,54.418802,"","PRESENT"
"gbif208",-4.911003,54.316098,"","PRESENT"
"gbif209",-5.759595,53.374297,"","PRESENT"
"gbif210",-3.841704,53.950002,"","PRESENT"
"gbif211",-5.884993,53.574,"","PRESENT"
"gbif212",-5.324907,54.131295,"","PRESENT"
"gbif213",-4.482497,53.989798,"","PRESENT"
"gbif214",-5.845005,53.7023,"","PRESENT"
"gbif215",-6.099898,52.627098,"","PRESENT"
"gbif216",-3.930807,54.633997,"","PRESENT"
"gbif217",-5.447294,54.618799,"","PRESENT"
"gbif218",-5.387202,54.251501,"","PRESENT"
"gbif219",-5.859697,53.191397,"","PRESENT"
"gbif220",-4.261299,52.3098,"","PRESENT"
"gbif221",-5.950494,53.8893,"","PRESENT"
"gbif222",-6.035493,52.570499,"","PRESENT"
"gbif223",-5.862101,53.198802,"","PRESENT"
"gbif224",-5.749597,54.013604,"","PRESENT"
"gbif225",-5.539007,54.111102,"","PRESENT"
"gbif226",-3.734594,53.484299,"","PRESENT"
"gbif227",-6.004002,53.680003,"","PRESENT"
"gbif228",-5.6844,54.178904,"","PRESENT"
"gbif229",-5.842097,53.695504,"","PRESENT"
"gbif230",-3.882798,54.317002,"","PRESENT"
"gbif231",-5.770604,53.832002,"","PRESENT"
"gbif232",-4.960103,53.969301,"","PRESENT"
"gbif233",-5.839302,53.679296,"","PRESENT"
"gbif234",-3.833493,53.474498,"","PRESENT"
"gbif235",-5.414595,53.580499,"","PRESENT"
"gbif236",-5.839299,53.676103,"","PRESENT"
"gbif237",-5.138004,53.826604,"","PRESENT"
"gbif238",-5.831806,53.522301,"","PRESENT"
"gbif239",-3.743798,53.481999,"","PRESENT"
"gbif240",-3.752903,54.6044,"","PRESENT"
"gbif241",-5.528094,54.120101,"","PRESENT"
"gbif242",-5.013505,53.882796,"","PRESENT"
"gbif243",-5.785494,53.4102,"","PRESENT"
"gbif244",-3.970601,54.623199,"","PRESENT"
"gbif245",-5.108205,53.863402,"","PRESENT"
"gbif246",-4.216004,54.613804,"","PRESENT"
"gbif247",-5.6703,53.502597,"","PRESENT"
"gbif248",-4.976502,53.865997,"","PRESENT"
"gbif249",-4.931006,52.332796,"","PRESENT"
"gbif250",-5.819999,52.7076,"","PRESENT"
"gbif251",-3.599098,53.644697,"","PRESENT"
"gbif252",-5.023497,54.124298,"","PRESENT"
"gbif253",-5.504005,54.136497,"","PRESENT"
"gbif254",-5.406102,53.583502,"","PRESENT"
"gbif255",-5.795596,53.421698,"","PRESENT"
"gbif256",-4.930697,54.351701,"","PRESENT"
"gbif257",-5.824006,53.513296,"","PRESENT"
"gbif258",-5.830092,53.506499,"","PRESENT"
"gbif259",-3.716002,53.781099,"","PRESENT"
"gbif260",-6.0986,52.634403,"","PRESENT"
"gbif261",-5.765307,53.832097,"","PRESENT"
"gbif262",-4.278704,52.3022,"","PRESENT"
"gbif263",-5.223805,53.225301,"","PRESENT"
"gbif264",-5.933995,53.8871,"","PRESENT"
"gbif265",-4.956006,54.197104,"","PRESENT"
"gbif266",-5.331308,53.783304,"","PRESENT"
"gbif267",-6.031703,53.817302,"","PRESENT"
"gbif268",-5.103299,53.680697,"","PRESENT"
"gbif269",-5.674595,54.719496,"","PRESENT"
"gbif270",-5.525903,54.122602,"","PRESENT"
"gbif271",-4.722205,53.821303,"","PRESENT"
"gbif272",-4.272805,52.305596,"","PRESENT"
"gbif273",-5.961105,53.887196,"","PRESENT"
"gbif274",-3.770007,54.574697,"","PRESENT"
"gbif275",-3.608007,53.637503,"","PRESENT"
"gbif276",-3.742306,54.386104,"","PRESENT"
"gbif277",-5.961997,53.885197,"","PRESENT"
"gbif278",-3.623903,53.622897,"","PRESENT"
"gbif279",-3.947494,54.628804,"","PRESENT"
"gbif280",-5.841004,53.690502,"","PRESENT"
"gbif281",-5.689603,53.974498,"","PRESENT"
"gbif282",-5.827594,53.5156,"","PRESENT"
"gbif283",-3.789006,53.478301,"","PRESENT"
"gbif284",-5.227992,53.201096,"","PRESENT"
"gbif285",-3.991501,54.616304,"","PRESENT"
