"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-122.477487,37.831853,"","PRESENT"
"gbif2",-122.394487,37.18232,"","PRESENT"
"gbif3",-119.268647,34.247953,"","PRESENT"
"gbif4",-122.511143,37.597885,"","PRESENT"
"gbif5",-119.26442,34.247525,"","PRESENT"
"gbif6",-119.26435,34.247508,"","PRESENT"
"gbif7",-124.066239,40.023608,"","PRESENT"
"gbif8",-119.264337,34.247525,"","PRESENT"
"gbif9",-122.001694,36.963558,"","PRESENT"
"gbif10",-122.001672,36.96357,"","PRESENT"
"gbif11",-122.001075,36.964263,"","PRESENT"
"gbif12",-122.001311,36.963763,"","PRESENT"
"gbif13",-119.264375,34.247475,"","PRESENT"
"gbif14",-122.001175,36.963875,"","PRESENT"
"gbif15",-122.001236,36.963947,"","PRESENT"
"gbif16",-122.00125,36.963828,"","PRESENT"
"gbif17",-122.002014,36.964175,"","PRESENT"
"gbif18",-122.001197,36.963633,"","PRESENT"
"gbif19",-122.001306,36.963775,"","PRESENT"
"gbif20",-122.001267,36.963853,"","PRESENT"
"gbif21",-122.001,36.963867,"","PRESENT"
"gbif22",-123.052778,38.305822,"","PRESENT"
"gbif23",-122.000847,36.964092,"","PRESENT"
"gbif24",-122.001206,36.963787,"","PRESENT"
"gbif25",-118.320778,33.355766,"","PRESENT"
"gbif26",-118.128511,33.583511,"","PRESENT"
"gbif27",-122.001617,36.963708,"","PRESENT"
"gbif28",-122.001672,36.963608,"","PRESENT"
"gbif29",-122.001581,36.963608,"","PRESENT"
"gbif30",-119.268562,34.248025,"","PRESENT"
"gbif31",-119.268547,34.248028,"","PRESENT"
"gbif32",-119.268495,34.24805,"","PRESENT"
"gbif33",-122.001808,36.963295,"","PRESENT"
"gbif34",-119.280237,34.264125,"","PRESENT"
"gbif35",-122.001717,36.96325,"","PRESENT"
"gbif36",-122.001839,36.963292,"","PRESENT"
"gbif37",-122.001197,36.96403,"","PRESENT"
"gbif38",-122.001228,36.964078,"","PRESENT"
"gbif39",-122.001031,36.963833,"","PRESENT"
"gbif40",-122.001442,36.964092,"","PRESENT"
"gbif41",-122.001289,36.964022,"","PRESENT"
"gbif42",-122.001236,36.96425,"","PRESENT"
"gbif43",-119.277296,34.260289,"","PRESENT"
"gbif44",-122.035069,36.951969,"","PRESENT"
"gbif45",-122.035286,36.952021,"","PRESENT"
"gbif46",-122.03521,36.952009,"","PRESENT"
"gbif47",-122.001533,36.963663,"","PRESENT"
"gbif48",-122.025556,36.959196,"","PRESENT"
"gbif49",-122.035362,36.952018,"","PRESENT"
"gbif50",-122.025547,36.958765,"","PRESENT"
"gbif51",-122.001617,36.96357,"","PRESENT"
"gbif52",-122.001281,36.963678,"","PRESENT"
"gbif53",-122.02551,36.959319,"","PRESENT"
"gbif54",-122.001586,36.963651,"","PRESENT"
"gbif55",-122.002844,36.966542,"","PRESENT"
"gbif56",-122.001715,36.963579,"","PRESENT"
"gbif57",-122.001617,36.964875,"","PRESENT"
"gbif58",-122.001411,36.96457,"","PRESENT"
"gbif59",-122.001717,36.963413,"","PRESENT"
"gbif60",-122.025651,36.95881,"","PRESENT"
"gbif61",-122.447022,37.484497,"","PRESENT"
"gbif62",-122.002258,36.965245,"","PRESENT"
"gbif63",-122.025724,36.959049,"","PRESENT"
"gbif64",-119.268658,34.247963,"","PRESENT"
"gbif65",-122.001275,36.963505,"","PRESENT"
"gbif66",-122.001008,36.964428,"","PRESENT"
"gbif67",-122.001694,36.96402,"","PRESENT"
"gbif68",-122.001817,36.964775,"","PRESENT"
"gbif69",-119.268708,34.24765,"","PRESENT"
"gbif70",-119.268899,34.248034,"","PRESENT"
"gbif71",-122.001633,36.963592,"","PRESENT"
"gbif72",-122.000939,36.964212,"","PRESENT"
"gbif73",-122.001533,36.963517,"","PRESENT"
"gbif74",-119.268859,34.248172,"","PRESENT"
"gbif75",-122.001761,36.965053,"","PRESENT"
"gbif76",-122.485383,37.502442,"","PRESENT"
"gbif77",-121.9459,36.5602,"","PRESENT"
"gbif78",-123.288803,38.540298,"","PRESENT"
"gbif79",-123.288803,38.540298,"","PRESENT"
"gbif80",-119.552299,34.048515,"","PRESENT"
"gbif81",-120.066872,34.461056,"","PRESENT"
"gbif82",-119.552299,34.048515,"","PRESENT"
"gbif83",-118.421051,33.760399,"","PRESENT"
"gbif84",-119.702499,34.035648,"","PRESENT"
"gbif85",-119.702499,34.035648,"","PRESENT"
"gbif86",-121.923218,36.637768,"","PRESENT"
"gbif87",-121.9319,36.525299,"","PRESENT"
"gbif88",-121.926544,36.526806,"","PRESENT"
"gbif89",-121.9459,36.5602,"","PRESENT"
"gbif90",-118.415886,33.747002,"","PRESENT"
"gbif91",-123.288803,38.540298,"","PRESENT"
"gbif92",-119.368385,34.016499,"","PRESENT"
"gbif93",-120.066872,34.461056,"","PRESENT"
"gbif94",-121.9319,36.525299,"","PRESENT"
"gbif95",-119.702499,34.035648,"","PRESENT"
"gbif96",-121.939049,36.479965,"","PRESENT"
"gbif97",-118.421051,33.760399,"","PRESENT"
"gbif98",-119.755997,34.054161,"","PRESENT"
"gbif99",-119.4375,34.014729,"","PRESENT"
"gbif100",-118.421051,33.760399,"","PRESENT"
"gbif101",-119.702499,34.035648,"","PRESENT"
"gbif102",-118.415886,33.747002,"","PRESENT"
"gbif103",-118.415886,33.747002,"","PRESENT"
"gbif104",-119.4375,34.014729,"","PRESENT"
"gbif105",-121.911934,36.62545,"","PRESENT"
"gbif106",-121.923218,36.637768,"","PRESENT"
"gbif107",-121.9319,36.525299,"","PRESENT"
"gbif108",-118.378906,33.410526,"","PRESENT"
"gbif109",-119.755997,34.054161,"","PRESENT"
"gbif110",-121.911934,36.62545,"","PRESENT"
"gbif111",-119.4375,34.014729,"","PRESENT"
"gbif112",-119.809998,34.055,"","PRESENT"
"gbif113",-120.125,33.895,"","PRESENT"
"gbif114",-121.953613,36.618332,"","PRESENT"
"gbif115",-119.4375,34.014729,"","PRESENT"
"gbif116",-123.305664,38.555119,"","PRESENT"
"gbif117",-119.9515,34.421848,"","PRESENT"
"gbif118",-119.362396,34.017467,"","PRESENT"
"gbif119",-119.809998,34.055,"","PRESENT"
"gbif120",-119.809998,34.055,"","PRESENT"
"gbif121",-119.809998,34.055,"","PRESENT"
"gbif122",-121.894333,36.610451,"","PRESENT"
"gbif123",-120.414017,34.027367,"","PRESENT"
"gbif124",-119.809998,34.055,"","PRESENT"
"gbif125",-121.894333,36.610451,"","PRESENT"
"gbif126",-123.305664,38.555119,"","PRESENT"
"gbif127",-121.938614,36.522484,"","PRESENT"
"gbif128",-119.364197,34.012634,"","PRESENT"
"gbif129",-119.364197,34.012634,"","PRESENT"
"gbif130",-119.364197,34.012634,"","PRESENT"
