"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-120.756775,35.170578,"","PRESENT"
"gbif2",-128.138788,52.83646,"","PRESENT"
"gbif3",-123.883668,49.212573,"","PRESENT"
"gbif4",-124.143752,49.293575,"","PRESENT"
"gbif5",-124.206334,49.305988,"","PRESENT"
"gbif6",-124.143752,49.293575,"","PRESENT"
"gbif7",-149.436328,60.118001,"","PRESENT"
"gbif8",-146.344544,61.127064,"","PRESENT"
"gbif9",-134.118469,56.961158,"","PRESENT"
"gbif10",-151.987879,59.283755,"","PRESENT"
"gbif11",-123.590188,49.002312,"","PRESENT"
"gbif12",-123.326336,48.911292,"","PRESENT"
"gbif13",-123.57833,49.015,"","PRESENT"
"gbif14",-123.58,48.99,"","PRESENT"
"gbif15",-123.57833,49.015,"","PRESENT"
"gbif16",-123.584794,49.01283,"","PRESENT"
"gbif17",-123.57167,49.01667,"","PRESENT"
"gbif18",-123.58,48.99,"","PRESENT"
"gbif19",-123.57833,49.015,"","PRESENT"
"gbif20",-123.58,48.99,"","PRESENT"
"gbif21",-123.58,48.99,"","PRESENT"
"gbif22",-123.57833,49.015,"","PRESENT"
"gbif23",-123.590188,49.002312,"","PRESENT"
"gbif24",-123.58333,49.01333,"","PRESENT"
"gbif25",-123.58,48.99,"","PRESENT"
"gbif26",-123.57833,49.015,"","PRESENT"
"gbif27",-123.58,48.99,"","PRESENT"
"gbif28",-123.58,48.99,"","PRESENT"
"gbif29",-123.58796,49.00942,"","PRESENT"
"gbif30",-123.57833,49.015,"","PRESENT"
"gbif31",-123.43,48.88,"","PRESENT"
"gbif32",-123.58,48.99,"","PRESENT"
"gbif33",-123.47865,48.92938,"","PRESENT"
"gbif34",-123.584696,48.995018,"","PRESENT"
"gbif35",-123.57833,49.015,"","PRESENT"
"gbif36",-123.58,48.99,"","PRESENT"
"gbif37",-123.58,48.99,"","PRESENT"
"gbif38",-123.584696,48.995018,"","PRESENT"
"gbif39",-123.57833,49.015,"","PRESENT"
"gbif40",-123.584696,48.995018,"","PRESENT"
"gbif41",-123.584794,49.01283,"","PRESENT"
"gbif42",-123.584696,48.995018,"","PRESENT"
"gbif43",-123.590188,49.002312,"","PRESENT"
"gbif44",-123.554564,48.964565,"","PRESENT"
"gbif45",-123.57833,49.015,"","PRESENT"
"gbif46",-123.57833,49.015,"","PRESENT"
"gbif47",-123.57833,49.015,"","PRESENT"
"gbif48",-123.57833,49.015,"","PRESENT"
"gbif49",-123.58,48.99,"","PRESENT"
"gbif50",-123.58,48.99,"","PRESENT"
"gbif51",-123.58,48.99,"","PRESENT"
"gbif52",-123.58,48.99,"","PRESENT"
"gbif53",-123.57833,49.015,"","PRESENT"
"gbif54",-123.58,48.99,"","PRESENT"
"gbif55",-123.57833,49.015,"","PRESENT"
"gbif56",-123.58,48.99,"","PRESENT"
"gbif57",-123.58,48.99,"","PRESENT"
"gbif58",-123.58,48.99,"","PRESENT"
"gbif59",-123.584696,48.995018,"","PRESENT"
"gbif60",-123.321363,48.909303,"","PRESENT"
"gbif61",-123.58,48.99,"","PRESENT"
"gbif62",-123.58,48.99,"","PRESENT"
"gbif63",-123.57833,49.015,"","PRESENT"
"gbif64",-123.57833,49.015,"","PRESENT"
"gbif65",-123.57833,49.015,"","PRESENT"
"gbif66",-123.57167,49.01667,"","PRESENT"
"gbif67",-123.58,48.99,"","PRESENT"
"gbif68",-123.58,48.99,"","PRESENT"
"gbif69",-123.57167,49.01667,"","PRESENT"
"gbif70",-123.57833,49.015,"","PRESENT"
"gbif71",-123.58,48.99,"","PRESENT"
"gbif72",-123.57833,49.015,"","PRESENT"
"gbif73",-123.57833,49.015,"","PRESENT"
"gbif74",-123.57833,49.015,"","PRESENT"
"gbif75",-123.57167,49.01667,"","PRESENT"
"gbif76",-123.58,48.99,"","PRESENT"
"gbif77",-123.58,48.99,"","PRESENT"
"gbif78",-123.58,48.99,"","PRESENT"
"gbif79",-123.58,48.99,"","PRESENT"
"gbif80",-124.241438,49.316251,"","PRESENT"
"gbif81",-124.241438,49.316251,"","PRESENT"
"gbif82",-124.241438,49.316251,"","PRESENT"
"gbif83",-123.892317,49.216961,"","PRESENT"
"gbif84",-135.571426,57.056331,"","PRESENT"
"gbif85",-122.873275,47.719141,"","PRESENT"
"gbif86",-124.143127,49.293138,"","PRESENT"
"gbif87",-128.116666,51.796666,"","PRESENT"
"gbif88",-127.998333,51.235,"","PRESENT"
"gbif89",-128.038333,51.205,"","PRESENT"
"gbif90",-127.976666,51.198333,"","PRESENT"
"gbif91",-127.99,51.28,"","PRESENT"
"gbif92",-126.98,49.331166,"","PRESENT"
"gbif93",-128.574333,52.1585,"","PRESENT"
"gbif94",-128.098333,51.148333,"","PRESENT"
"gbif95",-128.13,51.118333,"","PRESENT"
"gbif96",-128.121666,51.178333,"","PRESENT"
"gbif97",-128.1,51.165,"","PRESENT"
"gbif98",-128.201666,51.54,"","PRESENT"
"gbif99",-128.201666,51.54,"","PRESENT"
"gbif100",-128.201666,51.54,"","PRESENT"
"gbif101",-128.201666,51.54,"","PRESENT"
"gbif102",-128.201666,51.54,"","PRESENT"
"gbif103",-128.201666,51.54,"","PRESENT"
"gbif104",-128.201666,51.54,"","PRESENT"
"gbif105",-129.975,51.535,"","PRESENT"
"gbif106",-129.975,51.535,"","PRESENT"
"gbif107",-129.975,51.535,"","PRESENT"
"gbif108",-129.975,51.535,"","PRESENT"
"gbif109",-129.975,51.535,"","PRESENT"
"gbif110",-129.975,51.535,"","PRESENT"
"gbif111",-129.975,51.535,"","PRESENT"
"gbif112",-129.975,51.535,"","PRESENT"
"gbif113",-129.975,51.535,"","PRESENT"
"gbif114",-128.163333,51.726666,"","PRESENT"
"gbif115",-128.163333,51.726666,"","PRESENT"
"gbif116",-129.975,51.535,"","PRESENT"
"gbif117",-129.975,51.535,"","PRESENT"
"gbif118",-128.148333,51.745,"","PRESENT"
"gbif119",-128.148333,51.745,"","PRESENT"
"gbif120",-128.148333,51.745,"","PRESENT"
"gbif121",-128.148333,51.745,"","PRESENT"
"gbif122",-128.148333,51.745,"","PRESENT"
"gbif123",-128.148333,51.745,"","PRESENT"
"gbif124",-129.828333,51.98,"","PRESENT"
"gbif125",-129.828333,51.98,"","PRESENT"
"gbif126",-129.828333,51.98,"","PRESENT"
"gbif127",-129.828333,51.98,"","PRESENT"
"gbif128",-129.828333,51.98,"","PRESENT"
"gbif129",-129.828333,51.98,"","PRESENT"
"gbif130",-129.828333,51.98,"","PRESENT"
"gbif131",-129.828333,51.98,"","PRESENT"
"gbif132",-129.828333,51.98,"","PRESENT"
"gbif133",-129.828333,51.98,"","PRESENT"
"gbif134",-129.828333,51.98,"","PRESENT"
"gbif135",-129.828333,51.98,"","PRESENT"
"gbif136",-129.828333,51.98,"","PRESENT"
"gbif137",-129.828333,51.98,"","PRESENT"
"gbif138",-129.828333,51.98,"","PRESENT"
"gbif139",-129.828333,51.98,"","PRESENT"
"gbif140",-129.828333,51.98,"","PRESENT"
"gbif141",-129.828333,51.98,"","PRESENT"
"gbif142",-129.828333,51.98,"","PRESENT"
"gbif143",-129.828333,51.98,"","PRESENT"
"gbif144",-129.828333,51.98,"","PRESENT"
"gbif145",-127.976666,51.361666,"","PRESENT"
"gbif146",-127.976666,51.361666,"","PRESENT"
"gbif147",-127.976666,51.361666,"","PRESENT"
"gbif148",-127.976666,51.361666,"","PRESENT"
"gbif149",-129.828333,51.98,"","PRESENT"
"gbif150",-127.976666,51.361666,"","PRESENT"
"gbif151",-127.976666,51.361666,"","PRESENT"
"gbif152",-127.976666,51.361666,"","PRESENT"
"gbif153",-129.828333,51.98,"","PRESENT"
"gbif154",-127.976666,51.361666,"","PRESENT"
"gbif155",-127.976666,51.361666,"","PRESENT"
"gbif156",-129.828333,51.98,"","PRESENT"
"gbif157",-129.828333,51.98,"","PRESENT"
"gbif158",-127.976666,51.361666,"","PRESENT"
"gbif159",-129.828333,51.98,"","PRESENT"
"gbif160",-129.828333,51.98,"","PRESENT"
"gbif161",-129.828333,51.98,"","PRESENT"
"gbif162",-129.828333,51.98,"","PRESENT"
"gbif163",-129.828333,51.98,"","PRESENT"
"gbif164",-129.828333,51.98,"","PRESENT"
"gbif165",-127.976666,51.361666,"","PRESENT"
"gbif166",-127.976666,51.361666,"","PRESENT"
"gbif167",-127.976666,51.361666,"","PRESENT"
"gbif168",-127.976666,51.361666,"","PRESENT"
"gbif169",-129.828333,51.98,"","PRESENT"
"gbif170",-127.976666,51.361666,"","PRESENT"
"gbif171",-129.828333,51.98,"","PRESENT"
"gbif172",-129.828333,51.98,"","PRESENT"
"gbif173",-129.828333,51.98,"","PRESENT"
"gbif174",-129.828333,51.98,"","PRESENT"
"gbif175",-127.976666,51.361666,"","PRESENT"
"gbif176",-129.828333,51.98,"","PRESENT"
"gbif177",-129.828333,51.98,"","PRESENT"
"gbif178",-129.828333,51.98,"","PRESENT"
"gbif179",-129.828333,51.98,"","PRESENT"
"gbif180",-128.163333,51.726666,"","PRESENT"
"gbif181",-129.828333,51.98,"","PRESENT"
"gbif182",-129.828333,51.98,"","PRESENT"
"gbif183",-129.828333,51.98,"","PRESENT"
"gbif184",-129.828333,51.98,"","PRESENT"
"gbif185",-128.163333,51.726666,"","PRESENT"
"gbif186",-129.828333,51.98,"","PRESENT"
"gbif187",-129.828333,51.98,"","PRESENT"
"gbif188",-128.163333,51.726666,"","PRESENT"
"gbif189",-129.828333,51.98,"","PRESENT"
"gbif190",-128.163333,51.726666,"","PRESENT"
"gbif191",-129.828333,51.98,"","PRESENT"
"gbif192",-129.828333,51.98,"","PRESENT"
"gbif193",-128.163333,51.726666,"","PRESENT"
"gbif194",-128.163333,51.726666,"","PRESENT"
"gbif195",-128.163333,51.726666,"","PRESENT"
"gbif196",-128.163333,51.726666,"","PRESENT"
"gbif197",-128.163333,51.726666,"","PRESENT"
"gbif198",-128.338333,51.215,"","PRESENT"
"gbif199",-128.411666,51.256666,"","PRESENT"
"gbif200",-128.37,51.298333,"","PRESENT"
"gbif201",-127.613333,51.046666,"","PRESENT"
"gbif202",-128.221666,51.258333,"","PRESENT"
"gbif203",-127.811666,51.106666,"","PRESENT"
"gbif204",-128.113333,51.253333,"","PRESENT"
"gbif205",-127.871666,51.138333,"","PRESENT"
"gbif206",-128.5035,52.110166,"","PRESENT"
"gbif207",-127.821666,51.115,"","PRESENT"
"gbif208",-128.355166,52.020666,"","PRESENT"
"gbif209",-128.853333,52.295,"","PRESENT"
"gbif210",-128.788333,52.371666,"","PRESENT"
"gbif211",-128.788333,52.371666,"","PRESENT"
"gbif212",-128.853333,52.295,"","PRESENT"
"gbif213",-128.788333,52.371666,"","PRESENT"
"gbif214",-128.828333,52.35,"","PRESENT"
"gbif215",-128.788333,52.371666,"","PRESENT"
"gbif216",-128.788333,52.371666,"","PRESENT"
"gbif217",-128.788333,52.371666,"","PRESENT"
"gbif218",-128.853333,52.295,"","PRESENT"
"gbif219",-128.853333,52.295,"","PRESENT"
"gbif220",-128.853333,52.295,"","PRESENT"
"gbif221",-128.853333,52.295,"","PRESENT"
"gbif222",-128.853333,52.295,"","PRESENT"
"gbif223",-128.853333,52.295,"","PRESENT"
"gbif224",-128.853333,52.295,"","PRESENT"
"gbif225",-128.853333,52.295,"","PRESENT"
"gbif226",-128.853333,52.295,"","PRESENT"
"gbif227",-128.828333,52.35,"","PRESENT"
"gbif228",-128.828333,52.35,"","PRESENT"
"gbif229",-128.828333,52.35,"","PRESENT"
"gbif230",-128.828333,52.35,"","PRESENT"
"gbif231",-128.853333,52.295,"","PRESENT"
"gbif232",-128.828333,52.35,"","PRESENT"
"gbif233",-128.853333,52.295,"","PRESENT"
"gbif234",-128.828333,52.35,"","PRESENT"
"gbif235",-128.828333,52.35,"","PRESENT"
"gbif236",-128.828333,52.35,"","PRESENT"
"gbif237",-128.828333,52.35,"","PRESENT"
"gbif238",-128.828333,52.35,"","PRESENT"
"gbif239",-128.828333,52.35,"","PRESENT"
"gbif240",-128.828333,52.35,"","PRESENT"
"gbif241",-128.828333,52.35,"","PRESENT"
"gbif242",-127.491666,49.821666,"","PRESENT"
"gbif243",-127.626666,49.875,"","PRESENT"
"gbif244",-127.606666,49.84,"","PRESENT"
"gbif245",-127.493333,49.801666,"","PRESENT"
"gbif246",-128.491666,51.846666,"","PRESENT"
"gbif247",-128.491666,51.846666,"","PRESENT"
"gbif248",-128.491666,51.846666,"","PRESENT"
"gbif249",-128.491666,51.846666,"","PRESENT"
"gbif250",-128.491666,51.846666,"","PRESENT"
"gbif251",-128.491666,51.846666,"","PRESENT"
"gbif252",-128.491666,51.846666,"","PRESENT"
"gbif253",-128.491666,51.846666,"","PRESENT"
"gbif254",-128.306666,51.945,"","PRESENT"
"gbif255",-128.491666,51.846666,"","PRESENT"
"gbif256",-128.491666,51.846666,"","PRESENT"
"gbif257",-128.788333,52.371666,"","PRESENT"
"gbif258",-128.15,51.685,"","PRESENT"
"gbif259",-128.788333,52.371666,"","PRESENT"
"gbif260",-128.566666,52.088333,"","PRESENT"
"gbif261",-128.566666,52.088333,"","PRESENT"
"gbif262",-127.273333,49.745,"","PRESENT"
"gbif263",-128.788333,52.371666,"","PRESENT"
"gbif264",-128.788333,52.371666,"","PRESENT"
"gbif265",-128.788333,52.371666,"","PRESENT"
"gbif266",-128.788333,52.371666,"","PRESENT"
"gbif267",-128.788333,52.371666,"","PRESENT"
"gbif268",-128.788333,52.371666,"","PRESENT"
"gbif269",-128.788333,52.371666,"","PRESENT"
"gbif270",-128.788333,52.371666,"","PRESENT"
"gbif271",-128.788333,52.371666,"","PRESENT"
"gbif272",-128.788333,52.371666,"","PRESENT"
"gbif273",-128.788333,52.371666,"","PRESENT"
"gbif274",-128.788333,52.371666,"","PRESENT"
"gbif275",-128.15,51.685,"","PRESENT"
"gbif276",-128.15,51.685,"","PRESENT"
"gbif277",-128.15,51.685,"","PRESENT"
"gbif278",-128.15,51.685,"","PRESENT"
"gbif279",-128.66,52.08,"","PRESENT"
"gbif280",-128.566666,52.088333,"","PRESENT"
"gbif281",-128.566666,52.088333,"","PRESENT"
