"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-112.067012,19.011904,"","PRESENT"
"gbif3",-118.29253,29.058523,"","PRESENT"
"gbif8",-117.261832,32.852185,"","PRESENT"
"gbif28",-117.274396,32.449275,"","PRESENT"
"gbif60",-113.573364,26.712938,"","PRESENT"
"gbif66",-118.496467,32.841909,"","PRESENT"
"gbif68",-119.863954,29.176798,"","PRESENT"
"gbif85",-120.861779,35.3592,"","PRESENT"
"gbif98",-118.417745,33.494308,"","PRESENT"
"gbif123",-118.258189,28.997328,"","PRESENT"
"gbif142",-111.066667,27.95,"","PRESENT"
"gbif152",-111.094878,27.945053,"","PRESENT"
"gbif153",-118.270173,29.141773,"","PRESENT"
"gbif155",-111.191235,27.927507,"","PRESENT"
"gbif157",-118.218158,28.975685,"","PRESENT"
"gbif177",-113.004585,28.793264,"","PRESENT"
"gbif178",-118.268932,29.121084,"","PRESENT"
"gbif180",-105.872805,21.849532,"","PRESENT"
"gbif188",-118.632216,32.995424,"","PRESENT"
"gbif314",-118.344767,32.844847,"","PRESENT"
"gbif319",-115.792864,29.780599,"","PRESENT"
"gbif354",-116.117,30.483,"","PRESENT"
"gbif362",-111.167703,26.072639,"","PRESENT"
"gbif364",-117.215832,32.583193,"","PRESENT"
"gbif395",-116.769026,31.822245,"","PRESENT"
"gbif476",-112.451242,29.253429,"","PRESENT"
"gbif702",-109.887237,22.890053,"","PRESENT"
"gbif709",-111.84236,26.70972,"","PRESENT"
"gbif711",-111.104085,25.979748,"","PRESENT"
"gbif713",-112.188229,28.696257,"","PRESENT"
"gbif719",-112.318483,28.722697,"","PRESENT"
"gbif726",-111.141667,25.941667,"","PRESENT"
"gbif727",-110.391667,24.458333,"","PRESENT"
"gbif729",-112.301088631854,28.7419951582335,"","PRESENT"
"gbif730",-113.516667,28.933333,"","PRESENT"
"gbif731",-106.45,23.233333,"","PRESENT"
"gbif732",-109.916667,22.883333,"","PRESENT"
"gbif733",-106.45,23.233333,"","PRESENT"
"gbif734",-117.103519,32.621222,"","PRESENT"
"gbif752",-111.371104,27.985806,"","PRESENT"
"gbif759",-111.359059,27.964809,"","PRESENT"
"gbif760",-117.250833,32.8705,"NATIVE","PRESENT"
"gbif761",-113.561667,29.015,"NATIVE","PRESENT"
"gbif766",-115.216667,28.383333,"NATIVE","PRESENT"
"gbif767",-118.416667,33.433333,"NATIVE","PRESENT"
"gbif768",-109.533333,25.183333,"NATIVE","PRESENT"
"gbif769",-114.061667,27.97,"NATIVE","PRESENT"
"gbif770",-118.46,33.758333,"NATIVE","PRESENT"
"gbif771",-114.483333,27.211667,"NATIVE","PRESENT"
"gbif772",-119.466667,34.02,"NATIVE","PRESENT"
"gbif782",-118.210132,29.023704,"","PRESENT"
"gbif5330",-105.8837,21.846335,"","PRESENT"
"gbif5336",-106.416667,21.383333,"","PRESENT"
"gbif5337",-101.5,17.566667,"","PRESENT"
"gbif5341",-118.517556,33.343667,"NATIVE","PRESENT"
"gbif5356",-110.348459,24.453048,"","PRESENT"
"gbif5366",-118.324067,33.345917,"","PRESENT"
"gbif5462",-117.277347,32.848098,"","PRESENT"
"gbif5500",-118.464912,33.873825,"","PRESENT"
