"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",143.7287,-11.4273,NA,"PRESENT"
"gbif2",143.6129,-11.7381,NA,"PRESENT"
"gbif3",143.4803,-11.7184,NA,"PRESENT"
"gbif4",143.5533,-11.648,NA,"PRESENT"
"gbif5",143.639,-11.6352,NA,"PRESENT"
"gbif6",143.7776,-11.4497,NA,"PRESENT"
"gbif7",143.6706,-11.709,NA,"PRESENT"
"gbif8",143.6314,-11.7284,NA,"PRESENT"
"gbif9",143.7643,-11.4398,NA,"PRESENT"
"gbif10",143.5422,-11.1413,NA,"PRESENT"
"gbif11",143.611,-11.5205,NA,"PRESENT"
"gbif12",143.6652,-11.6184,NA,"PRESENT"
"gbif13",120.857,13.6688,NA,"PRESENT"
"gbif14",120.857,13.6688,NA,"PRESENT"
"gbif15",120.891,13.6866,NA,"PRESENT"
"gbif16",125.737116,-9.166262,NA,"PRESENT"
"gbif17",42.59417,15.43972,NA,"PRESENT"
"gbif18",165.99222,-21.96139,NA,"PRESENT"
"gbif19",167.41111,-22.60917,NA,"PRESENT"
"gbif20",116.07944,-8.36833,NA,"PRESENT"
"gbif21",167.4175,-22.55583,NA,"PRESENT"
"gbif22",143.85866,-10.53949,NA,"PRESENT"
"gbif23",146.06699,-16.76183,NA,"PRESENT"
"gbif24",146.75,-17.833,NA,"PRESENT"
"gbif25",146.75,-17.833,NA,"PRESENT"
"gbif26",145.45,-14.7,NA,"PRESENT"
"gbif27",58.50136,23.67874,NA,"PRESENT"
"gbif28",58.50136,23.67874,NA,"PRESENT"
"gbif29",58.50136,23.67874,NA,"PRESENT"
"gbif30",58.50136,23.67874,NA,"PRESENT"
"gbif31",125.233081,1.455665,NA,"PRESENT"
"gbif32",124.115636,11.335846,NA,"PRESENT"
"gbif33",121.05,6.14583,NA,"PRESENT"
"gbif34",172.08852,-22.39071,NA,"PRESENT"
"gbif35",172.08852,-22.39071,NA,"PRESENT"
"gbif36",120.909364,13.693531,NA,"PRESENT"
"gbif37",120.909493,13.694116,NA,"PRESENT"
"gbif38",120.891417,13.686611,NA,"PRESENT"
"gbif39",120.90945,13.692782,NA,"PRESENT"
"gbif40",104.155,2.825,NA,"PRESENT"
"gbif41",106.242389,3.243028,NA,"PRESENT"
