"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-79.68341,32.908652,"","PRESENT"
"gbif2",-78.011464,33.89336,"","PRESENT"
"gbif3",-94.632604,29.452659,"","PRESENT"
"gbif4",-81.499976,24.687499,"","PRESENT"
"gbif5",-82.609264,27.971285,"","PRESENT"
"gbif6",-80.036315,26.612753,"","PRESENT"
"gbif7",-79.817108,32.767128,"","PRESENT"
"gbif8",-80.627836,24.924294,"","PRESENT"
"gbif9",-79.801111,32.778333,"","PRESENT"
"gbif10",-97.202247,26.085395,"","PRESENT"
"gbif11",-97.377495,27.086978,"","PRESENT"
"gbif12",-97.135817,27.831249,"","PRESENT"
"gbif13",-82.56598,27.297624,"","PRESENT"
"gbif14",-97.1328,27.831848,"","PRESENT"
"gbif15",-97.132437,27.832595,"","PRESENT"
"gbif16",-81.326189,24.697595,"","PRESENT"
"gbif17",-97.045146,27.834223,"","PRESENT"
"gbif18",-52.62495,5.16625,"","PRESENT"
"gbif19",-52.38568,4.90481,"","PRESENT"
"gbif20",-51.95787,4.61084,"","PRESENT"
"gbif21",-97.314465,27.382041,"","PRESENT"
"gbif22",-97.316219,27.376938,"","PRESENT"
"gbif23",-82.730881,28.272112,"","PRESENT"
"gbif24",-81.279239,29.938508,"","PRESENT"
"gbif25",-97.135679,27.830532,"","PRESENT"
"gbif26",-97.135423,27.831258,"","PRESENT"
"gbif27",-82.655242,28.568342,"","PRESENT"
"gbif28",-97.134156,27.831631,"","PRESENT"
"gbif29",-84.956707,29.611748,"","PRESENT"
"gbif30",-82.59624,27.5442,"","PRESENT"
"gbif31",-82.59624,27.5442,"","PRESENT"
"gbif32",-82.59624,27.5442,"","PRESENT"
"gbif33",-80.055139,32.635175,"","PRESENT"
"gbif34",-80.918892,29.078367,"","PRESENT"
"gbif35",-81.536044,27.959377,"","PRESENT"
"gbif36",-99.901813,31.968599,"","PRESENT"
"gbif37",-90.452778,20.703611,"","PRESENT"
"gbif38",-81.363998,30.194327,"","PRESENT"
"gbif39",-97.069628,27.822737,"","PRESENT"
"gbif40",-80.769864,32.191203,"","PRESENT"
"gbif41",-82.252098,26.711627,"","PRESENT"
"gbif42",-81.435472,30.518663,"","PRESENT"
"gbif43",-80.189602,25.514407,"","PRESENT"
"gbif44",-95.295203,28.938529,"","PRESENT"
"gbif45",-97.173493,26.060827,"","PRESENT"
"gbif46",-82.797223,27.804901,"","PRESENT"
"gbif47",-82.63386,27.594485,"","PRESENT"
"gbif48",-52.65795,5.14537,"","PRESENT"
"gbif49",-52.99844,5.44059,"","PRESENT"
"gbif50",-52.58959,5.29743,"","PRESENT"
"gbif51",-81.393653,30.326153,"","PRESENT"
"gbif52",-78.560627,33.959138,"","PRESENT"
"gbif53",-80.43418,27.760412,"","PRESENT"
"gbif54",-90.521912,19.855342,"","PRESENT"
"gbif55",-97.038,27.976,"NATIVE","PRESENT"
"gbif56",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif57",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif58",-97.3341,27.84044,"NATIVE","PRESENT"
"gbif59",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif60",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif61",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif62",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif63",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif64",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif65",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif66",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif67",-97.2956,27.76286,"NATIVE","PRESENT"
"gbif68",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif69",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif70",-97.13045,27.83535,"NATIVE","PRESENT"
"gbif71",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif72",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif73",-96.76011,28.35405,"NATIVE","PRESENT"
"gbif74",-96.553558,28.301728,"","PRESENT"
"gbif75",-82.710358,27.49337,"","PRESENT"
"gbif76",-96.546058,28.308437,"","PRESENT"
"gbif77",-81.2307,29.710306,"","PRESENT"
"gbif78",-81.090494,29.355204,"","PRESENT"
"gbif79",-81.397045,30.366647,"","PRESENT"
"gbif80",-81.265083,29.8572,"","PRESENT"
"gbif81",-81.230658,29.718245,"","PRESENT"
"gbif82",-81.343742,24.697895,"","PRESENT"
"gbif83",-81.424358,24.670672,"","PRESENT"
"gbif84",-77.017415,26.426623,"","PRESENT"
"gbif85",-81.570589,24.601819,"","PRESENT"
"gbif86",-97.0486,27.8863,"","PRESENT"
"gbif87",-97.0486,27.8863,"","PRESENT"
"gbif88",-82.194413,26.526666,"","PRESENT"
"gbif89",-81.443006,30.481246,"","PRESENT"
"gbif90",-82.469662,27.112957,"","PRESENT"
"gbif91",-82.777858,27.876394,"","PRESENT"
"gbif92",-80.632813,28.657258,"","PRESENT"
