"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-91.632383,-0.270328,"","PRESENT"
"gbif2",-90.987012,-0.834081,"","PRESENT"
"gbif3",-90.976412,-0.866119,"","PRESENT"
"gbif4",-89.508356,-0.931085,"","PRESENT"
"gbif5",-89.466371,-0.72667,"","PRESENT"
"gbif6",-89.483531,-0.784906,"","PRESENT"
"gbif7",-89.501398,-0.770978,"","PRESENT"
"gbif8",-89.550493,-0.723173,"","PRESENT"
"gbif9",-89.500175,-0.743187,"","PRESENT"
"gbif10",-89.597901,-0.745684,"","PRESENT"
"gbif11",-90.111211,-0.859769,"","PRESENT"
"gbif12",-90.721536,-0.340898,"","PRESENT"
"gbif13",-89.70549,-1.248275,"","PRESENT"
"gbif14",-90.785662,-0.647616,"","PRESENT"
"gbif15",-90.603588,-0.618798,"","PRESENT"
"gbif16",-90.56528,-1.263121,"","PRESENT"
"gbif17",-90.639443,-0.577031,"","PRESENT"
"gbif18",-90.809056,-0.958248,"","PRESENT"
"gbif19",-89.709853,-0.913883,"","PRESENT"
"gbif20",-90.229858,-0.836845,"","PRESENT"
"gbif21",-90.544338,-1.284353,"","PRESENT"
"gbif22",-90.675288,-0.575986,"","PRESENT"
"gbif23",-90.774043,-0.598272,"","PRESENT"
"gbif24",-89.63142,-1.285825,"","PRESENT"
"gbif25",-81.737842,4.167261,"","PRESENT"
"gbif26",-90.038116,-0.803759,"","PRESENT"
"gbif27",-91.226004,-0.392949,"","PRESENT"
"gbif28",-90.422993,-1.216191,"","PRESENT"
"gbif29",-91.226004,-0.392949,"","PRESENT"
"gbif30",-90.586113,-0.371721,"","PRESENT"
"gbif31",-89.45927,-0.763686,"","PRESENT"
"gbif32",-90.586113,-0.371721,"","PRESENT"
"gbif33",-90.488802,-0.52765,"","PRESENT"
"gbif34",-89.648345,-1.347327,"","PRESENT"
"gbif35",-89.795118,-0.803629,"","PRESENT"
"gbif36",-89.741222,-0.900349,"","PRESENT"
"gbif37",-89.618766,-1.30935,"","PRESENT"
"gbif38",-90.928144,-0.878787,"","PRESENT"
"gbif39",-89.761951,-0.838055,"","PRESENT"
"gbif40",-90.88448,-0.846138,"","PRESENT"
"gbif41",-90.981901,-0.922091,"","PRESENT"
"gbif42",-91.315224,-0.36241,"","PRESENT"
"gbif43",-91.158239,-0.752114,"","PRESENT"
"gbif44",-90.995271,-0.842851,"","PRESENT"
"gbif45",-90.919774,-0.604906,"","PRESENT"
"gbif46",-90.595911,-1.278819,"","PRESENT"
"gbif47",-89.620702,-1.35861,"","PRESENT"
"gbif48",-90.341917,-1.271775,"","PRESENT"
"gbif49",-89.92501,0.357949,"","PRESENT"
"gbif50",-89.73921,-0.938445,"","PRESENT"
"gbif51",-91.433791,-0.09524,"","PRESENT"
"gbif52",-91.428567,-0.132783,"","PRESENT"
"gbif53",-91.413754,-0.132807,"","PRESENT"
"gbif54",-90.65039,-0.411831,"","PRESENT"
"gbif55",-90.258684,-1.264276,"","PRESENT"
"gbif56",-90.336436,-1.390333,"","PRESENT"
"gbif57",-91.406628,-0.14382,"","PRESENT"
"gbif58",-90.607871,-0.475048,"","PRESENT"
"gbif59",-90.518346,-1.277778,"","PRESENT"
"gbif60",-89.646331,-1.356007,"","PRESENT"
"gbif61",-89.730151,-1.251903,"","PRESENT"
"gbif62",-91.46322,-0.037663,"","PRESENT"
"gbif63",-89.780481,-0.970901,"","PRESENT"
"gbif64",-89.48538,-0.721487,"","PRESENT"
"gbif65",-89.483267,-0.68501,"","PRESENT"
"gbif66",-89.6722,-1.3758,"","PRESENT"
"gbif67",-91.1353,-0.8292,"","PRESENT"
"gbif68",-90.3019,-0.752,"","PRESENT"
"gbif69",-90.4314,-1.3083,"","PRESENT"
"gbif70",-91.1353,-0.8292,"","PRESENT"
"gbif71",-90.3019,-0.752,"","PRESENT"
"gbif72",-90.4314,-1.3083,"","PRESENT"
"gbif73",-89.6722,-1.3758,"","PRESENT"
"gbif74",-90.3019,-0.752,"","PRESENT"
"gbif75",-90.872792,-0.317489,"","PRESENT"
"gbif76",-89.733336,-0.842927,"","PRESENT"
"gbif77",-91.547648,-0.233166,"","PRESENT"
"gbif78",-90.9,-1,"","PRESENT"
"gbif79",-90.581544,-1.280428,"","PRESENT"
"gbif80",-90.462946,-1.243817,"","PRESENT"
"gbif81",-90.529355,-1.393009,"","PRESENT"
"gbif82",-90.492807,-1.327501,"","PRESENT"
"gbif83",-90.414773,-1.217274,"","PRESENT"
"gbif84",-90.462449,-1.203969,"","PRESENT"
"gbif85",-90.523273,-1.391016,"","PRESENT"
"gbif86",-90.562371,-1.33489,"","PRESENT"
"gbif87",-90.540285,-1.263215,"","PRESENT"
"gbif88",-90.531961,-1.242225,"","PRESENT"
"gbif89",-90.317996,-0.521655,"","PRESENT"
"gbif90",-81.6005,3.999989,"","PRESENT"
"gbif91",-89.666667,-1.333333,"","PRESENT"
"gbif92",-89.666667,-1.333333,"","PRESENT"
"gbif93",-90.333333,-1.25,"","PRESENT"
"gbif94",-90.333333,-0.666667,"","PRESENT"
"gbif95",-90.333333,-1.25,"","PRESENT"
"gbif96",-89.666667,-1.333333,"","PRESENT"
"gbif97",-90.333333,-0.666667,"","PRESENT"
"gbif98",-90.462138,-0.317984,"","PRESENT"
"gbif99",-91.8162,1.38697,"","PRESENT"
"gbif100",-101.631933,17.66615,"","PRESENT"
"gbif101",-96.083633,15.765417,"","PRESENT"
"gbif102",-101.6561,17.675133,"","PRESENT"
"gbif103",-101.6561,17.675133,"","PRESENT"
"gbif104",-101.554805,17.614583,"","PRESENT"
"gbif105",-96.16403,15.719733,"","PRESENT"
"gbif106",-96.16403,15.719733,"","PRESENT"
"gbif107",-101.524317,17.6202,"","PRESENT"
"gbif108",-96.4415,15.687883,"","PRESENT"
"gbif109",-96.1321,15.738817,"","PRESENT"
"gbif110",-101.603175,17.651256,"","PRESENT"
"gbif111",-101.6561,17.675133,"","PRESENT"
"gbif112",-101.631933,17.66615,"","PRESENT"
"gbif113",-101.62205,17.654083,"","PRESENT"
"gbif114",-101.65915,17.681117,"","PRESENT"
"gbif115",-101.621183,17.650783,"","PRESENT"
"gbif116",-101.65915,17.681117,"","PRESENT"
"gbif117",-101.490667,17.533117,"","PRESENT"
"gbif118",-101.62205,17.654083,"","PRESENT"
"gbif119",-96.083633,15.765417,"","PRESENT"
"gbif120",-101.554805,17.614583,"","PRESENT"
"gbif121",-96.210317,15.70095,"","PRESENT"
"gbif122",-101.62205,17.654083,"","PRESENT"
"gbif123",-101.621183,17.650783,"","PRESENT"
"gbif124",-101.490667,17.533117,"","PRESENT"
"gbif125",-96.210317,15.70095,"","PRESENT"
"gbif126",-101.62205,17.654083,"","PRESENT"
"gbif127",-101.65915,17.681117,"","PRESENT"
"gbif128",-101.524317,17.6202,"","PRESENT"
"gbif129",-101.621183,17.650783,"","PRESENT"
