"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-109.415968,23.568393,"","PRESENT"
"gbif2",-81.604139,4.004167,"","PRESENT"
"gbif3",-81.604139,4.004167,"","PRESENT"
"gbif4",-81.604139,4.004167,"","PRESENT"
"gbif5",-81.604139,4.004167,"","PRESENT"
"gbif6",-81.604139,4.004167,"","PRESENT"
"gbif7",-81.604139,4.004167,"","PRESENT"
"gbif8",-81.604139,4.004167,"","PRESENT"
"gbif9",-81.604139,4.004167,"","PRESENT"
"gbif10",-81.604139,4.004167,"","PRESENT"
"gbif11",-81.604139,4.004167,"","PRESENT"
"gbif12",-81.604139,4.004167,"","PRESENT"
"gbif13",-81.604139,4.004167,"","PRESENT"
"gbif14",-81.604139,4.004167,"","PRESENT"
"gbif15",-81.604139,4.004167,"","PRESENT"
"gbif16",-81.604139,4.004167,"","PRESENT"
"gbif17",-81.604139,4.004167,"","PRESENT"
"gbif18",-81.604139,4.004167,"","PRESENT"
"gbif19",-81.604139,4.004167,"","PRESENT"
"gbif20",-81.604139,4.004167,"","PRESENT"
"gbif21",-81.604139,4.004167,"","PRESENT"
"gbif22",-81.604139,4.004167,"","PRESENT"
"gbif23",-81.604139,4.004167,"","PRESENT"
"gbif24",-81.604139,4.004167,"","PRESENT"
"gbif25",-81.604139,4.004167,"","PRESENT"
"gbif26",-81.604139,4.004167,"","PRESENT"
"gbif27",-81.604139,4.004167,"","PRESENT"
"gbif28",-81.604139,4.004167,"","PRESENT"
"gbif29",-81.604139,4.004167,"","PRESENT"
"gbif30",-81.604139,4.004167,"","PRESENT"
"gbif31",-81.604139,4.004167,"","PRESENT"
"gbif32",-81.604139,4.004167,"","PRESENT"
"gbif33",-81.604139,4.004167,"","PRESENT"
"gbif34",-81.604139,4.004167,"","PRESENT"
"gbif35",-81.604139,4.004167,"","PRESENT"
"gbif36",-81.604139,4.004167,"","PRESENT"
"gbif37",-81.604139,4.004167,"","PRESENT"
"gbif38",-81.604139,4.004167,"","PRESENT"
"gbif39",-81.604139,4.004167,"","PRESENT"
"gbif40",-81.604139,4.004167,"","PRESENT"
"gbif41",-81.604139,4.004167,"","PRESENT"
"gbif42",-81.604139,4.004167,"","PRESENT"
"gbif43",-81.604139,4.004167,"","PRESENT"
"gbif44",-81.604139,4.004167,"","PRESENT"
"gbif45",-81.604139,4.004167,"","PRESENT"
"gbif46",-81.604139,4.004167,"","PRESENT"
"gbif47",-81.604139,4.004167,"","PRESENT"
"gbif48",-81.604139,4.004167,"","PRESENT"
"gbif49",-81.604139,4.004167,"","PRESENT"
"gbif50",-81.604139,4.004167,"","PRESENT"
"gbif51",-81.604139,4.004167,"","PRESENT"
"gbif52",-81.604139,4.004167,"","PRESENT"
"gbif53",-110.87526,19.377559,"","PRESENT"
"gbif54",-110.969266,19.212738,"","PRESENT"
"gbif55",-90.28333,-0.43333,"","PRESENT"
"gbif56",-118.51833,33.46,"","PRESENT"
"gbif57",-118.325,33.34833,"","PRESENT"
"gbif58",-118.325,33.34833,"","PRESENT"
"gbif59",-117.26,32.85833,"","PRESENT"
"gbif60",-118.37,32.84,"","PRESENT"
"gbif61",-118.2761,29.0525,"","PRESENT"
"gbif62",-110.8113,19.3094,"","PRESENT"
