"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-89.670333,22.367639,"","PRESENT"
"gbif2",-91.959389,20.203972,"","PRESENT"
"gbif3",-76.803175,24.730421,"","PRESENT"
"gbif4",-74.231861,11.249028,"","PRESENT"
"gbif5",-74.231861,11.249028,"","PRESENT"
"gbif6",-74.128361,11.325611,"","PRESENT"
"gbif7",-81.414394,13.365517,"","PRESENT"
"gbif8",-74.128361,11.325611,"","PRESENT"
"gbif9",-75.788861,10.170889,"","PRESENT"
"gbif10",-74.128361,11.325611,"","PRESENT"
"gbif11",-75.890833,9.821944,"","PRESENT"
"gbif12",-75.890833,9.821944,"","PRESENT"
"gbif13",-75.788861,10.170889,"","PRESENT"
"gbif14",-81.733333,12.500417,"","PRESENT"
"gbif15",-75.890833,9.821944,"","PRESENT"
"gbif16",-81.733333,12.500417,"","PRESENT"
"gbif17",-75.788861,10.170889,"","PRESENT"
"gbif18",-75.770639,10.174861,"","PRESENT"
"gbif19",-74.231861,11.249028,"","PRESENT"
"gbif20",-74.192778,11.295889,"","PRESENT"
"gbif21",-74.192778,11.295889,"","PRESENT"
"gbif22",-74.192778,11.295889,"","PRESENT"
"gbif23",-75.746444,10.234194,"","PRESENT"
"gbif24",-81.414394,13.365517,"","PRESENT"
"gbif25",-75.746444,10.234194,"","PRESENT"
"gbif26",-81.414394,13.365517,"","PRESENT"
"gbif27",-74.128611,11.329861,"","PRESENT"
"gbif28",-81.733333,12.500417,"","PRESENT"
"gbif29",-74.128361,11.325611,"","PRESENT"
"gbif30",-75.770639,10.174861,"","PRESENT"
"gbif31",-75.770639,10.174861,"","PRESENT"
"gbif32",-75.785556,9.779444,"","PRESENT"
"gbif33",-81.4032,13.371383,"","PRESENT"
"gbif34",-81.731233,12.513133,"","PRESENT"
"gbif35",-75.890833,9.821944,"","PRESENT"
"gbif36",-77.356667,8.672167,"","PRESENT"
"gbif37",-75.788861,10.170889,"","PRESENT"
"gbif38",-81.731233,12.513133,"","PRESENT"
"gbif39",-81.731233,12.513133,"","PRESENT"
"gbif40",-75.770639,10.174861,"","PRESENT"
"gbif41",-75.770639,10.174861,"","PRESENT"
"gbif42",-81.733333,12.500417,"","PRESENT"
"gbif43",-75.890833,9.821944,"","PRESENT"
"gbif44",-75.785556,9.779444,"","PRESENT"
"gbif45",-75.770639,10.174861,"","PRESENT"
"gbif46",-74.128611,11.329861,"","PRESENT"
"gbif47",-81.731233,12.513133,"","PRESENT"
"gbif48",-74.128611,11.329861,"","PRESENT"
"gbif49",-75.746444,10.234194,"","PRESENT"
"gbif50",-75.865833,9.705833,"","PRESENT"
"gbif51",-75.746444,10.234194,"","PRESENT"
"gbif52",-75.770639,10.174861,"","PRESENT"
"gbif53",-81.414394,13.365517,"","PRESENT"
"gbif54",-75.746444,10.234194,"","PRESENT"
"gbif55",-75.746444,10.234194,"","PRESENT"
"gbif56",-74.128611,11.329861,"","PRESENT"
"gbif57",-75.746444,10.234194,"","PRESENT"
"gbif58",-74.192778,11.295889,"","PRESENT"
"gbif59",-74.116944,11.331361,"","PRESENT"
"gbif60",-75.890833,9.821944,"","PRESENT"
"gbif61",-74.111944,11.339278,"","PRESENT"
"gbif62",-75.785556,9.779444,"","PRESENT"
"gbif63",-75.785556,9.779444,"","PRESENT"
"gbif64",-75.788861,10.170889,"","PRESENT"
"gbif65",-81.733333,12.500417,"","PRESENT"
"gbif66",-81.733333,12.500417,"","PRESENT"
"gbif67",-81.731233,12.513133,"","PRESENT"
"gbif68",-81.733333,12.500417,"","PRESENT"
"gbif69",-77.356667,8.672167,"","PRESENT"
"gbif70",-81.733333,12.500417,"","PRESENT"
"gbif71",-75.788861,10.170889,"","PRESENT"
"gbif72",-81.733333,12.500417,"","PRESENT"
"gbif73",-74.192778,11.295889,"","PRESENT"
"gbif74",-74.192778,11.295889,"","PRESENT"
"gbif75",-74.192778,11.295889,"","PRESENT"
"gbif76",-74.192778,11.295889,"","PRESENT"
"gbif77",-75.770639,10.174861,"","PRESENT"
"gbif78",-74.192778,11.295889,"","PRESENT"
"gbif79",-81.733333,12.500417,"","PRESENT"
"gbif80",-75.746444,10.234194,"","PRESENT"
"gbif81",-75.746444,10.234194,"","PRESENT"
"gbif82",-81.414394,13.365517,"","PRESENT"
"gbif83",-81.7258,12.5687,"","PRESENT"
"gbif84",-81.731233,12.513133,"","PRESENT"
"gbif85",-74.192778,11.295889,"","PRESENT"
"gbif86",-74.192778,11.295889,"","PRESENT"
"gbif87",-75.746444,10.234194,"","PRESENT"
"gbif88",-75.770639,10.174861,"","PRESENT"
"gbif89",-81.731233,12.513133,"","PRESENT"
"gbif90",-74.220889,11.249889,"","PRESENT"
"gbif91",-74.231861,11.249028,"","PRESENT"
"gbif92",-75.770639,10.174861,"","PRESENT"
"gbif93",-75.788861,10.170889,"","PRESENT"
"gbif94",-81.397067,13.398717,"","PRESENT"
"gbif95",-77.358722,8.662139,"","PRESENT"
"gbif96",-75.746444,10.234194,"","PRESENT"
"gbif97",-74.192778,11.295889,"","PRESENT"
"gbif98",-81.731233,12.513133,"","PRESENT"
"gbif99",-81.414394,13.365517,"","PRESENT"
"gbif100",-81.733333,12.500417,"","PRESENT"
"gbif101",-81.414278,13.362367,"","PRESENT"
"gbif102",-75.746444,10.234194,"","PRESENT"
"gbif103",-75.746444,10.234194,"","PRESENT"
"gbif104",-75.788861,10.170889,"","PRESENT"
"gbif105",-75.788861,10.170889,"","PRESENT"
"gbif106",-81.733333,12.500417,"","PRESENT"
"gbif107",-75.746444,10.234194,"","PRESENT"
"gbif108",-75.746444,10.234194,"","PRESENT"
"gbif109",-77.356667,8.672167,"","PRESENT"
"gbif110",-77.356667,8.672167,"","PRESENT"
"gbif111",-81.731233,12.513133,"","PRESENT"
"gbif112",-74.128361,11.325611,"","PRESENT"
"gbif113",-74.128361,11.325611,"","PRESENT"
"gbif114",-75.788861,10.170889,"","PRESENT"
"gbif115",-75.788861,10.170889,"","PRESENT"
"gbif116",-81.731233,12.513133,"","PRESENT"
"gbif117",-74.192778,11.295889,"","PRESENT"
"gbif118",-74.192778,11.295889,"","PRESENT"
"gbif119",-74.128611,11.329861,"","PRESENT"
"gbif120",-75.746444,10.234194,"","PRESENT"
"gbif121",-75.746444,10.234194,"","PRESENT"
"gbif122",-75.866139,9.705528,"","PRESENT"
"gbif123",-74.192778,11.295889,"","PRESENT"
"gbif124",-81.731233,12.513133,"","PRESENT"
"gbif125",-74.192778,11.295889,"","PRESENT"
"gbif126",-74.192778,11.295889,"","PRESENT"
"gbif127",-75.785556,9.779444,"","PRESENT"
"gbif128",-74.192778,11.295889,"","PRESENT"
"gbif129",-81.733333,12.500417,"","PRESENT"
"gbif130",-81.4032,13.371383,"","PRESENT"
"gbif131",-77.356667,8.672167,"","PRESENT"
"gbif132",-81.731233,12.513133,"","PRESENT"
"gbif133",-74.231861,11.249028,"","PRESENT"
"gbif134",-81.731233,12.513133,"","PRESENT"
"gbif135",-75.865833,9.705833,"","PRESENT"
"gbif136",-81.731233,12.513133,"","PRESENT"
"gbif137",-75.866139,9.705528,"","PRESENT"
"gbif138",-81.731233,12.513133,"","PRESENT"
"gbif139",-74.192778,11.295889,"","PRESENT"
"gbif140",-74.192778,11.295889,"","PRESENT"
"gbif141",-74.192778,11.295889,"","PRESENT"
"gbif142",-74.192778,11.295889,"","PRESENT"
"gbif143",-81.731233,12.513133,"","PRESENT"
"gbif144",-81.731233,12.513133,"","PRESENT"
"gbif145",-75.746444,10.234194,"","PRESENT"
"gbif146",-77.358722,8.662139,"","PRESENT"
"gbif147",-75.746444,10.234194,"","PRESENT"
"gbif148",-75.746444,10.234194,"","PRESENT"
"gbif149",-74.128361,11.325611,"","PRESENT"
"gbif150",-75.746444,10.234194,"","PRESENT"
"gbif151",-75.770639,10.174861,"","PRESENT"
"gbif152",-74.128361,11.325611,"","PRESENT"
"gbif153",-75.788861,10.170889,"","PRESENT"
"gbif154",-75.746444,10.234194,"","PRESENT"
"gbif155",-74.192778,11.295889,"","PRESENT"
