"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",25.382773,37.009028,NA,"PRESENT"
"gbif2",23.333695,39.210105,NA,"PRESENT"
"gbif3",23.338616,39.20173,NA,"PRESENT"
"gbif4",19.66881,39.719427,NA,"PRESENT"
"gbif5",3.815516,43.430219,NA,"PRESENT"
"gbif6",14.669354,45.153229,NA,"PRESENT"
"gbif7",13.608915,45.537764,NA,"PRESENT"
"gbif8",5.347307,43.228968,NA,"PRESENT"
"gbif9",3.253718,42.250265,NA,"PRESENT"
"gbif10",9.268136,41.365628,NA,"PRESENT"
"gbif11",8.345506,41.087395,NA,"PRESENT"
"gbif12",14.663781,45.148416,NA,"PRESENT"
"gbif13",23.338114,39.201942,NA,"PRESENT"
"gbif14",14.669054,45.152427,NA,"PRESENT"
"gbif15",2.431071,39.529017,NA,"PRESENT"
"gbif16",3.210134,42.061855,NA,"PRESENT"
"gbif17",14.676726,45.077908,NA,"PRESENT"
"gbif18",9.268136,41.365628,NA,"PRESENT"
"gbif19",9.268136,41.365628,NA,"PRESENT"
"gbif20",9.262633,41.394222,NA,"PRESENT"
"gbif21",9.102734,41.423338,NA,"PRESENT"
"gbif22",10.298756,42.755533,NA,"PRESENT"
"gbif23",14.455343,45.098029,NA,"PRESENT"
"gbif24",9.262633,41.394222,NA,"PRESENT"
"gbif25",1.386644,38.722647,NA,"PRESENT"
"gbif26",3.2226,42.049243,NA,"PRESENT"
"gbif27",10.770358,42.867451,NA,"PRESENT"
"gbif28",17.138994,41.039079,NA,"PRESENT"
"gbif29",3.157919,42.380863,NA,"PRESENT"
"gbif30",14.184123,45.088209,NA,"PRESENT"
"gbif31",7.168272,43.657137,NA,"PRESENT"
"gbif32",13.832501,44.849821,NA,"PRESENT"
"gbif33",8.723889,42.58,NA,"PRESENT"
"gbif34",13.161492,38.707683,NA,"PRESENT"
"gbif35",5.346949,43.228259,NA,"PRESENT"
"gbif36",3.157453,42.381401,NA,"PRESENT"
"gbif37",9.039023,41.468571,NA,"PRESENT"
"gbif38",13.161492,38.707683,NA,"PRESENT"
"gbif39",12.312871,45.304332,NA,"PRESENT"
"gbif40",20.575622,38.461302,NA,"PRESENT"
"gbif41",20.485097,39.21605,NA,"PRESENT"
"gbif42",9.10603,41.135199,NA,"PRESENT"
"gbif43",3.139043,41.848107,NA,"PRESENT"
"gbif44",20.575621,38.461302,NA,"PRESENT"
"gbif45",3.139043,41.848107,NA,"PRESENT"
"gbif46",13.916837,44.767706,NA,"PRESENT"
"gbif47",3.22,41.918889,NA,"PRESENT"
"gbif48",2.467912,39.522275,NA,"PRESENT"
"gbif49",26.939208,37.688182,NA,"PRESENT"
"gbif50",9.402079,41.773561,NA,"PRESENT"
"gbif51",9.331527,41.557027,NA,"PRESENT"
"gbif52",9.247613,41.339346,NA,"PRESENT"
"gbif53",9.247613,41.339346,NA,"PRESENT"
"gbif54",1.385024,38.721732,NA,"PRESENT"
"gbif55",9.331527,41.557027,NA,"PRESENT"
"gbif56",9.397583,41.783638,NA,"PRESENT"
"gbif57",9.331527,41.557027,NA,"PRESENT"
"gbif58",13.834188,44.850419,NA,"PRESENT"
"gbif59",10.4307,42.805631,NA,"PRESENT"
"gbif60",9.331527,41.557027,NA,"PRESENT"
"gbif61",13.833874,44.849221,NA,"PRESENT"
"gbif62",3.127968,41.836577,NA,"PRESENT"
"gbif63",39.85168,43.511249,NA,"PRESENT"
"gbif64",3.158706,42.460866,NA,"PRESENT"
"gbif65",3.225861,42.042231,NA,"PRESENT"
"gbif66",9.216553,44.335461,NA,"PRESENT"
"gbif67",-1.254655,37.568382,NA,"PRESENT"
"gbif68",1.393514,38.73115,NA,"PRESENT"
"gbif69",15.825108,39.672956,NA,"PRESENT"
"gbif70",2.590993,39.536342,NA,"PRESENT"
"gbif71",23.335104,39.209361,NA,"PRESENT"
"gbif72",31.686807,46.469687,NA,"PRESENT"
"gbif73",34.808792,44.818904,NA,"PRESENT"
"gbif74",32.132713,46.515009,NA,"PRESENT"
"gbif75",2.467011,39.490146,NA,"PRESENT"
"gbif76",2.466582,39.490022,NA,"PRESENT"
"gbif77",8.735528,41.797395,NA,"PRESENT"
"gbif78",14.077885,40.821571,NA,"PRESENT"
"gbif79",8.795984,41.696127,NA,"PRESENT"
"gbif80",5.78877,43.070776,NA,"PRESENT"
"gbif81",3.149512,42.478417,NA,"PRESENT"
"gbif82",3.149512,42.478417,NA,"PRESENT"
"gbif83",-2.198142,43.304487,NA,"PRESENT"
"gbif84",-3.411519,36.702502,NA,"PRESENT"
"gbif85",9.404508,41.708628,NA,"PRESENT"
"gbif86",0.824922,40.902255,NA,"PRESENT"
"gbif87",3.136742,42.481962,NA,"PRESENT"
"gbif88",3.134108,42.497067,NA,"PRESENT"
"gbif89",9.338093,41.558263,NA,"PRESENT"
"gbif90",3.146943,39.328237,NA,"PRESENT"
"gbif91",7.536978,43.783431,NA,"PRESENT"
"gbif92",23.332836,39.210879,NA,"PRESENT"
"gbif93",3.811689,43.432818,NA,"PRESENT"
"gbif94",14.564399,38.558236,NA,"PRESENT"
"gbif95",20.226483,39.159863,NA,"PRESENT"
"gbif96",15.240195,38.245352,NA,"PRESENT"
"gbif97",8.72479,42.579843,NA,"PRESENT"
"gbif98",8.724355,42.579375,NA,"PRESENT"
"gbif99",8.72448,42.579785,NA,"PRESENT"
"gbif100",8.725063,42.580601,NA,"PRESENT"
"gbif101",8.724252,42.579844,NA,"PRESENT"
"gbif102",8.724612,42.579488,NA,"PRESENT"
"gbif103",7.564833,43.789907,NA,"PRESENT"
"gbif104",8.724834,42.579711,NA,"PRESENT"
"gbif105",2.431144,39.527776,NA,"PRESENT"
"gbif106",20.7644,38.066943,NA,"PRESENT"
"gbif107",17.209111,40.408687,NA,"PRESENT"
"gbif108",14.375416,35.937496,NA,"PRESENT"
"gbif109",6.310743,37.087924,NA,"PRESENT"
"gbif110",23.448244,40.086083,NA,"PRESENT"
"gbif111",17.342465,42.78819,NA,"PRESENT"
"gbif112",17.342465,42.78819,NA,"PRESENT"
"gbif113",7.157286,37.01454,NA,"PRESENT"
"gbif114",18.483643,40.081511,NA,"PRESENT"
"gbif115",12.328723,45.218667,NA,"PRESENT"
"gbif116",12.328723,45.218667,NA,"PRESENT"
"gbif117",3.231431,41.961478,NA,"PRESENT"
"gbif118",15.133264,37.539445,NA,"PRESENT"
"gbif119",3.158105,42.460707,NA,"PRESENT"
"gbif120",3.787609,43.431003,NA,"PRESENT"
"gbif121",19.919666,39.621671,NA,"PRESENT"
"gbif122",3.159328,42.460261,NA,"PRESENT"
"gbif123",3.159164,42.460245,NA,"PRESENT"
"gbif124",3.159164,42.460245,NA,"PRESENT"
"gbif125",6.390349,43.014147,NA,"PRESENT"
"gbif126",3.168975,42.447109,NA,"PRESENT"
"gbif127",3.785915,43.428561,NA,"PRESENT"
"gbif128",3.159164,42.460245,NA,"PRESENT"
"gbif129",3.168975,42.447109,NA,"PRESENT"
"gbif130",3.785444,43.429375,NA,"PRESENT"
"gbif131",3.51416,43.274147,NA,"PRESENT"
"gbif132",6.390349,43.014147,NA,"PRESENT"
"gbif133",6.390349,43.014147,NA,"PRESENT"
"gbif134",3.159328,42.460261,NA,"PRESENT"
"gbif135",3.168975,42.447109,NA,"PRESENT"
"gbif136",3.13834,41.846983,NA,"PRESENT"
"gbif137",14.691365,44.374537,NA,"PRESENT"
"gbif138",14.77046,44.268683,NA,"PRESENT"
"gbif139",14.770724,44.268034,NA,"PRESENT"
"gbif140",15.149236,37.553302,NA,"PRESENT"
"gbif141",14.862252,44.216254,NA,"PRESENT"
"gbif142",3.790485,43.425974,NA,"PRESENT"
"gbif143",3.133333,42.483333,NA,"PRESENT"
"gbif144",3.133333,42.483333,NA,"PRESENT"
"gbif145",3.51543,43.264,NA,"PRESENT"
"gbif146",8.78945,41.86713,NA,"PRESENT"
"gbif147",5.23658,43.33038,NA,"PRESENT"
"gbif148",9.40854,41.77259,NA,"PRESENT"
"gbif149",9.38702,41.55689,NA,"PRESENT"
"gbif150",3.51543,43.264,NA,"PRESENT"
"gbif151",9.45086,42.69052,NA,"PRESENT"
"gbif152",8.75475,41.85043,NA,"PRESENT"
"gbif153",7.03167,43.52083,NA,"PRESENT"
"gbif154",3.13792,42.51442,NA,"PRESENT"
"gbif155",8.75475,41.85043,NA,"PRESENT"
"gbif156",6.37396,43.00457,NA,"PRESENT"
"gbif157",6.77364,43.4064,NA,"PRESENT"
"gbif158",6.92847,43.45395,NA,"PRESENT"
"gbif159",7.1401,43.54808,NA,"PRESENT"
"gbif160",6.85085,43.40941,NA,"PRESENT"
"gbif161",5.24183,43.33141,NA,"PRESENT"
"gbif162",5.23293,43.32941,NA,"PRESENT"
"gbif163",5.61549,43.16002,NA,"PRESENT"
"gbif164",9.40967,41.7631,NA,"PRESENT"
"gbif165",8.74863,41.84632,NA,"PRESENT"
"gbif166",8.72671,42.58323,NA,"PRESENT"
"gbif167",7.08278,43.54028,NA,"PRESENT"
"gbif168",6.84389,43.40901,NA,"PRESENT"
"gbif169",5.39717,43.17119,NA,"PRESENT"
"gbif170",7.06155,43.52301,NA,"PRESENT"
"gbif171",6.40619,42.99556,NA,"PRESENT"
"gbif172",8.75475,41.85043,NA,"PRESENT"
"gbif173",8.75475,41.85043,NA,"PRESENT"
"gbif174",8.74246,41.8383,NA,"PRESENT"
"gbif175",7.11805,43.54371,NA,"PRESENT"
"gbif176",8.70667,42.56908,NA,"PRESENT"
"gbif177",9.40806,41.82502,NA,"PRESENT"
"gbif178",6.84389,43.40901,NA,"PRESENT"
"gbif179",3.51196,43.26841,NA,"PRESENT"
"gbif180",9.4612,42.70467,NA,"PRESENT"
"gbif181",8.74863,41.84632,NA,"PRESENT"
"gbif182",6.77364,43.4064,NA,"PRESENT"
"gbif183",3.1567,42.47433,NA,"PRESENT"
"gbif184",9.40967,41.7631,NA,"PRESENT"
"gbif185",6.84389,43.40901,NA,"PRESENT"
"gbif186",8.74053,41.83737,NA,"PRESENT"
"gbif187",9.40967,41.7631,NA,"PRESENT"
"gbif188",8.74246,41.8383,NA,"PRESENT"
"gbif189",7.07193,43.51404,NA,"PRESENT"
"gbif190",9.3857,41.55404,NA,"PRESENT"
"gbif191",5.70858,43.14463,NA,"PRESENT"
"gbif192",5.23293,43.32941,NA,"PRESENT"
"gbif193",7.08278,43.54028,NA,"PRESENT"
"gbif194",8.74246,41.8383,NA,"PRESENT"
"gbif195",6.77364,43.4064,NA,"PRESENT"
"gbif196",8.75475,41.85043,NA,"PRESENT"
"gbif197",8.75475,41.85043,NA,"PRESENT"
"gbif198",6.77323,43.40714,NA,"PRESENT"
"gbif199",9.40162,41.79655,NA,"PRESENT"
"gbif200",6.77364,43.4064,NA,"PRESENT"
"gbif201",3.15729,42.47464,NA,"PRESENT"
"gbif202",5.69276,43.14779,NA,"PRESENT"
"gbif203",5.61967,43.15756,NA,"PRESENT"
"gbif204",3.16021,42.4611,NA,"PRESENT"
"gbif205",6.40795,43.01834,NA,"PRESENT"
"gbif206",8.79682,41.69415,NA,"PRESENT"
"gbif207",6.77323,43.40714,NA,"PRESENT"
"gbif208",9.40967,41.7631,NA,"PRESENT"
"gbif209",9.45086,42.69052,NA,"PRESENT"
"gbif210",3.15462,42.47844,NA,"PRESENT"
"gbif211",9.38702,41.55689,NA,"PRESENT"
"gbif212",8.74863,41.84632,NA,"PRESENT"
"gbif213",7.14525,43.55214,NA,"PRESENT"
"gbif214",7.14222,43.57167,NA,"PRESENT"
"gbif215",6.24126,43.02875,NA,"PRESENT"
"gbif216",3.16149,42.47805,NA,"PRESENT"
"gbif217",5.21863,43.32892,NA,"PRESENT"
"gbif218",5.2867,43.27991,NA,"PRESENT"
"gbif219",9.40496,41.77458,NA,"PRESENT"
"gbif220",8.75475,41.85043,NA,"PRESENT"
"gbif221",9.40748,41.82572,NA,"PRESENT"
"gbif222",3.52833,43.2535,NA,"PRESENT"
"gbif223",8.76166,41.85101,NA,"PRESENT"
"gbif224",3.51196,43.26841,NA,"PRESENT"
"gbif225",9.36628,41.55801,NA,"PRESENT"
"gbif226",6.39357,42.98905,NA,"PRESENT"
"gbif227",7.07323,43.51826,NA,"PRESENT"
"gbif228",6.40293,42.99362,NA,"PRESENT"
"gbif229",3.51475,43.27058,NA,"PRESENT"
"gbif230",5.61211,43.16003,NA,"PRESENT"
"gbif231",6.84389,43.40901,NA,"PRESENT"
"gbif232",3.51543,43.264,NA,"PRESENT"
"gbif233",6.77364,43.4064,NA,"PRESENT"
"gbif234",3.13792,42.51442,NA,"PRESENT"
"gbif235",8.72671,42.58323,NA,"PRESENT"
"gbif236",9.40894,41.77007,NA,"PRESENT"
"gbif237",5.30574,43.2855,NA,"PRESENT"
"gbif238",5.23658,43.33038,NA,"PRESENT"
"gbif239",6.77364,43.4064,NA,"PRESENT"
"gbif240",5.61211,43.16003,NA,"PRESENT"
"gbif241",6.77323,43.40714,NA,"PRESENT"
"gbif242",5.38572,43.18864,NA,"PRESENT"
"gbif243",6.15955,43.0071,NA,"PRESENT"
"gbif244",6.77364,43.4064,NA,"PRESENT"
"gbif245",8.74246,41.8383,NA,"PRESENT"
"gbif246",9.40967,41.7631,NA,"PRESENT"
"gbif247",5.2593,43.33861,NA,"PRESENT"
"gbif248",9.40967,41.7631,NA,"PRESENT"
"gbif249",6.84389,43.40901,NA,"PRESENT"
"gbif250",3.89671,43.50449,NA,"PRESENT"
"gbif251",6.77323,43.40714,NA,"PRESENT"
"gbif252",5.23717,43.33,NA,"PRESENT"
"gbif253",3.51196,43.26841,NA,"PRESENT"
"gbif254",6.85085,43.40941,NA,"PRESENT"
"gbif255",9.40967,41.7631,NA,"PRESENT"
"gbif256",5.61967,43.15756,NA,"PRESENT"
"gbif257",6.85085,43.40941,NA,"PRESENT"
"gbif258",7.08278,43.54028,NA,"PRESENT"
"gbif259",8.76928,41.825,NA,"PRESENT"
"gbif260",5.37087,43.17648,NA,"PRESENT"
"gbif261",6.24128,43.03027,NA,"PRESENT"
"gbif262",8.75039,41.84559,NA,"PRESENT"
"gbif263",6.92479,43.46135,NA,"PRESENT"
"gbif264",7.1401,43.54808,NA,"PRESENT"
"gbif265",6.40778,43.11167,NA,"PRESENT"
"gbif266",6.84612,43.40935,NA,"PRESENT"
"gbif267",9.40967,41.7631,NA,"PRESENT"
"gbif268",7.08278,43.54028,NA,"PRESENT"
"gbif269",3.15462,42.47844,NA,"PRESENT"
"gbif270",9.40967,41.7631,NA,"PRESENT"
"gbif271",5.30504,43.28229,NA,"PRESENT"
"gbif272",3.15462,42.47844,NA,"PRESENT"
"gbif273",5.44786,43.20838,NA,"PRESENT"
"gbif274",3.51475,43.27058,NA,"PRESENT"
"gbif275",5.33848,43.20783,NA,"PRESENT"
"gbif276",3.15694,42.47635,NA,"PRESENT"
"gbif277",8.7272,41.90707,NA,"PRESENT"
"gbif278",9.40496,41.77458,NA,"PRESENT"
"gbif279",5.76138,43.08021,NA,"PRESENT"
"gbif280",7.11805,43.54371,NA,"PRESENT"
"gbif281",3.15694,42.47635,NA,"PRESENT"
"gbif282",6.77364,43.4064,NA,"PRESENT"
"gbif283",7.11805,43.54371,NA,"PRESENT"
"gbif284",8.76166,41.85101,NA,"PRESENT"
"gbif285",8.75475,41.85043,NA,"PRESENT"
"gbif286",6.77364,43.4064,NA,"PRESENT"
"gbif287",3.1567,42.47433,NA,"PRESENT"
"gbif288",5.37087,43.17648,NA,"PRESENT"
