"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",-65.705126,43.560257,"","PRESENT"
"gbif2",-73.3458,40.3401,"","PRESENT"
"gbif3",-73.3459,40.3401,"","PRESENT"
"gbif4",-73.5398,40.3934,"","PRESENT"
"gbif5",-73.5398,40.3934,"","PRESENT"
"gbif6",-73.3339,40.3473,"","PRESENT"
"gbif7",-73.5399,40.3934,"","PRESENT"
"gbif8",-73.5398,40.3934,"","PRESENT"
"gbif9",-73.5397,40.3934,"","PRESENT"
"gbif10",-73.5392,40.361,"","PRESENT"
"gbif11",-73.5391,40.3609,"","PRESENT"
"gbif12",-73.5391,40.361,"","PRESENT"
"gbif13",-73.5393,40.361,"","PRESENT"
"gbif14",-73.2877,40.3457,"","PRESENT"
"gbif15",-73.2877,40.3457,"","PRESENT"
"gbif16",-73.2878,40.3457,"","PRESENT"
"gbif17",-63.581689,44.414051,"","PRESENT"
"gbif18",12.98996,44.615495,"","PRESENT"
"gbif19",-69.969825,42.167594,"","PRESENT"
"gbif20",4.166,52.031,"","PRESENT"
"gbif22",7.285595,37.140753,"","PRESENT"
"gbif23",5.12264,43.31435,"","PRESENT"
"gbif24",5.48079,43.11201,"","PRESENT"
"gbif25",5.54546,43.13737,"","PRESENT"
"gbif26",-80.014569,26.998253,"","PRESENT"
"gbif27",16.097864,34.711944,"","PRESENT"
"gbif28",10.78114,58.996868,"","PRESENT"
"gbif29",-89.1537,28.1035,"","PRESENT"
"gbif30",-91.0122,27.2507,"","PRESENT"
"gbif31",-86.983,27.3013,"","PRESENT"
"gbif32",-72.7532,39.7931,"","PRESENT"
"gbif33",-72.7532,39.7931,"","PRESENT"
"gbif34",-72.7532,39.7931,"","PRESENT"
"gbif35",-72.7533,39.7931,"","PRESENT"
"gbif36",-72.7532,39.7931,"","PRESENT"
"gbif37",-72.7531,39.7931,"","PRESENT"
"gbif38",-72.7531,39.7931,"","PRESENT"
"gbif39",-72.7531,39.793,"","PRESENT"
"gbif40",-72.7531,39.793,"","PRESENT"
"gbif41",-72.7531,39.7931,"","PRESENT"
"gbif42",-72.7531,39.7931,"","PRESENT"
"gbif43",-72.7532,39.7931,"","PRESENT"
"gbif44",-72.7532,39.7931,"","PRESENT"
"gbif45",-72.476,40.0235,"","PRESENT"
"gbif46",-72.4758,40.0235,"","PRESENT"
"gbif47",-73.036,39.6035,"","PRESENT"
"gbif48",-73.036,39.6035,"","PRESENT"
"gbif49",-73.036,39.6035,"","PRESENT"
"gbif50",-73.2334,40.4326,"","PRESENT"
"gbif51",-72.6036,39.0783,"","PRESENT"
"gbif52",-72.6037,39.0783,"","PRESENT"
"gbif53",-72.6036,39.0783,"","PRESENT"
"gbif54",-72.6036,39.0783,"","PRESENT"
"gbif55",-72.6051,39.0713,"","PRESENT"
"gbif56",-72.6018,39.0719,"","PRESENT"
"gbif57",-72.6037,39.0783,"","PRESENT"
"gbif58",-72.6037,39.0783,"","PRESENT"
"gbif59",-72.6018,39.0719,"","PRESENT"
"gbif60",-72.6126,39.0954,"","PRESENT"
"gbif61",-72.6123,39.0952,"","PRESENT"
"gbif62",-72.6125,39.0953,"","PRESENT"
"gbif63",-72.6125,39.0954,"","PRESENT"
"gbif64",-72.6122,39.0954,"","PRESENT"
"gbif65",-72.6125,39.0953,"","PRESENT"
"gbif66",-72.6086,39.0918,"","PRESENT"
"gbif67",-72.6089,39.0917,"","PRESENT"
"gbif68",-72.6094,39.0951,"","PRESENT"
"gbif69",-72.6091,39.0918,"","PRESENT"
"gbif70",-72.6145,39.0954,"","PRESENT"
"gbif71",-72.6344,39.1494,"","PRESENT"
"gbif72",-72.6343,39.1495,"","PRESENT"
"gbif73",-72.6346,39.1495,"","PRESENT"
"gbif74",-72.6346,39.1495,"","PRESENT"
"gbif75",-72.6346,39.1495,"","PRESENT"
"gbif76",-72.6345,39.1495,"","PRESENT"
"gbif77",-72.7267,39.0823,"","PRESENT"
"gbif78",-72.7268,39.0824,"","PRESENT"
"gbif79",-72.7268,39.0824,"","PRESENT"
"gbif80",-72.727,39.0823,"","PRESENT"
"gbif81",-72.7268,39.0823,"","PRESENT"
"gbif82",-72.727,39.0823,"","PRESENT"
"gbif83",-72.7269,39.0823,"","PRESENT"
"gbif84",-72.7269,39.0823,"","PRESENT"
"gbif85",-72.7265,39.0824,"","PRESENT"
"gbif86",-70.6512,39.8976,"","PRESENT"
"gbif87",-70.651,39.8976,"","PRESENT"
"gbif88",-72.7266,39.0824,"","PRESENT"
"gbif89",-72.7269,39.0823,"","PRESENT"
"gbif90",-73.1483,39.9086,"","PRESENT"
"gbif91",-73.1484,39.9086,"","PRESENT"
"gbif92",-73.627,40.3561,"","PRESENT"
"gbif93",-73.2272,40.3325,"","PRESENT"
"gbif94",-73.2272,40.3324,"","PRESENT"
"gbif95",-73.2272,40.3324,"","PRESENT"
"gbif96",-73.2273,40.3324,"","PRESENT"
"gbif97",-73.2273,40.3324,"","PRESENT"
"gbif98",-73.4568,40.4045,"","PRESENT"
"gbif99",-73.482,40.4018,"","PRESENT"
"gbif100",-77.2239,34.1246,"","PRESENT"
"gbif101",-77.4826,33.4812,"","PRESENT"
"gbif102",-77.7823,33.9679,"","PRESENT"
"gbif103",-77.6099,33.539,"","PRESENT"
"gbif104",-77.8576,33.4378,"","PRESENT"
"gbif105",-76.4521,34.3075,"","PRESENT"
"gbif106",-76.3865,34.2955,"","PRESENT"
"gbif107",-75.3324,35.8117,"","PRESENT"
"gbif108",-75.3325,35.8117,"","PRESENT"
"gbif109",-75.3611,35.8195,"","PRESENT"
"gbif110",-75.4384,35.9352,"","PRESENT"
"gbif111",-75.5656,36.0805,"","PRESENT"
"gbif112",-75.599,36.0854,"","PRESENT"
"gbif113",-75.6243,36.1584,"","PRESENT"
"gbif114",-75.3604,36.3027,"","PRESENT"
"gbif115",-75.7238,36.3535,"","PRESENT"
"gbif116",-75.6459,36.4227,"","PRESENT"
"gbif117",-76.4491,34.3026,"","PRESENT"
"gbif118",-76.3872,34.2971,"","PRESENT"
"gbif119",-75.8356,35.0226,"","PRESENT"
"gbif120",-75.3325,35.8118,"","PRESENT"
"gbif121",-75.3611,35.8194,"","PRESENT"
"gbif122",-75.4385,35.9352,"","PRESENT"
"gbif123",-75.5679,36.0855,"","PRESENT"
"gbif124",-75.5991,36.0854,"","PRESENT"
"gbif125",-75.6185,36.1594,"","PRESENT"
"gbif126",-75.3604,36.3027,"","PRESENT"
"gbif127",-75.7237,36.3535,"","PRESENT"
"gbif128",-75.035,36.2817,"","PRESENT"
"gbif129",-76.4534,34.3038,"","PRESENT"
"gbif130",-76.3873,34.297,"","PRESENT"
"gbif131",-75.8357,35.0226,"","PRESENT"
"gbif132",-75.3324,35.8117,"","PRESENT"
"gbif133",-75.3325,35.8118,"","PRESENT"
"gbif134",-75.3611,35.8194,"","PRESENT"
"gbif135",-75.4384,35.9352,"","PRESENT"
"gbif136",-75.5678,36.0855,"","PRESENT"
"gbif137",-75.6242,36.1584,"","PRESENT"
"gbif138",-75.3604,36.3027,"","PRESENT"
"gbif139",-75.7238,36.3535,"","PRESENT"
"gbif140",-75.6459,36.4227,"","PRESENT"
"gbif141",-76.4504,34.3009,"","PRESENT"
"gbif142",-76.3873,34.2972,"","PRESENT"
"gbif143",-75.6779,35.0731,"","PRESENT"
"gbif144",-75.3325,35.8118,"","PRESENT"
"gbif145",-75.3715,35.8204,"","PRESENT"
"gbif146",-75.4385,35.9352,"","PRESENT"
"gbif147",-75.5679,36.0855,"","PRESENT"
"gbif148",-75.5991,36.0854,"","PRESENT"
"gbif149",-75.6658,36.3453,"","PRESENT"
"gbif150",-75.7238,36.3535,"","PRESENT"
"gbif151",-76.4452,34.2992,"","PRESENT"
"gbif152",-76.387,34.2969,"","PRESENT"
"gbif153",-75.6812,35.0869,"","PRESENT"
"gbif154",-75.3325,35.8118,"","PRESENT"
"gbif155",-75.4352,35.9366,"","PRESENT"
"gbif156",-75.5864,36.0836,"","PRESENT"
"gbif157",-75.5991,36.0854,"","PRESENT"
"gbif158",-75.6811,36.349,"","PRESENT"
"gbif159",-75.7365,36.3597,"","PRESENT"
"gbif160",-76.4457,34.2991,"","PRESENT"
"gbif161",-76.3869,34.2968,"","PRESENT"
"gbif162",-75.6812,35.0869,"","PRESENT"
"gbif163",-75.3325,35.8118,"","PRESENT"
"gbif164",-75.3715,35.8203,"","PRESENT"
"gbif165",-75.4386,35.9351,"","PRESENT"
"gbif166",-75.568,36.0857,"","PRESENT"
"gbif167",-75.5991,36.0854,"","PRESENT"
"gbif168",-75.7322,36.3577,"","PRESENT"
"gbif169",-76.447,34.3025,"","PRESENT"
"gbif170",-76.3872,34.2971,"","PRESENT"
"gbif171",-75.6811,35.0869,"","PRESENT"
"gbif172",-75.3716,35.8203,"","PRESENT"
"gbif173",-75.4386,35.9351,"","PRESENT"
"gbif174",-75.568,36.0857,"","PRESENT"
"gbif175",-75.599,36.0853,"","PRESENT"
"gbif176",-75.6811,36.3489,"","PRESENT"
"gbif177",-75.7238,36.3536,"","PRESENT"
"gbif178",-76.446,34.2979,"","PRESENT"
