"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",133.125,31.05,"","PRESENT"
"gbif2",133.125,31.05,"","PRESENT"
"gbif3",133.125,31.05,"","PRESENT"
"gbif4",137.17,33.576667,"","PRESENT"
"gbif5",136.3,28.4,"","PRESENT"
"gbif6",136.866667,31.4,"","PRESENT"
"gbif7",128.983333,28.5,"","PRESENT"
"gbif8",87.083333,-8.466667,"","PRESENT"
"gbif9",109.5,-11.266667,"","PRESENT"
"gbif10",143.535,39.01,"","PRESENT"
"gbif11",143.501667,39.033333,"","PRESENT"
"gbif12",127.118333,26.536667,"","PRESENT"
"gbif13",133.728333,33.08,"","PRESENT"
"gbif14",139.75,34.9,"","PRESENT"
"gbif15",142.168056,37.695,"","PRESENT"
"gbif16",142.11,37.753333,"","PRESENT"
"gbif17",133.816667,33.098333,"","PRESENT"
"gbif18",135.158333,32.345,"","PRESENT"
"gbif19",133.125,31.05,"","PRESENT"
"gbif20",143.513333,40.006667,"","PRESENT"
"gbif21",142.543889,38.031667,"","PRESENT"
"gbif22",142.026944,38.941667,"","PRESENT"
"gbif23",142.166667,38.383333,"","PRESENT"
"gbif24",-61.266667,14.633333,"","PRESENT"
"gbif25",33.316667,-29.7,"","PRESENT"
"gbif26",-132.920333,53.1815,"","PRESENT"
"gbif27",-127.274333,49.432333,"","PRESENT"
"gbif28",-9.48125,59.12861,"","PRESENT"
"gbif29",-6.647805,-14.7627,"","PRESENT"
"gbif30",-5.882954,-12.8531,"","PRESENT"
"gbif31",-5.549352,-15.8967,"","PRESENT"
"gbif32",-67.548,39.9783,"","PRESENT"
"gbif33",-67.4321,39.785,"","PRESENT"
"gbif34",-67.3492,40.0896,"","PRESENT"
"gbif35",-67.548,39.9783,"","PRESENT"
"gbif36",-108.818,23.6917,"","PRESENT"
"gbif37",-67.3492,40.0896,"","PRESENT"
"gbif38",-67.7522,39.9256,"","PRESENT"
"gbif39",-67.3492,40.0896,"","PRESENT"
"gbif40",-67.371,39.775,"","PRESENT"
"gbif41",-67.7522,39.9256,"","PRESENT"
"gbif42",-67.7522,39.9256,"","PRESENT"
"gbif43",-67.7522,39.9256,"","PRESENT"
"gbif44",-67.4653,40.0477,"","PRESENT"
"gbif45",-67.4292,40.0646,"","PRESENT"
"gbif46",175.2135,-42.715666,"","PRESENT"
"gbif47",176.434333,-42.924333,"","PRESENT"
"gbif48",-177.7435,-42.839833,"","PRESENT"
"gbif49",-177.5,-42.7,"","PRESENT"
"gbif50",165.918167,-50.066833,"","PRESENT"
"gbif51",-178.003,-42.4541,"","PRESENT"
"gbif52",178.316667,-39.399667,"","PRESENT"
"gbif53",-177.1167,-44.8,"","PRESENT"
"gbif54",148.751495,-47.5005,"","PRESENT"
"gbif55",-174.296334,-43.8965,"","PRESENT"
"gbif56",176.805333,-40.951833,"","PRESENT"
"gbif57",175.8265,-42.966,"","PRESENT"
"gbif58",-178.5065,-31.450667,"","PRESENT"
"gbif59",178.7,-47.3,"","PRESENT"
"gbif60",174.597167,-42.910333,"","PRESENT"
"gbif61",174.567,-42.924667,"","PRESENT"
"gbif62",171.6695,-34.80483,"","PRESENT"
"gbif63",174.597167,-42.910333,"","PRESENT"
"gbif64",-173.906333,-43.113833,"","PRESENT"
"gbif65",-73.6106,-17.4078,"","PRESENT"
"gbif66",-73.1014,-17.8211,"","PRESENT"
"gbif67",-71.3536,-23.3719,"","PRESENT"
"gbif68",-79.295,-10.9569,"","PRESENT"
"gbif69",23.866667,-35.133333,"","PRESENT"
"gbif70",14.333333,-30,"","PRESENT"
"gbif71",25.419833,-34.572833,"","PRESENT"
"gbif72",130.26,-34.0723,"","PRESENT"
"gbif73",149.5282,-38.4596,"","PRESENT"
"gbif74",-66.994,39.86817,"","PRESENT"
"gbif75",-67.50748,39.96022,"","PRESENT"
"gbif76",-67.4635,39.877,"","PRESENT"
"gbif77",-67.40633,39.8435,"","PRESENT"
"gbif78",-66.91783,39.78817,"","PRESENT"
"gbif79",-67.44067,39.84817,"","PRESENT"
"gbif80",-70.25733,39.59717,"","PRESENT"
"gbif81",-70.26467,39.197,"","PRESENT"
"gbif82",-67.48168,39.84412,"","PRESENT"
"gbif83",-67.03617,39.86367,"","PRESENT"
"gbif84",-67.43967,39.84517,"","PRESENT"
"gbif85",-67.45252,39.87568,"","PRESENT"
"gbif86",-67.4285,39.96133,"","PRESENT"
"gbif87",-67.34133,39.90533,"","PRESENT"
"gbif88",-67.4045,39.84533,"","PRESENT"
"gbif89",-67.33037,39.9605,"","PRESENT"
"gbif90",-67.32967,39.909,"","PRESENT"
"gbif91",-67.45038,39.84303,"","PRESENT"
"gbif92",-21.01,20.9,"","PRESENT"
"gbif93",-118.19417,32.62292,"","PRESENT"
"gbif94",-178.005,-42.756833,"","PRESENT"
"gbif95",-58.7647,43.7319,"","PRESENT"
"gbif96",-59,43.3,"","PRESENT"
"gbif97",-58.7647,43.847,"","PRESENT"
"gbif98",-67.407765,39.898525,"","PRESENT"
"gbif99",-67.407765,39.898525,"","PRESENT"
"gbif100",-67.407765,39.898525,"","PRESENT"
"gbif101",-58.7647,43.847,"","PRESENT"
"gbif102",-59.0115,44.0195,"","PRESENT"
"gbif103",174.560166,-42.935666,"","PRESENT"
"gbif104",178.570833,-38.902167,"","PRESENT"
"gbif105",174.195167,-42.353667,"","PRESENT"
"gbif106",-117.54785,32.70085,"NATIVE","PRESENT"
"gbif107",-123.06157,34.68067,"NATIVE","PRESENT"
"gbif108",-117.509083,32.67175,"NATIVE","PRESENT"
"gbif109",-117.483,32.596,"NATIVE","PRESENT"
"gbif110",-117.455,32.5983,"NATIVE","PRESENT"
"gbif111",-11.826667,37.011667,"","PRESENT"
"gbif112",-54.78,14.1,"","PRESENT"
