"sampid","decimalLongitude","decimalLatitude","establishmentMeans","occurrenceStatus"
"gbif1",123.194281,9.569048,NA,"PRESENT"
"gbif2",123.194281,9.569048,NA,"PRESENT"
"gbif3",123.194281,9.569048,NA,"PRESENT"
"gbif4",124.261567,10.179623,NA,"PRESENT"
"gbif5",124.261567,10.179623,NA,"PRESENT"
"gbif6",102.7442,5.6517,NA,"PRESENT"
"gbif7",102.7442,5.6517,NA,"PRESENT"
"gbif8",102.7442,5.6517,NA,"PRESENT"
"gbif9",102.7442,5.6517,NA,"PRESENT"
"gbif10",102.7442,5.6517,NA,"PRESENT"
"gbif11",102.7106,5.6827,NA,"PRESENT"
"gbif12",103.63,1.38,NA,"PRESENT"
"gbif13",147.885,-6.6983,NA,"PRESENT"
"gbif14",143.6,-3.5417,NA,"PRESENT"
"gbif15",127.93,0.97,NA,"PRESENT"
"gbif16",127.67,0.87,NA,"PRESENT"
"gbif17",127.68,0.88,NA,"PRESENT"
"gbif18",123.241,9.4125,NA,"PRESENT"
"gbif19",100.239,5.3561,NA,"PRESENT"
"gbif20",119.401948,4.717582,NA,"PRESENT"
"gbif21",124.645371,8.494721,NA,"PRESENT"
"gbif22",157.52422,-8.286134,NA,"PRESENT"
"gbif23",120.798354,13.803217,NA,"PRESENT"
"gbif24",167.165,-15.523,NA,"PRESENT"
"gbif25",120.12,23.02,NA,"PRESENT"
