link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJDB7819_Zenarchopterus-dunckeri	DRR163784	sample0	dummy	BioSample: SAMD00155017; SRA: DRS091458		PAIRED	1704870	1235425
PRJDB7819_Zenarchopterus-dunckeri	DRR163785	sample1	dummy	BioSample: SAMD00155018; SRA: DRS091459		PAIRED	1580032	1241118
PRJDB7819_Zenarchopterus-dunckeri	DRR163786	sample2	dummy	BioSample: SAMD00155019; SRA: DRS091460		PAIRED	1488234	1178321
PRJDB7819_Zenarchopterus-dunckeri	DRR163787	sample3	dummy	BioSample: SAMD00155020; SRA: DRS091461		PAIRED	1332271	1051651
PRJDB7819_Zenarchopterus-dunckeri	DRR163788	sample4	dummy	BioSample: SAMD00155021; SRA: DRS091462		PAIRED	1378002	1079424
PRJDB7819_Zenarchopterus-dunckeri	DRR163789	sample5	dummy	BioSample: SAMD00155022; SRA: DRS091463		PAIRED	1318527	1077655
PRJDB7819_Zenarchopterus-dunckeri	DRR163790	sample6	dummy	BioSample: SAMD00155023; SRA: DRS091464		PAIRED	1510062	1211788
PRJDB7819_Zenarchopterus-dunckeri	DRR163791	sample7	dummy	BioSample: SAMD00155024; SRA: DRS091465		PAIRED	1441930	1114725
PRJDB7819_Zenarchopterus-dunckeri	DRR163792	sample8	dummy	BioSample: SAMD00155025; SRA: DRS091466		PAIRED	1447640	1112314
PRJDB7819_Zenarchopterus-dunckeri	DRR163793	sample9	dummy	BioSample: SAMD00155026; SRA: DRS091467		PAIRED	1442949	1093349
PRJDB7819_Zenarchopterus-dunckeri	DRR163794	sample10	dummy	BioSample: SAMD00155027; SRA: DRS091468		PAIRED	1332977	1088682
PRJDB7819_Zenarchopterus-dunckeri	DRR163795	sample11	dummy	BioSample: SAMD00155028; SRA: DRS091469		PAIRED	1300580	1033781
PRJDB7819_Zenarchopterus-dunckeri	DRR163796	sample12	dummy	BioSample: SAMD00155029; SRA: DRS091470		PAIRED	1460476	1152537
PRJDB7819_Zenarchopterus-dunckeri	DRR163797	sample13	dummy	BioSample: SAMD00155030; SRA: DRS091471		PAIRED	1451955	1151354
PRJDB7819_Zenarchopterus-dunckeri	DRR163798	sample14	dummy	BioSample: SAMD00155031; SRA: DRS091472		PAIRED	1475340	1192052
PRJDB7819_Zenarchopterus-dunckeri	DRR163799	sample15	dummy	BioSample: SAMD00155032; SRA: DRS091473		PAIRED	1495084	1174495
PRJDB7819_Zenarchopterus-dunckeri	DRR163800	sample16	dummy	BioSample: SAMD00155033; SRA: DRS091474		PAIRED	1378848	1072496
PRJDB7819_Zenarchopterus-dunckeri	DRR163801	sample17	dummy	BioSample: SAMD00155034; SRA: DRS091475		PAIRED	1237765	986820
PRJDB7819_Zenarchopterus-dunckeri	DRR163802	sample18	dummy	BioSample: SAMD00155035; SRA: DRS091476		PAIRED	1327091	1038447
PRJDB7819_Zenarchopterus-dunckeri	DRR163803	sample19	dummy	BioSample: SAMD00155036; SRA: DRS091477		PAIRED	1332757	960671
PRJDB7819_Zenarchopterus-dunckeri	DRR163804	sample20	dummy	BioSample: SAMD00155037; SRA: DRS091478		PAIRED	1167950	930899
PRJDB7819_Zenarchopterus-dunckeri	DRR163805	sample21	dummy	BioSample: SAMD00155038; SRA: DRS091479		PAIRED	1383675	1067798
PRJDB7819_Zenarchopterus-dunckeri	DRR163806	sample22	dummy	BioSample: SAMD00155039; SRA: DRS091480		PAIRED	1379954	1083846
PRJDB7819_Zenarchopterus-dunckeri	DRR163807	sample23	dummy	BioSample: SAMD00155040; SRA: DRS091481		PAIRED	1337925	1021195
PRJDB7819_Zenarchopterus-dunckeri	DRR163808	sample24	dummy	BioSample: SAMD00155041; SRA: DRS091482		PAIRED	1273832	1024232
PRJDB7819_Zenarchopterus-dunckeri	DRR163809	sample25	dummy	BioSample: SAMD00155042; SRA: DRS091483		PAIRED	1412465	1118456
PRJDB7819_Zenarchopterus-dunckeri	DRR163810	sample26	dummy	BioSample: SAMD00155043; SRA: DRS091484		PAIRED	1395236	1108457
PRJDB7819_Zenarchopterus-dunckeri	DRR163811	sample27	dummy	BioSample: SAMD00155044; SRA: DRS091485		PAIRED	1602950	1294809
PRJDB7819_Zenarchopterus-dunckeri	DRR163812	sample28	dummy	BioSample: SAMD00155045; SRA: DRS091486		PAIRED	1642660	1319617
PRJDB7819_Zenarchopterus-dunckeri	DRR163813	sample29	dummy	BioSample: SAMD00155046; SRA: DRS091487		PAIRED	1302096	1022259
PRJDB7819_Zenarchopterus-dunckeri	DRR163814	sample30	dummy	BioSample: SAMD00155047; SRA: DRS091488		PAIRED	1432702	1123099
PRJDB7819_Zenarchopterus-dunckeri	DRR163815	sample31	dummy	BioSample: SAMD00155048; SRA: DRS091489		PAIRED	1709029	1345335
PRJDB7819_Zenarchopterus-dunckeri	DRR163816	sample32	dummy	BioSample: SAMD00155049; SRA: DRS091490		PAIRED	1262661	975767
PRJDB7819_Zenarchopterus-dunckeri	DRR163817	sample33	dummy	BioSample: SAMD00155050; SRA: DRS091491		PAIRED	1538690	1242987
PRJDB7819_Zenarchopterus-dunckeri	DRR163818	sample34	dummy	BioSample: SAMD00155051; SRA: DRS091492		PAIRED	1309044	1010526
PRJDB7819_Zenarchopterus-dunckeri	DRR163819	sample35	dummy	BioSample: SAMD00155052; SRA: DRS091493		PAIRED	1373745	1088783
PRJDB7819_Zenarchopterus-dunckeri	DRR163820	sample36	dummy	BioSample: SAMD00155053; SRA: DRS091494		PAIRED	1390977	1127733
PRJDB7819_Zenarchopterus-dunckeri	DRR163821	sample37	dummy	BioSample: SAMD00155054; SRA: DRS091495		PAIRED	1260977	1021085
PRJDB7819_Zenarchopterus-dunckeri	DRR163822	sample38	dummy	BioSample: SAMD00155055; SRA: DRS091496		PAIRED	1552801	1233510
PRJDB7819_Zenarchopterus-dunckeri	DRR163823	sample39	dummy	BioSample: SAMD00155056; SRA: DRS091497		PAIRED	1433223	1140557
PRJDB7819_Zenarchopterus-dunckeri	DRR163824	sample40	dummy	BioSample: SAMD00155057; SRA: DRS091498		PAIRED	1550885	1185113
PRJDB7819_Zenarchopterus-dunckeri	DRR163825	sample41	dummy	BioSample: SAMD00155058; SRA: DRS091499		PAIRED	1534620	1201595
PRJDB7819_Zenarchopterus-dunckeri	DRR163826	sample42	dummy	BioSample: SAMD00155059; SRA: DRS091500		PAIRED	1321141	1006462
PRJDB7819_Zenarchopterus-dunckeri	DRR163827	sample43	dummy	BioSample: SAMD00155060; SRA: DRS091501		PAIRED	1474589	1114359
PRJDB7819_Zenarchopterus-dunckeri	DRR163828	sample44	dummy	BioSample: SAMD00155061; SRA: DRS091502		PAIRED	1419259	1130470
PRJDB7819_Zenarchopterus-dunckeri	DRR163829	sample45	dummy	BioSample: SAMD00155062; SRA: DRS091503		PAIRED	1368590	1064015
PRJDB7819_Zenarchopterus-dunckeri	DRR163830	sample46	dummy	BioSample: SAMD00155063		PAIRED	1412230	1119045
PRJDB7819_Zenarchopterus-dunckeri	DRR163831	sample47	dummy	BioSample: SAMD00155064; SRA: DRS091505		PAIRED	1534698	1116429
PRJDB7819_Zenarchopterus-dunckeri	DRR163832	sample48	dummy	BioSample: SAMD00155065; SRA: DRS091506		PAIRED	1443630	1152419
PRJDB7819_Zenarchopterus-dunckeri	DRR163833	sample49	dummy	BioSample: SAMD00155066; SRA: DRS091507		PAIRED	1456554	1154525
PRJDB7819_Zenarchopterus-dunckeri	DRR163834	sample50	dummy	BioSample: SAMD00155067; SRA: DRS091508		PAIRED	1577147	1152225
PRJDB7819_Zenarchopterus-dunckeri	DRR163835	sample51	dummy	BioSample: SAMD00155068; SRA: DRS091509		PAIRED	1584765	1011124
