link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA280898_Lagenorhynchus-acutus	SRR2006121	sample0	dummy	BioSample: SAMN03480479; Sample name: FAE_2; SRA: SRS927704		SINGLE	4467368	4467368
PRJNA280898_Lagenorhynchus-acutus	SRR2006122	sample1	dummy	BioSample: SAMN03480480; Sample name: FAE_609; SRA: SRS927703		SINGLE	31173429	31173429
PRJNA280898_Lagenorhynchus-acutus	SRR2006123	sample2	dummy	BioSample: SAMN03480481; Sample name: FAE_660; SRA: SRS927702		SINGLE	3229075	3229075
PRJNA280898_Lagenorhynchus-acutus	SRR2006124	sample3	dummy	BioSample: SAMN03480482; Sample name: FAE_667; SRA: SRS927701		SINGLE	6642148	6642148
PRJNA280898_Lagenorhynchus-acutus	SRR2006125	sample4	dummy	BioSample: SAMN03480483; Sample name: FAE_668; SRA: SRS927700		SINGLE	1878331	1878331
PRJNA280898_Lagenorhynchus-acutus	SRR2006126	sample5	dummy	BioSample: SAMN03480484; Sample name: FAE_671; SRA: SRS927699		SINGLE	558379	558379
PRJNA280898_Lagenorhynchus-acutus	SRR2006127	sample6	dummy	BioSample: SAMN03480485; Sample name: FAE_673; SRA: SRS927698		SINGLE	195101	195101
PRJNA280898_Lagenorhynchus-acutus	SRR2006128	sample7	dummy	BioSample: SAMN03480486; Sample name: FAE_394; SRA: SRS927697		SINGLE	4560867	4560867
PRJNA280898_Lagenorhynchus-acutus	SRR2006129	sample8	dummy	BioSample: SAMN03480487; Sample name: FAE_805; SRA: SRS927696		SINGLE	205315	205315
PRJNA280898_Lagenorhynchus-acutus	SRR2006130	sample9	dummy	BioSample: SAMN03480488; Sample name: FAE_808; SRA: SRS927694		SINGLE	1108426	1108426
PRJNA280898_Lagenorhynchus-acutus	SRR2006131	sample10	dummy	BioSample: SAMN03480489; Sample name: FAE_825; SRA: SRS927695		SINGLE	132522	132522
PRJNA280898_Lagenorhynchus-acutus	SRR2006132	sample11	dummy	BioSample: SAMN03480490; Sample name: FAE_826; SRA: SRS927693		SINGLE	1067459	1067459
PRJNA280898_Lagenorhynchus-acutus	SRR2006133	sample12	dummy	BioSample: SAMN03480491; Sample name: FAE_827; SRA: SRS927691		SINGLE	1877065	1877065
PRJNA280898_Lagenorhynchus-acutus	SRR2006134	sample13	dummy	BioSample: SAMN03480492; Sample name: FAE_828; SRA: SRS927692		SINGLE	1285243	1285243
PRJNA280898_Lagenorhynchus-acutus	SRR2006135	sample14	dummy	BioSample: SAMN03480493; Sample name: FAE_900; SRA: SRS927690		SINGLE	764485	764485
PRJNA280898_Lagenorhynchus-acutus	SRR2006136	sample15	dummy	BioSample: SAMN03480494; Sample name: FAE_903; SRA: SRS927689		SINGLE	220491	220491
PRJNA280898_Lagenorhynchus-acutus	SRR2006137	sample16	dummy	BioSample: SAMN03480495; Sample name: FAE_924; SRA: SRS927688		SINGLE	2059785	2059785
PRJNA280898_Lagenorhynchus-acutus	SRR2006138	sample17	dummy	BioSample: SAMN03480496; Sample name: FAE_926; SRA: SRS927687		SINGLE	1245416	1245416
PRJNA280898_Lagenorhynchus-acutus	SRR2006139	sample18	dummy	BioSample: SAMN03480497; Sample name: FRA_1080; SRA: SRS927686		SINGLE	2241297	2241297
PRJNA280898_Lagenorhynchus-acutus	SRR2006140	sample19	dummy	BioSample: SAMN03480498; Sample name: GER_6506; SRA: SRS927685		SINGLE	654672	654672
PRJNA280898_Lagenorhynchus-acutus	SRR2006141	sample20	dummy	BioSample: SAMN03480499; Sample name: IRE_116; SRA: SRS927684		SINGLE	1863774	1863774
PRJNA280898_Lagenorhynchus-acutus	SRR2006142	sample21	dummy	BioSample: SAMN03480500; Sample name: IRE_11Cork; SRA: SRS927683		SINGLE	1352877	1352877
PRJNA280898_Lagenorhynchus-acutus	SRR2006143	sample22	dummy	BioSample: SAMN03480501; Sample name: IRE_124; SRA: SRS927682		SINGLE	1523557	1523557
PRJNA280898_Lagenorhynchus-acutus	SRR2006144	sample23	dummy	BioSample: SAMN03480502; Sample name: IRE_1; SRA: SRS927681		SINGLE	3223917	3223917
PRJNA280898_Lagenorhynchus-acutus	SRR2006145	sample24	dummy	BioSample: SAMN03480503; Sample name: IRE_25Cork; SRA: SRS927679		SINGLE	2065974	2065974
PRJNA280898_Lagenorhynchus-acutus	SRR2006146	sample25	dummy	BioSample: SAMN03480504; Sample name: IRE_300; SRA: SRS927680		SINGLE	677420	677420
PRJNA280898_Lagenorhynchus-acutus	SRR2006147	sample26	dummy	BioSample: SAMN03480505; Sample name: IRE_352; SRA: SRS927678		SINGLE	1725926	1725926
PRJNA280898_Lagenorhynchus-acutus	SRR2006148	sample27	dummy	BioSample: SAMN03480506; Sample name: IRE_72; SRA: SRS927677		SINGLE	4474508	4474508
PRJNA280898_Lagenorhynchus-acutus	SRR2006149	sample28	dummy	BioSample: SAMN03480507; Sample name: IRE_9Cork; SRA: SRS927676		SINGLE	5247895	5247895
PRJNA280898_Lagenorhynchus-acutus	SRR2006150	sample29	dummy	BioSample: SAMN03480508; Sample name: IRE_93; SRA: SRS927674		SINGLE	2418254	2418254
PRJNA280898_Lagenorhynchus-acutus	SRR2006151	sample30	dummy	BioSample: SAMN03480509; Sample name: IRE_16Cork; SRA: SRS927675		SINGLE	430196	430196
PRJNA280898_Lagenorhynchus-acutus	SRR2006152	sample31	dummy	BioSample: SAMN03480510; Sample name: IRE_WSD1_00; SRA: SRS927673		SINGLE	193949	193949
PRJNA280898_Lagenorhynchus-acutus	SRR2006153	sample32	dummy	BioSample: SAMN03480511; Sample name: SCO_E_M22207; SRA: SRS927672		SINGLE	398515	398515
PRJNA280898_Lagenorhynchus-acutus	SRR2006154	sample33	dummy	BioSample: SAMN03480512; Sample name: SCO_E_M22611; SRA: SRS927671		SINGLE	974671	974671
PRJNA280898_Lagenorhynchus-acutus	SRR2006155	sample34	dummy	BioSample: SAMN03480513; Sample name: SCO_E_M5707; SRA: SRS927670		SINGLE	1914189	1914189
PRJNA280898_Lagenorhynchus-acutus	SRR2006156	sample35	dummy	BioSample: SAMN03480514; Sample name: SCO_SHET_M10506; SRA: SRS927669		SINGLE	2922696	2922696
PRJNA280898_Lagenorhynchus-acutus	SRR2006157	sample36	dummy	BioSample: SAMN03480515; Sample name: SCO_SHET_M15806; SRA: SRS927668		SINGLE	6476866	6476866
PRJNA280898_Lagenorhynchus-acutus	SRR2006158	sample37	dummy	BioSample: SAMN03480516; Sample name: SCO_SHET_M9201; SRA: SRS927667		SINGLE	549680	549680
PRJNA280898_Lagenorhynchus-acutus	SRR2006159	sample38	dummy	BioSample: SAMN03480517; Sample name: SCO_W_M10007; SRA: SRS927666		SINGLE	3483079	3483079
PRJNA280898_Lagenorhynchus-acutus	SRR2006160	sample39	dummy	BioSample: SAMN03480518; Sample name: SCO_W_M17107; SRA: SRS927663		SINGLE	2098885	2098885
PRJNA280898_Lagenorhynchus-acutus	SRR2006161	sample40	dummy	BioSample: SAMN03480519; Sample name: SCO_W_M17507; SRA: SRS927665		SINGLE	1359972	1359972
PRJNA280898_Lagenorhynchus-acutus	SRR2006162	sample41	dummy	BioSample: SAMN03480520; Sample name: SCO_W_M22311; SRA: SRS927664		SINGLE	2617757	2617757
PRJNA280898_Lagenorhynchus-acutus	SRR2006163	sample42	dummy	BioSample: SAMN03480521; Sample name: SCO_W_M24411; SRA: SRS927662		SINGLE	877646	877646
