link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA280898_Lagenorhynchus-albirostris	SRR2006164	sample0	dummy	BioSample: SAMN03480522; Sample name: DEN_109; SRA: SRS927661		SINGLE	486949	486949
PRJNA280898_Lagenorhynchus-albirostris	SRR2006165	sample1	dummy	BioSample: SAMN03480523; Sample name: DEN_113; SRA: SRS927660		SINGLE	1766197	1766197
PRJNA280898_Lagenorhynchus-albirostris	SRR2006166	sample2	dummy	BioSample: SAMN03480524; Sample name: DEN_128; SRA: SRS927659		SINGLE	1305701	1305701
PRJNA280898_Lagenorhynchus-albirostris	SRR2006167	sample3	dummy	BioSample: SAMN03480525; Sample name: DEN_24; SRA: SRS927658		SINGLE	1509154	1509154
PRJNA280898_Lagenorhynchus-albirostris	SRR2006168	sample4	dummy	BioSample: SAMN03480526; Sample name: DEN_247; SRA: SRS927657		SINGLE	1431318	1431318
PRJNA280898_Lagenorhynchus-albirostris	SRR2006169	sample5	dummy	BioSample: SAMN03480527; Sample name: DEN_265; SRA: SRS927656		SINGLE	1647840	1647840
PRJNA280898_Lagenorhynchus-albirostris	SRR2006170	sample6	dummy	BioSample: SAMN03480528; Sample name: NOR_14502; SRA: SRS927655		SINGLE	1213769	1213769
PRJNA280898_Lagenorhynchus-albirostris	SRR2006171	sample7	dummy	BioSample: SAMN03480529; Sample name: FRA_9912071; SRA: SRS927653		SINGLE	1009364	1009364
PRJNA280898_Lagenorhynchus-albirostris	SRR2006172	sample8	dummy	BioSample: SAMN03480530; Sample name: GER_1160; SRA: SRS927654		SINGLE	1894163	1894163
PRJNA280898_Lagenorhynchus-albirostris	SRR2006173	sample9	dummy	BioSample: SAMN03480531; Sample name: GER_16411; SRA: SRS927652		SINGLE	7061599	7061599
PRJNA280898_Lagenorhynchus-albirostris	SRR2006174	sample10	dummy	BioSample: SAMN03480532; Sample name: GER_17551; SRA: SRS927651		SINGLE	1683509	1683509
PRJNA280898_Lagenorhynchus-albirostris	SRR2006175	sample11	dummy	BioSample: SAMN03480533; Sample name: GER_17889; SRA: SRS927650		SINGLE	805979	805979
PRJNA280898_Lagenorhynchus-albirostris	SRR2006176	sample12	dummy	BioSample: SAMN03480534; Sample name: GER_17928; SRA: SRS927648		SINGLE	528844	528844
PRJNA280898_Lagenorhynchus-albirostris	SRR2006177	sample13	dummy	BioSample: SAMN03480535; Sample name: GER_18088; SRA: SRS927649		SINGLE	594826	594826
PRJNA280898_Lagenorhynchus-albirostris	SRR2006178	sample14	dummy	BioSample: SAMN03480536; Sample name: GER_18089; SRA: SRS927647		SINGLE	247646	247646
