link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA286089_Sphyrna-tiburo	SRR2058789	sample0	dummy	BioSample: SAMN03764751; Sample name: TB_001; SRA: SRS956393		SINGLE	3302841	3211960
PRJNA286089_Sphyrna-tiburo	SRR2058790	sample1	dummy	BioSample: SAMN03764752; Sample name: TB_003; SRA: SRS957986		SINGLE	1139865	1104183
PRJNA286089_Sphyrna-tiburo	SRR2058791	sample2	dummy	BioSample: SAMN03764753; Sample name: TB_004; SRA: SRS957985		SINGLE	2340449	2275500
PRJNA286089_Sphyrna-tiburo	SRR2058792	sample3	dummy	BioSample: SAMN03764754; Sample name: TB_005; SRA: SRS957984		SINGLE	874131	849079
PRJNA286089_Sphyrna-tiburo	SRR2058793	sample4	dummy	BioSample: SAMN03764755; Sample name: TB_006; SRA: SRS957983		SINGLE	976879	950071
PRJNA286089_Sphyrna-tiburo	SRR2058794	sample5	dummy	BioSample: SAMN03764756; Sample name: TB_007; SRA: SRS957982		SINGLE	1631988	1580164
PRJNA286089_Sphyrna-tiburo	SRR2058795	sample6	dummy	BioSample: SAMN03764757; Sample name: TB_008; SRA: SRS957980		SINGLE	1062922	1036582
PRJNA286089_Sphyrna-tiburo	SRR2058796	sample7	dummy	BioSample: SAMN03764758; Sample name: TB_009; SRA: SRS957981		SINGLE	3674688	3586006
PRJNA286089_Sphyrna-tiburo	SRR2058797	sample8	dummy	BioSample: SAMN03764759; Sample name: TB_010; SRA: SRS957979		SINGLE	3469703	3375717
PRJNA286089_Sphyrna-tiburo	SRR2058798	sample9	dummy	BioSample: SAMN03764760; Sample name: TB_011; SRA: SRS957978		SINGLE	7321049	7106154
PRJNA286089_Sphyrna-tiburo	SRR2058799	sample10	dummy	BioSample: SAMN03764761; Sample name: TB_012; SRA: SRS957977		SINGLE	3834548	3719752
PRJNA286089_Sphyrna-tiburo	SRR2058800	sample11	dummy	BioSample: SAMN03764762; Sample name: TB_013; SRA: SRS957976		SINGLE	723668	705296
PRJNA286089_Sphyrna-tiburo	SRR2058801	sample12	dummy	BioSample: SAMN03764763; Sample name: TB_014; SRA: SRS957975		SINGLE	3997131	3891603
PRJNA286089_Sphyrna-tiburo	SRR2058802	sample13	dummy	BioSample: SAMN03764764; Sample name: TB_015; SRA: SRS957974		SINGLE	4653614	4520153
PRJNA286089_Sphyrna-tiburo	SRR2058803	sample14	dummy	BioSample: SAMN03764765; Sample name: TB_016; SRA: SRS957973		SINGLE	2157090	2090144
PRJNA286089_Sphyrna-tiburo	SRR2058804	sample15	dummy	BioSample: SAMN03764766; Sample name: TB_017; SRA: SRS957972		SINGLE	5522925	5374914
PRJNA286089_Sphyrna-tiburo	SRR2058805	sample16	dummy	BioSample: SAMN03764767; Sample name: TB_018; SRA: SRS957971		SINGLE	626912	606825
PRJNA286089_Sphyrna-tiburo	SRR2058806	sample17	dummy	BioSample: SAMN03764768; Sample name: TB_019; SRA: SRS957970		SINGLE	1531944	1483987
PRJNA286089_Sphyrna-tiburo	SRR2058807	sample18	dummy	BioSample: SAMN03764769; Sample name: TB_020; SRA: SRS957969		SINGLE	887972	861307
PRJNA286089_Sphyrna-tiburo	SRR2058808	sample19	dummy	BioSample: SAMN03764770; Sample name: TB_021; SRA: SRS957968		SINGLE	1086959	1059517
PRJNA286089_Sphyrna-tiburo	SRR2058809	sample20	dummy	BioSample: SAMN03764771; Sample name: TB_022; SRA: SRS957967		SINGLE	956174	935063
PRJNA286089_Sphyrna-tiburo	SRR2058810	sample21	dummy	BioSample: SAMN03764772; Sample name: TB_023; SRA: SRS957966		SINGLE	3526420	3433865
PRJNA286089_Sphyrna-tiburo	SRR2058811	sample22	dummy	BioSample: SAMN03764773; Sample name: TB_024; SRA: SRS957965		SINGLE	2164179	2102965
PRJNA286089_Sphyrna-tiburo	SRR2058812	sample23	dummy	BioSample: SAMN03764774; Sample name: TB_025; SRA: SRS957964		SINGLE	173415	167944
PRJNA286089_Sphyrna-tiburo	SRR2058813	sample24	dummy	BioSample: SAMN03764775; Sample name: TB_026; SRA: SRS957963		SINGLE	3270209	3178119
PRJNA286089_Sphyrna-tiburo	SRR2058814	sample25	dummy	BioSample: SAMN03764776; Sample name: TB_027; SRA: SRS957961		SINGLE	5973	5402
PRJNA286089_Sphyrna-tiburo	SRR2058815	sample26	dummy	BioSample: SAMN03764777; Sample name: TB_028; SRA: SRS957962		SINGLE	2874815	2798755
PRJNA286089_Sphyrna-tiburo	SRR2058816	sample27	dummy	BioSample: SAMN03764778; Sample name: TB_029; SRA: SRS957959		SINGLE	3613929	3510381
PRJNA286089_Sphyrna-tiburo	SRR2058817	sample28	dummy	BioSample: SAMN03764779; Sample name: TB_030; SRA: SRS957958		SINGLE	733202	714759
PRJNA286089_Sphyrna-tiburo	SRR2058818	sample29	dummy	BioSample: SAMN03764780; Sample name: TB_031; SRA: SRS957960		SINGLE	809301	791234
PRJNA286089_Sphyrna-tiburo	SRR2058819	sample30	dummy	BioSample: SAMN03764781; Sample name: TB_032; SRA: SRS957957		SINGLE	533926	518823
PRJNA286089_Sphyrna-tiburo	SRR2058820	sample31	dummy	BioSample: SAMN03764782; Sample name: TB_033; SRA: SRS957956		SINGLE	399130	388499
PRJNA286089_Sphyrna-tiburo	SRR2058821	sample32	dummy	BioSample: SAMN03764783; Sample name: TB_034; SRA: SRS957954		SINGLE	2594058	2532409
PRJNA286089_Sphyrna-tiburo	SRR2058822	sample33	dummy	BioSample: SAMN03764784; Sample name: TB_035; SRA: SRS957955		SINGLE	1216054	1186520
PRJNA286089_Sphyrna-tiburo	SRR2058823	sample34	dummy	BioSample: SAMN03764785; Sample name: TB_036; SRA: SRS957953		SINGLE	2803028	2737292
PRJNA286089_Sphyrna-tiburo	SRR2058824	sample35	dummy	BioSample: SAMN03764786; Sample name: TB_037; SRA: SRS957952		SINGLE	59459	58054
PRJNA286089_Sphyrna-tiburo	SRR2058825	sample36	dummy	BioSample: SAMN03764787; Sample name: FB_001; SRA: SRS957951		SINGLE	631100	612047
PRJNA286089_Sphyrna-tiburo	SRR2058826	sample37	dummy	BioSample: SAMN03764788; Sample name: FB_002; SRA: SRS957950		SINGLE	115134	110877
PRJNA286089_Sphyrna-tiburo	SRR2058827	sample38	dummy	BioSample: SAMN03764789; Sample name: FB_003; SRA: SRS957949		SINGLE	594237	577448
PRJNA286089_Sphyrna-tiburo	SRR2058828	sample39	dummy	BioSample: SAMN03764790; Sample name: FB_004; SRA: SRS957948		SINGLE	67822	65856
PRJNA286089_Sphyrna-tiburo	SRR2058829	sample40	dummy	BioSample: SAMN03764791; Sample name: FB_005; SRA: SRS957947		SINGLE	497948	484291
PRJNA286089_Sphyrna-tiburo	SRR2058830	sample41	dummy	BioSample: SAMN03764792; Sample name: FB_006; SRA: SRS957946		SINGLE	652641	631466
PRJNA286089_Sphyrna-tiburo	SRR2058831	sample42	dummy	BioSample: SAMN03764793; Sample name: FB_007; SRA: SRS957945		SINGLE	635163	621246
PRJNA286089_Sphyrna-tiburo	SRR2058832	sample43	dummy	BioSample: SAMN03764794; Sample name: FB_008; SRA: SRS957944		SINGLE	923924	900741
PRJNA286089_Sphyrna-tiburo	SRR2058833	sample44	dummy	BioSample: SAMN03764795; Sample name: FB_009; SRA: SRS957943		SINGLE	1507927	1462741
PRJNA286089_Sphyrna-tiburo	SRR2058834	sample45	dummy	BioSample: SAMN03764796; Sample name: FB_010; SRA: SRS957942		SINGLE	2000582	1930301
PRJNA286089_Sphyrna-tiburo	SRR2058835	sample46	dummy	BioSample: SAMN03764797; Sample name: FB_011; SRA: SRS957941		SINGLE	1554660	1501860
PRJNA286089_Sphyrna-tiburo	SRR2058836	sample47	dummy	BioSample: SAMN03764798; Sample name: FB_012; SRA: SRS957940		SINGLE	1799261	1748924
PRJNA286089_Sphyrna-tiburo	SRR2058837	sample48	dummy	BioSample: SAMN03764799; Sample name: FB_013; SRA: SRS957939		SINGLE	2644207	2573642
PRJNA286089_Sphyrna-tiburo	SRR2058838	sample49	dummy	BioSample: SAMN03764800; Sample name: FB_014; SRA: SRS957938		SINGLE	2670927	2594293
PRJNA286089_Sphyrna-tiburo	SRR2058839	sample50	dummy	BioSample: SAMN03764801; Sample name: FB_015; SRA: SRS957937		SINGLE	2864960	2779447
PRJNA286089_Sphyrna-tiburo	SRR2058840	sample51	dummy	BioSample: SAMN03764802; Sample name: FB_016; SRA: SRS957936		SINGLE	2518383	2450501
PRJNA286089_Sphyrna-tiburo	SRR2058841	sample52	dummy	BioSample: SAMN03764803; Sample name: FB_017; SRA: SRS957935		SINGLE	2272277	2204765
PRJNA286089_Sphyrna-tiburo	SRR2058842	sample53	dummy	BioSample: SAMN03764804; Sample name: FB_018; SRA: SRS957934		SINGLE	3012409	2924014
PRJNA286089_Sphyrna-tiburo	SRR2058843	sample54	dummy	BioSample: SAMN03764805; Sample name: FB_019; SRA: SRS957933		SINGLE	2387087	2320218
PRJNA286089_Sphyrna-tiburo	SRR2058844	sample55	dummy	BioSample: SAMN03764806; Sample name: FB_020; SRA: SRS957932		SINGLE	2330773	2276875
PRJNA286089_Sphyrna-tiburo	SRR2058845	sample56	dummy	BioSample: SAMN03764807; Sample name: FB_021; SRA: SRS957931		SINGLE	2438753	2389206
PRJNA286089_Sphyrna-tiburo	SRR2058846	sample57	dummy	BioSample: SAMN03764808; Sample name: FB_022; SRA: SRS957930		SINGLE	2591100	2524568
PRJNA286089_Sphyrna-tiburo	SRR2058847	sample58	dummy	BioSample: SAMN03764809; Sample name: FB_023; SRA: SRS957929		SINGLE	2524507	2456672
PRJNA286089_Sphyrna-tiburo	SRR2058848	sample59	dummy	BioSample: SAMN03764810; Sample name: FB_024; SRA: SRS957928		SINGLE	2689794	2617191
PRJNA286089_Sphyrna-tiburo	SRR2058849	sample60	dummy	BioSample: SAMN03764811; Sample name: FB_025; SRA: SRS957927		SINGLE	2390635	2326017
PRJNA286089_Sphyrna-tiburo	SRR2058850	sample61	dummy	BioSample: SAMN03764812; Sample name: FB_026; SRA: SRS957925		SINGLE	2586641	2521335
PRJNA286089_Sphyrna-tiburo	SRR2058851	sample62	dummy	BioSample: SAMN03764813; Sample name: FB_027; SRA: SRS957926		SINGLE	2585242	2519709
PRJNA286089_Sphyrna-tiburo	SRR2058852	sample63	dummy	BioSample: SAMN03764814; Sample name: FB_028; SRA: SRS957924		SINGLE	2325992	2259985
PRJNA286089_Sphyrna-tiburo	SRR2058853	sample64	dummy	BioSample: SAMN03764815; Sample name: FB_029; SRA: SRS957923		SINGLE	2163004	2111691
PRJNA286089_Sphyrna-tiburo	SRR2058854	sample65	dummy	BioSample: SAMN03764816; Sample name: FB_030; SRA: SRS957922		SINGLE	3186224	3119708
PRJNA286089_Sphyrna-tiburo	SRR2058855	sample66	dummy	BioSample: SAMN03764817; Sample name: FB_031; SRA: SRS957921		SINGLE	2503360	2442945
PRJNA286089_Sphyrna-tiburo	SRR2058856	sample67	dummy	BioSample: SAMN03764818; Sample name: FB_032; SRA: SRS957920		SINGLE	2996605	2930123
PRJNA286089_Sphyrna-tiburo	SRR2058857	sample68	dummy	BioSample: SAMN03764819; Sample name: FB_033; SRA: SRS957919		SINGLE	2651816	2586443
PRJNA286089_Sphyrna-tiburo	SRR2058858	sample69	dummy	BioSample: SAMN03764820; Sample name: FB_034; SRA: SRS957918		SINGLE	2168443	2120420
PRJNA286089_Sphyrna-tiburo	SRR2058859	sample70	dummy	BioSample: SAMN03764821; Sample name: NC_001; SRA: SRS957917		PAIRED	2919898	1412596
PRJNA286089_Sphyrna-tiburo	SRR2058860	sample71	dummy	BioSample: SAMN03764822; Sample name: NC_002; SRA: SRS957916		PAIRED	3024244	1455254
PRJNA286089_Sphyrna-tiburo	SRR2058861	sample72	dummy	BioSample: SAMN03764823; Sample name: NC_003; SRA: SRS957915		PAIRED	8238988	3987955
PRJNA286089_Sphyrna-tiburo	SRR2058862	sample73	dummy	BioSample: SAMN03764824; Sample name: NC_004; SRA: SRS957914		PAIRED	3467402	1679420
PRJNA286089_Sphyrna-tiburo	SRR2058863	sample74	dummy	BioSample: SAMN03764825; Sample name: NC_005; SRA: SRS957913		PAIRED	2211820	1071389
PRJNA286089_Sphyrna-tiburo	SRR2058864	sample75	dummy	BioSample: SAMN03764826; Sample name: NC_006; SRA: SRS957912		PAIRED	1682808	810205
PRJNA286089_Sphyrna-tiburo	SRR2058865	sample76	dummy	BioSample: SAMN03764827; Sample name: NC_007; SRA: SRS957911		PAIRED	2325440	1133579
PRJNA286089_Sphyrna-tiburo	SRR2058866	sample77	dummy	BioSample: SAMN03764828; Sample name: NC_008; SRA: SRS957910		PAIRED	1387578	672799
PRJNA286089_Sphyrna-tiburo	SRR2058867	sample78	dummy	BioSample: SAMN03764829; Sample name: NC_009; SRA: SRS957909		PAIRED	696312	336418
PRJNA286089_Sphyrna-tiburo	SRR2058868	sample79	dummy	BioSample: SAMN03764830; Sample name: NC_010; SRA: SRS957908		PAIRED	4711694	2268994
PRJNA286089_Sphyrna-tiburo	SRR2058869	sample80	dummy	BioSample: SAMN03764831; Sample name: NC_011; SRA: SRS957907		PAIRED	6200304	2989560
PRJNA286089_Sphyrna-tiburo	SRR2058870	sample81	dummy	BioSample: SAMN03764832; Sample name: NC_012; SRA: SRS957905		PAIRED	1028732	499104
PRJNA286089_Sphyrna-tiburo	SRR2058871	sample82	dummy	BioSample: SAMN03764833; Sample name: NC_013; SRA: SRS957906		PAIRED	5182822	2509358
PRJNA286089_Sphyrna-tiburo	SRR2058872	sample83	dummy	BioSample: SAMN03764834; Sample name: NC_014; SRA: SRS957903		PAIRED	5909916	2852102
PRJNA286089_Sphyrna-tiburo	SRR2058873	sample84	dummy	BioSample: SAMN03764835; Sample name: NC_015; SRA: SRS957904		PAIRED	10280132	4946347
PRJNA286089_Sphyrna-tiburo	SRR2058874	sample85	dummy	BioSample: SAMN03764836; Sample name: NC_016; SRA: SRS957902		PAIRED	1896454	918469
PRJNA286089_Sphyrna-tiburo	SRR2058875	sample86	dummy	BioSample: SAMN03764837; Sample name: NC_017; SRA: SRS957901		PAIRED	3281142	1581575
PRJNA286089_Sphyrna-tiburo	SRR2058876	sample87	dummy	BioSample: SAMN03764838; Sample name: NC_018; SRA: SRS957900		PAIRED	6145448	2964173
PRJNA286089_Sphyrna-tiburo	SRR2058877	sample88	dummy	BioSample: SAMN03764839; Sample name: NC_019; SRA: SRS957899		PAIRED	3011570	1451436
PRJNA286089_Sphyrna-tiburo	SRR2058878	sample89	dummy	BioSample: SAMN03764840; Sample name: NC_020; SRA: SRS957898		PAIRED	841980	408457
