link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA299372_Aythya-marila	SRR2752385	sample0	dummy	BioSample: SAMN04201268; Sample name: REW-591; SRA: SRS1126079	isolate: REW-591; breed: wild	SINGLE	349693	238799
PRJNA299372_Aythya-marila	SRR2752386	sample1	dummy	BioSample: SAMN04201269; Sample name: KGM-666; SRA: SRS1126077	isolate: KGM-666; breed: wild	SINGLE	549622	289656
PRJNA299372_Aythya-marila	SRR2752387	sample2	dummy	BioSample: SAMN04201270; Sample name: REW-575; SRA: SRS1126076	isolate: REW-575; breed: wild	SINGLE	468594	194275
PRJNA299372_Aythya-marila	SRR2752388	sample3	dummy	BioSample: SAMN04201271; Sample name: KGM-671; SRA: SRS1126078	isolate: KGM-671; breed: wild	SINGLE	323080	187632
PRJNA299372_Aythya-marila	SRR2752389	sample4	dummy	BioSample: SAMN04201272; Sample name: KGM-672; SRA: SRS1126075	isolate: KGM-672; breed: wild	SINGLE	772102	589402
PRJNA299372_Aythya-marila	SRR2752390	sample5	dummy	BioSample: SAMN04201273; Sample name: KGM-676; SRA: SRS1126073	isolate: KGM-676; breed: wild	SINGLE	283938	193801
PRJNA299372_Aythya-marila	SRR2752391	sample6	dummy	BioSample: SAMN04201274; Sample name: KGM-888; SRA: SRS1126074	isolate: KGM-888; breed: wild	SINGLE	350415	246027
PRJNA299372_Aythya-marila	SRR2752392	sample7	dummy	BioSample: SAMN04201275; Sample name: KGM-890; SRA: SRS1126072	isolate: KGM-890; breed: wild	SINGLE	336014	236416
PRJNA299372_Aythya-marila	SRR2752393	sample8	dummy	BioSample: SAMN04201276; Sample name: KGM-893; SRA: SRS1126071	isolate: KGM-893; breed: wild	SINGLE	301597	211062
PRJNA299372_Aythya-marila	SRR2752394	sample9	dummy	BioSample: SAMN04201277; Sample name: KGM-901; SRA: SRS1126067	isolate: KGM-901; breed: wild	SINGLE	451601	294875
PRJNA299372_Aythya-marila	SRR2752395	sample10	dummy	BioSample: SAMN04201278; Sample name: KGM-906; SRA: SRS1126066	isolate: KGM-906; breed: wild	SINGLE	314278	215074
PRJNA299372_Aythya-marila	SRR2752396	sample11	dummy	BioSample: SAMN04201279; Sample name: REW-560; SRA: SRS1126065	isolate: REW-560; breed: wild	SINGLE	1221294	808509
PRJNA299372_Aythya-marila	SRR2752397	sample12	dummy	BioSample: SAMN04201280; Sample name: REW-562; SRA: SRS1126064	isolate: REW-562; breed: wild	SINGLE	546779	366532
PRJNA299372_Aythya-marila	SRR2752398	sample13	dummy	BioSample: SAMN04201281; Sample name: REW-563; SRA: SRS1126062	isolate: REW-563; breed: wild	SINGLE	625702	410556
PRJNA299372_Aythya-marila	SRR2752399	sample14	dummy	BioSample: SAMN04201282; Sample name: REW-571; SRA: SRS1126063	isolate: REW-571; breed: wild	SINGLE	534185	359367
PRJNA299372_Aythya-marila	SRR2752400	sample15	dummy	BioSample: SAMN04201283; Sample name: REW-572; SRA: SRS1126061	isolate: REW-572; breed: wild	SINGLE	1616253	1054921
PRJNA299372_Aythya-marila	SRR2752401	sample16	dummy	BioSample: SAMN04201284; Sample name: KGM-904; SRA: SRS1126060	isolate: KGM-904; breed: wild	SINGLE	487017	216545
PRJNA299372_Aythya-marila	SRR2752402	sample17	dummy	BioSample: SAMN04201285; Sample name: KGM-588; SRA: SRS1126058	isolate: KGM-588; breed: wild	SINGLE	466242	313902
PRJNA299372_Aythya-marila	SRR2752403	sample18	dummy	BioSample: SAMN04201286; Sample name: KGM-608; SRA: SRS1126057	isolate: KGM-608; breed: wild	SINGLE	397742	258578
PRJNA299372_Aythya-marila	SRR2752404	sample19	dummy	BioSample: SAMN04201287; Sample name: KGM-656; SRA: SRS1126055	isolate: KGM-656; breed: wild	SINGLE	1527225	1148437
PRJNA299372_Aythya-marila	SRR2752405	sample20	dummy	BioSample: SAMN04201288; Sample name: KGM-659; SRA: SRS1126056	isolate: KGM-659; breed: wild	SINGLE	675193	477495
