link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA316872_Sebastes-rastrelliger	SRR4037216	sample0	dummy	BioSample: SAMN04931687; Sample name: SR0016; SRA: SRS1478013	ecotype: Brookings	PAIRED	3758507	3447617
PRJNA316872_Sebastes-rastrelliger	SRR4037263	sample1	dummy	BioSample: SAMN04931777; Sample name: SR0191; SRA: SRS1478015	ecotype: San Diego	PAIRED	4733722	4274775
PRJNA316872_Sebastes-rastrelliger	SRR4037345	sample2	dummy	BioSample: SAMN04931677; Sample name: SR0001; SRA: SRS1478012	ecotype: Brookings	PAIRED	3414659	3220274
PRJNA316872_Sebastes-rastrelliger	SRR4037483	sample3	dummy	BioSample: SAMN04931779; Sample name: SR0193; SRA: SRS1478016	ecotype: San Diego	PAIRED	4483046	4043971
PRJNA316872_Sebastes-rastrelliger	SRR4037484	sample4	dummy	BioSample: SAMN04931678; Sample name: SR0002; SRA: SRS1478014	ecotype: Brookings	PAIRED	5438435	5141986
PRJNA316872_Sebastes-rastrelliger	SRR4048373	sample5	dummy	BioSample: SAMN04931679; Sample name: SR0003; SRA: SRS1478074	ecotype: Brookings	PAIRED	5209518	4911915
PRJNA316872_Sebastes-rastrelliger	SRR4048374	sample6	dummy	BioSample: SAMN04931680; Sample name: SR0009; SRA: SRS1478085	ecotype: Brookings	PAIRED	3091043	2934565
PRJNA316872_Sebastes-rastrelliger	SRR4048375	sample7	dummy	BioSample: SAMN04931681; Sample name: SR0010; SRA: SRS1478096	ecotype: Brookings	PAIRED	4499685	4268037
PRJNA316872_Sebastes-rastrelliger	SRR4048376	sample8	dummy	BioSample: SAMN04931682; Sample name: SR0011; SRA: SRS1478107	ecotype: Brookings	PAIRED	4574068	4182935
PRJNA316872_Sebastes-rastrelliger	SRR4048377	sample9	dummy	BioSample: SAMN04931683; Sample name: SR0012; SRA: SRS1478118	ecotype: Brookings	PAIRED	4252564	4037597
PRJNA316872_Sebastes-rastrelliger	SRR4048378	sample10	dummy	BioSample: SAMN04931684; Sample name: SR0013; SRA: SRS1478129	ecotype: Brookings	PAIRED	3064862	2823931
PRJNA316872_Sebastes-rastrelliger	SRR4048379	sample11	dummy	BioSample: SAMN04931685; Sample name: SR0014; SRA: SRS1478140	ecotype: Brookings	PAIRED	5248571	4964754
PRJNA316872_Sebastes-rastrelliger	SRR4048380	sample12	dummy	BioSample: SAMN04931686; Sample name: SR0015; SRA: SRS1478151	ecotype: Brookings	PAIRED	5133880	4842426
PRJNA316872_Sebastes-rastrelliger	SRR4048382	sample13	dummy	BioSample: SAMN04931688; Sample name: SR0017; SRA: SRS1478046	ecotype: Brookings	PAIRED	4206098	3844256
PRJNA316872_Sebastes-rastrelliger	SRR4048383	sample14	dummy	BioSample: SAMN04931689; Sample name: SR0018; SRA: SRS1478057	ecotype: Brookings	PAIRED	4312317	3955691
PRJNA316872_Sebastes-rastrelliger	SRR4048384	sample15	dummy	BioSample: SAMN04931690; Sample name: SR0019; SRA: SRS1478058	ecotype: Brookings	PAIRED	5408096	4967874
PRJNA316872_Sebastes-rastrelliger	SRR4048385	sample16	dummy	BioSample: SAMN04931691; Sample name: SR0020; SRA: SRS1478060	ecotype: Brookings	PAIRED	4051123	3711451
PRJNA316872_Sebastes-rastrelliger	SRR4048386	sample17	dummy	BioSample: SAMN04931692; Sample name: SR0021; SRA: SRS1478059	ecotype: Brookings	PAIRED	3736714	3404240
PRJNA316872_Sebastes-rastrelliger	SRR4048387	sample18	dummy	BioSample: SAMN04931693; Sample name: SR0022; SRA: SRS1478065	ecotype: Brookings	PAIRED	3758777	3424321
PRJNA316872_Sebastes-rastrelliger	SRR4048388	sample19	dummy	BioSample: SAMN04931694; Sample name: SR0023; SRA: SRS1478067	ecotype: Brookings	PAIRED	3882876	3559229
PRJNA316872_Sebastes-rastrelliger	SRR4048389	sample20	dummy	BioSample: SAMN04931695; Sample name: SR0024; SRA: SRS1478072	ecotype: Brookings	PAIRED	5055035	4631483
PRJNA316872_Sebastes-rastrelliger	SRR4048390	sample21	dummy	BioSample: SAMN04931696; Sample name: SR0025; SRA: SRS1478073	ecotype: Brookings	PAIRED	3342325	3048643
PRJNA316872_Sebastes-rastrelliger	SRR4048391	sample22	dummy	BioSample: SAMN04931697; Sample name: SR0026; SRA: SRS1478075	ecotype: Westport	PAIRED	4112740	3885793
PRJNA316872_Sebastes-rastrelliger	SRR4048392	sample23	dummy	BioSample: SAMN04931698; Sample name: SR0027; SRA: SRS1478076	ecotype: Westport	PAIRED	4680760	4407616
PRJNA316872_Sebastes-rastrelliger	SRR4048393	sample24	dummy	BioSample: SAMN04931699; Sample name: SR0028; SRA: SRS1478077	ecotype: Westport	PAIRED	3731435	3531229
PRJNA316872_Sebastes-rastrelliger	SRR4048394	sample25	dummy	BioSample: SAMN04931700; Sample name: SR0029; SRA: SRS1478078	ecotype: Westport	PAIRED	3323081	3148900
PRJNA316872_Sebastes-rastrelliger	SRR4048395	sample26	dummy	BioSample: SAMN04931701; Sample name: SR0030; SRA: SRS1478079	ecotype: Westport	PAIRED	3998008	3780339
PRJNA316872_Sebastes-rastrelliger	SRR4048396	sample27	dummy	BioSample: SAMN04931702; Sample name: SR0031; SRA: SRS1478080	ecotype: Westport	PAIRED	4608150	4360674
PRJNA316872_Sebastes-rastrelliger	SRR4048397	sample28	dummy	BioSample: SAMN04931703; Sample name: SR0032; SRA: SRS1478081	ecotype: Westport	PAIRED	5733158	5401599
PRJNA316872_Sebastes-rastrelliger	SRR4048398	sample29	dummy	BioSample: SAMN04931704; Sample name: SR0033; SRA: SRS1478082	ecotype: Westport	PAIRED	5002284	4723593
PRJNA316872_Sebastes-rastrelliger	SRR4048399	sample30	dummy	BioSample: SAMN04931705; Sample name: SR0034; SRA: SRS1478084	ecotype: Westport	PAIRED	5437670	4910222
PRJNA316872_Sebastes-rastrelliger	SRR4048400	sample31	dummy	BioSample: SAMN04931706; Sample name: SR0035; SRA: SRS1478083	ecotype: Westport	PAIRED	5107385	4670573
PRJNA316872_Sebastes-rastrelliger	SRR4048401	sample32	dummy	BioSample: SAMN04931707; Sample name: SR0036; SRA: SRS1478088	ecotype: Westport	PAIRED	3690952	3368426
PRJNA316872_Sebastes-rastrelliger	SRR4048402	sample33	dummy	BioSample: SAMN04931708; Sample name: SR0037; SRA: SRS1478086	ecotype: Westport	PAIRED	4831231	4393032
PRJNA316872_Sebastes-rastrelliger	SRR4048403	sample34	dummy	BioSample: SAMN04931709; Sample name: SR0038; SRA: SRS1478087	ecotype: Westport	PAIRED	5730090	5190087
PRJNA316872_Sebastes-rastrelliger	SRR4048404	sample35	dummy	BioSample: SAMN04931710; Sample name: SR0039; SRA: SRS1478089	ecotype: Westport	PAIRED	3901886	3567107
PRJNA316872_Sebastes-rastrelliger	SRR4048405	sample36	dummy	BioSample: SAMN04931711; Sample name: SR0040; SRA: SRS1478090	ecotype: Westport	PAIRED	2415356	2204758
PRJNA316872_Sebastes-rastrelliger	SRR4048406	sample37	dummy	BioSample: SAMN04931712; Sample name: SR0041; SRA: SRS1478091	ecotype: Westport	PAIRED	3662845	3333820
PRJNA316872_Sebastes-rastrelliger	SRR4048407	sample38	dummy	BioSample: SAMN04931713; Sample name: SR0042; SRA: SRS1478092	ecotype: Westport	PAIRED	3041812	2757251
PRJNA316872_Sebastes-rastrelliger	SRR4048408	sample39	dummy	BioSample: SAMN04931714; Sample name: SR0043; SRA: SRS1478093	ecotype: Westport	PAIRED	3566311	3258224
PRJNA316872_Sebastes-rastrelliger	SRR4048409	sample40	dummy	BioSample: SAMN04931715; Sample name: SR0044; SRA: SRS1478094	ecotype: Westport	PAIRED	6471553	5877731
PRJNA316872_Sebastes-rastrelliger	SRR4048410	sample41	dummy	BioSample: SAMN04931716; Sample name: SR0045; SRA: SRS1478095	ecotype: Westport	PAIRED	3698868	3356020
PRJNA316872_Sebastes-rastrelliger	SRR4048411	sample42	dummy	BioSample: SAMN04931717; Sample name: SR0047; SRA: SRS1478097	ecotype: Westport	PAIRED	4084784	3723607
