link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA343012_Aptenodytes-patagonicus	SRR4244480	sample0	dummy	BioSample: SAMN05771875; Sample name: KPFORT001; SRA: SRS1692922	isolate: KPFORT001	PAIRED	6570559	6553379
PRJNA343012_Aptenodytes-patagonicus	SRR4244481	sample1	dummy	BioSample: SAMN05771876; Sample name: KPFORT005; SRA: SRS1692923	isolate: KPFORT005	PAIRED	9744187	9723984
PRJNA343012_Aptenodytes-patagonicus	SRR4244482	sample2	dummy	BioSample: SAMN05771885; Sample name: KPFORT014; SRA: SRS1692924	isolate: KPFORT014	PAIRED	8221103	8204620
PRJNA343012_Aptenodytes-patagonicus	SRR4244483	sample3	dummy	BioSample: SAMN05771886; Sample name: KPFORT015; SRA: SRS1692925	isolate: KPFORT015	PAIRED	6461280	6447254
PRJNA343012_Aptenodytes-patagonicus	SRR4244484	sample4	dummy	BioSample: SAMN05771887; Sample name: KPFORT016; SRA: SRS1692926	isolate: KPFORT016	PAIRED	4732589	4721578
PRJNA343012_Aptenodytes-patagonicus	SRR4244485	sample5	dummy	BioSample: SAMN05771888; Sample name: KPFORT019; SRA: SRS1692927	isolate: KPFORT019	PAIRED	4363531	4352581
PRJNA343012_Aptenodytes-patagonicus	SRR4244486	sample6	dummy	BioSample: SAMN05771889; Sample name: KPFORT023; SRA: SRS1692928	isolate: KPFORT023	PAIRED	4689914	4676312
PRJNA343012_Aptenodytes-patagonicus	SRR4244487	sample7	dummy	BioSample: SAMN05771890; Sample name: KPFORT024; SRA: SRS1692929	isolate: KPFORT024	PAIRED	6188344	6175846
PRJNA343012_Aptenodytes-patagonicus	SRR4244488	sample8	dummy	BioSample: SAMN05771891; Sample name: KPMQ004; SRA: SRS1692930	isolate: KPMQ004	PAIRED	9319447	9286391
PRJNA343012_Aptenodytes-patagonicus	SRR4244489	sample9	dummy	BioSample: SAMN05771892; Sample name: KPMQ016; SRA: SRS1692931	isolate: KPMQ016	PAIRED	13223481	13176368
PRJNA343012_Aptenodytes-patagonicus	SRR4244490	sample10	dummy	BioSample: SAMN05771893; Sample name: KPMQ017; SRA: SRS1692932	isolate: KPMQ017	PAIRED	11295643	11247477
PRJNA343012_Aptenodytes-patagonicus	SRR4244491	sample11	dummy	BioSample: SAMN05771894; Sample name: KPMQ018; SRA: SRS1692933	isolate: KPMQ018	PAIRED	8278498	8244480
PRJNA343012_Aptenodytes-patagonicus	SRR4244492	sample12	dummy	BioSample: SAMN05771877; Sample name: KPFORT006; SRA: SRS1692934	isolate: KPFORT006	PAIRED	9445310	9424994
PRJNA343012_Aptenodytes-patagonicus	SRR4244493	sample13	dummy	BioSample: SAMN05771895; Sample name: KPMQ020; SRA: SRS1692935	isolate: KPMQ020	PAIRED	5948011	5925299
PRJNA343012_Aptenodytes-patagonicus	SRR4244494	sample14	dummy	BioSample: SAMN05771896; Sample name: KPMQ021; SRA: SRS1692936	isolate: KPMQ021	PAIRED	7413299	7383823
PRJNA343012_Aptenodytes-patagonicus	SRR4244495	sample15	dummy	BioSample: SAMN05771897; Sample name: KPMQ023; SRA: SRS1692937	isolate: KPMQ023	PAIRED	10278300	10242954
PRJNA343012_Aptenodytes-patagonicus	SRR4244496	sample16	dummy	BioSample: SAMN05771898; Sample name: KPMQ025; SRA: SRS1692938	isolate: KPMQ025	PAIRED	6836626	6811528
PRJNA343012_Aptenodytes-patagonicus	SRR4244497	sample17	dummy	BioSample: SAMN05771899; Sample name: KPMQ032; SRA: SRS1692939	isolate: KPMQ032	PAIRED	6351306	6331576
PRJNA343012_Aptenodytes-patagonicus	SRR4244498	sample18	dummy	BioSample: SAMN05771900; Sample name: KPMQ034; SRA: SRS1692940	isolate: KPMQ034	PAIRED	5334643	5317183
PRJNA343012_Aptenodytes-patagonicus	SRR4244499	sample19	dummy	BioSample: SAMN05771901; Sample name: KPMQ036; SRA: SRS1692941	isolate: KPMQ036	PAIRED	6942474	6914798
PRJNA343012_Aptenodytes-patagonicus	SRR4244500	sample20	dummy	BioSample: SAMN05771902; Sample name: KPMQ037; SRA: SRS1692942	isolate: KPMQ037	PAIRED	14980385	14929705
PRJNA343012_Aptenodytes-patagonicus	SRR4244501	sample21	dummy	BioSample: SAMN05771903; Sample name: KPMQ042; SRA: SRS1692943	isolate: KPMQ042	PAIRED	5636707	5616232
PRJNA343012_Aptenodytes-patagonicus	SRR4244502	sample22	dummy	BioSample: SAMN05771904; Sample name: KPMQ043; SRA: SRS1692944	isolate: KPMQ043	PAIRED	7609488	7582427
PRJNA343012_Aptenodytes-patagonicus	SRR4244503	sample23	dummy	BioSample: SAMN05771878; Sample name: KPFORT007; SRA: SRS1692945	isolate: KPFORT007	PAIRED	6516819	6503390
PRJNA343012_Aptenodytes-patagonicus	SRR4244506	sample24	dummy	BioSample: SAMN05771906; Sample name: KPMQ049; SRA: SRS1692947	isolate: KPMQ049	PAIRED	13879884	13828025
PRJNA343012_Aptenodytes-patagonicus	SRR4244507	sample25	dummy	BioSample: SAMN05771907; Sample name: KPUVF001; SRA: SRS1692948	isolate: KPUVF001	PAIRED	6744069	6729494
PRJNA343012_Aptenodytes-patagonicus	SRR4244508	sample26	dummy	BioSample: SAMN05771908; Sample name: KPUVF002; SRA: SRS1692949	isolate: KPUVF002	PAIRED	9570715	9552596
PRJNA343012_Aptenodytes-patagonicus	SRR4244509	sample27	dummy	BioSample: SAMN05771909; Sample name: KPUVF003; SRA: SRS1692950	isolate: KPUVF003	PAIRED	6910676	6895355
PRJNA343012_Aptenodytes-patagonicus	SRR4244510	sample28	dummy	BioSample: SAMN05771910; Sample name: KPUVF005; SRA: SRS1692951	isolate: KPUVF005	PAIRED	7184631	7165749
PRJNA343012_Aptenodytes-patagonicus	SRR4244511	sample29	dummy	BioSample: SAMN05771911; Sample name: KPUVF006; SRA: SRS1692952	isolate: KPUVF006	PAIRED	5771353	5759465
PRJNA343012_Aptenodytes-patagonicus	SRR4244512	sample30	dummy	BioSample: SAMN05771912; Sample name: KPUVF010; SRA: SRS1692953	isolate: KPUVF010	PAIRED	5468148	5456695
PRJNA343012_Aptenodytes-patagonicus	SRR4244513	sample31	dummy	BioSample: SAMN05771913; Sample name: KPUVF011; SRA: SRS1692954	isolate: KPUVF011	PAIRED	5283056	5271598
PRJNA343012_Aptenodytes-patagonicus	SRR4244514	sample32	dummy	BioSample: SAMN05771914; Sample name: KPUVF012; SRA: SRS1692955	isolate: KPUVF012	PAIRED	11853371	11829084
PRJNA343012_Aptenodytes-patagonicus	SRR4244515	sample33	dummy	BioSample: SAMN05771879; Sample name: KPFORT008; SRA: SRS1692956	isolate: KPFORT008	PAIRED	7246293	7231742
PRJNA343012_Aptenodytes-patagonicus	SRR4244516	sample34	dummy	BioSample: SAMN05771915; Sample name: KPUVF013; SRA: SRS1692957	isolate: KPUVF013	PAIRED	7024602	7007234
PRJNA343012_Aptenodytes-patagonicus	SRR4244517	sample35	dummy	BioSample: SAMN05771916; Sample name: KPUVM001; SRA: SRS1692958	isolate: KPUVM001	PAIRED	9024792	9006314
PRJNA343012_Aptenodytes-patagonicus	SRR4244518	sample36	dummy	BioSample: SAMN05771917; Sample name: KPUVM005; SRA: SRS1692959	isolate: KPUVM005	PAIRED	6458955	6442772
PRJNA343012_Aptenodytes-patagonicus	SRR4244519	sample37	dummy	BioSample: SAMN05771918; Sample name: KPUVM006; SRA: SRS1692960	isolate: KPUVM006	PAIRED	8432192	8412995
PRJNA343012_Aptenodytes-patagonicus	SRR4244520	sample38	dummy	BioSample: SAMN05771919; Sample name: KPUVM009; SRA: SRS1692961	isolate: KPUVM009	PAIRED	7020628	7004713
PRJNA343012_Aptenodytes-patagonicus	SRR4244521	sample39	dummy	BioSample: SAMN05771920; Sample name: KPUVM010; SRA: SRS1692962	isolate: KPUVM010	PAIRED	6300953	6285667
PRJNA343012_Aptenodytes-patagonicus	SRR4244522	sample40	dummy	BioSample: SAMN05771921; Sample name: KPUVM012; SRA: SRS1692963	isolate: KPUVM012	PAIRED	6785855	6770853
PRJNA343012_Aptenodytes-patagonicus	SRR4244523	sample41	dummy	BioSample: SAMN05771922; Sample name: KPUVM019; SRA: SRS1692964	isolate: KPUVM019	PAIRED	7357216	7341366
PRJNA343012_Aptenodytes-patagonicus	SRR4244524	sample42	dummy	BioSample: SAMN05771923; Sample name: KPVP001; SRA: SRS1692965	isolate: KPVP001	PAIRED	4822392	4807097
PRJNA343012_Aptenodytes-patagonicus	SRR4244525	sample43	dummy	BioSample: SAMN05771924; Sample name: KPVP003; SRA: SRS1692966	isolate: KPVP003	PAIRED	6208342	6186537
PRJNA343012_Aptenodytes-patagonicus	SRR4244526	sample44	dummy	BioSample: SAMN05771880; Sample name: KPFORT009; SRA: SRS1692967	isolate: KPFORT009	PAIRED	11618250	11593134
PRJNA343012_Aptenodytes-patagonicus	SRR4244527	sample45	dummy	BioSample: SAMN05771925; Sample name: KPVP004; SRA: SRS1692968	isolate: KPVP004	PAIRED	5994168	5973837
PRJNA343012_Aptenodytes-patagonicus	SRR4244528	sample46	dummy	BioSample: SAMN05771926; Sample name: KPVP005; SRA: SRS1692969	isolate: KPVP005	PAIRED	6171350	6150522
PRJNA343012_Aptenodytes-patagonicus	SRR4244529	sample47	dummy	BioSample: SAMN05771927; Sample name: KPVP006; SRA: SRS1692970	isolate: KPVP006	PAIRED	3009220	3003657
PRJNA343012_Aptenodytes-patagonicus	SRR4244530	sample48	dummy	BioSample: SAMN05771928; Sample name: KPVP007; SRA: SRS1692972	isolate: KPVP007	PAIRED	3339861	3332627
PRJNA343012_Aptenodytes-patagonicus	SRR4244531	sample49	dummy	BioSample: SAMN05771929; Sample name: KPVP008; SRA: SRS1692971	isolate: KPVP008	PAIRED	3255487	3247198
PRJNA343012_Aptenodytes-patagonicus	SRR4244532	sample50	dummy	BioSample: SAMN05771930; Sample name: KPVP009; SRA: SRS1692973	isolate: KPVP009	PAIRED	3486941	3479762
PRJNA343012_Aptenodytes-patagonicus	SRR4244533	sample51	dummy	BioSample: SAMN05771931; Sample name: KPVP010; SRA: SRS1692975	isolate: KPVP010	PAIRED	7788888	7770441
PRJNA343012_Aptenodytes-patagonicus	SRR4244534	sample52	dummy	BioSample: SAMN05771932; Sample name: KPVP011; SRA: SRS1692974	isolate: KPVP011	PAIRED	6731400	6715558
PRJNA343012_Aptenodytes-patagonicus	SRR4244535	sample53	dummy	BioSample: SAMN05771933; Sample name: KPVP012; SRA: SRS1692976	isolate: KPVP012	PAIRED	7050843	7034425
PRJNA343012_Aptenodytes-patagonicus	SRR4244536	sample54	dummy	BioSample: SAMN05771934; Sample name: KPVP013; SRA: SRS1692978	isolate: KPVP013	PAIRED	5508423	5497141
PRJNA343012_Aptenodytes-patagonicus	SRR4244537	sample55	dummy	BioSample: SAMN05771881; Sample name: KPFORT010; SRA: SRS1692977	isolate: KPFORT010	PAIRED	4905362	4891962
PRJNA343012_Aptenodytes-patagonicus	SRR4244538	sample56	dummy	BioSample: SAMN05771935; Sample name: KPVP017; SRA: SRS1692979	isolate: KPVP017	PAIRED	4659547	4648938
PRJNA343012_Aptenodytes-patagonicus	SRR4244539	sample57	dummy	BioSample: SAMN05771936; Sample name: KPVP018; SRA: SRS1692980	isolate: KPVP018	PAIRED	3850922	3843686
PRJNA343012_Aptenodytes-patagonicus	SRR4244540	sample58	dummy	BioSample: SAMN05771937; Sample name: KPVP019; SRA: SRS1692981	isolate: KPVP019	PAIRED	5915840	5903356
PRJNA343012_Aptenodytes-patagonicus	SRR4244541	sample59	dummy	BioSample: SAMN05771938; Sample name: KPVP020; SRA: SRS1692982	isolate: KPVP020	PAIRED	10007991	9987550
PRJNA343012_Aptenodytes-patagonicus	SRR4244542	sample60	dummy	BioSample: SAMN05771882; Sample name: KPFORT011; SRA: SRS1692983	isolate: KPFORT011	PAIRED	5191265	5178008
PRJNA343012_Aptenodytes-patagonicus	SRR4244543	sample61	dummy	BioSample: SAMN05771883; Sample name: KPFORT012; SRA: SRS1692984	isolate: KPFORT012	PAIRED	9573961	9552030
PRJNA343012_Aptenodytes-patagonicus	SRR4244544	sample62	dummy	BioSample: SAMN05771884; Sample name: KPFORT013; SRA: SRS1692985	isolate: KPFORT013	PAIRED	8056270	8040560
