link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA343301_Oculina-patagonica	SRR4308711	sample0	dummy	BioSample: SAMN05786114; Sample name: Oculina_patagonica_ALB1_PRJNA343301; SRA: SRS1720303	isolate: ALB1	PAIRED	1075515	1062506
PRJNA343301_Oculina-patagonica	SRR4308712	sample1	dummy	BioSample: SAMN05786115; Sample name: Oculina_patagonica_ALB2_PRJNA343301; SRA: SRS1720302	isolate: ALB2	PAIRED	2082621	2065646
PRJNA343301_Oculina-patagonica	SRR4308713	sample2	dummy	BioSample: SAMN05786124; Sample name: Oculina_patagonica_ALB13_PRJNA343301; SRA: SRS1720698	isolate: ALB13	PAIRED	1366203	1354865
PRJNA343301_Oculina-patagonica	SRR4308714	sample3	dummy	BioSample: SAMN05786214; Sample name: Oculina_patagonica_NOE229_PRJNA343301; SRA: SRS1720304	isolate: NOE229	PAIRED	678326	673032
PRJNA343301_Oculina-patagonica	SRR4308715	sample4	dummy	BioSample: SAMN05786215; Sample name: Oculina_patagonica_NOE230_PRJNA343301; SRA: SRS1720309	isolate: NOE230	PAIRED	1947749	1931638
PRJNA343301_Oculina-patagonica	SRR4308716	sample5	dummy	BioSample: SAMN05786216; Sample name: Oculina_patagonica_NOE231_PRJNA343301; SRA: SRS1720305	isolate: NOE231	PAIRED	298024	295543
PRJNA343301_Oculina-patagonica	SRR4308717	sample6	dummy	BioSample: SAMN05786217; Sample name: Oculina_patagonica_NOE232_PRJNA343301; SRA: SRS1720306	isolate: NOE232	PAIRED	2265965	2248542
PRJNA343301_Oculina-patagonica	SRR4308718	sample7	dummy	BioSample: SAMN05786218; Sample name: Oculina_patagonica_NOE247_PRJNA343301; SRA: SRS1720307	isolate: NOE247	PAIRED	2865124	2843312
PRJNA343301_Oculina-patagonica	SRR4308719	sample8	dummy	BioSample: SAMN05786219; Sample name: Oculina_patagonica_NOE248_PRJNA343301; SRA: SRS1720308	isolate: NOE248	PAIRED	2241529	2224803
PRJNA343301_Oculina-patagonica	SRR4308721	sample9	dummy	BioSample: SAMN05786221; Sample name: Oculina_patagonica_NOE252_PRJNA343301; SRA: SRS1720311	isolate: NOE252	PAIRED	261505	259454
PRJNA343301_Oculina-patagonica	SRR4308722	sample10	dummy	BioSample: SAMN05786222; Sample name: Oculina_patagonica_NOE253_PRJNA343301; SRA: SRS1720312	isolate: NOE253	PAIRED	122673	121675
PRJNA343301_Oculina-patagonica	SRR4308724	sample11	dummy	BioSample: SAMN05786125; Sample name: Oculina_patagonica_ALB14_PRJNA343301; SRA: SRS1720314	isolate: ALB14	PAIRED	1390179	1379594
PRJNA343301_Oculina-patagonica	SRR4308725	sample12	dummy	BioSample: SAMN05786224; Sample name: Oculina_patagonica_NOE255_PRJNA343301; SRA: SRS1720315	isolate: NOE255	PAIRED	918649	911170
PRJNA343301_Oculina-patagonica	SRR4308726	sample13	dummy	BioSample: SAMN05786225; Sample name: Oculina_patagonica_NOE256_PRJNA343301; SRA: SRS1720316	isolate: NOE256	PAIRED	114358	113492
PRJNA343301_Oculina-patagonica	SRR4308728	sample14	dummy	BioSample: SAMN05786227; Sample name: Oculina_patagonica_NOE260_PRJNA343301; SRA: SRS1720318	isolate: NOE260	PAIRED	2746193	2724677
PRJNA343301_Oculina-patagonica	SRR4308729	sample15	dummy	BioSample: SAMN05786228; Sample name: Oculina_patagonica_NOE261_PRJNA343301; SRA: SRS1720319	isolate: NOE261	PAIRED	3759604	3732513
PRJNA343301_Oculina-patagonica	SRR4308730	sample16	dummy	BioSample: SAMN05786229; Sample name: Oculina_patagonica_NOE262_PRJNA343301; SRA: SRS1720320	isolate: NOE262	PAIRED	3616866	3589834
PRJNA343301_Oculina-patagonica	SRR4308731	sample17	dummy	BioSample: SAMN05786230; Sample name: Oculina_patagonica_NOE264_PRJNA343301; SRA: SRS1720321	isolate: NOE264	PAIRED	2592399	2573509
PRJNA343301_Oculina-patagonica	SRR4308732	sample18	dummy	BioSample: SAMN05786126; Sample name: Oculina_patagonica_ALB15_PRJNA343301; SRA: SRS1720322	isolate: ALB15	PAIRED	1409327	1397529
PRJNA343301_Oculina-patagonica	SRR4308733	sample19	dummy	BioSample: SAMN05786127; Sample name: Oculina_patagonica_ALB31_PRJNA343301; SRA: SRS1720323	isolate: ALB31	PAIRED	2163248	2146063
