link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA343959_Phocoena-phocoena	SRR4291662	sample0	dummy	BioSample: SAMN05806468; Sample name: Pp01; SRA: SRS1709994	ecotype: relicta	PAIRED	3225657	2594191
PRJNA343959_Phocoena-phocoena	SRR4291663	sample1	dummy	BioSample: SAMN05806469; Sample name: Pp02; SRA: SRS1709995	ecotype: relicta	PAIRED	2602278	2127826
PRJNA343959_Phocoena-phocoena	SRR4291664	sample2	dummy	BioSample: SAMN05806478; Sample name: Pp11; SRA: SRS1709996	ecotype: phocoena	PAIRED	1308140	1072285
PRJNA343959_Phocoena-phocoena	SRR4291665	sample3	dummy	BioSample: SAMN05806479; Sample name: Pp12; SRA: SRS1709997	ecotype: phocoena	PAIRED	1422513	1215984
PRJNA343959_Phocoena-phocoena	SRR4291666	sample4	dummy	BioSample: SAMN05806480; Sample name: Pp13; SRA: SRS1709998	ecotype: phocoena	PAIRED	3237438	2619429
PRJNA343959_Phocoena-phocoena	SRR4291667	sample5	dummy	BioSample: SAMN05806481; Sample name: Pp14; SRA: SRS1709999	ecotype: phocoena	PAIRED	4170153	3408297
PRJNA343959_Phocoena-phocoena	SRR4291668	sample6	dummy	BioSample: SAMN05806482; Sample name: Pp15; SRA: SRS1710000	ecotype: phocoena	PAIRED	3450882	2810652
PRJNA343959_Phocoena-phocoena	SRR4291669	sample7	dummy	BioSample: SAMN05806483; Sample name: Pp16; SRA: SRS1710001	ecotype: phocoena	PAIRED	3658457	2931522
PRJNA343959_Phocoena-phocoena	SRR4291670	sample8	dummy	BioSample: SAMN05806484; Sample name: Pp17; SRA: SRS1710002	ecotype: phocoena	PAIRED	1428040	1131955
PRJNA343959_Phocoena-phocoena	SRR4291671	sample9	dummy	BioSample: SAMN05806485; Sample name: Pp18; SRA: SRS1710003	ecotype: phocoena	PAIRED	3726102	3000532
PRJNA343959_Phocoena-phocoena	SRR4291672	sample10	dummy	BioSample: SAMN05806486; Sample name: Pp19; SRA: SRS1710004	ecotype: phocoena	PAIRED	3256943	2683089
PRJNA343959_Phocoena-phocoena	SRR4291673	sample11	dummy	BioSample: SAMN05806487; Sample name: Pp20; SRA: SRS1710005	ecotype: phocoena	PAIRED	2128431	1791450
