link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA348572_Zalophus-wollebaeki	SRR4424565	sample0	dummy	BioSample: SAMN05908652; Sample name: SF03; SRA: SRS1747126		PAIRED	573689	535306
PRJNA348572_Zalophus-wollebaeki	SRR4424566	sample1	dummy	BioSample: SAMN05908612; Sample name: GE14; SRA: SRS1747127		PAIRED	512833	455751
PRJNA348572_Zalophus-wollebaeki	SRR4424567	sample2	dummy	BioSample: SAMN05908612; Sample name: GE14; SRA: SRS1747127		PAIRED	595980	529886
PRJNA348572_Zalophus-wollebaeki	SRR4424568	sample3	dummy	BioSample: SAMN05908610; Sample name: GE12; SRA: SRS1747128		PAIRED	553993	516604
PRJNA348572_Zalophus-wollebaeki	SRR4424569	sample4	dummy	BioSample: SAMN05908610; Sample name: GE12; SRA: SRS1747128		PAIRED	630121	588015
PRJNA348572_Zalophus-wollebaeki	SRR4424570	sample5	dummy	BioSample: SAMN05908611; Sample name: GE13; SRA: SRS1747129		PAIRED	683493	657777
PRJNA348572_Zalophus-wollebaeki	SRR4424571	sample6	dummy	BioSample: SAMN05908611; Sample name: GE13; SRA: SRS1747129		PAIRED	786502	757987
PRJNA348572_Zalophus-wollebaeki	SRR4424572	sample7	dummy	BioSample: SAMN05908608; Sample name: GE10; SRA: SRS1747130		PAIRED	610334	581536
PRJNA348572_Zalophus-wollebaeki	SRR4424573	sample8	dummy	BioSample: SAMN05908608; Sample name: GE10; SRA: SRS1747130		PAIRED	708190	675408
PRJNA348572_Zalophus-wollebaeki	SRR4424574	sample9	dummy	BioSample: SAMN05908609; Sample name: GE11; SRA: SRS1747131		PAIRED	407875	400816
PRJNA348572_Zalophus-wollebaeki	SRR4424575	sample10	dummy	BioSample: SAMN05908609; Sample name: GE11; SRA: SRS1747131		PAIRED	475792	468617
PRJNA348572_Zalophus-wollebaeki	SRR4424576	sample11	dummy	BioSample: SAMN05908603; Sample name: EG01; SRA: SRS1747132		PAIRED	668407	623656
PRJNA348572_Zalophus-wollebaeki	SRR4424577	sample12	dummy	BioSample: SAMN05908603; Sample name: EG01; SRA: SRS1747132		PAIRED	568516	530410
PRJNA348572_Zalophus-wollebaeki	SRR4424578	sample13	dummy	BioSample: SAMN05908604; Sample name: EG02; SRA: SRS1747133		PAIRED	622661	583864
PRJNA348572_Zalophus-wollebaeki	SRR4424579	sample14	dummy	BioSample: SAMN05908604; Sample name: EG02; SRA: SRS1747133		PAIRED	542916	508595
PRJNA348572_Zalophus-wollebaeki	SRR4424580	sample15	dummy	BioSample: SAMN05908605; Sample name: EG03; SRA: SRS1747134		PAIRED	717746	683528
PRJNA348572_Zalophus-wollebaeki	SRR4424581	sample16	dummy	BioSample: SAMN05908605; Sample name: EG03; SRA: SRS1747134		PAIRED	614735	584594
PRJNA348572_Zalophus-wollebaeki	SRR4424582	sample17	dummy	BioSample: SAMN05908606; Sample name: EG04; SRA: SRS1747135		PAIRED	589507	545056
PRJNA348572_Zalophus-wollebaeki	SRR4424583	sample18	dummy	BioSample: SAMN05908606; Sample name: EG04; SRA: SRS1747135		PAIRED	500129	461865
PRJNA348572_Zalophus-wollebaeki	SRR4424584	sample19	dummy	BioSample: SAMN05908607; Sample name: EG05; SRA: SRS1747136		PAIRED	590716	560040
PRJNA348572_Zalophus-wollebaeki	SRR4424585	sample20	dummy	BioSample: SAMN05908607; Sample name: EG05; SRA: SRS1747136		PAIRED	507608	480588
PRJNA348572_Zalophus-wollebaeki	SRR4424586	sample21	dummy	BioSample: SAMN05908585; Sample name: IB12; SRA: SRS1747137		PAIRED	899515	847687
PRJNA348572_Zalophus-wollebaeki	SRR4424587	sample22	dummy	BioSample: SAMN05908585; Sample name: IB12; SRA: SRS1747137		PAIRED	771183	726177
PRJNA348572_Zalophus-wollebaeki	SRR4424588	sample23	dummy	BioSample: SAMN05908596; Sample name: IB08; SRA: SRS1747138		PAIRED	519513	504877
PRJNA348572_Zalophus-wollebaeki	SRR4424589	sample24	dummy	BioSample: SAMN05908596; Sample name: IB08; SRA: SRS1747138		PAIRED	455239	441635
PRJNA348572_Zalophus-wollebaeki	SRR4424590	sample25	dummy	BioSample: SAMN05908597; Sample name: IB09; SRA: SRS1747139		PAIRED	940380	901750
PRJNA348572_Zalophus-wollebaeki	SRR4424591	sample26	dummy	BioSample: SAMN05908597; Sample name: IB09; SRA: SRS1747139		PAIRED	799464	766211
PRJNA348572_Zalophus-wollebaeki	SRR4424592	sample27	dummy	BioSample: SAMN05908583; Sample name: IB10; SRA: SRS1747140		PAIRED	910742	856574
PRJNA348572_Zalophus-wollebaeki	SRR4424593	sample28	dummy	BioSample: SAMN05908583; Sample name: IB10; SRA: SRS1747140		PAIRED	775869	728678
PRJNA348572_Zalophus-wollebaeki	SRR4424594	sample29	dummy	BioSample: SAMN05908584; Sample name: IB11; SRA: SRS1747141		PAIRED	860157	794350
PRJNA348572_Zalophus-wollebaeki	SRR4424595	sample30	dummy	BioSample: SAMN05908584; Sample name: IB11; SRA: SRS1747141		PAIRED	749227	692359
PRJNA348572_Zalophus-wollebaeki	SRR4424596	sample31	dummy	BioSample: SAMN05908602; Sample name: EC05; SRA: SRS1747142		PAIRED	503589	471805
PRJNA348572_Zalophus-wollebaeki	SRR4424597	sample32	dummy	BioSample: SAMN05908602; Sample name: EC05; SRA: SRS1747142		PAIRED	576524	540857
PRJNA348572_Zalophus-wollebaeki	SRR4424598	sample33	dummy	BioSample: SAMN05908619; Sample name: IV01; SRA: SRS1747143		PAIRED	472535	461175
PRJNA348572_Zalophus-wollebaeki	SRR4424599	sample34	dummy	BioSample: SAMN05908619; Sample name: IV01; SRA: SRS1747143		PAIRED	436187	425145
PRJNA348572_Zalophus-wollebaeki	SRR4424600	sample35	dummy	BioSample: SAMN05908620; Sample name: IV02; SRA: SRS1747144		PAIRED	834423	806476
PRJNA348572_Zalophus-wollebaeki	SRR4424601	sample36	dummy	BioSample: SAMN05908620; Sample name: IV02; SRA: SRS1747144		PAIRED	717682	692648
