link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA359404_Sebastiscus-marmoratus	SRR5138552	sample0	dummy	BioSample: SAMN06191670; Sample name: BSZ1; SRA: SRS1890767		PAIRED	2513364	2500863
PRJNA359404_Sebastiscus-marmoratus	SRR5138685	sample1	dummy	BioSample: SAMN06191671; Sample name: BSZ10; SRA: SRS1890830		PAIRED	2275457	2264022
PRJNA359404_Sebastiscus-marmoratus	SRR5138702	sample2	dummy	BioSample: SAMN06191672; Sample name: BSZ11; SRA: SRS1890835		PAIRED	2054581	2043665
PRJNA359404_Sebastiscus-marmoratus	SRR5138704	sample3	dummy	BioSample: SAMN06191673; Sample name: BSZ12; SRA: SRS1890837		PAIRED	2127451	2117650
PRJNA359404_Sebastiscus-marmoratus	SRR5138710	sample4	dummy	BioSample: SAMN06191674; Sample name: BSZ13; SRA: SRS1890840		PAIRED	2235598	2223988
PRJNA359404_Sebastiscus-marmoratus	SRR5138716	sample5	dummy	BioSample: SAMN06191675; Sample name: BSZ14; SRA: SRS1890849		PAIRED	1485765	1478430
PRJNA359404_Sebastiscus-marmoratus	SRR5138719	sample6	dummy	BioSample: SAMN06191676; Sample name: BSZ18; SRA: SRS1890854		PAIRED	2375805	2364878
PRJNA359404_Sebastiscus-marmoratus	SRR5138725	sample7	dummy	BioSample: SAMN06191677; Sample name: BSZ2; SRA: SRS1890857		PAIRED	2300131	2289579
PRJNA359404_Sebastiscus-marmoratus	SRR5138728	sample8	dummy	BioSample: SAMN06191678; Sample name: BSZ20; SRA: SRS1890861		PAIRED	2017379	2007759
PRJNA359404_Sebastiscus-marmoratus	SRR5138731	sample9	dummy	BioSample: SAMN06191679; Sample name: BSZ3; SRA: SRS1890864		PAIRED	2073177	2062809
PRJNA359404_Sebastiscus-marmoratus	SRR5138733	sample10	dummy	BioSample: SAMN06191680; Sample name: BSZ4; SRA: SRS1890867		PAIRED	2321343	2309976
PRJNA359404_Sebastiscus-marmoratus	SRR5138794	sample11	dummy	BioSample: SAMN06191681; Sample name: BSZ7; SRA: SRS1890905		PAIRED	2283164	2272909
PRJNA359404_Sebastiscus-marmoratus	SRR5138825	sample12	dummy	BioSample: SAMN06191682; Sample name: BSZ8; SRA: SRS1890936		PAIRED	2168640	2158227
PRJNA359404_Sebastiscus-marmoratus	SRR5138827	sample13	dummy	BioSample: SAMN06191683; Sample name: BSZ9; SRA: SRS1890938		PAIRED	2120652	2110078
PRJNA359404_Sebastiscus-marmoratus	SRR5150218	sample14	dummy	BioSample: SAMN06191684; Sample name: F10; SRA: SRS1900461		PAIRED	1768987	1759694
PRJNA359404_Sebastiscus-marmoratus	SRR5150275	sample15	dummy	BioSample: SAMN06191685; Sample name: F11; SRA: SRS1900589		PAIRED	1356360	1348835
PRJNA359404_Sebastiscus-marmoratus	SRR5150276	sample16	dummy	BioSample: SAMN06191686; Sample name: F12; SRA: SRS1900594		PAIRED	2176305	2164341
PRJNA359404_Sebastiscus-marmoratus	SRR5150283	sample17	dummy	BioSample: SAMN06191687; Sample name: F13; SRA: SRS1900636		PAIRED	1899779	1889158
PRJNA359404_Sebastiscus-marmoratus	SRR5150284	sample18	dummy	BioSample: SAMN06191688; Sample name: F14; SRA: SRS1900637		PAIRED	969782	964643
PRJNA359404_Sebastiscus-marmoratus	SRR5150287	sample19	dummy	BioSample: SAMN06191689; Sample name: F15; SRA: SRS1900638		PAIRED	1962499	1953190
PRJNA359404_Sebastiscus-marmoratus	SRR5150288	sample20	dummy	BioSample: SAMN06191690; Sample name: F16; SRA: SRS1900639		PAIRED	2157936	2146989
PRJNA359404_Sebastiscus-marmoratus	SRR5150289	sample21	dummy	BioSample: SAMN06191691; Sample name: F17; SRA: SRS1900640		PAIRED	2216567	2205639
PRJNA359404_Sebastiscus-marmoratus	SRR5150290	sample22	dummy	BioSample: SAMN06191692; Sample name: F18; SRA: SRS1900641		PAIRED	2181207	2170561
PRJNA359404_Sebastiscus-marmoratus	SRR5150291	sample23	dummy	BioSample: SAMN06191693; Sample name: F19; SRA: SRS1900642		PAIRED	2237051	2226120
PRJNA359404_Sebastiscus-marmoratus	SRR5150292	sample24	dummy	BioSample: SAMN06191694; Sample name: F2; SRA: SRS1900643		PAIRED	1778422	1769781
PRJNA359404_Sebastiscus-marmoratus	SRR5150293	sample25	dummy	BioSample: SAMN06191695; Sample name: F21; SRA: SRS1900644		PAIRED	2267317	2254163
PRJNA359404_Sebastiscus-marmoratus	SRR5150294	sample26	dummy	BioSample: SAMN06191696; Sample name: F22; SRA: SRS1900645		PAIRED	1980327	1969353
PRJNA359404_Sebastiscus-marmoratus	SRR5150295	sample27	dummy	BioSample: SAMN06191697; Sample name: F3; SRA: SRS1900646		PAIRED	1861731	1852065
PRJNA359404_Sebastiscus-marmoratus	SRR5150296	sample28	dummy	BioSample: SAMN06191698; Sample name: F5; SRA: SRS1900647		PAIRED	1694916	1684967
PRJNA359404_Sebastiscus-marmoratus	SRR5150297	sample29	dummy	BioSample: SAMN06191699; Sample name: F6; SRA: SRS1900648		PAIRED	1612525	1604673
PRJNA359404_Sebastiscus-marmoratus	SRR5150298	sample30	dummy	BioSample: SAMN06191700; Sample name: F7; SRA: SRS1900649		PAIRED	2031004	2020529
PRJNA359404_Sebastiscus-marmoratus	SRR5150299	sample31	dummy	BioSample: SAMN06191701; Sample name: F8; SRA: SRS1900650		PAIRED	2091092	2080726
PRJNA359404_Sebastiscus-marmoratus	SRR5150300	sample32	dummy	BioSample: SAMN06191702; Sample name: F9; SRA: SRS1900651		PAIRED	2072247	2061973
PRJNA359404_Sebastiscus-marmoratus	SRR5150301	sample33	dummy	BioSample: SAMN06191703; Sample name: FC29; SRA: SRS1900652		PAIRED	1787530	1768826
PRJNA359404_Sebastiscus-marmoratus	SRR5150370	sample34	dummy	BioSample: SAMN06191704; Sample name: QD1; SRA: SRS1900698		PAIRED	2131439	2120628
PRJNA359404_Sebastiscus-marmoratus	SRR5150374	sample35	dummy	BioSample: SAMN06191705; Sample name: RS10; SRA: SRS1900699		PAIRED	1186285	1174369
PRJNA359404_Sebastiscus-marmoratus	SRR5150378	sample36	dummy	BioSample: SAMN06191706; Sample name: RS11; SRA: SRS1900700		PAIRED	1282921	1270796
PRJNA359404_Sebastiscus-marmoratus	SRR5150380	sample37	dummy	BioSample: SAMN06191707; Sample name: RS12; SRA: SRS1900701		PAIRED	1025833	1016071
PRJNA359404_Sebastiscus-marmoratus	SRR5150381	sample38	dummy	BioSample: SAMN06191708; Sample name: RS13; SRA: SRS1900702		PAIRED	1254186	1240408
PRJNA359404_Sebastiscus-marmoratus	SRR5150396	sample39	dummy	BioSample: SAMN06191709; Sample name: RS14; SRA: SRS1900703		PAIRED	1158323	1143785
PRJNA359404_Sebastiscus-marmoratus	SRR5150406	sample40	dummy	BioSample: SAMN06191710; Sample name: RS15; SRA: SRS1900716		PAIRED	1487852	1470660
PRJNA359404_Sebastiscus-marmoratus	SRR5150411	sample41	dummy	BioSample: SAMN06191711; Sample name: RS16; SRA: SRS1900719		PAIRED	1228220	1216614
PRJNA359404_Sebastiscus-marmoratus	SRR5150412	sample42	dummy	BioSample: SAMN06191712; Sample name: RS17; SRA: SRS1900720		PAIRED	1404871	1387519
PRJNA359404_Sebastiscus-marmoratus	SRR5150413	sample43	dummy	BioSample: SAMN06191713; Sample name: RS18; SRA: SRS1900721		PAIRED	1617652	1600684
PRJNA359404_Sebastiscus-marmoratus	SRR5150414	sample44	dummy	BioSample: SAMN06191714; Sample name: RS2; SRA: SRS1900722		PAIRED	1291767	1279174
PRJNA359404_Sebastiscus-marmoratus	SRR5150415	sample45	dummy	BioSample: SAMN06191715; Sample name: RS20; SRA: SRS1900723		PAIRED	1600778	1585981
PRJNA359404_Sebastiscus-marmoratus	SRR5150416	sample46	dummy	BioSample: SAMN06191716; Sample name: RS22; SRA: SRS1900724		PAIRED	1274444	1261583
PRJNA359404_Sebastiscus-marmoratus	SRR5150417	sample47	dummy	BioSample: SAMN06191717; Sample name: RS23; SRA: SRS1900725		PAIRED	1460843	1445931
PRJNA359404_Sebastiscus-marmoratus	SRR5150429	sample48	dummy	BioSample: SAMN06191718; Sample name: RS26; SRA: SRS1900726		PAIRED	1504838	1491161
PRJNA359404_Sebastiscus-marmoratus	SRR5150430	sample49	dummy	BioSample: SAMN06191719; Sample name: RS29; SRA: SRS1900727		PAIRED	1597518	1582446
PRJNA359404_Sebastiscus-marmoratus	SRR5150431	sample50	dummy	BioSample: SAMN06191720; Sample name: RS30; SRA: SRS1900728		PAIRED	1457043	1437024
PRJNA359404_Sebastiscus-marmoratus	SRR5150432	sample51	dummy	BioSample: SAMN06191721; Sample name: RS6; SRA: SRS1900729		PAIRED	1130918	1119614
PRJNA359404_Sebastiscus-marmoratus	SRR5150433	sample52	dummy	BioSample: SAMN06191722; Sample name: RS8; SRA: SRS1900730		PAIRED	1151724	1136935
PRJNA359404_Sebastiscus-marmoratus	SRR5150434	sample53	dummy	BioSample: SAMN06191723; Sample name: RS9; SRA: SRS1900731		PAIRED	1271677	1260428
PRJNA359404_Sebastiscus-marmoratus	SRR5150437	sample54	dummy	BioSample: SAMN06191724; Sample name: Z31; SRA: SRS1900732		PAIRED	1703071	1694070
PRJNA359404_Sebastiscus-marmoratus	SRR5150438	sample55	dummy	BioSample: SAMN06191725; Sample name: Z32; SRA: SRS1900734		PAIRED	2579718	2566099
