link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA360511_Trachidermus-fasciatus	SRR5320391	sample0	dummy	BioSample: SAMN06545431; Sample name: SFY9; SRA: SRS2029777		PAIRED	5543730	5033117
PRJNA360511_Trachidermus-fasciatus	SRR5320392	sample1	dummy	BioSample: SAMN06545430; Sample name: SFY8; SRA: SRS2029776		PAIRED	4337885	3953586
PRJNA360511_Trachidermus-fasciatus	SRR5320393	sample2	dummy	BioSample: SAMN06545429; Sample name: SFY7; SRA: SRS2029778		PAIRED	4189059	3779927
PRJNA360511_Trachidermus-fasciatus	SRR5320394	sample3	dummy	BioSample: SAMN06545428; Sample name: SFY6; SRA: SRS2029779		PAIRED	4007520	3689828
PRJNA360511_Trachidermus-fasciatus	SRR5320395	sample4	dummy	BioSample: SAMN06545427; Sample name: SFY5; SRA: SRS2029780		PAIRED	3935746	3207472
PRJNA360511_Trachidermus-fasciatus	SRR5320396	sample5	dummy	BioSample: SAMN06545426; Sample name: SFY51; SRA: SRS2029781		PAIRED	7555785	6196677
PRJNA360511_Trachidermus-fasciatus	SRR5320397	sample6	dummy	BioSample: SAMN06545425; Sample name: SFY49; SRA: SRS2029783		PAIRED	3202613	3081416
PRJNA360511_Trachidermus-fasciatus	SRR5320398	sample7	dummy	BioSample: SAMN06545424; Sample name: SFY46; SRA: SRS2029782		PAIRED	8068445	5297666
PRJNA360511_Trachidermus-fasciatus	SRR5320399	sample8	dummy	BioSample: SAMN06545423; Sample name: SFY45; SRA: SRS2029784		PAIRED	16739931	15015560
PRJNA360511_Trachidermus-fasciatus	SRR5320400	sample9	dummy	BioSample: SAMN06545422; Sample name: SFY44; SRA: SRS2029785		PAIRED	3456629	3194164
PRJNA360511_Trachidermus-fasciatus	SRR5320401	sample10	dummy	BioSample: SAMN06545421; Sample name: SFY1; SRA: SRS2029786		PAIRED	5492992	4536931
PRJNA360511_Trachidermus-fasciatus	SRR5320402	sample11	dummy	BioSample: SAMN06545420; Sample name: SFY12; SRA: SRS2029787		PAIRED	6785807	5162510
PRJNA360511_Trachidermus-fasciatus	SRR5320403	sample12	dummy	BioSample: SAMN06545419; Sample name: SFY11; SRA: SRS2029788		PAIRED	3861806	3132911
PRJNA360511_Trachidermus-fasciatus	SRR5320404	sample13	dummy	BioSample: SAMN06545418; Sample name: SFY10; SRA: SRS2029790		PAIRED	10523317	9147050
PRJNA360511_Trachidermus-fasciatus	SRR5320405	sample14	dummy	BioSample: SAMN06545417; Sample name: SDDY9; SRA: SRS2029789		PAIRED	3821413	3333314
PRJNA360511_Trachidermus-fasciatus	SRR5320406	sample15	dummy	BioSample: SAMN06545416; Sample name: SDDY7; SRA: SRS2029791		PAIRED	4000000	3514844
PRJNA360511_Trachidermus-fasciatus	SRR5320407	sample16	dummy	BioSample: SAMN06545415; Sample name: SDDY6; SRA: SRS2029792		PAIRED	7375319	4672899
