link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA373825_Paracentrotus-lividus	SRR5266202	sample0	dummy	BioSample: SAMN06315316; Sample name: TUN_pl49; SRA: SRS1986545	isolate: Sample number 49 collected in Tunisia	SINGLE	5940595	5819004
PRJNA373825_Paracentrotus-lividus	SRR5266203	sample1	dummy	BioSample: SAMN06315315; Sample name: TUN_pl48; SRA: SRS1986546	isolate: Sample number 48 collected in Tunisia	SINGLE	5738635	5629475
PRJNA373825_Paracentrotus-lividus	SRR5266204	sample2	dummy	BioSample: SAMN06315314; Sample name: TUN_pl47; SRA: SRS1986547	isolate: Sample number 47 collected in Tunisia	SINGLE	5726882	5615851
PRJNA373825_Paracentrotus-lividus	SRR5266205	sample3	dummy	BioSample: SAMN06315313; Sample name: TUN_pl46; SRA: SRS1986548	isolate: Sample number 46 collected in Tunisia	SINGLE	3606385	3519165
PRJNA373825_Paracentrotus-lividus	SRR5266206	sample4	dummy	BioSample: SAMN06315312; Sample name: TUN_pl44; SRA: SRS1986549	isolate: Sample number 44 collected in Tunisia	SINGLE	3842814	3752916
PRJNA373825_Paracentrotus-lividus	SRR5266207	sample5	dummy	BioSample: SAMN06315311; Sample name: TUN_pl42; SRA: SRS1986550	isolate: Sample number 42 collected in Tunisia	SINGLE	5275304	5169936
PRJNA373825_Paracentrotus-lividus	SRR5266208	sample6	dummy	BioSample: SAMN06315310; Sample name: TUN_pl41; SRA: SRS1986551	isolate: Sample number 41 collected in Tunisia	SINGLE	5560147	5456688
PRJNA373825_Paracentrotus-lividus	SRR5266209	sample7	dummy	BioSample: SAMN06315309; Sample name: TUN_pl39; SRA: SRS1986552	isolate: Sample number 39 collected in Tunisia	SINGLE	5251461	5148680
PRJNA373825_Paracentrotus-lividus	SRR5266210	sample8	dummy	BioSample: SAMN06315308; Sample name: TUN_pl38; SRA: SRS1986553	isolate: Sample number 38 collected in Tunisia	SINGLE	4946210	4841463
PRJNA373825_Paracentrotus-lividus	SRR5266211	sample9	dummy	BioSample: SAMN06315307; Sample name: TUN_pl36; SRA: SRS1986554	isolate: Sample number 36 collected in Tunisia	SINGLE	5095640	4995042
PRJNA373825_Paracentrotus-lividus	SRR5266212	sample10	dummy	BioSample: SAMN06315306; Sample name: TUN_pl34; SRA: SRS1986555	isolate: Sample number 34 collected in Tunisia	SINGLE	5012490	4909778
PRJNA373825_Paracentrotus-lividus	SRR5266213	sample11	dummy	BioSample: SAMN06315305; Sample name: TUN_pl33; SRA: SRS1986556	isolate: Sample number 33 collected in Tunisia	SINGLE	5194149	5085695
PRJNA373825_Paracentrotus-lividus	SRR5266214	sample12	dummy	BioSample: SAMN06315304; Sample name: TUN_pl32; SRA: SRS1986557	isolate: Sample number 32 collected in Tunisia	SINGLE	3001515	2912016
PRJNA373825_Paracentrotus-lividus	SRR5266215	sample13	dummy	BioSample: SAMN06315303; Sample name: TUN_pl30; SRA: SRS1986558	isolate: Sample number 30 collected in Tunisia	SINGLE	4724721	4631779
PRJNA373825_Paracentrotus-lividus	SRR5266216	sample14	dummy	BioSample: SAMN06315302; Sample name: TUN_pl27; SRA: SRS1986559	isolate: Sample number 27 collected in Tunisia	SINGLE	3396107	3332199
PRJNA373825_Paracentrotus-lividus	SRR5266217	sample15	dummy	BioSample: SAMN06315301; Sample name: TUN_pl25; SRA: SRS1986560	isolate: Sample number 25 collected in Tunisia	SINGLE	3840312	3755501
PRJNA373825_Paracentrotus-lividus	SRR5266218	sample16	dummy	BioSample: SAMN06315300; Sample name: FR_be_pl6b; SRA: SRS1986561	isolate: Sample number 6b collected in France	SINGLE	5605201	5500414
PRJNA373825_Paracentrotus-lividus	SRR5266219	sample17	dummy	BioSample: SAMN06315299; Sample name: FR_be_pl4b; SRA: SRS1986562	isolate: Sample number 4b collected in France	SINGLE	4909214	4815111
PRJNA373825_Paracentrotus-lividus	SRR5266220	sample18	dummy	BioSample: SAMN06315298; Sample name: FR_be_pl2b; SRA: SRS1986563	isolate: Sample number 2b collected in France	SINGLE	3442445	3357362
PRJNA373825_Paracentrotus-lividus	SRR5266221	sample19	dummy	BioSample: SAMN06315297; Sample name: FR_be_pl24b; SRA: SRS1986564	isolate: Sample number 24b collected in France	SINGLE	4816036	4717462
PRJNA373825_Paracentrotus-lividus	SRR5266222	sample20	dummy	BioSample: SAMN06315296; Sample name: FR_be_pl21b; SRA: SRS1986565	isolate: Sample number 21b collected in France	SINGLE	5803776	5689735
PRJNA373825_Paracentrotus-lividus	SRR5266223	sample21	dummy	BioSample: SAMN06315295; Sample name: FR_be_pl1b; SRA: SRS1986566	isolate: Sample number 1b collected in France	SINGLE	4031196	3946964
PRJNA373825_Paracentrotus-lividus	SRR5266224	sample22	dummy	BioSample: SAMN06315294; Sample name: FR_be_pl19b; SRA: SRS1986567	isolate: Sample number 19b collected in France	SINGLE	4746716	4651719
PRJNA373825_Paracentrotus-lividus	SRR5266225	sample23	dummy	BioSample: SAMN06315293; Sample name: FR_be_pl18b; SRA: SRS1986568	isolate: Sample number 18b collected in France	SINGLE	4963734	4872453
PRJNA373825_Paracentrotus-lividus	SRR5266226	sample24	dummy	BioSample: SAMN06315292; Sample name: FR_be_pl17b; SRA: SRS1986569	isolate: Sample number 17b collected in France	SINGLE	4550671	4454301
PRJNA373825_Paracentrotus-lividus	SRR5266227	sample25	dummy	BioSample: SAMN06315291; Sample name: FR_be_pl16b; SRA: SRS1986570	isolate: Sample number 16b collected in France	SINGLE	3777065	3701316
PRJNA373825_Paracentrotus-lividus	SRR5266228	sample26	dummy	BioSample: SAMN06315290; Sample name: FR_be_pl12b; SRA: SRS1986571	isolate: Sample number 12b collected in France	SINGLE	4253085	4168079
PRJNA373825_Paracentrotus-lividus	SRR5266229	sample27	dummy	BioSample: SAMN06315289; Sample name: FR_bd_pl9; SRA: SRS1986572	isolate: Sample number 9 collected in France	SINGLE	4307391	4203354
PRJNA373825_Paracentrotus-lividus	SRR5266230	sample28	dummy	BioSample: SAMN06315288; Sample name: FR_bd_pl8; SRA: SRS1986573	isolate: Sample number 8 collected in France	SINGLE	4275810	4189822
