link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA379028_Porites-astreoides	SRR5340885	sample0	dummy	BioSample: SAMN06566368; Sample name: w3; SRA: SRS2045708		PAIRED	333687	332924
PRJNA379028_Porites-astreoides	SRR5340886	sample1	dummy	BioSample: SAMN06566368; Sample name: w3; SRA: SRS2045708		PAIRED	1902424	1898703
PRJNA379028_Porites-astreoides	SRR5340887	sample2	dummy	BioSample: SAMN06566367; Sample name: w11; SRA: SRS2045709		PAIRED	101302	101033
PRJNA379028_Porites-astreoides	SRR5340888	sample3	dummy	BioSample: SAMN06566367; Sample name: w11; SRA: SRS2045709		PAIRED	86094	85922
PRJNA379028_Porites-astreoides	SRR5340889	sample4	dummy	BioSample: SAMN06566366; Sample name: w1; SRA: SRS2045710		PAIRED	4127760	4119757
PRJNA379028_Porites-astreoides	SRR5340890	sample5	dummy	BioSample: SAMN06566366; Sample name: w1; SRA: SRS2045710		PAIRED	2960678	2954709
PRJNA379028_Porites-astreoides	SRR5340891	sample6	dummy	BioSample: SAMN06566334; Sample name: 99; SRA: SRS2045711		PAIRED	1084535	1082533
PRJNA379028_Porites-astreoides	SRR5340892	sample7	dummy	BioSample: SAMN06566334; Sample name: 99; SRA: SRS2045711		PAIRED	882619	881009
PRJNA379028_Porites-astreoides	SRR5340893	sample8	dummy	BioSample: SAMN06566333; Sample name: 98; SRA: SRS2045712		PAIRED	1259631	1257465
PRJNA379028_Porites-astreoides	SRR5340894	sample9	dummy	BioSample: SAMN06566333; Sample name: 98; SRA: SRS2045712		PAIRED	1961512	1956611
PRJNA379028_Porites-astreoides	SRR5340895	sample10	dummy	BioSample: SAMN06566332; Sample name: 96; SRA: SRS2045713		PAIRED	351216	350553
PRJNA379028_Porites-astreoides	SRR5340896	sample11	dummy	BioSample: SAMN06566332; Sample name: 96; SRA: SRS2045713		PAIRED	421868	420659
PRJNA379028_Porites-astreoides	SRR5340897	sample12	dummy	BioSample: SAMN06566331; Sample name: 95; SRA: SRS2045714		PAIRED	5593511	5585485
PRJNA379028_Porites-astreoides	SRR5340898	sample13	dummy	BioSample: SAMN06566331; Sample name: 95; SRA: SRS2045714		PAIRED	2061917	2058985
PRJNA379028_Porites-astreoides	SRR5340899	sample14	dummy	BioSample: SAMN06566330; Sample name: 91; SRA: SRS2045715		PAIRED	1788425	1785138
PRJNA379028_Porites-astreoides	SRR5340900	sample15	dummy	BioSample: SAMN06566330; Sample name: 91; SRA: SRS2045715		PAIRED	1441380	1438698
PRJNA379028_Porites-astreoides	SRR5340901	sample16	dummy	BioSample: SAMN06566329; Sample name: 90; SRA: SRS2045716		PAIRED	3817338	3810798
PRJNA379028_Porites-astreoides	SRR5340902	sample17	dummy	BioSample: SAMN06566329; Sample name: 90; SRA: SRS2045716		PAIRED	3179222	3173399
PRJNA379028_Porites-astreoides	SRR5340903	sample18	dummy	BioSample: SAMN06566328; Sample name: 89; SRA: SRS2045717		PAIRED	3283898	3278242
PRJNA379028_Porites-astreoides	SRR5340904	sample19	dummy	BioSample: SAMN06566328; Sample name: 89; SRA: SRS2045717		PAIRED	3065850	3059786
PRJNA379028_Porites-astreoides	SRR5340905	sample20	dummy	BioSample: SAMN06566365; Sample name: 88b; SRA: SRS2045718		PAIRED	3828611	3821862
PRJNA379028_Porites-astreoides	SRR5340906	sample21	dummy	BioSample: SAMN06566365; Sample name: 88b; SRA: SRS2045718		PAIRED	4394306	4386563
PRJNA379028_Porites-astreoides	SRR5340907	sample22	dummy	BioSample: SAMN06566327; Sample name: 87; SRA: SRS2045719		PAIRED	962661	960897
PRJNA379028_Porites-astreoides	SRR5340908	sample23	dummy	BioSample: SAMN06566327; Sample name: 87; SRA: SRS2045719		PAIRED	507558	506517
PRJNA379028_Porites-astreoides	SRR5340909	sample24	dummy	BioSample: SAMN06566326; Sample name: 86; SRA: SRS2045720		PAIRED	3956171	3949023
PRJNA379028_Porites-astreoides	SRR5340910	sample25	dummy	BioSample: SAMN06566326; Sample name: 86; SRA: SRS2045720		PAIRED	3492639	3486388
PRJNA379028_Porites-astreoides	SRR5340911	sample26	dummy	BioSample: SAMN06566325; Sample name: 85; SRA: SRS2045721		PAIRED	1346239	1343748
PRJNA379028_Porites-astreoides	SRR5340912	sample27	dummy	BioSample: SAMN06566325; Sample name: 85; SRA: SRS2045721		PAIRED	1006164	1004258
PRJNA379028_Porites-astreoides	SRR5340913	sample28	dummy	BioSample: SAMN06566324; Sample name: 84; SRA: SRS2045722		PAIRED	2609675	2604719
PRJNA379028_Porites-astreoides	SRR5340914	sample29	dummy	BioSample: SAMN06566324; Sample name: 84; SRA: SRS2045722		PAIRED	3528405	3521611
PRJNA379028_Porites-astreoides	SRR5340915	sample30	dummy	BioSample: SAMN06566323; Sample name: 82; SRA: SRS2045723		PAIRED	1042100	1039810
PRJNA379028_Porites-astreoides	SRR5340916	sample31	dummy	BioSample: SAMN06566323; Sample name: 82; SRA: SRS2045723		PAIRED	1432332	1429603
PRJNA379028_Porites-astreoides	SRR5340917	sample32	dummy	BioSample: SAMN06566322; Sample name: 81; SRA: SRS2045724		PAIRED	1437050	1434821
PRJNA379028_Porites-astreoides	SRR5340918	sample33	dummy	BioSample: SAMN06566322; Sample name: 81; SRA: SRS2045724		PAIRED	1224568	1222649
PRJNA379028_Porites-astreoides	SRR5340919	sample34	dummy	BioSample: SAMN06566321; Sample name: 80; SRA: SRS2045725		PAIRED	8053407	8032595
PRJNA379028_Porites-astreoides	SRR5340920	sample35	dummy	BioSample: SAMN06566321; Sample name: 80; SRA: SRS2045725		PAIRED	6815851	6797794
