link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA382467_Platichthys-flesus	SRR5435278	sample0	dummy	BioSample: SAMN06703765; Sample name: VBB_5; SRA: SRS2113862	isolate: VBB_5	SINGLE	1673568	858437
PRJNA382467_Platichthys-flesus	SRR5435279	sample1	dummy	BioSample: SAMN06703764; Sample name: VBB_40; SRA: SRS2113860	isolate: VBB_40	SINGLE	1801153	980608
PRJNA382467_Platichthys-flesus	SRR5435280	sample2	dummy	BioSample: SAMN06703763; Sample name: VBB_37; SRA: SRS2113861	isolate: VBB_37	SINGLE	1742870	894417
PRJNA382467_Platichthys-flesus	SRR5435281	sample3	dummy	BioSample: SAMN06703762; Sample name: VBB_17; SRA: SRS2113863	isolate: VBB_17	SINGLE	1719357	926336
PRJNA382467_Platichthys-flesus	SRR5435282	sample4	dummy	BioSample: SAMN06703761; Sample name: UFIV_9; SRA: SRS2113864	isolate: UFIV_9	SINGLE	1940315	751911
PRJNA382467_Platichthys-flesus	SRR5435283	sample5	dummy	BioSample: SAMN06703760; Sample name: UFIV_5; SRA: SRS2113865	isolate: UFIV_5	SINGLE	1884431	802128
PRJNA382467_Platichthys-flesus	SRR5435284	sample6	dummy	BioSample: SAMN06703759; Sample name: UFIV_59; SRA: SRS2113866	isolate: UFIV_59	SINGLE	1914397	851362
PRJNA382467_Platichthys-flesus	SRR5435285	sample7	dummy	BioSample: SAMN06703758; Sample name: UFIV_52; SRA: SRS2113867	isolate: UFIV_52	SINGLE	2155492	886928
PRJNA382467_Platichthys-flesus	SRR5435286	sample8	dummy	BioSample: SAMN06703757; Sample name: UFIV_51; SRA: SRS2113868	isolate: UFIV_51	SINGLE	2063721	921886
PRJNA382467_Platichthys-flesus	SRR5435287	sample9	dummy	BioSample: SAMN06703756; Sample name: UFIV_47; SRA: SRS2113869	isolate: UFIV_47	SINGLE	2070478	866525
PRJNA382467_Platichthys-flesus	SRR5435288	sample10	dummy	BioSample: SAMN06703755; Sample name: UFIV_45; SRA: SRS2113870	isolate: UFIV_45	SINGLE	2149502	953730
PRJNA382467_Platichthys-flesus	SRR5435289	sample11	dummy	BioSample: SAMN06703754; Sample name: UFIV_44; SRA: SRS2113871	isolate: UFIV_44	SINGLE	1854923	821670
PRJNA382467_Platichthys-flesus	SRR5435290	sample12	dummy	BioSample: SAMN06703753; Sample name: UFIV_43; SRA: SRS2113873	isolate: UFIV_43	SINGLE	1891431	800163
PRJNA382467_Platichthys-flesus	SRR5435291	sample13	dummy	BioSample: SAMN06703752; Sample name: UFIV_41; SRA: SRS2113872	isolate: UFIV_41	SINGLE	2182928	796867
PRJNA382467_Platichthys-flesus	SRR5435292	sample14	dummy	BioSample: SAMN06703751; Sample name: UFIV_3; SRA: SRS2113874	isolate: UFIV_3	SINGLE	2101540	729519
PRJNA382467_Platichthys-flesus	SRR5435293	sample15	dummy	BioSample: SAMN06703751; Sample name: UFIV_3; SRA: SRS2113874	isolate: UFIV_3	SINGLE	2103602	846612
PRJNA382467_Platichthys-flesus	SRR5435294	sample16	dummy	BioSample: SAMN06703750; Sample name: UFIV_33; SRA: SRS2113875	isolate: UFIV_33	SINGLE	1928969	736861
PRJNA382467_Platichthys-flesus	SRR5435295	sample17	dummy	BioSample: SAMN06703749; Sample name: UFIV_2; SRA: SRS2113876	isolate: UFIV_2	SINGLE	2037042	764146
PRJNA382467_Platichthys-flesus	SRR5435296	sample18	dummy	BioSample: SAMN06703748; Sample name: UFIV_29; SRA: SRS2113877	isolate: UFIV_29	SINGLE	1926525	745904
PRJNA382467_Platichthys-flesus	SRR5435297	sample19	dummy	BioSample: SAMN06703747; Sample name: UFIV_28; SRA: SRS2113878	isolate: UFIV_28	SINGLE	2155574	738473
PRJNA382467_Platichthys-flesus	SRR5435298	sample20	dummy	BioSample: SAMN06703746; Sample name: UFIV_26; SRA: SRS2113879	isolate: UFIV_26	SINGLE	1890337	752244
PRJNA382467_Platichthys-flesus	SRR5435299	sample21	dummy	BioSample: SAMN06703745; Sample name: UFIV_25; SRA: SRS2113880	isolate: UFIV_25	SINGLE	2011484	778689
PRJNA382467_Platichthys-flesus	SRR5435300	sample22	dummy	BioSample: SAMN06703744; Sample name: UFIV_22; SRA: SRS2113881	isolate: UFIV_22	SINGLE	2006083	815694
PRJNA382467_Platichthys-flesus	SRR5435301	sample23	dummy	BioSample: SAMN06703743; Sample name: UFIV_21; SRA: SRS2113882	isolate: UFIV_21	SINGLE	2073690	831011
