link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA394157_Exaiptasia-diaphana	SRR5828968	sample0	dummy	BioSample: SAMN07351480; Sample name: BTIC29; SRA: SRS2357023	isolate: BTIC29	PAIRED	1247284	1244530
PRJNA394157_Exaiptasia-diaphana	SRR5828969	sample1	dummy	BioSample: SAMN07351479; Sample name: BTIC26; SRA: SRS2357024	isolate: BTIC26	PAIRED	1332192	1329259
PRJNA394157_Exaiptasia-diaphana	SRR5828970	sample2	dummy	BioSample: SAMN07351476; Sample name: BTIC21; SRA: SRS2357022	isolate: BTIC21	PAIRED	1153208	1150704
PRJNA394157_Exaiptasia-diaphana	SRR5828971	sample3	dummy	BioSample: SAMN07351475; Sample name: BTIC20; SRA: SRS2357021	isolate: BTIC20	PAIRED	965082	962937
PRJNA394157_Exaiptasia-diaphana	SRR5828972	sample4	dummy	BioSample: SAMN07351478; Sample name: BTIC25; SRA: SRS2357020	isolate: BTIC25	PAIRED	1342883	1339836
PRJNA394157_Exaiptasia-diaphana	SRR5828973	sample5	dummy	BioSample: SAMN07351477; Sample name: BTIC24; SRA: SRS2357019	isolate: BTIC24	PAIRED	1243688	1240871
PRJNA394157_Exaiptasia-diaphana	SRR5828974	sample6	dummy	BioSample: SAMN07351472; Sample name: BTIC18; SRA: SRS2357017	isolate: BTIC18	PAIRED	1489375	1486103
PRJNA394157_Exaiptasia-diaphana	SRR5828975	sample7	dummy	BioSample: SAMN07351471; Sample name: BTIC15; SRA: SRS2357018	isolate: BTIC15	PAIRED	1194988	1192387
PRJNA394157_Exaiptasia-diaphana	SRR5828976	sample8	dummy	BioSample: SAMN07351474; Sample name: BTIC2; SRA: SRS2357015	isolate: BTIC2	PAIRED	1297277	1294308
PRJNA394157_Exaiptasia-diaphana	SRR5828977	sample9	dummy	BioSample: SAMN07351473; Sample name: BTIC19; SRA: SRS2357016	isolate: BTIC19	PAIRED	1048479	1046022
PRJNA394157_Exaiptasia-diaphana	SRR5828978	sample10	dummy	BioSample: SAMN07351400; Sample name: BTCA18; SRA: SRS2357014	isolate: BTCA18	PAIRED	1225664	1222905
PRJNA394157_Exaiptasia-diaphana	SRR5828979	sample11	dummy	BioSample: SAMN07351399; Sample name: BTCA17; SRA: SRS2357013	isolate: BTCA17	PAIRED	1169566	1166833
PRJNA394157_Exaiptasia-diaphana	SRR5828982	sample12	dummy	BioSample: SAMN07351398; Sample name: BTCA1; SRA: SRS2357010	isolate: BTCA1	PAIRED	1175921	1173182
PRJNA394157_Exaiptasia-diaphana	SRR5828998	sample13	dummy	BioSample: SAMN07351420; Sample name: BTCA38; SRA: SRS2356994	isolate: BTCA38	PAIRED	1113380	1110925
PRJNA394157_Exaiptasia-diaphana	SRR5828999	sample14	dummy	BioSample: SAMN07351419; Sample name: BTCA37; SRA: SRS2356993	isolate: BTCA37	PAIRED	964879	962624
PRJNA394157_Exaiptasia-diaphana	SRR5829000	sample15	dummy	BioSample: SAMN07351414; Sample name: BTCA30; SRA: SRS2356991	isolate: BTCA30	PAIRED	1397784	1394739
PRJNA394157_Exaiptasia-diaphana	SRR5829001	sample16	dummy	BioSample: SAMN07351413; Sample name: BTCA3; SRA: SRS2356992	isolate: BTCA3	PAIRED	1261968	1259161
PRJNA394157_Exaiptasia-diaphana	SRR5829002	sample17	dummy	BioSample: SAMN07351412; Sample name: BTCA29; SRA: SRS2356990	isolate: BTCA29	PAIRED	1248610	1245718
PRJNA394157_Exaiptasia-diaphana	SRR5829003	sample18	dummy	BioSample: SAMN07351411; Sample name: BTCA28; SRA: SRS2356989	isolate: BTCA28	PAIRED	1240325	1237675
PRJNA394157_Exaiptasia-diaphana	SRR5829004	sample19	dummy	BioSample: SAMN07351418; Sample name: BTCA36; SRA: SRS2356988	isolate: BTCA36	PAIRED	981305	978977
PRJNA394157_Exaiptasia-diaphana	SRR5829005	sample20	dummy	BioSample: SAMN07351417; Sample name: BTCA35; SRA: SRS2356987	isolate: BTCA35	PAIRED	936810	934457
PRJNA394157_Exaiptasia-diaphana	SRR5829006	sample21	dummy	BioSample: SAMN07351416; Sample name: BTCA34; SRA: SRS2356986	isolate: BTCA34	PAIRED	1851361	1847306
PRJNA394157_Exaiptasia-diaphana	SRR5829007	sample22	dummy	BioSample: SAMN07351415; Sample name: BTCA32; SRA: SRS2356985	isolate: BTCA32	PAIRED	1613244	1609722
PRJNA394157_Exaiptasia-diaphana	SRR5829008	sample23	dummy	BioSample: SAMN07351503; Sample name: BTIC53; SRA: SRS2356984	isolate: BTIC53	PAIRED	1231973	1229128
PRJNA394157_Exaiptasia-diaphana	SRR5829009	sample24	dummy	BioSample: SAMN07351504; Sample name: BTIC55; SRA: SRS2356983	isolate: BTIC55	PAIRED	1312048	1309231
PRJNA394157_Exaiptasia-diaphana	SRR5829010	sample25	dummy	BioSample: SAMN07351501; Sample name: BTIC51; SRA: SRS2356982	isolate: BTIC51	PAIRED	1001531	999278
PRJNA394157_Exaiptasia-diaphana	SRR5829011	sample26	dummy	BioSample: SAMN07351502; Sample name: BTIC52; SRA: SRS2356981	isolate: BTIC52	PAIRED	1179655	1176987
PRJNA394157_Exaiptasia-diaphana	SRR5829012	sample27	dummy	BioSample: SAMN07351507; Sample name: CAPGD5; SRA: SRS2356980	isolate: CAPGD5	PAIRED	861396	859161
PRJNA394157_Exaiptasia-diaphana	SRR5829013	sample28	dummy	BioSample: SAMN07351508; Sample name: CAPGD6; SRA: SRS2356979	isolate: CAPGD6	PAIRED	1354838	1351555
PRJNA394157_Exaiptasia-diaphana	SRR5829014	sample29	dummy	BioSample: SAMN07351505; Sample name: BTIC8; SRA: SRS2356978	isolate: BTIC8	PAIRED	745573	743756
PRJNA394157_Exaiptasia-diaphana	SRR5829015	sample30	dummy	BioSample: SAMN07351506; Sample name: BTIC9; SRA: SRS2356977	isolate: BTIC9	PAIRED	1032176	1029811
PRJNA394157_Exaiptasia-diaphana	SRR5829016	sample31	dummy	BioSample: SAMN07351509; Sample name: CAPGD7; SRA: SRS2356976	isolate: CAPGD7	PAIRED	1239647	1236798
PRJNA394157_Exaiptasia-diaphana	SRR5829017	sample32	dummy	BioSample: SAMN07351510; Sample name: CAPGD8; SRA: SRS2356975	isolate: CAPGD8	PAIRED	1403883	1400645
PRJNA394157_Exaiptasia-diaphana	SRR5829018	sample33	dummy	BioSample: SAMN07351405; Sample name: BTCA22; SRA: SRS2356974	isolate: BTCA22	PAIRED	1227960	1225173
PRJNA394157_Exaiptasia-diaphana	SRR5829019	sample34	dummy	BioSample: SAMN07351406; Sample name: BTCA23; SRA: SRS2356973	isolate: BTCA23	PAIRED	1146139	1143702
PRJNA394157_Exaiptasia-diaphana	SRR5829020	sample35	dummy	BioSample: SAMN07351407; Sample name: BTCA24; SRA: SRS2356972	isolate: BTCA24	PAIRED	1185384	1182815
PRJNA394157_Exaiptasia-diaphana	SRR5829021	sample36	dummy	BioSample: SAMN07351408; Sample name: BTCA25; SRA: SRS2356971	isolate: BTCA25	PAIRED	1195651	1192637
PRJNA394157_Exaiptasia-diaphana	SRR5829022	sample37	dummy	BioSample: SAMN07351401; Sample name: BTCA19; SRA: SRS2356970	isolate: BTCA19	PAIRED	1055742	1053449
PRJNA394157_Exaiptasia-diaphana	SRR5829023	sample38	dummy	BioSample: SAMN07351402; Sample name: BTCA2; SRA: SRS2356969	isolate: BTCA2	PAIRED	1277574	1274973
PRJNA394157_Exaiptasia-diaphana	SRR5829024	sample39	dummy	BioSample: SAMN07351403; Sample name: BTCA20; SRA: SRS2356968	isolate: BTCA20	PAIRED	861705	859831
