link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA419445_Arctocephalus-forsteri	SRR6336081	sample0	dummy	BioSample: SAMN08094962; Sample name: NPT_M7; SRA: SRS2726714	ecotype: New Zealand	SINGLE	3611439	2367689
PRJNA419445_Arctocephalus-forsteri	SRR6336082	sample1	dummy	BioSample: SAMN08094963; Sample name: NPT_M8; SRA: SRS2726713	ecotype: New Zealand	SINGLE	2936615	1956005
PRJNA419445_Arctocephalus-forsteri	SRR6336083	sample2	dummy	BioSample: SAMN08094958; Sample name: NPT_M3; SRA: SRS2726712	ecotype: New Zealand	SINGLE	3871663	2549801
PRJNA419445_Arctocephalus-forsteri	SRR6336084	sample3	dummy	BioSample: SAMN08094959; Sample name: NPT_M4; SRA: SRS2726711	ecotype: New Zealand	SINGLE	1921084	1221798
PRJNA419445_Arctocephalus-forsteri	SRR6336085	sample4	dummy	BioSample: SAMN08094960; Sample name: NPT_M5; SRA: SRS2726710	ecotype: New Zealand	SINGLE	2016652	1298512
PRJNA419445_Arctocephalus-forsteri	SRR6336086	sample5	dummy	BioSample: SAMN08094961; Sample name: NPT_M6; SRA: SRS2726709	ecotype: New Zealand	SINGLE	3637316	2373283
PRJNA419445_Arctocephalus-forsteri	SRR6336087	sample6	dummy	BioSample: SAMN08094954; Sample name: NPT_F13; SRA: SRS2726708	ecotype: New Zealand	SINGLE	1831748	1126773
PRJNA419445_Arctocephalus-forsteri	SRR6336088	sample7	dummy	BioSample: SAMN08094955; Sample name: NPT_F14; SRA: SRS2726707	ecotype: New Zealand	SINGLE	3110704	2131814
PRJNA419445_Arctocephalus-forsteri	SRR6336089	sample8	dummy	BioSample: SAMN08094956; Sample name: NPT_M1; SRA: SRS2726706	ecotype: New Zealand	SINGLE	3998612	2603280
PRJNA419445_Arctocephalus-forsteri	SRR6336090	sample9	dummy	BioSample: SAMN08094957; Sample name: NPT_M2; SRA: SRS2726705	ecotype: New Zealand	SINGLE	983187	637085
PRJNA419445_Arctocephalus-forsteri	SRR6336091	sample10	dummy	BioSample: SAMN08094993; Sample name: OBI_M23; SRA: SRS2726704	ecotype: New Zealand	SINGLE	2971157	1904693
PRJNA419445_Arctocephalus-forsteri	SRR6336092	sample11	dummy	BioSample: SAMN08094992; Sample name: OBI_M22; SRA: SRS2726703	ecotype: New Zealand	SINGLE	2946914	1870934
PRJNA419445_Arctocephalus-forsteri	SRR6336093	sample12	dummy	BioSample: SAMN08094892; Sample name: CF_F9; SRA: SRS2726702	ecotype: New Zealand	SINGLE	2413741	1491849
PRJNA419445_Arctocephalus-forsteri	SRR6336094	sample13	dummy	BioSample: SAMN08094893; Sample name: CF_F10; SRA: SRS2726701	ecotype: New Zealand	SINGLE	514068	323664
PRJNA419445_Arctocephalus-forsteri	SRR6336095	sample14	dummy	BioSample: SAMN08094989; Sample name: OBI_M17; SRA: SRS2726700	ecotype: New Zealand	SINGLE	3104186	1960092
