link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA420851_Ectopleura-larynx	SRR6338890	sample0	dummy	BioSample: SAMN08122700; Sample name: Ecto_ME1.4.H12; SRA: SRS2728868	isolate: ME1_Colony4_Polyp5	SINGLE	919817	901734
PRJNA420851_Ectopleura-larynx	SRR6338891	sample1	dummy	BioSample: SAMN08122699; Sample name: Ecto_ME1.4.E2; SRA: SRS2728867	isolate: ME1_Colony4_Polyp4	SINGLE	67560	66244
PRJNA420851_Ectopleura-larynx	SRR6338892	sample2	dummy	BioSample: SAMN08122698; Sample name: Ecto_ME1.4.C4; SRA: SRS2728866	isolate: ME1_Colony4_Polyp3	SINGLE	292399	286958
PRJNA420851_Ectopleura-larynx	SRR6338893	sample3	dummy	BioSample: SAMN08122697; Sample name: Ecto_ME1.4.C2; SRA: SRS2728865	isolate: ME1_Colony4_Polyp2	SINGLE	2390072	2349254
PRJNA420851_Ectopleura-larynx	SRR6338894	sample4	dummy	BioSample: SAMN08122696; Sample name: Ecto_ME1.4.C1; SRA: SRS2728864	isolate: ME1_Colony4_Polyp1	SINGLE	435006	428637
PRJNA420851_Ectopleura-larynx	SRR6338895	sample5	dummy	BioSample: SAMN08122695; Sample name: Ecto_ME1.3.H3; SRA: SRS2728863	isolate: ME1_Colony3_Polyp5	SINGLE	429007	421895
PRJNA420851_Ectopleura-larynx	SRR6338896	sample6	dummy	BioSample: SAMN08122694; Sample name: Ecto_ME1.3.F3; SRA: SRS2728862	isolate: ME1_Colony3_Polyp4	SINGLE	1839305	1810948
PRJNA420851_Ectopleura-larynx	SRR6338897	sample7	dummy	BioSample: SAMN08122693; Sample name: Ecto_ME1.3.F1; SRA: SRS2728861	isolate: ME1_Colony3_Polyp3	SINGLE	2906474	2856289
PRJNA420851_Ectopleura-larynx	SRR6338898	sample8	dummy	BioSample: SAMN08122692; Sample name: Ecto_ME1.3.E1; SRA: SRS2728860	isolate: ME1_Colony3_Polyp2	SINGLE	1096257	1079378
PRJNA420851_Ectopleura-larynx	SRR6338899	sample9	dummy	BioSample: SAMN08122691; Sample name: Ecto_ME1.3.D6; SRA: SRS2728858	isolate: ME1_Colony3_Polyp1	SINGLE	2415568	2373064
