link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA430030_Coryphaenoides-rupestris	SRR6473170	sample0	dummy	BioSample: SAMN08365278; Sample name: C_Heb1_15D9; SRA: SRS2835483		PAIRED	9960462	9523613
PRJNA430030_Coryphaenoides-rupestris	SRR6473171	sample1	dummy	BioSample: SAMN08365277; Sample name: C_Heb1_15C10; SRA: SRS2835482		PAIRED	5603147	5350388
PRJNA430030_Coryphaenoides-rupestris	SRR6473172	sample2	dummy	BioSample: SAMN08365276; Sample name: C_Heb1_15B9; SRA: SRS2835480		PAIRED	2428676	2289520
PRJNA430030_Coryphaenoides-rupestris	SRR6473173	sample3	dummy	BioSample: SAMN08365275; Sample name: C_Heb1_15B3; SRA: SRS2835479		PAIRED	8763709	8496490
PRJNA430030_Coryphaenoides-rupestris	SRR6473174	sample4	dummy	BioSample: SAMN08365274; Sample name: C_Heb1_15A10; SRA: SRS2835481		PAIRED	7992378	7771181
PRJNA430030_Coryphaenoides-rupestris	SRR6473175	sample5	dummy	BioSample: SAMN08365273; Sample name: C_Heb4_27B6; SRA: SRS2835477		PAIRED	6406678	6218494
PRJNA430030_Coryphaenoides-rupestris	SRR6473176	sample6	dummy	BioSample: SAMN08365272; Sample name: C_Heb4_27A8; SRA: SRS2835478		PAIRED	8783744	8510886
PRJNA430030_Coryphaenoides-rupestris	SRR6473177	sample7	dummy	BioSample: SAMN08365271; Sample name: C_Heb4_27A6; SRA: SRS2835476		PAIRED	4943277	4803891
PRJNA430030_Coryphaenoides-rupestris	SRR6473178	sample8	dummy	BioSample: SAMN08365270; Sample name: C_Heb4_26J9; SRA: SRS2835475		PAIRED	12288365	11922397
PRJNA430030_Coryphaenoides-rupestris	SRR6473179	sample9	dummy	BioSample: SAMN08365269; Sample name: C_Heb4_26J7; SRA: SRS2835472		PAIRED	16331599	14880750
PRJNA430030_Coryphaenoides-rupestris	SRR6473180	sample10	dummy	BioSample: SAMN08365281; Sample name: C_Heb3_16B5; SRA: SRS2835473		PAIRED	5447947	4916191
PRJNA430030_Coryphaenoides-rupestris	SRR6473181	sample11	dummy	BioSample: SAMN08365282; Sample name: C_Heb3_16B7; SRA: SRS2835474		PAIRED	7473616	6759594
PRJNA430030_Coryphaenoides-rupestris	SRR6473182	sample12	dummy	BioSample: SAMN08365279; Sample name: C_Heb1_15E3; SRA: SRS2835471		PAIRED	6238408	5953438
PRJNA430030_Coryphaenoides-rupestris	SRR6473183	sample13	dummy	BioSample: SAMN08365280; Sample name: C_Heb3_16B10; SRA: SRS2835470		PAIRED	5519566	5319857
PRJNA430030_Coryphaenoides-rupestris	SRR6473184	sample14	dummy	BioSample: SAMN08365285; Sample name: C_Heb3_16C7; SRA: SRS2835469		PAIRED	9524972	8635213
PRJNA430030_Coryphaenoides-rupestris	SRR6473185	sample15	dummy	BioSample: SAMN08365286; Sample name: C_Heb2_15J5; SRA: SRS2835468		PAIRED	6019824	5371457
PRJNA430030_Coryphaenoides-rupestris	SRR6473186	sample16	dummy	BioSample: SAMN08365283; Sample name: C_Heb3_16C1; SRA: SRS2835467		PAIRED	4231161	3788115
PRJNA430030_Coryphaenoides-rupestris	SRR6473187	sample17	dummy	BioSample: SAMN08365284; Sample name: C_Heb3_16C2; SRA: SRS2835466		PAIRED	4628194	4062224
PRJNA430030_Coryphaenoides-rupestris	SRR6473188	sample18	dummy	BioSample: SAMN08365287; Sample name: C_Heb2_16A1; SRA: SRS2835465		PAIRED	7141649	6408925
PRJNA430030_Coryphaenoides-rupestris	SRR6473189	sample19	dummy	BioSample: SAMN08365267; Sample name: C_Heb4_26I5; SRA: SRS2835464		PAIRED	3208968	2767905
PRJNA430030_Coryphaenoides-rupestris	SRR6473190	sample20	dummy	BioSample: SAMN08365268; Sample name: C_Heb4_26J10; SRA: SRS2835463		PAIRED	8830605	8556932
PRJNA430030_Coryphaenoides-rupestris	SRR6473191	sample21	dummy	BioSample: SAMN08365259; Sample name: C_Heb2_15I5; SRA: SRS2835462		PAIRED	7900952	7013450
PRJNA430030_Coryphaenoides-rupestris	SRR6473192	sample22	dummy	BioSample: SAMN08365260; Sample name: C_Heb2_15J2; SRA: SRS2835460		PAIRED	6797562	5907055
PRJNA430030_Coryphaenoides-rupestris	SRR6473193	sample23	dummy	BioSample: SAMN08365261; Sample name: C_Heb2_16A2; SRA: SRS2835461		PAIRED	17637729	15994665
PRJNA430030_Coryphaenoides-rupestris	SRR6473194	sample24	dummy	BioSample: SAMN08365262; Sample name: C_Heb2_16A3; SRA: SRS2835459		PAIRED	7372660	6812530
PRJNA430030_Coryphaenoides-rupestris	SRR6473195	sample25	dummy	BioSample: SAMN08365263; Sample name: C_Heb2_16A4; SRA: SRS2835458		PAIRED	2522673	2280791
PRJNA430030_Coryphaenoides-rupestris	SRR6473196	sample26	dummy	BioSample: SAMN08365264; Sample name: C_Heb2_16A6; SRA: SRS2835457		PAIRED	5279764	4824109
PRJNA430030_Coryphaenoides-rupestris	SRR6473197	sample27	dummy	BioSample: SAMN08365265; Sample name: C_Heb2_16A8; SRA: SRS2835456		PAIRED	4302712	3945748
PRJNA430030_Coryphaenoides-rupestris	SRR6473198	sample28	dummy	BioSample: SAMN08365266; Sample name: C_Heb4_26H3; SRA: SRS2835455		PAIRED	6726111	5969917
PRJNA430030_Coryphaenoides-rupestris	SRR6473199	sample29	dummy	BioSample: SAMN08365254; Sample name: C_Heb3_16B9; SRA: SRS2835454		PAIRED	14096940	12962793
PRJNA430030_Coryphaenoides-rupestris	SRR6473200	sample30	dummy	BioSample: SAMN08365253; Sample name: C_Heb3_16B6; SRA: SRS2835453		PAIRED	11271865	9936974
PRJNA430030_Coryphaenoides-rupestris	SRR6473201	sample31	dummy	BioSample: SAMN08365256; Sample name: C_Heb2_15I2; SRA: SRS2835452		PAIRED	17086119	15570105
PRJNA430030_Coryphaenoides-rupestris	SRR6473202	sample32	dummy	BioSample: SAMN08365255; Sample name: C_Heb3_16C8; SRA: SRS2835451		PAIRED	8522876	7593928
PRJNA430030_Coryphaenoides-rupestris	SRR6473203	sample33	dummy	BioSample: SAMN08365250; Sample name: C_Heb1_15B6; SRA: SRS2835450		PAIRED	13261212	12917961
PRJNA430030_Coryphaenoides-rupestris	SRR6473204	sample34	dummy	BioSample: SAMN08365249; Sample name: C_Heb1_15A8; SRA: SRS2835449		PAIRED	7898444	7668918
PRJNA430030_Coryphaenoides-rupestris	SRR6473205	sample35	dummy	BioSample: SAMN08365252; Sample name: C_Heb3_16B1; SRA: SRS2835448		PAIRED	13325422	12122165
PRJNA430030_Coryphaenoides-rupestris	SRR6473206	sample36	dummy	BioSample: SAMN08365251; Sample name: C_Heb1_15C6; SRA: SRS2835447		PAIRED	10037584	9560162
PRJNA430030_Coryphaenoides-rupestris	SRR6473207	sample37	dummy	BioSample: SAMN08365258; Sample name: C_Heb2_15I4; SRA: SRS2835446		PAIRED	9214938	8115635
PRJNA430030_Coryphaenoides-rupestris	SRR6473208	sample38	dummy	BioSample: SAMN08365257; Sample name: C_Heb2_15I3; SRA: SRS2835445		PAIRED	12554538	11366854
PRJNA430030_Coryphaenoides-rupestris	SRR6473209	sample39	dummy	BioSample: SAMN08365208; Sample name: C_Heb2_15H10; SRA: SRS2835444		PAIRED	19956367	17920457
PRJNA430030_Coryphaenoides-rupestris	SRR6473210	sample40	dummy	BioSample: SAMN08365207; Sample name: C_Heb3_16C6; SRA: SRS2835443		PAIRED	4827030	4346649
PRJNA430030_Coryphaenoides-rupestris	SRR6473211	sample41	dummy	BioSample: SAMN08365202; Sample name: C_Heb4_27A3; SRA: SRS2835442		PAIRED	14242703	13792974
PRJNA430030_Coryphaenoides-rupestris	SRR6473212	sample42	dummy	BioSample: SAMN08365201; Sample name: C_Heb4_26H2; SRA: SRS2835441		PAIRED	5465400	4811795
