link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA436919_Apostichopus-californicus	SRR6805505	sample0	dummy	BioSample: SAMN08635077; Sample name: HOP_2560; SRA: SRS3019460		SINGLE	1376242	1079064
PRJNA436919_Apostichopus-californicus	SRR6805506	sample1	dummy	BioSample: SAMN08635078; Sample name: HOP_2561; SRA: SRS3019458		SINGLE	2130457	1814037
PRJNA436919_Apostichopus-californicus	SRR6805507	sample2	dummy	BioSample: SAMN08635531; Sample name: CAL_1471; SRA: SRS3019457		SINGLE	1512021	1222109
PRJNA436919_Apostichopus-californicus	SRR6805508	sample3	dummy	BioSample: SAMN08635532; Sample name: CAL_1472; SRA: SRS3019456		SINGLE	2230488	1621467
PRJNA436919_Apostichopus-californicus	SRR6805509	sample4	dummy	BioSample: SAMN08635529; Sample name: CAL_1469; SRA: SRS3019455		SINGLE	3490528	2570886
PRJNA436919_Apostichopus-californicus	SRR6805510	sample5	dummy	BioSample: SAMN08635530; Sample name: CAL_1470; SRA: SRS3019454		SINGLE	2791653	2072348
PRJNA436919_Apostichopus-californicus	SRR6805511	sample6	dummy	BioSample: SAMN08635527; Sample name: CAL_1467; SRA: SRS3019453		SINGLE	2511397	2130926
PRJNA436919_Apostichopus-californicus	SRR6805512	sample7	dummy	BioSample: SAMN08635528; Sample name: CAL_1468; SRA: SRS3019452		SINGLE	3208567	2556512
PRJNA436919_Apostichopus-californicus	SRR6805513	sample8	dummy	BioSample: SAMN08635525; Sample name: CAL_1465; SRA: SRS3019451		SINGLE	2421145	1819852
PRJNA436919_Apostichopus-californicus	SRR6805514	sample9	dummy	BioSample: SAMN08635526; Sample name: CAL_1466; SRA: SRS3019450		SINGLE	3536722	2613365
PRJNA436919_Apostichopus-californicus	SRR6805515	sample10	dummy	BioSample: SAMN08635523; Sample name: CAL_1463; SRA: SRS3019448		SINGLE	3252419	2425042
PRJNA436919_Apostichopus-californicus	SRR6805516	sample11	dummy	BioSample: SAMN08635524; Sample name: CAL_1464; SRA: SRS3019449		SINGLE	2384002	2007130
PRJNA436919_Apostichopus-californicus	SRR6805517	sample12	dummy	BioSample: SAMN08635572; Sample name: JUA_1215; SRA: SRS3019447		SINGLE	2222991	1618711
PRJNA436919_Apostichopus-californicus	SRR6805518	sample13	dummy	BioSample: SAMN08635571; Sample name: JUA_1213; SRA: SRS3019592		SINGLE	2843955	2104939
PRJNA436919_Apostichopus-californicus	SRR6805519	sample14	dummy	BioSample: SAMN08635564; Sample name: JUA_1205; SRA: SRS3019446		SINGLE	2145948	1573471
PRJNA436919_Apostichopus-californicus	SRR6805520	sample15	dummy	BioSample: SAMN08635563; Sample name: JUA_1204; SRA: SRS3019445		SINGLE	1911302	1419688
PRJNA436919_Apostichopus-californicus	SRR6805521	sample16	dummy	BioSample: SAMN08635566; Sample name: JUA_1207; SRA: SRS3019499		SINGLE	881175	656406
PRJNA436919_Apostichopus-californicus	SRR6805522	sample17	dummy	BioSample: SAMN08635565; Sample name: JUA_1206; SRA: SRS3019444		SINGLE	6000000	5061629
PRJNA436919_Apostichopus-californicus	SRR6805523	sample18	dummy	BioSample: SAMN08635568; Sample name: JUA_1210; SRA: SRS3019443		SINGLE	3821552	3169176
PRJNA436919_Apostichopus-californicus	SRR6805524	sample19	dummy	BioSample: SAMN08635567; Sample name: JUA_1209; SRA: SRS3019441		SINGLE	1943653	1447748
