link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA448430_Stegastes-leucorus	SRR6927559	sample0	dummy	BioSample: SAMN08832751; Sample name: SLE_SBE_041606; SRA: SRS3114813		SINGLE	450414	450414
PRJNA448430_Stegastes-leucorus	SRR6927567	sample1	dummy	BioSample: SAMN08832738; Sample name: SLE_GUA_050705; SRA: SRS3114807		SINGLE	49447	49447
PRJNA448430_Stegastes-leucorus	SRR6927575	sample2	dummy	BioSample: SAMN08832740; Sample name: SLE_SBE_041607; SRA: SRS3114796		SINGLE	629695	629695
PRJNA448430_Stegastes-leucorus	SRR6927576	sample3	dummy	BioSample: SAMN08832739; Sample name: SLE_GUA_050706; SRA: SRS3114797		SINGLE	142254	142254
PRJNA448430_Stegastes-leucorus	SRR6927577	sample4	dummy	BioSample: SAMN08832749; Sample name: SLE_GUA_050709; SRA: SRS3114795		SINGLE	2054503	2054503
PRJNA448430_Stegastes-leucorus	SRR6927579	sample5	dummy	BioSample: SAMN08832719; Sample name: SLE_GUA_050710; SRA: SRS3114793		SINGLE	272392	272392
PRJNA448430_Stegastes-leucorus	SRR6927580	sample6	dummy	BioSample: SAMN08832720; Sample name: SLE_SBE_041601; SRA: SRS3114792		SINGLE	384407	384407
PRJNA448430_Stegastes-leucorus	SRR6927581	sample7	dummy	BioSample: SAMN08832718; Sample name: SLE_GUA_050708; SRA: SRS3114791		SINGLE	1570291	1570291
PRJNA448430_Stegastes-leucorus	SRR6927590	sample8	dummy	BioSample: SAMN08832750; Sample name: SLE_SBE_041603; SRA: SRS3114782		SINGLE	529035	529035
PRJNA448430_Stegastes-leucorus	SRR6927592	sample9	dummy	BioSample: SAMN08832752; Sample name: SLE_SBE_041609; SRA: SRS3114780		SINGLE	166430	166430
PRJNA448430_Stegastes-leucorus	SRR6927593	sample10	dummy	BioSample: SAMN08832761; Sample name: SLE_GUA_050701; SRA: SRS3114779		SINGLE	635542	635542
PRJNA448430_Stegastes-leucorus	SRR6927594	sample11	dummy	BioSample: SAMN08832762; Sample name: SLE_GUA_050702; SRA: SRS3114778		SINGLE	157804	157804
PRJNA448430_Stegastes-leucorus	SRR6927595	sample12	dummy	BioSample: SAMN08832763; Sample name: SLE_GUA_050704; SRA: SRS3114777		SINGLE	194126	194126
PRJNA448430_Stegastes-leucorus	SRR6927596	sample13	dummy	BioSample: SAMN08832764; Sample name: SLE_SBE_041602; SRA: SRS3114776		SINGLE	417885	417885
PRJNA448430_Stegastes-leucorus	SRR6927597	sample14	dummy	BioSample: SAMN08832729; Sample name: SLE_SBE_041605; SRA: SRS3114775		SINGLE	526806	526806
PRJNA448430_Stegastes-leucorus	SRR6927598	sample15	dummy	BioSample: SAMN08832730; Sample name: SLE_SBE_041608; SRA: SRS3114774		SINGLE	845130	845130
PRJNA448430_Stegastes-leucorus	SRR6927603	sample16	dummy	BioSample: SAMN08832741; Sample name: SLE_SBE_041610; SRA: SRS3114769		SINGLE	476996	476996
PRJNA448430_Stegastes-leucorus	SRR6927610	sample17	dummy	BioSample: SAMN08832726; Sample name: SLE_GUA_050703; SRA: SRS3114764		SINGLE	157868	157868
PRJNA448430_Stegastes-leucorus	SRR6927611	sample18	dummy	BioSample: SAMN08832727; Sample name: SLE_GUA_050707; SRA: SRS3114761		SINGLE	9523	9523
PRJNA448430_Stegastes-leucorus	SRR6927612	sample19	dummy	BioSample: SAMN08832728; Sample name: SLE_SBE_041604; SRA: SRS3114762		SINGLE	609953	609953
