link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA448438_Holacanthus-passer	SRR6927620	sample0	dummy	BioSample: SAMN08832889; Sample name: HPA_ICP_020703; SRA: SRS3114891		SINGLE	1269049	1269049
PRJNA448438_Holacanthus-passer	SRR6927621	sample1	dummy	BioSample: SAMN08832894; Sample name: HPA_MAC_110503; SRA: SRS3114889		SINGLE	1835590	1835590
PRJNA448438_Holacanthus-passer	SRR6927622	sample2	dummy	BioSample: SAMN08832895; Sample name: HPA_ZFI_090610; SRA: SRS3114890		SINGLE	920762	920762
PRJNA448438_Holacanthus-passer	SRR6927623	sample3	dummy	BioSample: SAMN08832896; Sample name: HPA_ZFI_090611; SRA: SRS3114888		SINGLE	565300	565300
PRJNA448438_Holacanthus-passer	SRR6927624	sample4	dummy	BioSample: SAMN08832873; Sample name: HPA_ZFI_090613; SRA: SRS3114887		SINGLE	1221125	1221125
PRJNA448438_Holacanthus-passer	SRR6927625	sample5	dummy	BioSample: SAMN08832872; Sample name: HPA_MUE_061201; SRA: SRS3114886		SINGLE	1582869	1582869
PRJNA448438_Holacanthus-passer	SRR6927627	sample6	dummy	BioSample: SAMN08832888; Sample name: HPA_ICP_020702; SRA: SRS3114884		SINGLE	1407006	1407006
PRJNA448438_Holacanthus-passer	SRR6927632	sample7	dummy	BioSample: SAMN08832869; Sample name: HPA_ICP_020704; SRA: SRS3114879		SINGLE	2105141	2105141
PRJNA448438_Holacanthus-passer	SRR6927634	sample8	dummy	BioSample: SAMN08832871; Sample name: HPA_MAC_110501; SRA: SRS3114877		SINGLE	1678435	1678435
PRJNA448438_Holacanthus-passer	SRR6927635	sample9	dummy	BioSample: SAMN08832870; Sample name: HPA_ICP_020704_2; SRA: SRS3114876		SINGLE	1603968	1603968
PRJNA448438_Holacanthus-passer	SRR6927636	sample10	dummy	BioSample: SAMN08832887; Sample name: HPA_FLO1; SRA: SRS3114875		SINGLE	3380474	3380474
PRJNA448438_Holacanthus-passer	SRR6927640	sample11	dummy	BioSample: SAMN08832891; Sample name: HPA_ICP_020706; SRA: SRS3114871		SINGLE	1517587	1517587
PRJNA448438_Holacanthus-passer	SRR6927641	sample12	dummy	BioSample: SAMN08832890; Sample name: HPA_ICP_020705; SRA: SRS3114869		SINGLE	1137737	1137737
PRJNA448438_Holacanthus-passer	SRR6927655	sample13	dummy	BioSample: SAMN08832830; Sample name: HPA_ICP_020706_2; SRA: SRS3114894		SINGLE	945879	945879
PRJNA448438_Holacanthus-passer	SRR6927663	sample14	dummy	BioSample: SAMN08832893; Sample name: HPA_ICP_020702_2; SRA: SRS3114848		SINGLE	1406660	1406660
PRJNA448438_Holacanthus-passer	SRR6927667	sample15	dummy	BioSample: SAMN08832892; Sample name: HPA_ICP_020701_2; SRA: SRS3114846		SINGLE	1377213	1377213
PRJNA448438_Holacanthus-passer	SRR6927668	sample16	dummy	BioSample: SAMN08832876; Sample name: HPA_ZFI_090619; SRA: SRS3114842		SINGLE	1621072	1621072
PRJNA448438_Holacanthus-passer	SRR6927670	sample17	dummy	BioSample: SAMN08832874; Sample name: HPA_ZFI_090614; SRA: SRS3114843		SINGLE	1410642	1410642
PRJNA448438_Holacanthus-passer	SRR6927671	sample18	dummy	BioSample: SAMN08832875; Sample name: HPA_ZFI_090615; SRA: SRS3114841		SINGLE	1302199	1302199
PRJNA448438_Holacanthus-passer	SRR6927676	sample19	dummy	BioSample: SAMN08832840; Sample name: HPA_ZFI_090601; SRA: SRS3114836		SINGLE	1909475	1909475
PRJNA448438_Holacanthus-passer	SRR6927677	sample20	dummy	BioSample: SAMN08832841; Sample name: HPA_ZFI_090603; SRA: SRS3114833		SINGLE	1792145	1792145
PRJNA448438_Holacanthus-passer	SRR6927678	sample21	dummy	BioSample: SAMN08832838; Sample name: HPA_MUE_061202; SRA: SRS3114834		SINGLE	2281132	2281132
PRJNA448438_Holacanthus-passer	SRR6927679	sample22	dummy	BioSample: SAMN08832839; Sample name: HPA_MUE_061202_2; SRA: SRS3114835		SINGLE	1649982	1649982
PRJNA448438_Holacanthus-passer	SRR6927680	sample23	dummy	BioSample: SAMN08832836; Sample name: HPA_ICP_020205; SRA: SRS3114832		SINGLE	1992381	1992381
PRJNA448438_Holacanthus-passer	SRR6927681	sample24	dummy	BioSample: SAMN08832837; Sample name: HPA_ICP_020703_2; SRA: SRS3114831		SINGLE	3066599	3066599
PRJNA448438_Holacanthus-passer	SRR6927683	sample25	dummy	BioSample: SAMN08832835; Sample name: HPA_ESP1; SRA: SRS3114829		SINGLE	1909524	1909524
PRJNA448438_Holacanthus-passer	SRR6927686	sample26	dummy	BioSample: SAMN08832856; Sample name: HPA_ICP_020701; SRA: SRS3114826		SINGLE	1239776	1239776
PRJNA448438_Holacanthus-passer	SRR6927687	sample27	dummy	BioSample: SAMN08832857; Sample name: HPA_MAC_110502; SRA: SRS3114825		SINGLE	1769520	1769520
PRJNA448438_Holacanthus-passer	SRR6927690	sample28	dummy	BioSample: SAMN08832842; Sample name: HPA_ZFI_090604; SRA: SRS3114822		SINGLE	1972073	1972073
PRJNA448438_Holacanthus-passer	SRR6927691	sample29	dummy	BioSample: SAMN08832843; Sample name: HPA_ZFI_090612; SRA: SRS3114821		SINGLE	478265	478265
