link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA450871_Pocillopora-damicornis	SRR7031118	sample0	dummy	BioSample: SAMN08951247; Sample name: PDAM_CS417; SRA: SRS3193230	isolate: CS417	SINGLE	2502582	2354902
PRJNA450871_Pocillopora-damicornis	SRR7031119	sample1	dummy	BioSample: SAMN08951246; Sample name: PDAM_CS416; SRA: SRS3193229	isolate: CS416	SINGLE	5858037	5363050
PRJNA450871_Pocillopora-damicornis	SRR7031120	sample2	dummy	BioSample: SAMN08951241; Sample name: PDAM_CS411; SRA: SRS3193228	isolate: CS411	SINGLE	336603	304724
PRJNA450871_Pocillopora-damicornis	SRR7031121	sample3	dummy	BioSample: SAMN08951240; Sample name: PDAM_CS410; SRA: SRS3193227	isolate: CS410	SINGLE	2210583	2094952
PRJNA450871_Pocillopora-damicornis	SRR7031122	sample4	dummy	BioSample: SAMN08951239; Sample name: PDAM_CS409; SRA: SRS3193226	isolate: CS409	SINGLE	2260818	2149806
PRJNA450871_Pocillopora-damicornis	SRR7031123	sample5	dummy	BioSample: SAMN08951238; Sample name: PDAM_CS408; SRA: SRS3193225	isolate: CS408	SINGLE	3168095	2890781
PRJNA450871_Pocillopora-damicornis	SRR7031124	sample6	dummy	BioSample: SAMN08951245; Sample name: PDAM_CS415; SRA: SRS3193224	isolate: CS415	SINGLE	615049	570840
PRJNA450871_Pocillopora-damicornis	SRR7031125	sample7	dummy	BioSample: SAMN08951244; Sample name: PDAM_CS414; SRA: SRS3193222	isolate: CS414	SINGLE	5284627	5032803
PRJNA450871_Pocillopora-damicornis	SRR7031126	sample8	dummy	BioSample: SAMN08951243; Sample name: PDAM_CS413; SRA: SRS3193223	isolate: CS413	SINGLE	2433002	2300861
PRJNA450871_Pocillopora-damicornis	SRR7031127	sample9	dummy	BioSample: SAMN08951242; Sample name: PDAM_CS412; SRA: SRS3193220	isolate: CS412	SINGLE	1668179	1527847
PRJNA450871_Pocillopora-damicornis	SRR7031128	sample10	dummy	BioSample: SAMN08951211; Sample name: PDAM_CF304; SRA: SRS3193221	isolate: CF304	SINGLE	1372943	1289740
PRJNA450871_Pocillopora-damicornis	SRR7031129	sample11	dummy	BioSample: SAMN08951210; Sample name: PDAM_CF303; SRA: SRS3193219	isolate: CF303	SINGLE	1768698	1677598
PRJNA450871_Pocillopora-damicornis	SRR7031130	sample12	dummy	BioSample: SAMN08951209; Sample name: PDAM_CF302; SRA: SRS3193217	isolate: CF302	SINGLE	12148571	10995550
PRJNA450871_Pocillopora-damicornis	SRR7031131	sample13	dummy	BioSample: SAMN08951208; Sample name: PDAM_CF301; SRA: SRS3193218	isolate: CF301	SINGLE	2106737	1936582
PRJNA450871_Pocillopora-damicornis	SRR7031132	sample14	dummy	BioSample: SAMN08951215; Sample name: PDAM_CF309; SRA: SRS3193216	isolate: CF309	SINGLE	5250680	4814648
PRJNA450871_Pocillopora-damicornis	SRR7031133	sample15	dummy	BioSample: SAMN08951214; Sample name: PDAM_CF308; SRA: SRS3193214	isolate: CF308	SINGLE	11836422	10844110
PRJNA450871_Pocillopora-damicornis	SRR7031134	sample16	dummy	BioSample: SAMN08951213; Sample name: PDAM_CF307; SRA: SRS3193215	isolate: CF307	SINGLE	4061495	3719967
PRJNA450871_Pocillopora-damicornis	SRR7031135	sample17	dummy	BioSample: SAMN08951212; Sample name: PDAM_CF305; SRA: SRS3193213	isolate: CF305	SINGLE	385674	361361
PRJNA450871_Pocillopora-damicornis	SRR7031136	sample18	dummy	BioSample: SAMN08951217; Sample name: PDAM_CF311; SRA: SRS3193212	isolate: CF311	SINGLE	1977129	1806880
PRJNA450871_Pocillopora-damicornis	SRR7031137	sample19	dummy	BioSample: SAMN08951216; Sample name: PDAM_CF310; SRA: SRS3193210	isolate: CF310	SINGLE	3718810	3407719
PRJNA450871_Pocillopora-damicornis	SRR7031138	sample20	dummy	BioSample: SAMN08951232; Sample name: PDAM_CS402; SRA: SRS3193211	isolate: CS402	SINGLE	1691118	1621036
PRJNA450871_Pocillopora-damicornis	SRR7031139	sample21	dummy	BioSample: SAMN08951233; Sample name: PDAM_CS403; SRA: SRS3193207	isolate: CS403	SINGLE	1023338	979017
PRJNA450871_Pocillopora-damicornis	SRR7031140	sample22	dummy	BioSample: SAMN08951234; Sample name: PDAM_CS404; SRA: SRS3193209	isolate: CS404	SINGLE	3194181	3042639
