link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA477007_Paralichthys-dentatus	SRR7402107	sample0	dummy	BioSample: SAMN09463428; Sample name: PADE14_182; SRA: SRS3440746		SINGLE	770524	755596
PRJNA477007_Paralichthys-dentatus	SRR7402108	sample1	dummy	BioSample: SAMN09463430; Sample name: PADE14_184; SRA: SRS3440733		SINGLE	663304	649992
PRJNA477007_Paralichthys-dentatus	SRR7402109	sample2	dummy	BioSample: SAMN09463431; Sample name: PADE14_185; SRA: SRS3440731		SINGLE	146731	143969
PRJNA477007_Paralichthys-dentatus	SRR7402110	sample3	dummy	BioSample: SAMN09463510; Sample name: PADE13_069; SRA: SRS3440732		SINGLE	263570	258435
PRJNA477007_Paralichthys-dentatus	SRR7402111	sample4	dummy	BioSample: SAMN09463511; Sample name: PADE13_070; SRA: SRS3440730		SINGLE	268750	263637
PRJNA477007_Paralichthys-dentatus	SRR7402112	sample5	dummy	BioSample: SAMN09463506; Sample name: PADE13_064; SRA: SRS3440729		SINGLE	290695	285545
PRJNA477007_Paralichthys-dentatus	SRR7402113	sample6	dummy	BioSample: SAMN09463507; Sample name: PADE13_065; SRA: SRS3440728		SINGLE	501966	492780
PRJNA477007_Paralichthys-dentatus	SRR7402114	sample7	dummy	BioSample: SAMN09463508; Sample name: PADE13_067; SRA: SRS3440727		SINGLE	556040	545465
PRJNA477007_Paralichthys-dentatus	SRR7402115	sample8	dummy	BioSample: SAMN09463509; Sample name: PADE13_068; SRA: SRS3440726		SINGLE	319460	313615
PRJNA477007_Paralichthys-dentatus	SRR7402116	sample9	dummy	BioSample: SAMN09463502; Sample name: PADE13_059; SRA: SRS3440725		SINGLE	301778	296387
PRJNA477007_Paralichthys-dentatus	SRR7402117	sample10	dummy	BioSample: SAMN09463503; Sample name: PADE13_060; SRA: SRS3440724		SINGLE	327958	321563
PRJNA477007_Paralichthys-dentatus	SRR7402118	sample11	dummy	BioSample: SAMN09463504; Sample name: PADE13_061; SRA: SRS3440723		SINGLE	523365	513315
PRJNA477007_Paralichthys-dentatus	SRR7402119	sample12	dummy	BioSample: SAMN09463505; Sample name: PADE13_063; SRA: SRS3440722		SINGLE	440779	432583
PRJNA477007_Paralichthys-dentatus	SRR7402120	sample13	dummy	BioSample: SAMN09463424; Sample name: PADE14_178; SRA: SRS3440719		SINGLE	755494	740968
PRJNA477007_Paralichthys-dentatus	SRR7402121	sample14	dummy	BioSample: SAMN09463442; Sample name: PADE14_197; SRA: SRS3440720		SINGLE	210050	206310
PRJNA477007_Paralichthys-dentatus	SRR7402122	sample15	dummy	BioSample: SAMN09463446; Sample name: PADE14_201; SRA: SRS3440721		SINGLE	243544	238782
PRJNA477007_Paralichthys-dentatus	SRR7402123	sample16	dummy	BioSample: SAMN09463441; Sample name: PADE14_196; SRA: SRS3440718		SINGLE	590886	580092
PRJNA477007_Paralichthys-dentatus	SRR7402124	sample17	dummy	BioSample: SAMN09463426; Sample name: PADE14_180; SRA: SRS3440714		SINGLE	698185	684700
PRJNA477007_Paralichthys-dentatus	SRR7402125	sample18	dummy	BioSample: SAMN09463440; Sample name: PADE14_195; SRA: SRS3440717		SINGLE	243161	238328
PRJNA477007_Paralichthys-dentatus	SRR7402126	sample19	dummy	BioSample: SAMN09463580; Sample name: PADE14_098; SRA: SRS3440716		SINGLE	792712	777955
PRJNA477007_Paralichthys-dentatus	SRR7402127	sample20	dummy	BioSample: SAMN09463427; Sample name: PADE14_181; SRA: SRS3440715		SINGLE	475016	465369
PRJNA477007_Paralichthys-dentatus	SRR7402128	sample21	dummy	BioSample: SAMN09463581; Sample name: PADE14_099; SRA: SRS3440713		SINGLE	838860	823648
PRJNA477007_Paralichthys-dentatus	SRR7402129	sample22	dummy	BioSample: SAMN09463439; Sample name: PADE14_194; SRA: SRS3440712		SINGLE	646584	635414
PRJNA477007_Paralichthys-dentatus	SRR7402130	sample23	dummy	BioSample: SAMN09463438; Sample name: PADE14_193; SRA: SRS3440711		SINGLE	496927	487899
PRJNA477007_Paralichthys-dentatus	SRR7402131	sample24	dummy	BioSample: SAMN09463501; Sample name: PADE13_057; SRA: SRS3440710		SINGLE	251211	246890
PRJNA477007_Paralichthys-dentatus	SRR7402132	sample25	dummy	BioSample: SAMN09463500; Sample name: PADE13_058; SRA: SRS3440709		SINGLE	479136	470115
PRJNA477007_Paralichthys-dentatus	SRR7402133	sample26	dummy	BioSample: SAMN09463435; Sample name: PADE14_190; SRA: SRS3440708		SINGLE	721081	707681
PRJNA477007_Paralichthys-dentatus	SRR7402134	sample27	dummy	BioSample: SAMN09463434; Sample name: PADE14_188; SRA: SRS3440707		SINGLE	410061	401672
PRJNA477007_Paralichthys-dentatus	SRR7402135	sample28	dummy	BioSample: SAMN09463433; Sample name: PADE14_187; SRA: SRS3440706		SINGLE	341979	335611
PRJNA477007_Paralichthys-dentatus	SRR7402136	sample29	dummy	BioSample: SAMN09463432; Sample name: PADE14_186; SRA: SRS3440704		SINGLE	789141	774238
PRJNA477007_Paralichthys-dentatus	SRR7402137	sample30	dummy	BioSample: SAMN09463495; Sample name: PADE13_050; SRA: SRS3440702		SINGLE	490862	481408
PRJNA477007_Paralichthys-dentatus	SRR7402138	sample31	dummy	BioSample: SAMN09463494; Sample name: PADE13_052; SRA: SRS3440705		SINGLE	298094	292477
PRJNA477007_Paralichthys-dentatus	SRR7402139	sample32	dummy	BioSample: SAMN09463493; Sample name: PADE13_053; SRA: SRS3440703		SINGLE	389378	382392
PRJNA477007_Paralichthys-dentatus	SRR7402140	sample33	dummy	BioSample: SAMN09463492; Sample name: PADE13_049; SRA: SRS3440701		SINGLE	152732	149710
PRJNA477007_Paralichthys-dentatus	SRR7402141	sample34	dummy	BioSample: SAMN09463499; Sample name: PADE13_056; SRA: SRS3440700		SINGLE	278788	273689
PRJNA477007_Paralichthys-dentatus	SRR7402142	sample35	dummy	BioSample: SAMN09463498; Sample name: PADE13_055; SRA: SRS3440698		SINGLE	242098	237834
PRJNA477007_Paralichthys-dentatus	SRR7402143	sample36	dummy	BioSample: SAMN09463497; Sample name: PADE13_054; SRA: SRS3440696		SINGLE	228658	224369
PRJNA477007_Paralichthys-dentatus	SRR7402144	sample37	dummy	BioSample: SAMN09463496; Sample name: PADE13_051; SRA: SRS3440699		SINGLE	446328	438406
PRJNA477007_Paralichthys-dentatus	SRR7402145	sample38	dummy	BioSample: SAMN09463448; Sample name: PADE14_207; SRA: SRS3440697		SINGLE	231139	227013
PRJNA477007_Paralichthys-dentatus	SRR7402146	sample39	dummy	BioSample: SAMN09463572; Sample name: PADE14_087; SRA: SRS3440695		SINGLE	162501	149761
PRJNA477007_Paralichthys-dentatus	SRR7402147	sample40	dummy	BioSample: SAMN09463573; Sample name: PADE14_088; SRA: SRS3440694		SINGLE	146247	136089
PRJNA477007_Paralichthys-dentatus	SRR7402148	sample41	dummy	BioSample: SAMN09463449; Sample name: PADE14_208; SRA: SRS3440693		SINGLE	331359	325129
PRJNA477007_Paralichthys-dentatus	SRR7402150	sample42	dummy	BioSample: SAMN09463529; Sample name: PADE14_027; SRA: SRS3440691		SINGLE	259511	254296
PRJNA477007_Paralichthys-dentatus	SRR7402151	sample43	dummy	BioSample: SAMN09463526; Sample name: PADE14_021; SRA: SRS3440690		SINGLE	143019	131623
PRJNA477007_Paralichthys-dentatus	SRR7402152	sample44	dummy	BioSample: SAMN09463527; Sample name: PADE14_022; SRA: SRS3440689		SINGLE	126303	114391
PRJNA477007_Paralichthys-dentatus	SRR7402153	sample45	dummy	BioSample: SAMN09463524; Sample name: PADE14_010; SRA: SRS3440687		SINGLE	276613	271605
PRJNA477007_Paralichthys-dentatus	SRR7402154	sample46	dummy	BioSample: SAMN09463525; Sample name: PADE14_009; SRA: SRS3440688		SINGLE	346238	339873
PRJNA477007_Paralichthys-dentatus	SRR7402155	sample47	dummy	BioSample: SAMN09463522; Sample name: PADE14_018; SRA: SRS3440686		SINGLE	301588	295702
PRJNA477007_Paralichthys-dentatus	SRR7402156	sample48	dummy	BioSample: SAMN09463523; Sample name: PADE14_019; SRA: SRS3440685		SINGLE	437119	429123
PRJNA477007_Paralichthys-dentatus	SRR7402157	sample49	dummy	BioSample: SAMN09463450; Sample name: PADE14_209; SRA: SRS3440682		SINGLE	123992	121755
PRJNA477007_Paralichthys-dentatus	SRR7402158	sample50	dummy	BioSample: SAMN09463451; Sample name: PADE14_210; SRA: SRS3440683		SINGLE	221342	217305
PRJNA477007_Paralichthys-dentatus	SRR7402159	sample51	dummy	BioSample: SAMN09463425; Sample name: PADE14_179; SRA: SRS3440684		SINGLE	308724	303103
PRJNA477007_Paralichthys-dentatus	SRR7402161	sample52	dummy	BioSample: SAMN09463531; Sample name: PADE14_029; SRA: SRS3440680		SINGLE	162634	159604
PRJNA477007_Paralichthys-dentatus	SRR7402162	sample53	dummy	BioSample: SAMN09463370; Sample name: PADE14_120; SRA: SRS3440681		SINGLE	786217	771839
PRJNA477007_Paralichthys-dentatus	SRR7402163	sample54	dummy	BioSample: SAMN09463371; Sample name: PADE14_121; SRA: SRS3440678		SINGLE	196883	193342
PRJNA477007_Paralichthys-dentatus	SRR7402164	sample55	dummy	BioSample: SAMN09463423; Sample name: PADE14_177; SRA: SRS3440679		SINGLE	570021	559813
PRJNA477007_Paralichthys-dentatus	SRR7402165	sample56	dummy	BioSample: SAMN09463362; Sample name: PADE14_112; SRA: SRS3440677		SINGLE	300035	294497
PRJNA477007_Paralichthys-dentatus	SRR7402166	sample57	dummy	BioSample: SAMN09463363; Sample name: PADE14_113; SRA: SRS3440676		SINGLE	224231	220193
PRJNA477007_Paralichthys-dentatus	SRR7402167	sample58	dummy	BioSample: SAMN09463364; Sample name: PADE14_114; SRA: SRS3440675		SINGLE	239967	235619
PRJNA477007_Paralichthys-dentatus	SRR7402168	sample59	dummy	BioSample: SAMN09463365; Sample name: PADE14_115; SRA: SRS3440674		SINGLE	343234	336572
PRJNA477007_Paralichthys-dentatus	SRR7402169	sample60	dummy	BioSample: SAMN09463366; Sample name: PADE14_116; SRA: SRS3440673		SINGLE	563390	552807
PRJNA477007_Paralichthys-dentatus	SRR7402170	sample61	dummy	BioSample: SAMN09463367; Sample name: PADE14_117; SRA: SRS3440672		SINGLE	330224	324183
PRJNA477007_Paralichthys-dentatus	SRR7402171	sample62	dummy	BioSample: SAMN09463368; Sample name: PADE14_118; SRA: SRS3440671		SINGLE	358519	351932
PRJNA477007_Paralichthys-dentatus	SRR7402172	sample63	dummy	BioSample: SAMN09463369; Sample name: PADE14_119; SRA: SRS3440670		SINGLE	746561	733131
PRJNA477007_Paralichthys-dentatus	SRR7402173	sample64	dummy	BioSample: SAMN09463429; Sample name: PADE14_183; SRA: SRS3440669		SINGLE	520896	510266
PRJNA477007_Paralichthys-dentatus	SRR7402174	sample65	dummy	BioSample: SAMN09463360; Sample name: PADE14_110; SRA: SRS3440668		SINGLE	283701	278556
PRJNA477007_Paralichthys-dentatus	SRR7402175	sample66	dummy	BioSample: SAMN09463361; Sample name: PADE14_111; SRA: SRS3440667		SINGLE	388310	381026
PRJNA477007_Paralichthys-dentatus	SRR7402176	sample67	dummy	BioSample: SAMN09463356; Sample name: PADE14_106; SRA: SRS3440666		SINGLE	922702	904695
PRJNA477007_Paralichthys-dentatus	SRR7402177	sample68	dummy	BioSample: SAMN09463357; Sample name: PADE14_107; SRA: SRS3440665		SINGLE	349399	343074
PRJNA477007_Paralichthys-dentatus	SRR7402178	sample69	dummy	BioSample: SAMN09463358; Sample name: PADE14_108; SRA: SRS3440664		SINGLE	539772	529814
