link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA477712_Fundulus-heteroclitus	SRR7498269	sample0	dummy	BioSample: SAMN09477026; Sample name: Fundulus-heteroclitus-UCD-BC-307-258; SRA: SRS3526665	ecotype: admixed	PAIRED	1050043	1038325
PRJNA477712_Fundulus-heteroclitus	SRR7498270	sample1	dummy	BioSample: SAMN09477025; Sample name: Fundulus-heteroclitus-UCD-BC-306-257; SRA: SRS3526664	ecotype: admixed	PAIRED	764161	755389
PRJNA477712_Fundulus-heteroclitus	SRR7498271	sample2	dummy	BioSample: SAMN09477024; Sample name: Fundulus-heteroclitus-UCD-BC-305-256; SRA: SRS3526663	ecotype: admixed	PAIRED	721047	713098
PRJNA477712_Fundulus-heteroclitus	SRR7498272	sample3	dummy	BioSample: SAMN09477023; Sample name: Fundulus-heteroclitus-UCD-BC-304-255; SRA: SRS3526662	ecotype: admixed	PAIRED	693228	685469
PRJNA477712_Fundulus-heteroclitus	SRR7498273	sample4	dummy	BioSample: SAMN09477022; Sample name: Fundulus-heteroclitus-UCD-BC-303-254; SRA: SRS3526661	ecotype: admixed	PAIRED	926044	914227
PRJNA477712_Fundulus-heteroclitus	SRR7498274	sample5	dummy	BioSample: SAMN09477021; Sample name: Fundulus-heteroclitus-UCD-BC-302-253; SRA: SRS3526660	ecotype: admixed	PAIRED	680077	672254
PRJNA477712_Fundulus-heteroclitus	SRR7498275	sample6	dummy	BioSample: SAMN09477020; Sample name: Fundulus-heteroclitus-UCD-BC-301-252; SRA: SRS3526659	ecotype: admixed	PAIRED	1005628	994403
PRJNA477712_Fundulus-heteroclitus	SRR7498276	sample7	dummy	BioSample: SAMN09477086; Sample name: Fundulus-heteroclitus-UCD-GA-038-001; SRA: SRS3526658	ecotype: southern	PAIRED	616159	608977
PRJNA477712_Fundulus-heteroclitus	SRR7498277	sample8	dummy	BioSample: SAMN09477087; Sample name: Fundulus-heteroclitus-UCD-GA-039-002; SRA: SRS3526657	ecotype: southern	PAIRED	819362	809272
PRJNA477712_Fundulus-heteroclitus	SRR7498278	sample9	dummy	BioSample: SAMN09477084; Sample name: Fundulus-heteroclitus-UCD-BC-367-317; SRA: SRS3526656	ecotype: admixed	PAIRED	880970	871214
PRJNA477712_Fundulus-heteroclitus	SRR7498279	sample10	dummy	BioSample: SAMN09477085; Sample name: Fundulus-heteroclitus-UCD-BC-368-318; SRA: SRS3526655	ecotype: admixed	PAIRED	680468	672173
PRJNA477712_Fundulus-heteroclitus	SRR7498280	sample11	dummy	BioSample: SAMN09477082; Sample name: Fundulus-heteroclitus-UCD-BC-365-315; SRA: SRS3526654	ecotype: admixed	PAIRED	1295651	1281313
PRJNA477712_Fundulus-heteroclitus	SRR7498281	sample12	dummy	BioSample: SAMN09477083; Sample name: Fundulus-heteroclitus-UCD-BC-366-316; SRA: SRS3526653	ecotype: admixed	PAIRED	1041702	1030048
PRJNA477712_Fundulus-heteroclitus	SRR7498282	sample13	dummy	BioSample: SAMN09477080; Sample name: Fundulus-heteroclitus-UCD-BC-363-313; SRA: SRS3526652	ecotype: admixed	PAIRED	901465	891168
PRJNA477712_Fundulus-heteroclitus	SRR7498283	sample14	dummy	BioSample: SAMN09477081; Sample name: Fundulus-heteroclitus-UCD-BC-364-314; SRA: SRS3526651	ecotype: admixed	PAIRED	706804	698485
PRJNA477712_Fundulus-heteroclitus	SRR7498284	sample15	dummy	BioSample: SAMN09476921; Sample name: Fundulus-heteroclitus-UCD-BC-199-153; SRA: SRS3526650	ecotype: admixed	PAIRED	1392705	1365549
PRJNA477712_Fundulus-heteroclitus	SRR7498285	sample16	dummy	BioSample: SAMN09477088; Sample name: Fundulus-heteroclitus-UCD-GA-040-003; SRA: SRS3526649	ecotype: southern	PAIRED	871572	860791
PRJNA477712_Fundulus-heteroclitus	SRR7498286	sample17	dummy	BioSample: SAMN09477089; Sample name: Fundulus-heteroclitus-UCD-GA-041-004; SRA: SRS3526648	ecotype: southern	PAIRED	635885	628088
PRJNA477712_Fundulus-heteroclitus	SRR7498287	sample18	dummy	BioSample: SAMN09477043; Sample name: Fundulus-heteroclitus-UCD-BC-325-275; SRA: SRS3526646	ecotype: admixed	PAIRED	880342	859496
PRJNA477712_Fundulus-heteroclitus	SRR7498288	sample19	dummy	BioSample: SAMN09476996; Sample name: Fundulus-heteroclitus-UCD-BC-276-228; SRA: SRS3526647	ecotype: admixed	PAIRED	919780	901717
PRJNA477712_Fundulus-heteroclitus	SRR7498289	sample20	dummy	BioSample: SAMN09476995; Sample name: Fundulus-heteroclitus-UCD-BC-275-227; SRA: SRS3526645	ecotype: admixed	PAIRED	1714340	1680253
PRJNA477712_Fundulus-heteroclitus	SRR7498290	sample21	dummy	BioSample: SAMN09476998; Sample name: Fundulus-heteroclitus-UCD-BC-278-230; SRA: SRS3526643	ecotype: admixed	PAIRED	685868	672550
PRJNA477712_Fundulus-heteroclitus	SRR7498291	sample22	dummy	BioSample: SAMN09476997; Sample name: Fundulus-heteroclitus-UCD-BC-277-229; SRA: SRS3526644	ecotype: admixed	PAIRED	785553	769925
PRJNA477712_Fundulus-heteroclitus	SRR7498292	sample23	dummy	BioSample: SAMN09477000; Sample name: Fundulus-heteroclitus-UCD-BC-280-232; SRA: SRS3526642	ecotype: admixed	PAIRED	821323	805212
PRJNA477712_Fundulus-heteroclitus	SRR7498293	sample24	dummy	BioSample: SAMN09476999; Sample name: Fundulus-heteroclitus-UCD-BC-279-231; SRA: SRS3526641	ecotype: admixed	PAIRED	1668900	1636430
PRJNA477712_Fundulus-heteroclitus	SRR7498294	sample25	dummy	BioSample: SAMN09477002; Sample name: Fundulus-heteroclitus-UCD-BC-282-234; SRA: SRS3526639	ecotype: admixed	PAIRED	1327339	1300473
PRJNA477712_Fundulus-heteroclitus	SRR7498295	sample26	dummy	BioSample: SAMN09477001; Sample name: Fundulus-heteroclitus-UCD-BC-281-233; SRA: SRS3526640	ecotype: admixed	PAIRED	1355443	1328295
PRJNA477712_Fundulus-heteroclitus	SRR7498296	sample27	dummy	BioSample: SAMN09477004; Sample name: Fundulus-heteroclitus-UCD-BC-284-236; SRA: SRS3526638	ecotype: admixed	PAIRED	1758103	1722842
PRJNA477712_Fundulus-heteroclitus	SRR7498297	sample28	dummy	BioSample: SAMN09477003; Sample name: Fundulus-heteroclitus-UCD-BC-283-235; SRA: SRS3526637	ecotype: admixed	PAIRED	996687	977051
PRJNA477712_Fundulus-heteroclitus	SRR7498298	sample29	dummy	BioSample: SAMN09477114; Sample name: Fundulus-heteroclitus-UCD-HP-832-004; SRA: SRS3526636	ecotype: southern	PAIRED	1155358	1132165
PRJNA477712_Fundulus-heteroclitus	SRR7498299	sample30	dummy	BioSample: SAMN09477113; Sample name: Fundulus-heteroclitus-UCD-HP-831-003; SRA: SRS3526635	ecotype: southern	PAIRED	825533	808925
PRJNA477712_Fundulus-heteroclitus	SRR7498300	sample31	dummy	BioSample: SAMN09476923; Sample name: Fundulus-heteroclitus-UCD-BC-201-155; SRA: SRS3526634	ecotype: admixed	PAIRED	684243	671170
PRJNA477712_Fundulus-heteroclitus	SRR7498301	sample32	dummy	BioSample: SAMN09476972; Sample name: Fundulus-heteroclitus-UCD-BC-251-204; SRA: SRS3526633	ecotype: admixed	PAIRED	1088269	1066252
PRJNA477712_Fundulus-heteroclitus	SRR7498302	sample33	dummy	BioSample: SAMN09477041; Sample name: Fundulus-heteroclitus-UCD-BC-323-273; SRA: SRS3526632	ecotype: admixed	PAIRED	1020093	995462
PRJNA477712_Fundulus-heteroclitus	SRR7498303	sample34	dummy	BioSample: SAMN09476774; Sample name: Fundulus-heteroclitus-UCD-BC-049-005; SRA: SRS3526631	ecotype: admixed	PAIRED	1351917	1325632
PRJNA477712_Fundulus-heteroclitus	SRR7498304	sample35	dummy	BioSample: SAMN09476773; Sample name: Fundulus-heteroclitus-UCD-BC-048-004; SRA: SRS3526628	ecotype: admixed	PAIRED	1737402	1702814
PRJNA477712_Fundulus-heteroclitus	SRR7498305	sample36	dummy	BioSample: SAMN09477184; Sample name: Fundulus-heteroclitus-UCD-PC-400-031; SRA: SRS3526629	ecotype: northern	PAIRED	1747436	1709679
PRJNA477712_Fundulus-heteroclitus	SRR7498306	sample37	dummy	BioSample: SAMN09477038; Sample name: Fundulus-heteroclitus-UCD-BC-320-270; SRA: SRS3526630	ecotype: admixed	PAIRED	2224579	2169411
PRJNA477712_Fundulus-heteroclitus	SRR7498307	sample38	dummy	BioSample: SAMN09477182; Sample name: Fundulus-heteroclitus-UCD-PC-398-029; SRA: SRS3526626	ecotype: northern	PAIRED	414717	406519
PRJNA477712_Fundulus-heteroclitus	SRR7498308	sample39	dummy	BioSample: SAMN09477179; Sample name: Fundulus-heteroclitus-UCD-PC-395-026; SRA: SRS3526627	ecotype: northern	PAIRED	1037724	1017897
PRJNA477712_Fundulus-heteroclitus	SRR7498309	sample40	dummy	BioSample: SAMN09477180; Sample name: Fundulus-heteroclitus-UCD-PC-396-027; SRA: SRS3526625	ecotype: northern	PAIRED	1656333	1624736
PRJNA477712_Fundulus-heteroclitus	SRR7498310	sample41	dummy	BioSample: SAMN09477177; Sample name: Fundulus-heteroclitus-UCD-PC-392-023; SRA: SRS3526624	ecotype: northern	PAIRED	1045556	1025410
PRJNA477712_Fundulus-heteroclitus	SRR7498311	sample42	dummy	BioSample: SAMN09477178; Sample name: Fundulus-heteroclitus-UCD-PC-394-025; SRA: SRS3526623	ecotype: northern	PAIRED	1547069	1517881
PRJNA477712_Fundulus-heteroclitus	SRR7498312	sample43	dummy	BioSample: SAMN09477175; Sample name: Fundulus-heteroclitus-UCD-PC-390-021; SRA: SRS3526622	ecotype: northern	PAIRED	511909	502131
PRJNA477712_Fundulus-heteroclitus	SRR7498313	sample44	dummy	BioSample: SAMN09477176; Sample name: Fundulus-heteroclitus-UCD-PC-391-022; SRA: SRS3526621	ecotype: northern	PAIRED	1505900	1476113
