link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA480409_Laguncularia-racemosa	SRR7504169	sample0	dummy	BioSample: SAMN09635833; Sample name: EgCFl_L4; SRA: SRS3531241	isolate: EgCFl_L4	SINGLE	160012	157886
PRJNA480409_Laguncularia-racemosa	SRR7504170	sample1	dummy	BioSample: SAMN09635834; Sample name: EgCFl_L6; SRA: SRS3531240	isolate: EgCFl_L6	SINGLE	206556	201575
PRJNA480409_Laguncularia-racemosa	SRR7504171	sample2	dummy	BioSample: SAMN09635866; Sample name: MKPAn_L15; SRA: SRS3531239	isolate: MKPAn_L15	SINGLE	258412	256894
PRJNA480409_Laguncularia-racemosa	SRR7504172	sample3	dummy	BioSample: SAMN09635829; Sample name: DBHBa_L10; SRA: SRS3531238	isolate: DBHBa_L10	SINGLE	1282773	1271169
PRJNA480409_Laguncularia-racemosa	SRR7504173	sample4	dummy	BioSample: SAMN09635830; Sample name: DBHBa_L12; SRA: SRS3531237	isolate: DBHBa_L12	SINGLE	586256	580020
PRJNA480409_Laguncularia-racemosa	SRR7504174	sample5	dummy	BioSample: SAMN09635831; Sample name: EgCFl_L1; SRA: SRS3531236	isolate: EgCFl_L1	SINGLE	136444	133374
PRJNA480409_Laguncularia-racemosa	SRR7504175	sample6	dummy	BioSample: SAMN09635832; Sample name: EgCFl_L3; SRA: SRS3531235	isolate: EgCFl_L3	SINGLE	549090	543107
PRJNA480409_Laguncularia-racemosa	SRR7504176	sample7	dummy	BioSample: SAMN09635825; Sample name: DBHBa_L2; SRA: SRS3531234	isolate: DBHBa_L2	SINGLE	945439	934437
PRJNA480409_Laguncularia-racemosa	SRR7504177	sample8	dummy	BioSample: SAMN09635826; Sample name: DBHBa_L4; SRA: SRS3531233	isolate: DBHBa_L4	SINGLE	2450664	2423443
PRJNA480409_Laguncularia-racemosa	SRR7504178	sample9	dummy	BioSample: SAMN09635827; Sample name: DBHBa_L6; SRA: SRS3531232	isolate: DBHBa_L6	SINGLE	1257220	1242839
PRJNA480409_Laguncularia-racemosa	SRR7504179	sample10	dummy	BioSample: SAMN09635828; Sample name: DBHBa_L8; SRA: SRS3531231	isolate: DBHBa_L8	SINGLE	2441704	2421421
PRJNA480409_Laguncularia-racemosa	SRR7504180	sample11	dummy	BioSample: SAMN09635861; Sample name: ManCR_L3; SRA: SRS3531230	isolate: ManCR_L3	SINGLE	500266	496921
PRJNA480409_Laguncularia-racemosa	SRR7504181	sample12	dummy	BioSample: SAMN09635865; Sample name: MgHAr_L5; SRA: SRS3531229	isolate: MgHAr_L5	SINGLE	5361370	5328961
PRJNA480409_Laguncularia-racemosa	SRR7504182	sample13	dummy	BioSample: SAMN09635862; Sample name: ManCR_L5; SRA: SRS3531228	isolate: ManCR_L5	SINGLE	4753996	4726773
PRJNA480409_Laguncularia-racemosa	SRR7504183	sample14	dummy	BioSample: SAMN09635875; Sample name: SCHAn_L21; SRA: SRS3531227	isolate: SCHAn_L21	SINGLE	558467	553559
PRJNA480409_Laguncularia-racemosa	SRR7504184	sample15	dummy	BioSample: SAMN09635876; Sample name: SCHAn_L24; SRA: SRS3531226	isolate: SCHAn_L24	SINGLE	2192851	2176079
PRJNA480409_Laguncularia-racemosa	SRR7504185	sample16	dummy	BioSample: SAMN09635877; Sample name: SpLAr_L1; SRA: SRS3531225	isolate: SpLAr_L1	SINGLE	830350	825653
PRJNA480409_Laguncularia-racemosa	SRR7504186	sample17	dummy	BioSample: SAMN09635878; Sample name: TrIBe_L1; SRA: SRS3531224	isolate: TrIBe_L1	SINGLE	192374	189341
PRJNA480409_Laguncularia-racemosa	SRR7504187	sample18	dummy	BioSample: SAMN09635843; Sample name: KyWFl_L7; SRA: SRS3531223	isolate: KyWFl_L7	SINGLE	132516	131166
PRJNA480409_Laguncularia-racemosa	SRR7504188	sample19	dummy	BioSample: SAMN09635844; Sample name: LNPGr_L1; SRA: SRS3531222	isolate: LNPGr_L1	SINGLE	4148168	4126616
PRJNA480409_Laguncularia-racemosa	SRR7504189	sample20	dummy	BioSample: SAMN09635859; Sample name: MaBJa_L10; SRA: SRS3531221	isolate: MaBJa_L10	SINGLE	648291	644420
PRJNA480409_Laguncularia-racemosa	SRR7504190	sample21	dummy	BioSample: SAMN09635860; Sample name: ManCR_L1; SRA: SRS3531220	isolate: ManCR_L1	SINGLE	2796123	2775164
