link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA493660_Pygoscelis-adeliae	SRR7911805	sample0	dummy	BioSample: SAMN10140894; Sample name: APWH003; SRA: SRS3827906	isolate: APWH003	PAIRED	7323389	7295234
PRJNA493660_Pygoscelis-adeliae	SRR7911806	sample1	dummy	BioSample: SAMN10140885; Sample name: APPI074; SRA: SRS3827907	isolate: APPI074	PAIRED	6182511	6160967
PRJNA493660_Pygoscelis-adeliae	SRR7911809	sample2	dummy	BioSample: SAMN10140865; Sample name: APBS013; SRA: SRS3827904	isolate: APBS013	PAIRED	1416394	1412008
PRJNA493660_Pygoscelis-adeliae	SRR7911810	sample3	dummy	BioSample: SAMN10140866; Sample name: APBS014; SRA: SRS3827902	isolate: APBS014	PAIRED	1400962	1396525
PRJNA493660_Pygoscelis-adeliae	SRR7911811	sample4	dummy	BioSample: SAMN10140886; Sample name: APPI075; SRA: SRS3827900	isolate: APPI075	PAIRED	5242978	5223611
PRJNA493660_Pygoscelis-adeliae	SRR7911830	sample5	dummy	BioSample: SAMN10140857; Sample name: APBR020; SRA: SRS3827882	isolate: APBR020	PAIRED	3879017	3866200
PRJNA493660_Pygoscelis-adeliae	SRR7911831	sample6	dummy	BioSample: SAMN10140883; Sample name: APPI071; SRA: SRS3827883	isolate: APPI071	PAIRED	5049483	5030085
PRJNA493660_Pygoscelis-adeliae	SRR7911840	sample7	dummy	BioSample: SAMN10140888; Sample name: APPI077; SRA: SRS3827873	isolate: APPI077	PAIRED	5648186	5628824
PRJNA493660_Pygoscelis-adeliae	SRR7911841	sample8	dummy	BioSample: SAMN10140887; Sample name: APPI076; SRA: SRS3827871	isolate: APPI076	PAIRED	6168125	6148180
PRJNA493660_Pygoscelis-adeliae	SRR7911842	sample9	dummy	BioSample: SAMN10140890; Sample name: APPI079; SRA: SRS3827870	isolate: APPI079	PAIRED	6346135	6325574
PRJNA493660_Pygoscelis-adeliae	SRR7911843	sample10	dummy	BioSample: SAMN10140889; Sample name: APPI078; SRA: SRS3827869	isolate: APPI078	PAIRED	5235670	5214707
PRJNA493660_Pygoscelis-adeliae	SRR7911844	sample11	dummy	BioSample: SAMN10140892; Sample name: APSG032; SRA: SRS3827867	isolate: APSG032	PAIRED	1564640	1559812
PRJNA493660_Pygoscelis-adeliae	SRR7911845	sample12	dummy	BioSample: SAMN10140891; Sample name: APSG031; SRA: SRS3827866	isolate: APSG031	PAIRED	1554869	1549654
PRJNA493660_Pygoscelis-adeliae	SRR7911848	sample13	dummy	BioSample: SAMN10140836; Sample name: APBI026; SRA: SRS3827862	isolate: APBI026	PAIRED	2662384	2651863
PRJNA493660_Pygoscelis-adeliae	SRR7911849	sample14	dummy	BioSample: SAMN10140835; Sample name: APBI024; SRA: SRS3827861	isolate: APBI024	PAIRED	4751525	4734804
PRJNA493660_Pygoscelis-adeliae	SRR7911850	sample15	dummy	BioSample: SAMN10140834; Sample name: APBI019; SRA: SRS3827863	isolate: APBI019	PAIRED	5559163	5538128
PRJNA493660_Pygoscelis-adeliae	SRR7911851	sample16	dummy	BioSample: SAMN10140833; Sample name: APBI018; SRA: SRS3827860	isolate: APBI018	PAIRED	4868838	4851402
PRJNA493660_Pygoscelis-adeliae	SRR7911852	sample17	dummy	BioSample: SAMN10140832; Sample name: APBI017; SRA: SRS3827859	isolate: APBI017	PAIRED	6485300	6466006
PRJNA493660_Pygoscelis-adeliae	SRR7911853	sample18	dummy	BioSample: SAMN10140831; Sample name: APBI016; SRA: SRS3827858	isolate: APBI016	PAIRED	6521959	6500577
PRJNA493660_Pygoscelis-adeliae	SRR7911854	sample19	dummy	BioSample: SAMN10140830; Sample name: APBI015; SRA: SRS3827856	isolate: APBI015	PAIRED	5048770	5030392
PRJNA493660_Pygoscelis-adeliae	SRR7911855	sample20	dummy	BioSample: SAMN10140829; Sample name: APBI014; SRA: SRS3827857	isolate: APBI014	PAIRED	4712988	4695780
PRJNA493660_Pygoscelis-adeliae	SRR7911856	sample21	dummy	BioSample: SAMN10140828; Sample name: APBI009; SRA: SRS3827855	isolate: APBI009	PAIRED	2563670	2552705
PRJNA493660_Pygoscelis-adeliae	SRR7911857	sample22	dummy	BioSample: SAMN10140827; Sample name: APBI007; SRA: SRS3827854	isolate: APBI007	PAIRED	3464387	3451823
PRJNA493660_Pygoscelis-adeliae	SRR7911868	sample23	dummy	BioSample: SAMN10140896; Sample name: APWH010; SRA: SRS3827843	isolate: APWH010	PAIRED	3413535	3399670
PRJNA493660_Pygoscelis-adeliae	SRR7911869	sample24	dummy	BioSample: SAMN10140895; Sample name: APWH004; SRA: SRS3827842	isolate: APWH004	PAIRED	1547332	1540322
PRJNA493660_Pygoscelis-adeliae	SRR7911878	sample25	dummy	BioSample: SAMN10140879; Sample name: APKG028; SRA: SRS3827835	isolate: APKG028	PAIRED	4407788	4392454
PRJNA493660_Pygoscelis-adeliae	SRR7911879	sample26	dummy	BioSample: SAMN10140880; Sample name: APPI067; SRA: SRS3827832	isolate: APPI067	PAIRED	4864976	4845536
PRJNA493660_Pygoscelis-adeliae	SRR7911880	sample27	dummy	BioSample: SAMN10140877; Sample name: APKG026; SRA: SRS3827831	isolate: APKG026	PAIRED	3665381	3653448
PRJNA493660_Pygoscelis-adeliae	SRR7911881	sample28	dummy	BioSample: SAMN10140878; Sample name: APKG027; SRA: SRS3827830	isolate: APKG027	PAIRED	4717935	4702131
PRJNA493660_Pygoscelis-adeliae	SRR7911884	sample29	dummy	BioSample: SAMN10140881; Sample name: APPI069; SRA: SRS3827827	isolate: APPI069	PAIRED	6372447	6350264
PRJNA493660_Pygoscelis-adeliae	SRR7911885	sample30	dummy	BioSample: SAMN10140882; Sample name: APPI070; SRA: SRS3827825	isolate: APPI070	PAIRED	5787823	5766398
PRJNA493660_Pygoscelis-adeliae	SRR7911886	sample31	dummy	BioSample: SAMN10140826; Sample name: APBI004; SRA: SRS3827826	isolate: APBI004	PAIRED	12298487	12252831
PRJNA493660_Pygoscelis-adeliae	SRR7911887	sample32	dummy	BioSample: SAMN10140825; Sample name: APAL032; SRA: SRS3827824	isolate: APAL032	PAIRED	4348232	4334263
PRJNA493660_Pygoscelis-adeliae	SRR7911888	sample33	dummy	BioSample: SAMN10140822; Sample name: APAL024; SRA: SRS3827823	isolate: APAL024	PAIRED	5295541	5274197
PRJNA493660_Pygoscelis-adeliae	SRR7911889	sample34	dummy	BioSample: SAMN10140821; Sample name: APAL023; SRA: SRS3827822	isolate: APAL023	PAIRED	6990826	6965283
PRJNA493660_Pygoscelis-adeliae	SRR7911890	sample35	dummy	BioSample: SAMN10140824; Sample name: APAL030; SRA: SRS3827821	isolate: APAL030	PAIRED	6201330	6179332
PRJNA493660_Pygoscelis-adeliae	SRR7911891	sample36	dummy	BioSample: SAMN10140823; Sample name: APAL026; SRA: SRS3827820	isolate: APAL026	PAIRED	4686533	4669933
PRJNA493660_Pygoscelis-adeliae	SRR7911892	sample37	dummy	BioSample: SAMN10140818; Sample name: APAL019; SRA: SRS3827819	isolate: APAL019	PAIRED	7855863	7827686
PRJNA493660_Pygoscelis-adeliae	SRR7911893	sample38	dummy	BioSample: SAMN10140817; Sample name: APAL018; SRA: SRS3827818	isolate: APAL018	PAIRED	6229001	6207323
PRJNA493660_Pygoscelis-adeliae	SRR7911894	sample39	dummy	BioSample: SAMN10140820; Sample name: APAL021; SRA: SRS3827817	isolate: APAL021	PAIRED	5574266	5553651
PRJNA493660_Pygoscelis-adeliae	SRR7911895	sample40	dummy	BioSample: SAMN10140819; Sample name: APAL020; SRA: SRS3827816	isolate: APAL020	PAIRED	8027769	8001875
PRJNA493660_Pygoscelis-adeliae	SRR7911906	sample41	dummy	BioSample: SAMN10140893; Sample name: APSG033; SRA: SRS3827805	isolate: APSG033	PAIRED	1357798	1353436
PRJNA493660_Pygoscelis-adeliae	SRR7911908	sample42	dummy	BioSample: SAMN10140852; Sample name: APBR012; SRA: SRS3827803	isolate: APBR012	PAIRED	5264057	5246358
PRJNA493660_Pygoscelis-adeliae	SRR7911909	sample43	dummy	BioSample: SAMN10140851; Sample name: APBR009; SRA: SRS3827877	isolate: APBR009	PAIRED	6042993	6021827
PRJNA493660_Pygoscelis-adeliae	SRR7911910	sample44	dummy	BioSample: SAMN10140854; Sample name: APBR015; SRA: SRS3827802	isolate: APBR015	PAIRED	5584981	5566169
PRJNA493660_Pygoscelis-adeliae	SRR7911911	sample45	dummy	BioSample: SAMN10140853; Sample name: APBR013; SRA: SRS3827801	isolate: APBR013	PAIRED	4266075	4250024
PRJNA493660_Pygoscelis-adeliae	SRR7911912	sample46	dummy	BioSample: SAMN10140848; Sample name: APBR005; SRA: SRS3827800	isolate: APBR005	PAIRED	6889939	6865438
PRJNA493660_Pygoscelis-adeliae	SRR7911913	sample47	dummy	BioSample: SAMN10140847; Sample name: APBR003; SRA: SRS3827868	isolate: APBR003	PAIRED	4767581	4750132
PRJNA493660_Pygoscelis-adeliae	SRR7911914	sample48	dummy	BioSample: SAMN10140850; Sample name: APBR007; SRA: SRS3827799	isolate: APBR007	PAIRED	6619773	6595118
PRJNA493660_Pygoscelis-adeliae	SRR7911915	sample49	dummy	BioSample: SAMN10140849; Sample name: APBR006; SRA: SRS3827798	isolate: APBR006	PAIRED	7244272	7220004
PRJNA493660_Pygoscelis-adeliae	SRR7911916	sample50	dummy	BioSample: SAMN10140856; Sample name: APBR019; SRA: SRS3827797	isolate: APBR019	PAIRED	3775135	3762616
PRJNA493660_Pygoscelis-adeliae	SRR7911917	sample51	dummy	BioSample: SAMN10140855; Sample name: APBR017; SRA: SRS3827794	isolate: APBR017	PAIRED	4940220	4922604
PRJNA493660_Pygoscelis-adeliae	SRR7911928	sample52	dummy	BioSample: SAMN10140897; Sample name: APWH013; SRA: SRS3827785	isolate: APWH013	PAIRED	1255491	1248491
PRJNA493660_Pygoscelis-adeliae	SRR7911929	sample53	dummy	BioSample: SAMN10140898; Sample name: APWH018; SRA: SRS3827784	isolate: APWH018	PAIRED	967746	962866
PRJNA493660_Pygoscelis-adeliae	SRR7911930	sample54	dummy	BioSample: SAMN10140899; Sample name: APWH022; SRA: SRS3827783	isolate: APWH022	PAIRED	2024058	2014859
PRJNA493660_Pygoscelis-adeliae	SRR7911931	sample55	dummy	BioSample: SAMN10140900; Sample name: APWH023; SRA: SRS3827782	isolate: APWH023	PAIRED	1714545	1708128
PRJNA493660_Pygoscelis-adeliae	SRR7911932	sample56	dummy	BioSample: SAMN10140901; Sample name: APWH024; SRA: SRS3827781	isolate: APWH024	PAIRED	2478661	2469314
PRJNA493660_Pygoscelis-adeliae	SRR7911933	sample57	dummy	BioSample: SAMN10140902; Sample name: APWH030; SRA: SRS3827780	isolate: APWH030	PAIRED	1579866	1572161
PRJNA493660_Pygoscelis-adeliae	SRR7911934	sample58	dummy	BioSample: SAMN10140903; Sample name: APWH035; SRA: SRS3827779	isolate: APWH035	PAIRED	1508585	1502285
PRJNA493660_Pygoscelis-adeliae	SRR7911938	sample59	dummy	BioSample: SAMN10140843; Sample name: APBP014; SRA: SRS3827776	isolate: APBP014	PAIRED	3697987	3685254
PRJNA493660_Pygoscelis-adeliae	SRR7911939	sample60	dummy	BioSample: SAMN10140844; Sample name: APBP015; SRA: SRS3827775	isolate: APBP015	PAIRED	5810102	5789854
PRJNA493660_Pygoscelis-adeliae	SRR7911940	sample61	dummy	BioSample: SAMN10140841; Sample name: APBP012; SRA: SRS3827773	isolate: APBP012	PAIRED	4390599	4373376
PRJNA493660_Pygoscelis-adeliae	SRR7911941	sample62	dummy	BioSample: SAMN10140842; Sample name: APBP013; SRA: SRS3827772	isolate: APBP013	PAIRED	2339487	2330168
PRJNA493660_Pygoscelis-adeliae	SRR7911942	sample63	dummy	BioSample: SAMN10140839; Sample name: APBP008; SRA: SRS3827771	isolate: APBP008	PAIRED	7562665	7533907
PRJNA493660_Pygoscelis-adeliae	SRR7911943	sample64	dummy	BioSample: SAMN10140840; Sample name: APBP011; SRA: SRS3827770	isolate: APBP011	PAIRED	5886940	5865386
