link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA493660_Pygoscelis-papua	SRR7911807	sample0	dummy	BioSample: SAMN10140956; Sample name: GPBI016; SRA: SRS3827905	isolate: GPBI016	PAIRED	7551200	7525991
PRJNA493660_Pygoscelis-papua	SRR7911808	sample1	dummy	BioSample: SAMN10140955; Sample name: GPBI015; SRA: SRS3827903	isolate: GPBI015	PAIRED	6897703	6874677
PRJNA493660_Pygoscelis-papua	SRR7911812	sample2	dummy	BioSample: SAMN10140950; Sample name: GPBI007; SRA: SRS3827901	isolate: GPBI007	PAIRED	5696022	5675075
PRJNA493660_Pygoscelis-papua	SRR7911813	sample3	dummy	BioSample: SAMN10140949; Sample name: GPBI003; SRA: SRS3827899	isolate: GPBI003	PAIRED	9068229	9038200
PRJNA493660_Pygoscelis-papua	SRR7911814	sample4	dummy	BioSample: SAMN10140948; Sample name: GPBI002; SRA: SRS3827898	isolate: GPBI002	PAIRED	8129627	8099790
PRJNA493660_Pygoscelis-papua	SRR7911816	sample5	dummy	BioSample: SAMN10140954; Sample name: GPBI012; SRA: SRS3827896	isolate: GPBI012	PAIRED	7815474	7787437
PRJNA493660_Pygoscelis-papua	SRR7911817	sample6	dummy	BioSample: SAMN10140953; Sample name: GPBI011; SRA: SRS3827895	isolate: GPBI011	PAIRED	5101480	5084313
PRJNA493660_Pygoscelis-papua	SRR7911818	sample7	dummy	BioSample: SAMN10140952; Sample name: GPBI010; SRA: SRS3827894	isolate: GPBI010	PAIRED	6489499	6466152
PRJNA493660_Pygoscelis-papua	SRR7911819	sample8	dummy	BioSample: SAMN10140951; Sample name: GPBI008; SRA: SRS3827893	isolate: GPBI008	PAIRED	7844614	7817492
PRJNA493660_Pygoscelis-papua	SRR7911820	sample9	dummy	BioSample: SAMN10141005; Sample name: GPMO002; SRA: SRS3827892	isolate: GPMO002	PAIRED	4651788	4634994
PRJNA493660_Pygoscelis-papua	SRR7911821	sample10	dummy	BioSample: SAMN10141006; Sample name: GPMO004; SRA: SRS3827891	isolate: GPMO004	PAIRED	5018410	5000501
PRJNA493660_Pygoscelis-papua	SRR7911822	sample11	dummy	BioSample: SAMN10141003; Sample name: GPKG052; SRA: SRS3827890	isolate: GPKG052	PAIRED	4794471	4778342
PRJNA493660_Pygoscelis-papua	SRR7911823	sample12	dummy	BioSample: SAMN10141004; Sample name: GPKG065; SRA: SRS3827889	isolate: GPKG065	PAIRED	2381462	2371406
PRJNA493660_Pygoscelis-papua	SRR7911824	sample13	dummy	BioSample: SAMN10141001; Sample name: GPKG050; SRA: SRS3827888	isolate: GPKG050	PAIRED	3843335	3827571
PRJNA493660_Pygoscelis-papua	SRR7911825	sample14	dummy	BioSample: SAMN10141002; Sample name: GPKG051; SRA: SRS3827887	isolate: GPKG051	PAIRED	4090996	4075427
PRJNA493660_Pygoscelis-papua	SRR7911826	sample15	dummy	BioSample: SAMN10140999; Sample name: GPKG048; SRA: SRS3827886	isolate: GPKG048	PAIRED	3077434	3066214
PRJNA493660_Pygoscelis-papua	SRR7911827	sample16	dummy	BioSample: SAMN10141000; Sample name: GPKG049; SRA: SRS3827884	isolate: GPKG049	PAIRED	3817309	3803852
PRJNA493660_Pygoscelis-papua	SRR7911828	sample17	dummy	BioSample: SAMN10140997; Sample name: GPKG046; SRA: SRS3827885	isolate: GPKG046	PAIRED	8040656	8009939
PRJNA493660_Pygoscelis-papua	SRR7911829	sample18	dummy	BioSample: SAMN10140998; Sample name: GPKG047; SRA: SRS3827881	isolate: GPKG047	PAIRED	6353764	6330455
PRJNA493660_Pygoscelis-papua	SRR7911858	sample19	dummy	BioSample: SAMN10141016; Sample name: GPMO019; SRA: SRS3827853	isolate: GPMO019	PAIRED	8029315	8000584
PRJNA493660_Pygoscelis-papua	SRR7911859	sample20	dummy	BioSample: SAMN10141015; Sample name: GPMO018; SRA: SRS3827852	isolate: GPMO018	PAIRED	3373873	3361950
PRJNA493660_Pygoscelis-papua	SRR7911860	sample21	dummy	BioSample: SAMN10141012; Sample name: GPMO013; SRA: SRS3827851	isolate: GPMO013	PAIRED	5485782	5466389
PRJNA493660_Pygoscelis-papua	SRR7911861	sample22	dummy	BioSample: SAMN10141011; Sample name: GPMO012; SRA: SRS3827850	isolate: GPMO012	PAIRED	4176866	4163605
PRJNA493660_Pygoscelis-papua	SRR7911862	sample23	dummy	BioSample: SAMN10141014; Sample name: GPMO015; SRA: SRS3827849	isolate: GPMO015	PAIRED	5731089	5711852
PRJNA493660_Pygoscelis-papua	SRR7911863	sample24	dummy	BioSample: SAMN10141013; Sample name: GPMO014; SRA: SRS3827848	isolate: GPMO014	PAIRED	8831024	8793717
PRJNA493660_Pygoscelis-papua	SRR7911864	sample25	dummy	BioSample: SAMN10141008; Sample name: GPMO006; SRA: SRS3827847	isolate: GPMO006	PAIRED	4035249	4018536
PRJNA493660_Pygoscelis-papua	SRR7911865	sample26	dummy	BioSample: SAMN10141007; Sample name: GPMO005; SRA: SRS3827846	isolate: GPMO005	PAIRED	2129976	2122043
PRJNA493660_Pygoscelis-papua	SRR7911866	sample27	dummy	BioSample: SAMN10141010; Sample name: GPMO010; SRA: SRS3827845	isolate: GPMO010	PAIRED	5245081	5225900
PRJNA493660_Pygoscelis-papua	SRR7911867	sample28	dummy	BioSample: SAMN10141009; Sample name: GPMO009; SRA: SRS3827844	isolate: GPMO009	PAIRED	2600924	2592185
PRJNA493660_Pygoscelis-papua	SRR7911896	sample29	dummy	BioSample: SAMN10140977; Sample name: GPGP009; SRA: SRS3827815	isolate: GPGP009	PAIRED	4366951	4350259
PRJNA493660_Pygoscelis-papua	SRR7911897	sample30	dummy	BioSample: SAMN10140978; Sample name: GPGP010; SRA: SRS3827814	isolate: GPGP010	PAIRED	9299453	9266200
PRJNA493660_Pygoscelis-papua	SRR7911898	sample31	dummy	BioSample: SAMN10140979; Sample name: GPGP011; SRA: SRS3827813	isolate: GPGP011	PAIRED	3669277	3656701
PRJNA493660_Pygoscelis-papua	SRR7911899	sample32	dummy	BioSample: SAMN10140980; Sample name: GPGP012; SRA: SRS3827812	isolate: GPGP012	PAIRED	3526069	3514146
PRJNA493660_Pygoscelis-papua	SRR7911900	sample33	dummy	BioSample: SAMN10140981; Sample name: GPJP115; SRA: SRS3827811	isolate: GPJP115	PAIRED	2678533	2668884
PRJNA493660_Pygoscelis-papua	SRR7911901	sample34	dummy	BioSample: SAMN10140982; Sample name: GPJP116; SRA: SRS3827810	isolate: GPJP116	PAIRED	3095114	3083182
PRJNA493660_Pygoscelis-papua	SRR7911902	sample35	dummy	BioSample: SAMN10140983; Sample name: GPJP117; SRA: SRS3827809	isolate: GPJP117	PAIRED	3258466	3246156
PRJNA493660_Pygoscelis-papua	SRR7911903	sample36	dummy	BioSample: SAMN10140984; Sample name: GPJP118; SRA: SRS3827808	isolate: GPJP118	PAIRED	7705462	7678247
PRJNA493660_Pygoscelis-papua	SRR7911904	sample37	dummy	BioSample: SAMN10140985; Sample name: GPJP119; SRA: SRS3827807	isolate: GPJP119	PAIRED	2694180	2684280
PRJNA493660_Pygoscelis-papua	SRR7911905	sample38	dummy	BioSample: SAMN10140986; Sample name: GPJP120; SRA: SRS3827806	isolate: GPJP120	PAIRED	2332063	2323712
PRJNA493660_Pygoscelis-papua	SRR7911918	sample39	dummy	BioSample: SAMN10140996; Sample name: GPKG045; SRA: SRS3827796	isolate: GPKG045	PAIRED	3934682	3920341
PRJNA493660_Pygoscelis-papua	SRR7911919	sample40	dummy	BioSample: SAMN10140995; Sample name: GPKG044; SRA: SRS3827795	isolate: GPKG044	PAIRED	5364748	5344584
PRJNA493660_Pygoscelis-papua	SRR7911920	sample41	dummy	BioSample: SAMN10140994; Sample name: GPKG043; SRA: SRS3827793	isolate: GPKG043	PAIRED	8464211	8430113
PRJNA493660_Pygoscelis-papua	SRR7911921	sample42	dummy	BioSample: SAMN10140993; Sample name: GPJP127; SRA: SRS3827791	isolate: GPJP127	PAIRED	3392344	3379655
PRJNA493660_Pygoscelis-papua	SRR7911922	sample43	dummy	BioSample: SAMN10140992; Sample name: GPJP126; SRA: SRS3827792	isolate: GPJP126	PAIRED	2973865	2963298
