link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA508986_Ctenolabrus-rupestris	SRR8293069	sample0	dummy	BioSample: SAMN10535244; Sample name: 12-684-Bodo; SRA: SRS4117207	cultivar: 5; ecotype: wild	PAIRED	31145710	30168914
PRJNA508986_Ctenolabrus-rupestris	SRR8293070	sample1	dummy	BioSample: SAMN10535298; Sample name: 9-674-Bodo; SRA: SRS4117206	cultivar: 59; ecotype: wild	PAIRED	24213470	23571298
PRJNA508986_Ctenolabrus-rupestris	SRR8293071	sample2	dummy	BioSample: SAMN10535299; Sample name: 9-V76; SRA: SRS4117205	cultivar: 60; ecotype: wild	PAIRED	22213706	21741679
PRJNA508986_Ctenolabrus-rupestris	SRR8293072	sample3	dummy	BioSample: SAMN10535292; Sample name: 6-659-Bodo; SRA: SRS4117204	cultivar: 53; ecotype: wild	PAIRED	16766951	16193171
PRJNA508986_Ctenolabrus-rupestris	SRR8293073	sample4	dummy	BioSample: SAMN10535293; Sample name: 6-V56; SRA: SRS4117203	cultivar: 54; ecotype: wild	PAIRED	25960006	25461132
PRJNA508986_Ctenolabrus-rupestris	SRR8293074	sample5	dummy	BioSample: SAMN10535290; Sample name: 5-669-Bodo; SRA: SRS4117202	cultivar: 51; ecotype: wild	PAIRED	20728902	20133419
PRJNA508986_Ctenolabrus-rupestris	SRR8293075	sample6	dummy	BioSample: SAMN10535291; Sample name: 5-V54; SRA: SRS4117201	cultivar: 52; ecotype: wild	PAIRED	21986851	21529059
PRJNA508986_Ctenolabrus-rupestris	SRR8293076	sample7	dummy	BioSample: SAMN10535296; Sample name: 8-681-Bodo; SRA: SRS4117200	cultivar: 57; ecotype: wild	PAIRED	31995899	31138818
PRJNA508986_Ctenolabrus-rupestris	SRR8293077	sample8	dummy	BioSample: SAMN10535297; Sample name: 8-V75; SRA: SRS4117199	cultivar: 58; ecotype: wild	PAIRED	102409513	100279757
PRJNA508986_Ctenolabrus-rupestris	SRR8293078	sample9	dummy	BioSample: SAMN10535294; Sample name: 7-666-Bodo; SRA: SRS4117198	cultivar: 55; ecotype: wild	PAIRED	22998244	22023960
PRJNA508986_Ctenolabrus-rupestris	SRR8293079	sample10	dummy	BioSample: SAMN10535295; Sample name: 7-V60; SRA: SRS4117197	cultivar: 56; ecotype: wild	PAIRED	40281935	39362277
PRJNA508986_Ctenolabrus-rupestris	SRR8293080	sample11	dummy	BioSample: SAMN10535256; Sample name: 19-14-Scot; SRA: SRS4117196	cultivar: 17; ecotype: wild	PAIRED	30905791	30332065
PRJNA508986_Ctenolabrus-rupestris	SRR8293081	sample12	dummy	BioSample: SAMN10535257; Sample name: 1-V17; SRA: SRS4117195	cultivar: 18; ecotype: wild	PAIRED	25818364	25338438
PRJNA508986_Ctenolabrus-rupestris	SRR8293082	sample13	dummy	BioSample: SAMN10535254; Sample name: 17-10-Scot; SRA: SRS4117194	cultivar: 15; ecotype: wild	PAIRED	17623084	17297246
PRJNA508986_Ctenolabrus-rupestris	SRR8293083	sample14	dummy	BioSample: SAMN10535255; Sample name: 18-11-Scot; SRA: SRS4117193	cultivar: 16; ecotype: wild	PAIRED	26905305	26364806
PRJNA508986_Ctenolabrus-rupestris	SRR8293084	sample15	dummy	BioSample: SAMN10535252; Sample name: 1-655-Bodo; SRA: SRS4117192	cultivar: 13; ecotype: wild	PAIRED	34119485	33233813
PRJNA508986_Ctenolabrus-rupestris	SRR8293085	sample16	dummy	BioSample: SAMN10535253; Sample name: 16-7-Scot; SRA: SRS4117191	cultivar: 14; ecotype: wild	PAIRED	39210308	38454961
