link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA521302_Leptopsammia-pruvoti	SRR8648865	sample0	dummy	BioSample: SAMN10889046; Sample name: LP16_TGN; SRA: SRS4423881	isolate: Sample number 16 collected in Italy, location Chioggia	SINGLE	2678548	2209349
PRJNA521302_Leptopsammia-pruvoti	SRR8648866	sample1	dummy	BioSample: SAMN10889178; Sample name: LP24_TAV; SRA: SRS4423880	isolate: Sample number 24 collected in Italy, location Tavolara Island	SINGLE	3284074	2823302
PRJNA521302_Leptopsammia-pruvoti	SRR8648867	sample2	dummy	BioSample: SAMN10889179; Sample name: LP26_TAV; SRA: SRS4423878	isolate: Sample number 26 collected in Italy, location Tavolara Island	SINGLE	3740459	3172276
PRJNA521302_Leptopsammia-pruvoti	SRR8648868	sample3	dummy	BioSample: SAMN10889174; Sample name: LP18_TAV; SRA: SRS4423879	isolate: Sample number 18 collected in Italy, location Tavolara Island	SINGLE	2415879	1906637
PRJNA521302_Leptopsammia-pruvoti	SRR8648869	sample4	dummy	BioSample: SAMN10889175; Sample name: LP19_TAV; SRA: SRS4423876	isolate: Sample number 19 collected in Italy, location Tavolara Island	SINGLE	2660029	2150022
PRJNA521302_Leptopsammia-pruvoti	SRR8648870	sample5	dummy	BioSample: SAMN10889176; Sample name: LP20_TAV; SRA: SRS4423875	isolate: Sample number 20 collected in Italy, location Tavolara Island	SINGLE	2395138	1901082
PRJNA521302_Leptopsammia-pruvoti	SRR8648871	sample6	dummy	BioSample: SAMN10889177; Sample name: LP21_TAV; SRA: SRS4423877	isolate: Sample number 21 collected in Italy, location Tavolara Island	SINGLE	3035138	2465400
PRJNA521302_Leptopsammia-pruvoti	SRR8648872	sample7	dummy	BioSample: SAMN10889170; Sample name: LP14_TAV; SRA: SRS4423874	isolate: Sample number 14 collected in Italy, location Tavolara Island	SINGLE	2937979	2412327
PRJNA521302_Leptopsammia-pruvoti	SRR8648873	sample8	dummy	BioSample: SAMN10889171; Sample name: LP15_TAV; SRA: SRS4423873	isolate: Sample number 15 collected in Italy, location Tavolara Island	SINGLE	2580881	2089610
PRJNA521302_Leptopsammia-pruvoti	SRR8648874	sample9	dummy	BioSample: SAMN10889172; Sample name: LP16_TAV; SRA: SRS4423872	isolate: Sample number 16 collected in Italy, location Tavolara Island	SINGLE	2187942	1737444
PRJNA521302_Leptopsammia-pruvoti	SRR8648875	sample10	dummy	BioSample: SAMN10889173; Sample name: LP17_TAV; SRA: SRS4423871	isolate: Sample number 17 collected in Italy, location Tavolara Island	SINGLE	2661693	2129746
PRJNA521302_Leptopsammia-pruvoti	SRR8648876	sample11	dummy	BioSample: SAMN10889081; Sample name: LP22_TR; SRA: SRS4423870	isolate: Sample number 22 collected in Italy, location Tremiti Islands	SINGLE	2954488	2476640
PRJNA521302_Leptopsammia-pruvoti	SRR8648877	sample12	dummy	BioSample: SAMN10889080; Sample name: LP21_TR; SRA: SRS4423869	isolate: Sample number 21 collected in Italy, location Tremiti Islands	SINGLE	2497540	1994366
PRJNA521302_Leptopsammia-pruvoti	SRR8648878	sample13	dummy	BioSample: SAMN10889083; Sample name: LP2_TR; SRA: SRS4423868	isolate: Sample number 2 collected in Italy, location Tremiti Islands	SINGLE	1700538	1491393
PRJNA521302_Leptopsammia-pruvoti	SRR8648879	sample14	dummy	BioSample: SAMN10889082; Sample name: LP23_TR; SRA: SRS4423867	isolate: Sample number 23 collected in Italy, location Tremiti Islands	SINGLE	2536763	2059012
PRJNA521302_Leptopsammia-pruvoti	SRR8648880	sample15	dummy	BioSample: SAMN10889085; Sample name: LP4_TR; SRA: SRS4423866	isolate: Sample number 4 collected in Italy, location Tremiti Islands	SINGLE	1478983	1200799
PRJNA521302_Leptopsammia-pruvoti	SRR8648881	sample16	dummy	BioSample: SAMN10889084; Sample name: LP3_TR; SRA: SRS4423865	isolate: Sample number 3 collected in Italy, location Tremiti Islands	SINGLE	1557186	1366876
PRJNA521302_Leptopsammia-pruvoti	SRR8648882	sample17	dummy	BioSample: SAMN10889087; Sample name: LP7_TR; SRA: SRS4423864	isolate: Sample number 7 collected in Italy, location Tremiti Islands	SINGLE	1566589	1375241
PRJNA521302_Leptopsammia-pruvoti	SRR8648883	sample18	dummy	BioSample: SAMN10889086; Sample name: LP5_TR; SRA: SRS4423863	isolate: Sample number 5 collected in Italy, location Tremiti Islands	SINGLE	1415232	1166516
PRJNA521302_Leptopsammia-pruvoti	SRR8648884	sample19	dummy	BioSample: SAMN10889069; Sample name: LP11_TR; SRA: SRS4423862	isolate: Sample number 11 collected in Italy, location Tremiti Islands	SINGLE	2301195	1918492
PRJNA521302_Leptopsammia-pruvoti	SRR8648885	sample20	dummy	BioSample: SAMN10889088; Sample name: LP8_TR; SRA: SRS4423861	isolate: Sample number 8 collected in Italy, location Tremiti Islands	SINGLE	1623924	1402826
PRJNA521302_Leptopsammia-pruvoti	SRR8648886	sample21	dummy	BioSample: SAMN10889189; Sample name: LP17_GNS; SRA: SRS4423860	isolate: Sample number 17 collected in Italy, location Giannutri Island South	SINGLE	2694103	2139935
