link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA542967_Bartholomea-annulata	SRR9061067	sample0	dummy	BioSample: SAMN11649986; Sample name: BHBA23; SRA: SRS4762282	isolate: Bartholomea_annulata_replicate_19	SINGLE	551956	478245
PRJNA542967_Bartholomea-annulata	SRR9061068	sample1	dummy	BioSample: SAMN11649987; Sample name: BRBA6; SRA: SRS4762281	isolate: Bartholomea_annulata_replicate_20	SINGLE	675655	501444
PRJNA542967_Bartholomea-annulata	SRR9061069	sample2	dummy	BioSample: SAMN11649984; Sample name: BHBA18; SRA: SRS4762280	isolate: Bartholomea_annulata_replicate_17	SINGLE	1537196	1263491
PRJNA542967_Bartholomea-annulata	SRR9061070	sample3	dummy	BioSample: SAMN11649985; Sample name: BHBA20; SRA: SRS4762279	isolate: Bartholomea_annulata_replicate_18	SINGLE	604996	531813
PRJNA542967_Bartholomea-annulata	SRR9061071	sample4	dummy	BioSample: SAMN11649982; Sample name: BHBA13; SRA: SRS4762278	isolate: Bartholomea_annulata_replicate_15	SINGLE	516094	428674
PRJNA542967_Bartholomea-annulata	SRR9061072	sample5	dummy	BioSample: SAMN11649983; Sample name: BHBA14; SRA: SRS4762277	isolate: Bartholomea_annulata_replicate_16	SINGLE	920695	769646
PRJNA542967_Bartholomea-annulata	SRR9061073	sample6	dummy	BioSample: SAMN11649980; Sample name: BHBA6; SRA: SRS4762276	isolate: Bartholomea_annulata_replicate_13	SINGLE	626008	535997
PRJNA542967_Bartholomea-annulata	SRR9061074	sample7	dummy	BioSample: SAMN11649981; Sample name: BHBA8; SRA: SRS4762275	isolate: Bartholomea_annulata_replicate_14	SINGLE	1533921	1213792
PRJNA542967_Bartholomea-annulata	SRR9061075	sample8	dummy	BioSample: SAMN11649978; Sample name: BHBA2; SRA: SRS4762274	isolate: Bartholomea_annulata_replicate_11	SINGLE	975746	819660
PRJNA542967_Bartholomea-annulata	SRR9061076	sample9	dummy	BioSample: SAMN11649979; Sample name: BHBA3; SRA: SRS4762273	isolate: Bartholomea_annulata_replicate_12	SINGLE	1054139	866638
PRJNA542967_Bartholomea-annulata	SRR9061077	sample10	dummy	BioSample: SAMN11649974; Sample name: BDBA33; SRA: SRS4762272	isolate: Bartholomea_annulata_replicate_7	SINGLE	587397	423967
PRJNA542967_Bartholomea-annulata	SRR9061078	sample11	dummy	BioSample: SAMN11649975; Sample name: BDBA37; SRA: SRS4762271	isolate: Bartholomea_annulata_replicate_8	SINGLE	641638	514704
PRJNA542967_Bartholomea-annulata	SRR9061079	sample12	dummy	BioSample: SAMN11649972; Sample name: BDBA30; SRA: SRS4762270	isolate: Bartholomea_annulata_replicate_5	SINGLE	1056838	549172
PRJNA542967_Bartholomea-annulata	SRR9061080	sample13	dummy	BioSample: SAMN11649973; Sample name: BDBA31; SRA: SRS4762269	isolate: Bartholomea_annulata_replicate_6	SINGLE	1982952	1484238
PRJNA542967_Bartholomea-annulata	SRR9061081	sample14	dummy	BioSample: SAMN11649970; Sample name: BDBA10; SRA: SRS4762268	isolate: Bartholomea_annulata_replicate_3	SINGLE	587371	480290
PRJNA542967_Bartholomea-annulata	SRR9061082	sample15	dummy	BioSample: SAMN11649971; Sample name: BDBA29; SRA: SRS4762267	isolate: Bartholomea_annulata_replicate_4	SINGLE	1344410	518586
PRJNA542967_Bartholomea-annulata	SRR9061083	sample16	dummy	BioSample: SAMN11649968; Sample name: BDBA3; SRA: SRS4762266	isolate: Bartholomea_annulata_replicate_1	SINGLE	696991	624618
PRJNA542967_Bartholomea-annulata	SRR9061084	sample17	dummy	BioSample: SAMN11649969; Sample name: BDBA7; SRA: SRS4762265	isolate: Bartholomea_annulata_replicate_2	SINGLE	605293	502079
PRJNA542967_Bartholomea-annulata	SRR9061085	sample18	dummy	BioSample: SAMN11649976; Sample name: BDBA38; SRA: SRS4762264	isolate: Bartholomea_annulata_replicate_9	SINGLE	848637	705754
PRJNA542967_Bartholomea-annulata	SRR9061086	sample19	dummy	BioSample: SAMN11649977; Sample name: BDBA39; SRA: SRS4762263	isolate: Bartholomea_annulata_replicate_10	SINGLE	577162	481447
PRJNA542967_Bartholomea-annulata	SRR9061087	sample20	dummy	BioSample: SAMN11650037; Sample name: MXBA1; SRA: SRS4762262	isolate: Bartholomea_annulata_replicate_70	SINGLE	638830	479916
PRJNA542967_Bartholomea-annulata	SRR9061088	sample21	dummy	BioSample: SAMN11650036; Sample name: MKBA52; SRA: SRS4762261	isolate: Bartholomea_annulata_replicate_69	SINGLE	1193510	1076707
PRJNA542967_Bartholomea-annulata	SRR9061089	sample22	dummy	BioSample: SAMN11650031; Sample name: MKBA34; SRA: SRS4762260	isolate: Bartholomea_annulata_replicate_64	SINGLE	470962	443551
PRJNA542967_Bartholomea-annulata	SRR9061090	sample23	dummy	BioSample: SAMN11650030; Sample name: MKBA31; SRA: SRS4762259	isolate: Bartholomea_annulata_replicate_63	SINGLE	1887012	1785909
PRJNA542967_Bartholomea-annulata	SRR9061091	sample24	dummy	BioSample: SAMN11650029; Sample name: MKBA29; SRA: SRS4762258	isolate: Bartholomea_annulata_replicate_62	SINGLE	1510423	1422091
PRJNA542967_Bartholomea-annulata	SRR9061092	sample25	dummy	BioSample: SAMN11650028; Sample name: MKBA26; SRA: SRS4762257	isolate: Bartholomea_annulata_replicate_61	SINGLE	1411186	1327528
PRJNA542967_Bartholomea-annulata	SRR9061093	sample26	dummy	BioSample: SAMN11650035; Sample name: MKBA51; SRA: SRS4762256	isolate: Bartholomea_annulata_replicate_68	SINGLE	1541191	1388738
PRJNA542967_Bartholomea-annulata	SRR9061094	sample27	dummy	BioSample: SAMN11650034; Sample name: MKBA50; SRA: SRS4762255	isolate: Bartholomea_annulata_replicate_67	SINGLE	836410	778035
PRJNA542967_Bartholomea-annulata	SRR9061095	sample28	dummy	BioSample: SAMN11650033; Sample name: MKBA39; SRA: SRS4762254	isolate: Bartholomea_annulata_replicate_66	SINGLE	2385162	2223772
PRJNA542967_Bartholomea-annulata	SRR9061096	sample29	dummy	BioSample: SAMN11650032; Sample name: MKBA35; SRA: SRS4762253	isolate: Bartholomea_annulata_replicate_65	SINGLE	2213100	2045902
PRJNA542967_Bartholomea-annulata	SRR9061097	sample30	dummy	BioSample: SAMN11650042; Sample name: MXBA11; SRA: SRS4762252	isolate: Bartholomea_annulata_replicate_75	SINGLE	576310	504770
PRJNA542967_Bartholomea-annulata	SRR9061098	sample31	dummy	BioSample: SAMN11650043; Sample name: MXBA12; SRA: SRS4762251	isolate: Bartholomea_annulata_replicate_76	SINGLE	752153	623118
PRJNA542967_Bartholomea-annulata	SRR9061099	sample32	dummy	BioSample: SAMN11650044; Sample name: MXBA13; SRA: SRS4762250	isolate: Bartholomea_annulata_replicate_77	SINGLE	480597	404226
PRJNA542967_Bartholomea-annulata	SRR9061100	sample33	dummy	BioSample: SAMN11650045; Sample name: MXBA19; SRA: SRS4762249	isolate: Bartholomea_annulata_replicate_78	SINGLE	1161335	764584
PRJNA542967_Bartholomea-annulata	SRR9061101	sample34	dummy	BioSample: SAMN11650038; Sample name: MXBA4; SRA: SRS4762248	isolate: Bartholomea_annulata_replicate_71	SINGLE	1331963	1059229
PRJNA542967_Bartholomea-annulata	SRR9061102	sample35	dummy	BioSample: SAMN11650039; Sample name: MXBA7; SRA: SRS4762247	isolate: Bartholomea_annulata_replicate_72	SINGLE	1812397	1433318
PRJNA542967_Bartholomea-annulata	SRR9061103	sample36	dummy	BioSample: SAMN11650040; Sample name: MXBA9; SRA: SRS4762246	isolate: Bartholomea_annulata_replicate_73	SINGLE	578051	491097
PRJNA542967_Bartholomea-annulata	SRR9061104	sample37	dummy	BioSample: SAMN11650041; Sample name: MXBA10; SRA: SRS4762245	isolate: Bartholomea_annulata_replicate_74	SINGLE	674724	570806
PRJNA542967_Bartholomea-annulata	SRR9061105	sample38	dummy	BioSample: SAMN11650046; Sample name: MXBA21; SRA: SRS4762244	isolate: Bartholomea_annulata_replicate_79	SINGLE	600364	469407
PRJNA542967_Bartholomea-annulata	SRR9061106	sample39	dummy	BioSample: SAMN11650047; Sample name: MXBA23; SRA: SRS4762243	isolate: Bartholomea_annulata_replicate_80	SINGLE	1572288	640437
PRJNA542967_Bartholomea-annulata	SRR9061107	sample40	dummy	BioSample: SAMN11650089; Sample name: UTBA23; SRA: SRS4762242	isolate: Bartholomea_annulata_replicate_122	SINGLE	2851215	2565126
PRJNA542967_Bartholomea-annulata	SRR9061108	sample41	dummy	BioSample: SAMN11650088; Sample name: UTBA21; SRA: SRS4762241	isolate: Bartholomea_annulata_replicate_121	SINGLE	2558295	2319393
PRJNA542967_Bartholomea-annulata	SRR9061109	sample42	dummy	BioSample: SAMN11650009; Sample name: FTBA6; SRA: SRS4762240	isolate: Bartholomea_annulata_replicate_42	SINGLE	1607277	1461972
PRJNA542967_Bartholomea-annulata	SRR9061110	sample43	dummy	BioSample: SAMN11650008; Sample name: FTBA1; SRA: SRS4762239	isolate: Bartholomea_annulata_replicate_41	SINGLE	1290585	1179878
PRJNA542967_Bartholomea-annulata	SRR9061111	sample44	dummy	BioSample: SAMN11650011; Sample name: FTBA11; SRA: SRS4762238	isolate: Bartholomea_annulata_replicate_44	SINGLE	1785639	1678796
PRJNA542967_Bartholomea-annulata	SRR9061112	sample45	dummy	BioSample: SAMN11650010; Sample name: FTBA7; SRA: SRS4762237	isolate: Bartholomea_annulata_replicate_43	SINGLE	1173615	1055446
PRJNA542967_Bartholomea-annulata	SRR9061113	sample46	dummy	BioSample: SAMN11650013; Sample name: FTBA19; SRA: SRS4762236	isolate: Bartholomea_annulata_replicate_46	SINGLE	964304	883054
PRJNA542967_Bartholomea-annulata	SRR9061114	sample47	dummy	BioSample: SAMN11650012; Sample name: FTBA12; SRA: SRS4762235	isolate: Bartholomea_annulata_replicate_45	SINGLE	2062010	1872090
PRJNA542967_Bartholomea-annulata	SRR9061115	sample48	dummy	BioSample: SAMN11650015; Sample name: FTBA140; SRA: SRS4762234	isolate: Bartholomea_annulata_replicate_48	SINGLE	2030443	1858925
PRJNA542967_Bartholomea-annulata	SRR9061116	sample49	dummy	BioSample: SAMN11650014; Sample name: FTBA21; SRA: SRS4762233	isolate: Bartholomea_annulata_replicate_47	SINGLE	1276348	1169534
PRJNA542967_Bartholomea-annulata	SRR9061117	sample50	dummy	BioSample: SAMN11650017; Sample name: LKBA70; SRA: SRS4762232	isolate: Bartholomea_annulata_replicate_50	SINGLE	913378	820151
