link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA549138_Sargassum-muticum	SRR9311989	sample0	dummy	BioSample: SAMN12076542; Sample name: HIRO05; SRA: SRS4981693	isolate: HIRO05	SINGLE	1514733	1507270
PRJNA549138_Sargassum-muticum	SRR9312015	sample1	dummy	BioSample: SAMN12076541; Sample name: HIRO02; SRA: SRS4981666	isolate: HIRO02	SINGLE	3151723	3137528
PRJNA549138_Sargassum-muticum	SRR9312018	sample2	dummy	BioSample: SAMN12076546; Sample name: HIRO10; SRA: SRS4981664	isolate: HIRO10	SINGLE	1837464	1827516
PRJNA549138_Sargassum-muticum	SRR9312019	sample3	dummy	BioSample: SAMN12076545; Sample name: HIRO08; SRA: SRS4981662	isolate: HIRO08	SINGLE	2072787	2063126
PRJNA549138_Sargassum-muticum	SRR9312069	sample4	dummy	BioSample: SAMN12076578; Sample name: KASH29; SRA: SRS4981612	isolate: KASH29	SINGLE	3391643	3372740
PRJNA549138_Sargassum-muticum	SRR9312073	sample5	dummy	BioSample: SAMN12076544; Sample name: HIRO07; SRA: SRS4981608	isolate: HIRO07	SINGLE	1766875	1757697
PRJNA549138_Sargassum-muticum	SRR9312074	sample6	dummy	BioSample: SAMN12076570; Sample name: KASH17; SRA: SRS4981607	isolate: KASH17	SINGLE	1756981	1746442
PRJNA549138_Sargassum-muticum	SRR9312075	sample7	dummy	BioSample: SAMN12076571; Sample name: KASH18; SRA: SRS4981604	isolate: KASH18	SINGLE	2781280	2765226
PRJNA549138_Sargassum-muticum	SRR9312076	sample8	dummy	BioSample: SAMN12076572; Sample name: KASH19; SRA: SRS4981605	isolate: KASH19	SINGLE	1810221	1799547
PRJNA549138_Sargassum-muticum	SRR9312077	sample9	dummy	BioSample: SAMN12076573; Sample name: KASH21; SRA: SRS4981606	isolate: KASH21	SINGLE	2244134	2230657
PRJNA549138_Sargassum-muticum	SRR9312078	sample10	dummy	BioSample: SAMN12076574; Sample name: KASH22; SRA: SRS4981603	isolate: KASH22	SINGLE	2863881	2844644
PRJNA549138_Sargassum-muticum	SRR9312079	sample11	dummy	BioSample: SAMN12076575; Sample name: KASH23; SRA: SRS4981602	isolate: KASH23	SINGLE	2181640	2168685
PRJNA549138_Sargassum-muticum	SRR9312080	sample12	dummy	BioSample: SAMN12076576; Sample name: KASH26; SRA: SRS4981601	isolate: KASH26	SINGLE	3404515	3383942
PRJNA549138_Sargassum-muticum	SRR9312081	sample13	dummy	BioSample: SAMN12076577; Sample name: KASH28; SRA: SRS4981600	isolate: KASH28	SINGLE	2467741	2452079
PRJNA549138_Sargassum-muticum	SRR9312090	sample14	dummy	BioSample: SAMN12076480; Sample name: ARI30; SRA: SRS4981591	isolate: ARI30	SINGLE	351574	350004
PRJNA549138_Sargassum-muticum	SRR9312121	sample15	dummy	BioSample: SAMN12076651; Sample name: MURO23; SRA: SRS4981560	isolate: MURO23	SINGLE	2170168	2156927
PRJNA549138_Sargassum-muticum	SRR9312122	sample16	dummy	BioSample: SAMN12076650; Sample name: MURO20; SRA: SRS4981559	isolate: MURO20	SINGLE	3027174	3008743
PRJNA549138_Sargassum-muticum	SRR9312123	sample17	dummy	BioSample: SAMN12076653; Sample name: MURO27; SRA: SRS4981558	isolate: MURO27	SINGLE	1830372	1817791
PRJNA549138_Sargassum-muticum	SRR9312124	sample18	dummy	BioSample: SAMN12076652; Sample name: MURO24; SRA: SRS4981557	isolate: MURO24	SINGLE	2667869	2651092
PRJNA549138_Sargassum-muticum	SRR9312125	sample19	dummy	BioSample: SAMN12076655; Sample name: MURO29; SRA: SRS4981555	isolate: MURO29	SINGLE	2526086	2510514
PRJNA549138_Sargassum-muticum	SRR9312126	sample20	dummy	BioSample: SAMN12076654; Sample name: MURO28; SRA: SRS4981556	isolate: MURO28	SINGLE	2377686	2363198
PRJNA549138_Sargassum-muticum	SRR9312133	sample21	dummy	BioSample: SAMN12076478; Sample name: ARI28; SRA: SRS4981548	isolate: ARI28	SINGLE	1604843	1597414
PRJNA549138_Sargassum-muticum	SRR9312134	sample22	dummy	BioSample: SAMN12076479; Sample name: ARI29; SRA: SRS4981547	isolate: ARI29	SINGLE	421814	419712
PRJNA549138_Sargassum-muticum	SRR9312136	sample23	dummy	BioSample: SAMN12076472; Sample name: ARI16; SRA: SRS4981545	isolate: ARI16	SINGLE	206616	205517
PRJNA549138_Sargassum-muticum	SRR9312137	sample24	dummy	BioSample: SAMN12076473; Sample name: ARI18; SRA: SRS4981544	isolate: ARI18	SINGLE	2784252	2770697
PRJNA549138_Sargassum-muticum	SRR9312138	sample25	dummy	BioSample: SAMN12076470; Sample name: ARI14; SRA: SRS4981543	isolate: ARI14	SINGLE	1438937	1429777
PRJNA549138_Sargassum-muticum	SRR9312139	sample26	dummy	BioSample: SAMN12076471; Sample name: ARI15; SRA: SRS4981542	isolate: ARI15	SINGLE	510564	508030
PRJNA549138_Sargassum-muticum	SRR9312140	sample27	dummy	BioSample: SAMN12076476; Sample name: ARI24; SRA: SRS4981541	isolate: ARI24	SINGLE	719868	716059
PRJNA549138_Sargassum-muticum	SRR9312141	sample28	dummy	BioSample: SAMN12076477; Sample name: ARI27; SRA: SRS4981540	isolate: ARI27	SINGLE	873064	868829
PRJNA549138_Sargassum-muticum	SRR9312142	sample29	dummy	BioSample: SAMN12076474; Sample name: ARI19; SRA: SRS4981539	isolate: ARI19	SINGLE	1809522	1801403
PRJNA549138_Sargassum-muticum	SRR9312143	sample30	dummy	BioSample: SAMN12076475; Sample name: ARI21; SRA: SRS4981538	isolate: ARI21	SINGLE	1173442	1167870
PRJNA549138_Sargassum-muticum	SRR9312156	sample31	dummy	BioSample: SAMN12076552; Sample name: HIRO24; SRA: SRS4981524	isolate: HIRO24	SINGLE	1885516	1875543
PRJNA549138_Sargassum-muticum	SRR9312157	sample32	dummy	BioSample: SAMN12076553; Sample name: HIRO26; SRA: SRS4981525	isolate: HIRO26	SINGLE	3307284	3290392
PRJNA549138_Sargassum-muticum	SRR9312158	sample33	dummy	BioSample: SAMN12076550; Sample name: HIRO20; SRA: SRS4981523	isolate: HIRO20	SINGLE	2229064	2218647
PRJNA549138_Sargassum-muticum	SRR9312159	sample34	dummy	BioSample: SAMN12076551; Sample name: HIRO23; SRA: SRS4981522	isolate: HIRO23	SINGLE	1971913	1961870
PRJNA549138_Sargassum-muticum	SRR9312162	sample35	dummy	BioSample: SAMN12076554; Sample name: HIRO28; SRA: SRS4981519	isolate: HIRO28	SINGLE	3310986	3294928
PRJNA549138_Sargassum-muticum	SRR9312163	sample36	dummy	BioSample: SAMN12076555; Sample name: HIRO31; SRA: SRS4981518	isolate: HIRO31	SINGLE	1291072	1285552
PRJNA549138_Sargassum-muticum	SRR9312180	sample37	dummy	BioSample: SAMN12076548; Sample name: HIRO15; SRA: SRS4981501	isolate: HIRO15	SINGLE	1983288	1972654
PRJNA549138_Sargassum-muticum	SRR9312181	sample38	dummy	BioSample: SAMN12076549; Sample name: HIRO19; SRA: SRS4981499	isolate: HIRO19	SINGLE	1910352	1900591
PRJNA549138_Sargassum-muticum	SRR9312182	sample39	dummy	BioSample: SAMN12076657; Sample name: MURO32; SRA: SRS4981500	isolate: MURO32	SINGLE	1365403	1357683
PRJNA549138_Sargassum-muticum	SRR9312183	sample40	dummy	BioSample: SAMN12076656; Sample name: MURO31; SRA: SRS4981498	isolate: MURO31	SINGLE	1293773	1285383
PRJNA549138_Sargassum-muticum	SRR9312197	sample41	dummy	BioSample: SAMN12076563; Sample name: KASH01; SRA: SRS4981483	isolate: KASH01	SINGLE	3473234	3452924
PRJNA549138_Sargassum-muticum	SRR9312199	sample42	dummy	BioSample: SAMN12076565; Sample name: KASH10; SRA: SRS4981481	isolate: KASH10	SINGLE	2942292	2925881
PRJNA549138_Sargassum-muticum	SRR9312200	sample43	dummy	BioSample: SAMN12076564; Sample name: KASH03; SRA: SRS4981482	isolate: KASH03	SINGLE	2647775	2631785
PRJNA549138_Sargassum-muticum	SRR9312201	sample44	dummy	BioSample: SAMN12076567; Sample name: KASH14; SRA: SRS4981479	isolate: KASH14	SINGLE	2126276	2114291
PRJNA549138_Sargassum-muticum	SRR9312202	sample45	dummy	BioSample: SAMN12076566; Sample name: KASH11; SRA: SRS4981480	isolate: KASH11	SINGLE	3688850	3665767
PRJNA549138_Sargassum-muticum	SRR9312203	sample46	dummy	BioSample: SAMN12076569; Sample name: KASH16; SRA: SRS4981478	isolate: KASH16	SINGLE	2168328	2155073
PRJNA549138_Sargassum-muticum	SRR9312204	sample47	dummy	BioSample: SAMN12076568; Sample name: KASH15; SRA: SRS4981477	isolate: KASH15	SINGLE	3103977	3083418
PRJNA549138_Sargassum-muticum	SRR9312206	sample48	dummy	BioSample: SAMN12076649; Sample name: MURO19; SRA: SRS4981476	isolate: MURO19	SINGLE	1836371	1824638
PRJNA549138_Sargassum-muticum	SRR9312207	sample49	dummy	BioSample: SAMN12076648; Sample name: MURO18; SRA: SRS4981474	isolate: MURO18	SINGLE	979333	973094
PRJNA549138_Sargassum-muticum	SRR9312213	sample50	dummy	BioSample: SAMN12076643; Sample name: MURO08; SRA: SRS4981469	isolate: MURO08	SINGLE	4345249	4319432
PRJNA549138_Sargassum-muticum	SRR9312214	sample51	dummy	BioSample: SAMN12076642; Sample name: MURO04; SRA: SRS4981467	isolate: MURO04	SINGLE	2223335	2209892
PRJNA549138_Sargassum-muticum	SRR9312215	sample52	dummy	BioSample: SAMN12076645; Sample name: MURO13; SRA: SRS4981466	isolate: MURO13	SINGLE	1925243	1912716
