link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA553831_Robustosergia-robusta	SRR9669087	sample0	dummy	BioSample: SAMN12251918; Sample name: HBG3577; SRA: SRS5085063	isolate: Midwater shrimp	SINGLE	3454017	3413875
PRJNA553831_Robustosergia-robusta	SRR9669089	sample1	dummy	BioSample: SAMN12251960; Sample name: HBG3578; SRA: SRS5085062	isolate: Midwater shrimp	SINGLE	46647	45649
PRJNA553831_Robustosergia-robusta	SRR9669090	sample2	dummy	BioSample: SAMN12251959; Sample name: HBG6008; SRA: SRS5085060	isolate: Midwater shrimp	SINGLE	1554988	1534954
PRJNA553831_Robustosergia-robusta	SRR9669091	sample3	dummy	BioSample: SAMN12251958; Sample name: HBG4418; SRA: SRS5085059	isolate: Midwater shrimp	SINGLE	3662124	3624980
PRJNA553831_Robustosergia-robusta	SRR9669092	sample4	dummy	BioSample: SAMN12251957; Sample name: HBG6239; SRA: SRS5085058	isolate: Midwater shrimp	SINGLE	1260561	1243842
PRJNA553831_Robustosergia-robusta	SRR9669093	sample5	dummy	BioSample: SAMN12251956; Sample name: HBG6240; SRA: SRS5085057	isolate: Midwater shrimp	SINGLE	2745448	2715707
PRJNA553831_Robustosergia-robusta	SRR9669094	sample6	dummy	BioSample: SAMN12251955; Sample name: HBG5794; SRA: SRS5085056	isolate: Midwater shrimp	SINGLE	2353795	2324323
PRJNA553831_Robustosergia-robusta	SRR9669095	sample7	dummy	BioSample: SAMN12251954; Sample name: HBG4436; SRA: SRS5085054	isolate: Midwater shrimp	SINGLE	360336	350902
PRJNA553831_Robustosergia-robusta	SRR9669096	sample8	dummy	BioSample: SAMN12251953; Sample name: HBG3050; SRA: SRS5085055	isolate: Midwater shrimp	SINGLE	4538993	4486007
PRJNA553831_Robustosergia-robusta	SRR9669097	sample9	dummy	BioSample: SAMN12251952; Sample name: HBG6183; SRA: SRS5085052	isolate: Midwater shrimp	SINGLE	1896420	1873323
PRJNA553831_Robustosergia-robusta	SRR9669098	sample10	dummy	BioSample: SAMN12251951; Sample name: HBG4437; SRA: SRS5085053	isolate: Midwater shrimp	SINGLE	527442	514649
PRJNA553831_Robustosergia-robusta	SRR9669125	sample11	dummy	BioSample: SAMN12251929; Sample name: HBG6166; SRA: SRS5085025	isolate: Midwater shrimp	SINGLE	2270358	2237375
PRJNA553831_Robustosergia-robusta	SRR9669126	sample12	dummy	BioSample: SAMN12251930; Sample name: HBG3550; SRA: SRS5085023	isolate: Midwater shrimp	SINGLE	1300551	1281480
PRJNA553831_Robustosergia-robusta	SRR9669127	sample13	dummy	BioSample: SAMN12251923; Sample name: HBG5474; SRA: SRS5085024	isolate: Midwater shrimp	SINGLE	108105	104532
PRJNA553831_Robustosergia-robusta	SRR9669128	sample14	dummy	BioSample: SAMN12251924; Sample name: HBG6195; SRA: SRS5085022	isolate: Midwater shrimp	SINGLE	2430171	2403426
PRJNA553831_Robustosergia-robusta	SRR9669129	sample15	dummy	BioSample: SAMN12251921; Sample name: HBG6196; SRA: SRS5085021	isolate: Midwater shrimp	SINGLE	3578322	3539214
PRJNA553831_Robustosergia-robusta	SRR9669130	sample16	dummy	BioSample: SAMN12251922; Sample name: HBG5779; SRA: SRS5085019	isolate: Midwater shrimp	SINGLE	3225766	3187683
PRJNA553831_Robustosergia-robusta	SRR9669131	sample17	dummy	BioSample: SAMN12251927; Sample name: HBG3473; SRA: SRS5085020	isolate: Midwater shrimp	SINGLE	1969282	1944418
PRJNA553831_Robustosergia-robusta	SRR9669132	sample18	dummy	BioSample: SAMN12251928; Sample name: HBG6189; SRA: SRS5085017	isolate: Midwater shrimp	SINGLE	432309	424786
PRJNA553831_Robustosergia-robusta	SRR9669133	sample19	dummy	BioSample: SAMN12251925; Sample name: HBG3472; SRA: SRS5085018	isolate: Midwater shrimp	SINGLE	1611907	1586478
PRJNA553831_Robustosergia-robusta	SRR9669134	sample20	dummy	BioSample: SAMN12251926; Sample name: HBG5475; SRA: SRS5085015	isolate: Midwater shrimp	SINGLE	990359	974463
PRJNA553831_Robustosergia-robusta	SRR9669157	sample21	dummy	BioSample: SAMN12251940; Sample name: HBG6198; SRA: SRS5084993	isolate: Midwater shrimp	SINGLE	2500023	2469976
PRJNA553831_Robustosergia-robusta	SRR9669158	sample22	dummy	BioSample: SAMN12251939; Sample name: HBG3504; SRA: SRS5084992	isolate: Midwater shrimp	SINGLE	4335866	4282676
PRJNA553831_Robustosergia-robusta	SRR9669160	sample23	dummy	BioSample: SAMN12251932; Sample name: HBG3536; SRA: SRS5084990	isolate: Midwater shrimp	SINGLE	871864	860714
PRJNA553831_Robustosergia-robusta	SRR9669161	sample24	dummy	BioSample: SAMN12251931; Sample name: HBG5302; SRA: SRS5084989	isolate: Midwater shrimp	SINGLE	882002	869133
PRJNA553831_Robustosergia-robusta	SRR9669162	sample25	dummy	BioSample: SAMN12251934; Sample name: HBG5303; SRA: SRS5084988	isolate: Midwater shrimp	SINGLE	555196	548575
PRJNA553831_Robustosergia-robusta	SRR9669163	sample26	dummy	BioSample: SAMN12251933; Sample name: HBG3627; SRA: SRS5084987	isolate: Midwater shrimp	SINGLE	4277988	4227859
PRJNA553831_Robustosergia-robusta	SRR9669164	sample27	dummy	BioSample: SAMN12251936; Sample name: HBG6153; SRA: SRS5084986	isolate: Midwater shrimp	SINGLE	1312811	1294623
PRJNA553831_Robustosergia-robusta	SRR9669165	sample28	dummy	BioSample: SAMN12251935; Sample name: HBG6007; SRA: SRS5084985	isolate: Midwater shrimp	SINGLE	2659431	2622628
PRJNA553831_Robustosergia-robusta	SRR9669166	sample29	dummy	BioSample: SAMN12251938; Sample name: HBG5305; SRA: SRS5084984	isolate: Midwater shrimp	SINGLE	3536273	3501437
PRJNA553831_Robustosergia-robusta	SRR9669167	sample30	dummy	BioSample: SAMN12251937; Sample name: HBG3487; SRA: SRS5084983	isolate: Midwater shrimp	SINGLE	2917106	2885755
PRJNA553831_Robustosergia-robusta	SRR9669176	sample31	dummy	BioSample: SAMN12252003; Sample name: HBG6708; SRA: SRS5084974	isolate: Midwater shrimp	SINGLE	1260460	1244377
PRJNA553831_Robustosergia-robusta	SRR9669177	sample32	dummy	BioSample: SAMN12252004; Sample name: HBG5307; SRA: SRS5084973	isolate: Midwater shrimp	SINGLE	327635	323587
PRJNA553831_Robustosergia-robusta	SRR9669178	sample33	dummy	BioSample: SAMN12252001; Sample name: HBG5306; SRA: SRS5084972	isolate: Midwater shrimp	SINGLE	261276	257873
PRJNA553831_Robustosergia-robusta	SRR9669179	sample34	dummy	BioSample: SAMN12252002; Sample name: HBG6019; SRA: SRS5084971	isolate: Midwater shrimp	SINGLE	8941513	8848993
PRJNA553831_Robustosergia-robusta	SRR9669180	sample35	dummy	BioSample: SAMN12252007; Sample name: HBG6010; SRA: SRS5084970	isolate: Midwater shrimp	SINGLE	275681	266020
PRJNA553831_Robustosergia-robusta	SRR9669181	sample36	dummy	BioSample: SAMN12252008; Sample name: HBG6009; SRA: SRS5084969	isolate: Midwater shrimp	SINGLE	367916	354995
PRJNA553831_Robustosergia-robusta	SRR9669182	sample37	dummy	BioSample: SAMN12252005; Sample name: HBG6560; SRA: SRS5084968	isolate: Midwater shrimp	SINGLE	6170	5871
PRJNA553831_Robustosergia-robusta	SRR9669183	sample38	dummy	BioSample: SAMN12252006; Sample name: HBG6559; SRA: SRS5084966	isolate: Midwater shrimp	SINGLE	2308	2191
PRJNA553831_Robustosergia-robusta	SRR9669186	sample39	dummy	BioSample: SAMN12252009; Sample name: HBG6554; SRA: SRS5084964	isolate: Midwater shrimp	SINGLE	85265	82708
PRJNA553831_Robustosergia-robusta	SRR9669187	sample40	dummy	BioSample: SAMN12252010; Sample name: HBG3044; SRA: SRS5084963	isolate: Midwater shrimp	SINGLE	4056	3790
PRJNA553831_Robustosergia-robusta	SRR9669193	sample41	dummy	BioSample: SAMN12251919; Sample name: HBG4447; SRA: SRS5084957	isolate: Midwater shrimp	SINGLE	682150	674366
PRJNA553831_Robustosergia-robusta	SRR9669203	sample42	dummy	BioSample: SAMN12251989; Sample name: HBG6703; SRA: SRS5084946	isolate: Midwater shrimp	SINGLE	183548	181333
PRJNA553831_Robustosergia-robusta	SRR9669205	sample43	dummy	BioSample: SAMN12251985; Sample name: HBG5308; SRA: SRS5084945	isolate: Midwater shrimp	SINGLE	376159	367634
PRJNA553831_Robustosergia-robusta	SRR9669206	sample44	dummy	BioSample: SAMN12251986; Sample name: HBG6184; SRA: SRS5084944	isolate: Midwater shrimp	SINGLE	193597	188432
PRJNA553831_Robustosergia-robusta	SRR9669207	sample45	dummy	BioSample: SAMN12251987; Sample name: HBG6704; SRA: SRS5084943	isolate: Midwater shrimp	SINGLE	17292	16669
PRJNA553831_Robustosergia-robusta	SRR9669208	sample46	dummy	BioSample: SAMN12251988; Sample name: HBG3052; SRA: SRS5084942	isolate: Midwater shrimp	SINGLE	513002	502489
PRJNA553831_Robustosergia-robusta	SRR9669209	sample47	dummy	BioSample: SAMN12251981; Sample name: HBG6543; SRA: SRS5084941	isolate: Midwater shrimp	SINGLE	802022	782526
PRJNA553831_Robustosergia-robusta	SRR9669210	sample48	dummy	BioSample: SAMN12251982; Sample name: HBG6707; SRA: SRS5084940	isolate: Midwater shrimp	SINGLE	625117	609588
PRJNA553831_Robustosergia-robusta	SRR9669211	sample49	dummy	BioSample: SAMN12251983; Sample name: HBG3059; SRA: SRS5084939	isolate: Midwater shrimp	SINGLE	62946	61640
PRJNA553831_Robustosergia-robusta	SRR9669212	sample50	dummy	BioSample: SAMN12251984; Sample name: HBG6546; SRA: SRS5084937	isolate: Midwater shrimp	SINGLE	224948	220078
PRJNA553831_Robustosergia-robusta	SRR9669224	sample51	dummy	BioSample: SAMN12252011; Sample name: HBG3053; SRA: SRS5084927	isolate: Midwater shrimp	SINGLE	4453	4157
PRJNA553831_Robustosergia-robusta	SRR9669251	sample52	dummy	BioSample: SAMN12252000; Sample name: HBG6547; SRA: SRS5084899	isolate: Midwater shrimp	SINGLE	1807	1727
PRJNA553831_Robustosergia-robusta	SRR9669252	sample53	dummy	BioSample: SAMN12251999; Sample name: HBG6165; SRA: SRS5084898	isolate: Midwater shrimp	SINGLE	1952	1861
PRJNA553831_Robustosergia-robusta	SRR9669253	sample54	dummy	BioSample: SAMN12251994; Sample name: HBG6555; SRA: SRS5084897	isolate: Midwater shrimp	SINGLE	12033	11633
PRJNA553831_Robustosergia-robusta	SRR9669254	sample55	dummy	BioSample: SAMN12251993; Sample name: HBG6557; SRA: SRS5084896	isolate: Midwater shrimp	SINGLE	1612	1528
PRJNA553831_Robustosergia-robusta	SRR9669255	sample56	dummy	BioSample: SAMN12251992; Sample name: HBG6173; SRA: SRS5084895	isolate: Midwater shrimp	SINGLE	14646740	14489313
PRJNA553831_Robustosergia-robusta	SRR9669256	sample57	dummy	BioSample: SAMN12251991; Sample name: HBG3046; SRA: SRS5084894	isolate: Midwater shrimp	SINGLE	70106	69237
PRJNA553831_Robustosergia-robusta	SRR9669257	sample58	dummy	BioSample: SAMN12251998; Sample name: HBG6706; SRA: SRS5084893	isolate: Midwater shrimp	SINGLE	127332	124506
PRJNA553831_Robustosergia-robusta	SRR9669258	sample59	dummy	BioSample: SAMN12251997; Sample name: HBG5310; SRA: SRS5084892	isolate: Midwater shrimp	SINGLE	4597	4415
PRJNA553831_Robustosergia-robusta	SRR9669259	sample60	dummy	BioSample: SAMN12251996; Sample name: HBG6549; SRA: SRS5084891	isolate: Midwater shrimp	SINGLE	33390	32675
PRJNA553831_Robustosergia-robusta	SRR9669260	sample61	dummy	BioSample: SAMN12251995; Sample name: HBG6705; SRA: SRS5084890	isolate: Midwater shrimp	SINGLE	1324749	1306560
PRJNA553831_Robustosergia-robusta	SRR9669287	sample62	dummy	BioSample: SAMN12251967; Sample name: HBG6550; SRA: SRS5084863	isolate: Midwater shrimp	SINGLE	3077726	3042310
PRJNA553831_Robustosergia-robusta	SRR9669288	sample63	dummy	BioSample: SAMN12251968; Sample name: HBG5472; SRA: SRS5084862	isolate: Midwater shrimp	SINGLE	2260981	2238685
PRJNA553831_Robustosergia-robusta	SRR9669289	sample64	dummy	BioSample: SAMN12251965; Sample name: HBG3551; SRA: SRS5084861	isolate: Midwater shrimp	SINGLE	3057815	3021525
PRJNA553831_Robustosergia-robusta	SRR9669290	sample65	dummy	BioSample: SAMN12251966; Sample name: HBG3576; SRA: SRS5084860	isolate: Midwater shrimp	SINGLE	2590769	2557914
PRJNA553831_Robustosergia-robusta	SRR9669291	sample66	dummy	BioSample: SAMN12251963; Sample name: HBG3022; SRA: SRS5084859	isolate: Midwater shrimp	SINGLE	11717728	11621326
PRJNA553831_Robustosergia-robusta	SRR9669292	sample67	dummy	BioSample: SAMN12251964; Sample name: HBG6558; SRA: SRS5084858	isolate: Midwater shrimp	SINGLE	2609785	2584456
PRJNA553831_Robustosergia-robusta	SRR9669293	sample68	dummy	BioSample: SAMN12251961; Sample name: HBG6164; SRA: SRS5084857	isolate: Midwater shrimp	SINGLE	3154128	3122344
PRJNA553831_Robustosergia-robusta	SRR9669294	sample69	dummy	BioSample: SAMN12251962; Sample name: HBG6002; SRA: SRS5084856	isolate: Midwater shrimp	SINGLE	5216897	5168183
PRJNA553831_Robustosergia-robusta	SRR9669295	sample70	dummy	BioSample: SAMN12251969; Sample name: HBG6544; SRA: SRS5084855	isolate: Midwater shrimp	SINGLE	2271671	2244540
PRJNA553831_Robustosergia-robusta	SRR9669296	sample71	dummy	BioSample: SAMN12251970; Sample name: HBG5864; SRA: SRS5084854	isolate: Midwater shrimp	SINGLE	13603	12990
PRJNA553831_Robustosergia-robusta	SRR9669297	sample72	dummy	BioSample: SAMN12251920; Sample name: HBG5865; SRA: SRS5084853	isolate: Midwater shrimp	SINGLE	2191896	2165622
PRJNA553831_Robustosergia-robusta	SRR9669314	sample73	dummy	BioSample: SAMN12251976; Sample name: HBG5304; SRA: SRS5084836	isolate: Midwater shrimp	SINGLE	2312989	2291019
PRJNA553831_Robustosergia-robusta	SRR9669315	sample74	dummy	BioSample: SAMN12251975; Sample name: HBG3575; SRA: SRS5084835	isolate: Midwater shrimp	SINGLE	13108027	12984412
PRJNA553831_Robustosergia-robusta	SRR9669316	sample75	dummy	BioSample: SAMN12251978; Sample name: HBG6702; SRA: SRS5084834	isolate: Midwater shrimp	SINGLE	194194	191958
PRJNA553831_Robustosergia-robusta	SRR9669317	sample76	dummy	BioSample: SAMN12251977; Sample name: HBG5309; SRA: SRS5084833	isolate: Midwater shrimp	SINGLE	1969161	1950155
