link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA559677_Caretta-caretta	SRR9945324	sample0	dummy	BioSample: SAMN12551128; Sample name: AC3148; SRA: SRS5251197	ecotype: Atlantic Ocean	PAIRED	9367934	3338285
PRJNA559677_Caretta-caretta	SRR9945325	sample1	dummy	BioSample: SAMN12551129; Sample name: AC3149; SRA: SRS5251196	ecotype: Atlantic Ocean	PAIRED	7165112	2571864
PRJNA559677_Caretta-caretta	SRR9945326	sample2	dummy	BioSample: SAMN12551130; Sample name: AC3150; SRA: SRS5251195	ecotype: Atlantic Ocean	PAIRED	7644520	2774052
PRJNA559677_Caretta-caretta	SRR9945327	sample3	dummy	BioSample: SAMN12551131; Sample name: AC3151; SRA: SRS5251194	ecotype: Atlantic Ocean	PAIRED	6050916	2177625
PRJNA559677_Caretta-caretta	SRR9945328	sample4	dummy	BioSample: SAMN12551132; Sample name: AC3155; SRA: SRS5251193	ecotype: Atlantic Ocean	PAIRED	7282092	2581854
PRJNA559677_Caretta-caretta	SRR9945329	sample5	dummy	BioSample: SAMN12551097; Sample name: FB32; SRA: SRS5251192	ecotype: Florida Bay	PAIRED	9159112	3255163
PRJNA559677_Caretta-caretta	SRR9945330	sample6	dummy	BioSample: SAMN12551096; Sample name: FB31; SRA: SRS5251191	ecotype: Florida Bay	PAIRED	2452402	870927
PRJNA559677_Caretta-caretta	SRR9945331	sample7	dummy	BioSample: SAMN12551089; Sample name: FB10; SRA: SRS5251190	ecotype: Florida Bay	PAIRED	10754988	3779781
PRJNA559677_Caretta-caretta	SRR9945332	sample8	dummy	BioSample: SAMN12551088; Sample name: 1FB; SRA: SRS5251189	ecotype: Florida Bay	PAIRED	3005672	1068498
PRJNA559677_Caretta-caretta	SRR9945333	sample9	dummy	BioSample: SAMN12551091; Sample name: FB12; SRA: SRS5251188	ecotype: Florida Bay	PAIRED	6048470	2135911
PRJNA559677_Caretta-caretta	SRR9945334	sample10	dummy	BioSample: SAMN12551090; Sample name: FB11; SRA: SRS5251187	ecotype: Florida Bay	PAIRED	5982386	2118267
PRJNA559677_Caretta-caretta	SRR9945335	sample11	dummy	BioSample: SAMN12551093; Sample name: FB14; SRA: SRS5251186	ecotype: Florida Bay	PAIRED	5128448	1820071
PRJNA559677_Caretta-caretta	SRR9945336	sample12	dummy	BioSample: SAMN12551092; Sample name: FB13; SRA: SRS5251185	ecotype: Florida Bay	PAIRED	5553166	1955351
PRJNA559677_Caretta-caretta	SRR9945337	sample13	dummy	BioSample: SAMN12551095; Sample name: FB29; SRA: SRS5251184	ecotype: Florida Bay	PAIRED	6300042	2246300
PRJNA559677_Caretta-caretta	SRR9945338	sample14	dummy	BioSample: SAMN12551094; Sample name: FB15; SRA: SRS5251183	ecotype: Florida Bay	PAIRED	4431780	1559427
PRJNA559677_Caretta-caretta	SRR9945339	sample15	dummy	BioSample: SAMN12551127; Sample name: AC3147; SRA: SRS5251182	ecotype: Atlantic Ocean	PAIRED	3076938	1103823
PRJNA559677_Caretta-caretta	SRR9945340	sample16	dummy	BioSample: SAMN12551126; Sample name: AC3146; SRA: SRS5251181	ecotype: Atlantic Ocean	PAIRED	3782306	1387788
PRJNA559677_Caretta-caretta	SRR9945341	sample17	dummy	BioSample: SAMN12551119; Sample name: AC0712; SRA: SRS5251180	ecotype: Atlantic Ocean	PAIRED	4695790	1693708
PRJNA559677_Caretta-caretta	SRR9945342	sample18	dummy	BioSample: SAMN12551118; Sample name: AC0710; SRA: SRS5251179	ecotype: Atlantic Ocean	PAIRED	7183178	2569516
PRJNA559677_Caretta-caretta	SRR9945343	sample19	dummy	BioSample: SAMN12551121; Sample name: AC3135; SRA: SRS5251178	ecotype: Atlantic Ocean	PAIRED	5774794	2062920
PRJNA559677_Caretta-caretta	SRR9945344	sample20	dummy	BioSample: SAMN12551120; Sample name: AC0713; SRA: SRS5251177	ecotype: Atlantic Ocean	PAIRED	880554	323267
PRJNA559677_Caretta-caretta	SRR9945345	sample21	dummy	BioSample: SAMN12551123; Sample name: AC3141; SRA: SRS5251176	ecotype: Atlantic Ocean	PAIRED	10884572	3866462
PRJNA559677_Caretta-caretta	SRR9945346	sample22	dummy	BioSample: SAMN12551122; Sample name: AC3136; SRA: SRS5251175	ecotype: Atlantic Ocean	PAIRED	9166996	3275223
PRJNA559677_Caretta-caretta	SRR9945347	sample23	dummy	BioSample: SAMN12551125; Sample name: AC3143; SRA: SRS5251174	ecotype: Atlantic Ocean	PAIRED	2691784	969810
PRJNA559677_Caretta-caretta	SRR9945348	sample24	dummy	BioSample: SAMN12551124; Sample name: AC3142; SRA: SRS5251173	ecotype: Atlantic Ocean	PAIRED	4958560	1778293
PRJNA559677_Caretta-caretta	SRR9945349	sample25	dummy	BioSample: SAMN12551101; Sample name: FB37; SRA: SRS5251172	ecotype: Florida Bay	PAIRED	7271936	2613417
PRJNA559677_Caretta-caretta	SRR9945350	sample26	dummy	BioSample: SAMN12551100; Sample name: FB36; SRA: SRS5251171	ecotype: Florida Bay	PAIRED	5083602	1806490
PRJNA559677_Caretta-caretta	SRR9945351	sample27	dummy	BioSample: SAMN12551099; Sample name: FB35; SRA: SRS5251170	ecotype: Florida Bay	PAIRED	7313566	2603999
PRJNA559677_Caretta-caretta	SRR9945352	sample28	dummy	BioSample: SAMN12551098; Sample name: FB33; SRA: SRS5251169	ecotype: Florida Bay	PAIRED	4347214	1547343
PRJNA559677_Caretta-caretta	SRR9945353	sample29	dummy	BioSample: SAMN12551105; Sample name: FB43; SRA: SRS5251168	ecotype: Florida Bay	PAIRED	9890216	3486019
PRJNA559677_Caretta-caretta	SRR9945354	sample30	dummy	BioSample: SAMN12551104; Sample name: FB41; SRA: SRS5251167	ecotype: Florida Bay	PAIRED	8791808	3083477
PRJNA559677_Caretta-caretta	SRR9945355	sample31	dummy	BioSample: SAMN12551103; Sample name: FB4; SRA: SRS5251166	ecotype: Florida Bay	PAIRED	4547660	1613216
