link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA563695_Amphiprion-clarkii	SRR10061455	sample0	dummy	BioSample: SAMN12685867; Sample name: APCL13_494_L0475; SRA: SRS5337573		SINGLE	440577	440577
PRJNA563695_Amphiprion-clarkii	SRR10061456	sample1	dummy	BioSample: SAMN12685866; Sample name: APCL13_482_L0469; SRA: SRS5337572		SINGLE	517879	517879
PRJNA563695_Amphiprion-clarkii	SRR10061457	sample2	dummy	BioSample: SAMN12685865; Sample name: APCL13_018_L0465; SRA: SRS5337571		SINGLE	483173	483173
PRJNA563695_Amphiprion-clarkii	SRR10061458	sample3	dummy	BioSample: SAMN12685864; Sample name: APCL13_009_L0459; SRA: SRS5337570		SINGLE	392931	392931
PRJNA563695_Amphiprion-clarkii	SRR10061459	sample4	dummy	BioSample: SAMN12685720; Sample name: APCL13_239_L0272; SRA: SRS5337569		SINGLE	930417	930096
PRJNA563695_Amphiprion-clarkii	SRR10061460	sample5	dummy	BioSample: SAMN12685863; Sample name: APCL13_006_L0456; SRA: SRS5337568		SINGLE	452087	452087
PRJNA563695_Amphiprion-clarkii	SRR10061461	sample6	dummy	BioSample: SAMN12685862; Sample name: APCL13_004_L0454; SRA: SRS5337567		SINGLE	386350	386350
PRJNA563695_Amphiprion-clarkii	SRR10061462	sample7	dummy	BioSample: SAMN12685861; Sample name: APCL13_427_L0451; SRA: SRS5337566		SINGLE	546052	546051
PRJNA563695_Amphiprion-clarkii	SRR10061463	sample8	dummy	BioSample: SAMN12685860; Sample name: APCL13_219_L0445; SRA: SRS5337565		SINGLE	1151607	1151097
PRJNA563695_Amphiprion-clarkii	SRR10061464	sample9	dummy	BioSample: SAMN12685859; Sample name: APCL13_182_L0441; SRA: SRS5337564		SINGLE	750068	749743
PRJNA563695_Amphiprion-clarkii	SRR10061465	sample10	dummy	BioSample: SAMN12685858; Sample name: APCL13_180_L0440; SRA: SRS5337563		SINGLE	910146	909810
PRJNA563695_Amphiprion-clarkii	SRR10061466	sample11	dummy	BioSample: SAMN12685857; Sample name: APCL13_164_L0439; SRA: SRS5337562		SINGLE	1255253	1254763
PRJNA563695_Amphiprion-clarkii	SRR10061467	sample12	dummy	BioSample: SAMN12685856; Sample name: APCL13_163_L0438; SRA: SRS5337561		SINGLE	1875700	1874950
PRJNA563695_Amphiprion-clarkii	SRR10061468	sample13	dummy	BioSample: SAMN12685855; Sample name: APCL13_156_L0437; SRA: SRS5337560		SINGLE	1915665	1914929
PRJNA563695_Amphiprion-clarkii	SRR10061469	sample14	dummy	BioSample: SAMN12685854; Sample name: APCL13_154_L0436; SRA: SRS5337559		SINGLE	581412	581223
PRJNA563695_Amphiprion-clarkii	SRR10061470	sample15	dummy	BioSample: SAMN12685719; Sample name: APCL13_238_L0271; SRA: SRS5337558		SINGLE	635815	635580
PRJNA563695_Amphiprion-clarkii	SRR10061471	sample16	dummy	BioSample: SAMN12685853; Sample name: APCL13_148_L0435; SRA: SRS5337557		SINGLE	2188864	2188040
PRJNA563695_Amphiprion-clarkii	SRR10061472	sample17	dummy	BioSample: SAMN12685852; Sample name: APCL13_147_L0434; SRA: SRS5337556		SINGLE	1302695	1302158
PRJNA563695_Amphiprion-clarkii	SRR10061473	sample18	dummy	BioSample: SAMN12685851; Sample name: APCL13_136_L0433; SRA: SRS5337555		SINGLE	1281312	1280805
PRJNA563695_Amphiprion-clarkii	SRR10061474	sample19	dummy	BioSample: SAMN12685850; Sample name: APCL13_119_L0431; SRA: SRS5337554		SINGLE	1017879	1017457
PRJNA563695_Amphiprion-clarkii	SRR10061475	sample20	dummy	BioSample: SAMN12685849; Sample name: APCL13_118_L0430; SRA: SRS5337553		SINGLE	1217796	1217333
PRJNA563695_Amphiprion-clarkii	SRR10061476	sample21	dummy	BioSample: SAMN12685848; Sample name: APCL13_111_L0429; SRA: SRS5337552		SINGLE	1572472	1571820
PRJNA563695_Amphiprion-clarkii	SRR10061477	sample22	dummy	BioSample: SAMN12685847; Sample name: APCL13_109_L0428; SRA: SRS5337551		SINGLE	1231356	1230803
