link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA564451_Uria-aalge	SRR10085269	sample0	dummy	BioSample: SAMN12713748; Sample name: COMU-Ho-10B; SRA: SRS5362120		PAIRED	778480	772123
PRJNA564451_Uria-aalge	SRR10085270	sample1	dummy	BioSample: SAMN12713747; Sample name: COMU-Ho-8B; SRA: SRS5362119		PAIRED	216130	214339
PRJNA564451_Uria-aalge	SRR10085271	sample2	dummy	BioSample: SAMN12713746; Sample name: COMU-UAIM-30; SRA: SRS5362118		PAIRED	363748	360622
PRJNA564451_Uria-aalge	SRR10085272	sample3	dummy	BioSample: SAMN12713745; Sample name: COMU-UAIM-29; SRA: SRS5362117		PAIRED	873665	866332
PRJNA564451_Uria-aalge	SRR10085273	sample4	dummy	BioSample: SAMN12713744; Sample name: COMU-UAIM-28; SRA: SRS5362116		PAIRED	763277	756307
PRJNA564451_Uria-aalge	SRR10085274	sample5	dummy	BioSample: SAMN12713743; Sample name: COMU-UAIM-15; SRA: SRS5362115		PAIRED	838833	831355
PRJNA564451_Uria-aalge	SRR10085275	sample6	dummy	BioSample: SAMN12713742; Sample name: COMU-UAIM-12; SRA: SRS5362114		PAIRED	888319	881069
PRJNA564451_Uria-aalge	SRR10085276	sample7	dummy	BioSample: SAMN12713741; Sample name: COMU-Bu-503; SRA: SRS5362113		PAIRED	1006087	997801
PRJNA564451_Uria-aalge	SRR10085277	sample8	dummy	BioSample: SAMN12713740; Sample name: COMU-Bu-496; SRA: SRS5362112		PAIRED	906676	898191
PRJNA564451_Uria-aalge	SRR10085278	sample9	dummy	BioSample: SAMN12713739; Sample name: COMU-Bu-486; SRA: SRS5362111		PAIRED	970215	961631
PRJNA564451_Uria-aalge	SRR10085280	sample10	dummy	BioSample: SAMN12713738; Sample name: COMU-CMI-18; SRA: SRS5362109		PAIRED	909139	901745
