link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA576675_Eukrohnia-hamata	SRR10252214	sample0	dummy	BioSample: SAMN13001451; Sample name: Ch19_33_04; SRA: SRS5495872	isolate: Ch19.33.04	PAIRED	763748	762780
PRJNA576675_Eukrohnia-hamata	SRR10252215	sample1	dummy	BioSample: SAMN13001450; Sample name: Ch19_33_01; SRA: SRS5495871	isolate: Ch19.33.01	PAIRED	603622	602949
PRJNA576675_Eukrohnia-hamata	SRR10252216	sample2	dummy	BioSample: SAMN13001449; Sample name: Ch19_32_10; SRA: SRS5495870	isolate: Ch19.32.10	PAIRED	365417	364972
PRJNA576675_Eukrohnia-hamata	SRR10252217	sample3	dummy	BioSample: SAMN13001448; Sample name: Ch19_32_07; SRA: SRS5495869	isolate: Ch19.32.07	PAIRED	352543	352167
PRJNA576675_Eukrohnia-hamata	SRR10252218	sample4	dummy	BioSample: SAMN13001447; Sample name: Ch19_32_06; SRA: SRS5495868	isolate: Ch19.32.06	PAIRED	532347	531729
PRJNA576675_Eukrohnia-hamata	SRR10252219	sample5	dummy	BioSample: SAMN13001446; Sample name: Ch19_32_05; SRA: SRS5495867	isolate: Ch19.32.05	PAIRED	534791	534261
PRJNA576675_Eukrohnia-hamata	SRR10252220	sample6	dummy	BioSample: SAMN13001363; Sample name: Ch19_14_07; SRA: SRS5495866	isolate: Ch19.14.07	PAIRED	375844	375334
PRJNA576675_Eukrohnia-hamata	SRR10252221	sample7	dummy	BioSample: SAMN13001445; Sample name: Ch19_32_04; SRA: SRS5495865	isolate: Ch19.32.04	PAIRED	478032	477534
PRJNA576675_Eukrohnia-hamata	SRR10252222	sample8	dummy	BioSample: SAMN13001444; Sample name: Ch19_32_03; SRA: SRS5495864	isolate: Ch19.32.03	PAIRED	431311	430744
PRJNA576675_Eukrohnia-hamata	SRR10252223	sample9	dummy	BioSample: SAMN13001443; Sample name: Ch19_32_01; SRA: SRS5495863	isolate: Ch19.32.01	PAIRED	451207	450696
