link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA590458_Dascyllus-trimaculatus	SRR10489683	sample0	dummy	BioSample: SAMN13326663; Sample name: DTR4037.1; SRA: SRS5685774		SINGLE	1340387	1338356
PRJNA590458_Dascyllus-trimaculatus	SRR10489684	sample1	dummy	BioSample: SAMN13326662; Sample name: DTR4036.1; SRA: SRS5685773		SINGLE	631446	629801
PRJNA590458_Dascyllus-trimaculatus	SRR10489685	sample2	dummy	BioSample: SAMN13326661; Sample name: DTR4035.1; SRA: SRS5685772		SINGLE	298997	298304
PRJNA590458_Dascyllus-trimaculatus	SRR10489686	sample3	dummy	BioSample: SAMN13326660; Sample name: DTR4034.1; SRA: SRS5685771		SINGLE	307021	306228
PRJNA590458_Dascyllus-trimaculatus	SRR10489687	sample4	dummy	BioSample: SAMN13326659; Sample name: DTR4032.1; SRA: SRS5685770		SINGLE	1769083	1764493
PRJNA590458_Dascyllus-trimaculatus	SRR10489688	sample5	dummy	BioSample: SAMN13326658; Sample name: DTR4030.1; SRA: SRS5685769		SINGLE	682459	680895
PRJNA590458_Dascyllus-trimaculatus	SRR10489689	sample6	dummy	BioSample: SAMN13326657; Sample name: DTR4029.1; SRA: SRS5685768		SINGLE	510363	509150
PRJNA590458_Dascyllus-trimaculatus	SRR10489690	sample7	dummy	BioSample: SAMN13326656; Sample name: DTR4028.1; SRA: SRS5685767		SINGLE	282818	282133
PRJNA590458_Dascyllus-trimaculatus	SRR10489691	sample8	dummy	BioSample: SAMN13326655; Sample name: DTR4027.1; SRA: SRS5685766		SINGLE	1925938	1921977
PRJNA590458_Dascyllus-trimaculatus	SRR10489692	sample9	dummy	BioSample: SAMN13326619; Sample name: DTR0713.1; SRA: SRS5685765		SINGLE	857554	855031
PRJNA590458_Dascyllus-trimaculatus	SRR10489693	sample10	dummy	BioSample: SAMN13326654; Sample name: DTR4026.1; SRA: SRS5685764		SINGLE	437598	436900
PRJNA590458_Dascyllus-trimaculatus	SRR10489694	sample11	dummy	BioSample: SAMN13326653; Sample name: DTR4024.1; SRA: SRS5685763		SINGLE	544002	542729
PRJNA590458_Dascyllus-trimaculatus	SRR10489695	sample12	dummy	BioSample: SAMN13326652; Sample name: DTR4023.1; SRA: SRS5685762		SINGLE	669156	667664
PRJNA590458_Dascyllus-trimaculatus	SRR10489696	sample13	dummy	BioSample: SAMN13326651; Sample name: DTR4022.1; SRA: SRS5685761		SINGLE	256626	256221
PRJNA590458_Dascyllus-trimaculatus	SRR10489697	sample14	dummy	BioSample: SAMN13326650; Sample name: DTR4021.1; SRA: SRS5685760		SINGLE	458881	458209
PRJNA590458_Dascyllus-trimaculatus	SRR10489698	sample15	dummy	BioSample: SAMN13326649; Sample name: DTR4020.1; SRA: SRS5685759		SINGLE	998012	995836
PRJNA590458_Dascyllus-trimaculatus	SRR10489699	sample16	dummy	BioSample: SAMN13326648; Sample name: DTR4019.1; SRA: SRS5685758		SINGLE	852825	851077
PRJNA590458_Dascyllus-trimaculatus	SRR10489700	sample17	dummy	BioSample: SAMN13326647; Sample name: DTR4018.1; SRA: SRS5685757		SINGLE	1110352	1108058
PRJNA590458_Dascyllus-trimaculatus	SRR10489701	sample18	dummy	BioSample: SAMN13326646; Sample name: DTR4017.1; SRA: SRS5685756		SINGLE	1268278	1265547
PRJNA590458_Dascyllus-trimaculatus	SRR10489702	sample19	dummy	BioSample: SAMN13326645; Sample name: DTR4016.1; SRA: SRS5685755		SINGLE	1897145	1892805
PRJNA590458_Dascyllus-trimaculatus	SRR10489703	sample20	dummy	BioSample: SAMN13326618; Sample name: DTR0712.1; SRA: SRS5685754		SINGLE	986278	983815
PRJNA590458_Dascyllus-trimaculatus	SRR10489704	sample21	dummy	BioSample: SAMN13326644; Sample name: DTR4015.1; SRA: SRS5685753		SINGLE	2349703	2345253
PRJNA590458_Dascyllus-trimaculatus	SRR10489705	sample22	dummy	BioSample: SAMN13326643; Sample name: DTR4014.1; SRA: SRS5685752		SINGLE	679811	678311
PRJNA590458_Dascyllus-trimaculatus	SRR10489706	sample23	dummy	BioSample: SAMN13326642; Sample name: DTR4007.1; SRA: SRS5685751		SINGLE	645465	644577
PRJNA590458_Dascyllus-trimaculatus	SRR10489707	sample24	dummy	BioSample: SAMN13326641; Sample name: DTR4002.1; SRA: SRS5685750		SINGLE	307828	306932
PRJNA590458_Dascyllus-trimaculatus	SRR10489708	sample25	dummy	BioSample: SAMN13326640; Sample name: DTR3050.1; SRA: SRS5685749		SINGLE	1104665	1101878
PRJNA590458_Dascyllus-trimaculatus	SRR10489709	sample26	dummy	BioSample: SAMN13326639; Sample name: DTR3049.1; SRA: SRS5685748		SINGLE	1034365	1032303
PRJNA590458_Dascyllus-trimaculatus	SRR10489710	sample27	dummy	BioSample: SAMN13326638; Sample name: DTR3044.1; SRA: SRS5685747		SINGLE	1025176	1022359
PRJNA590458_Dascyllus-trimaculatus	SRR10489711	sample28	dummy	BioSample: SAMN13326637; Sample name: DTR3043.1; SRA: SRS5685746		SINGLE	502432	500801
PRJNA590458_Dascyllus-trimaculatus	SRR10489712	sample29	dummy	BioSample: SAMN13326636; Sample name: DTR3041.1; SRA: SRS5685745		SINGLE	826644	825359
PRJNA590458_Dascyllus-trimaculatus	SRR10489713	sample30	dummy	BioSample: SAMN13326635; Sample name: DTR3040.1; SRA: SRS5685744		SINGLE	1626211	1621808
PRJNA590458_Dascyllus-trimaculatus	SRR10489714	sample31	dummy	BioSample: SAMN13326617; Sample name: DTR0711.1; SRA: SRS5685743		SINGLE	736283	734216
PRJNA590458_Dascyllus-trimaculatus	SRR10489715	sample32	dummy	BioSample: SAMN13326634; Sample name: DTR3039.1; SRA: SRS5685742		SINGLE	3119280	3110412
PRJNA590458_Dascyllus-trimaculatus	SRR10489716	sample33	dummy	BioSample: SAMN13326633; Sample name: DTR3038.1; SRA: SRS5685741		SINGLE	2666437	2659651
PRJNA590458_Dascyllus-trimaculatus	SRR10489717	sample34	dummy	BioSample: SAMN13326632; Sample name: DTR3037.1; SRA: SRS5685740		SINGLE	338719	337723
PRJNA590458_Dascyllus-trimaculatus	SRR10489718	sample35	dummy	BioSample: SAMN13326631; Sample name: DTR3036.1; SRA: SRS5685739		SINGLE	1604635	1600084
PRJNA590458_Dascyllus-trimaculatus	SRR10489719	sample36	dummy	BioSample: SAMN13326714; Sample name: DTR4161.1; SRA: SRS5685738		SINGLE	2160866	2155889
PRJNA590458_Dascyllus-trimaculatus	SRR10489720	sample37	dummy	BioSample: SAMN13326713; Sample name: DTR4160.1; SRA: SRS5685737		SINGLE	1951216	1945594
PRJNA590458_Dascyllus-trimaculatus	SRR10489721	sample38	dummy	BioSample: SAMN13326712; Sample name: DTR4159.1; SRA: SRS5685736		SINGLE	2256892	2251393
PRJNA590458_Dascyllus-trimaculatus	SRR10489722	sample39	dummy	BioSample: SAMN13326711; Sample name: DTR4158.1; SRA: SRS5685735		SINGLE	1999886	1996270
PRJNA590458_Dascyllus-trimaculatus	SRR10489723	sample40	dummy	BioSample: SAMN13326710; Sample name: DTR4157.1; SRA: SRS5685734		SINGLE	1135954	1133860
PRJNA590458_Dascyllus-trimaculatus	SRR10489724	sample41	dummy	BioSample: SAMN13326709; Sample name: DTR4155.1; SRA: SRS5685733		SINGLE	395253	394209
PRJNA590458_Dascyllus-trimaculatus	SRR10489725	sample42	dummy	BioSample: SAMN13326708; Sample name: DTR4149.1; SRA: SRS5685732		SINGLE	713964	711907
